"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025033","2020","20201231","2","6","405","","36","1.7","1.11","4.7",".2","제주특별자치도 제주시 한림읍 금능리 301-1"
"2","5011025033","2020","20201231","2","6.4","572","","33","3.6",".72","5.8",".3","제주특별자치도 제주시 한림읍 금능리 304"
"3","5011025033","2020","20201231","3","5.7","345","","119","1.7",".53","6.3",".2","제주특별자치도 제주시 한림읍 금능리 211-3"
"4","5011025033","2020","20201231","3","6.2","849","","123","6.2","1.97","20.8","1.4","제주특별자치도 제주시 한림읍 금능리 240"
"5","5011025033","2020","20201231","3","4.4","987","","198",".7",".61","2.7",".4","제주특별자치도 제주시 한림읍 금능리 362-1"
"6","5011025033","2020","20201231","4","6.4","269","","113","8","2.49","13.5","3.2","제주특별자치도 제주시 한림읍 금능리 25-3"
"7","5011025033","2020","20201231","4","4.8","672","","124","1.5",".6","3.5",".6","제주특별자치도 제주시 한림읍 금능리 177-1"
"8","5011025033","2020","20201231","4","6.5","820","","138","3.7","1.06","18.1",".3","제주특별자치도 제주시 한림읍 금능리 360-3"
"9","5011025033","2020","20201231","4","5.2","778","","80","2.1",".45","3.4",".2","제주특별자치도 제주시 한림읍 금능리 459-1"
"10","5011025033","2020","20200318","2","7.8","84","","16","1",".04","9.9",".2","제주특별자치도 제주시 한림읍 금능리 1260-4"
"11","5011025033","2020","20201029","2","6.5","90","","27",".6",".86","2.4",".2","제주특별자치도 제주시 한림읍 금능리 750-1"
"12","5011025033","2020","20201029","2","6.4","147","","21",".4",".82","2",".3","제주특별자치도 제주시 한림읍 금능리 750-2"
"13","5011025033","2020","20201029","2","6.5","111","","24",".4",".81","1.7",".2","제주특별자치도 제주시 한림읍 금능리 750-3"
"14","5011025033","2020","20201029","2","6.5","87","","24",".6",".82","2.3",".3","제주특별자치도 제주시 한림읍 금능리 750-4"
"15","5011025033","2020","20201029","2","6.4","102","","25",".4",".7","1.9",".3","제주특별자치도 제주시 한림읍 금능리 750-5"
"16","5011025033","2020","20201029","2","6.4","149","","19",".5",".86","2.3",".1","제주특별자치도 제주시 한림읍 금능리 750-6"
"17","5011025033","2020","20200115","3","5.4","240","","47","1.7","1.41","5.1","1.09","제주특별자치도 제주시 한림읍 금능리 350-4"
"18","5011025033","2020","20200218","3","6.2","702","","161","5.4","4.22","8.5","2.2","제주특별자치도 제주시 한림읍 금능리 211-3"
"19","5011025033","2020","20200227","3","6.3","217","","106",".1",".91","14.4","2.7","제주특별자치도 제주시 한림읍 금능리 384-1"
"20","5011025033","2020","20200227","3","6.4","182","","151",".1","1.58","16.2","1.1","제주특별자치도 제주시 한림읍 금능리 384-1"
"21","5011025033","2020","20200227","3","4.9","290","","136","2.4","1.34","5.8","1.5","제주특별자치도 제주시 한림읍 금능리 381-3"
"22","5011025033","2020","20200227","3","6.3","1130","","85","4.6","2.94","11.4",".9","제주특별자치도 제주시 한림읍 금능리 370"
"23","5011025033","2020","20200227","3","5.5","743","","129","3.9","3.29","9.2","1.8","제주특별자치도 제주시 한림읍 금능리 373"
