"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025026","2020","20201231","2","4.6","755","","56",".6",".71","3","1.2","제주특별자치도 제주시 한림읍 동명리 178-1"
"2","5011025026","2020","20201231","2","6.1","346","","87","3.2","1.71","6.7","1","제주특별자치도 제주시 한림읍 동명리 278-1"
"3","5011025026","2020","20201231","2","5.3","966","","51","1.2",".69","4",".5","제주특별자치도 제주시 한림읍 동명리 306-2"
"4","5011025026","2020","20201231","2","6.9","637","","21","3.7",".88","5.9",".2","제주특별자치도 제주시 한림읍 동명리 690-3"
"5","5011025026","2020","20201231","2","7.6","701","","30","8","1.08","12.4",".6","제주특별자치도 제주시 한림읍 동명리 692"
"6","5011025026","2020","20201231","2","5.3","1047","","15","1.2","1.12","3.9","1.7","제주특별자치도 제주시 한림읍 동명리 1574-2"
"7","5011025026","2020","20201231","2","7.4","1191","","19","2.6",".92","9.9",".4","제주특별자치도 제주시 한림읍 동명리 1954-3"
"8","5011025026","2020","20201231","2","5.3","596","","21","1.6",".71","3.6",".4","제주특별자치도 제주시 한림읍 동명리 2240"
"9","5011025026","2020","20201231","3","5.8","1072","","77","2.9","2.91","6.6","1.5","제주특별자치도 제주시 한림읍 동명리 293-1"
"10","5011025026","2020","20201231","4","6.1","873","","86","3.3",".81","12.2",".4","제주특별자치도 제주시 한림읍 동명리 320-2"
"11","5011025026","2020","20200331","2","4.8","842","","84","2.8","1.57","7.3","3.6","제주특별자치도 제주시 한림읍 동명리 640"
"12","5011025026","2020","20200331","2","5.5","1160","","113","3","1.98","9.6","2.4","제주특별자치도 제주시 한림읍 동명리 635"
"13","5011025026","2020","20200804","2","6.5","817","","170","5.5","2.11","29.5","1","제주특별자치도 제주시 한림읍 동명리 635"
"14","5011025026","2020","20210108","2","5.4","453","","157",".8",".55","9","2.6","제주특별자치도 제주시 한림읍 동명리 33-1"
"15","5011025026","2020","20210108","2","7.2","537","","37",".6",".51","9.9",".8","제주특별자치도 제주시 한림읍 동명리 596-1"
"16","5011025026","2020","20200428","2","5.6","1266","","36","2","1.61","7.1","1.2","제주특별자치도 제주시 한림읍 동명리 2185-5"
"17","5011025026","2020","20200828","2","6.1","1035","","57",".9",".96","4.3",".3","제주특별자치도 제주시 한림읍 동명리 1381-1"
"18","5011025026","2020","20200916","2","4.3","869","","61","2.3","1.82",".5","1.5","제주특별자치도 제주시 한림읍 동명리 936-2"
"19","5011025026","2020","20200929","2","5.4","20","","81","1.7","1.32","4.2",".4","제주특별자치도 제주시 한림읍 동명리 1"
"20","5011025026","2020","20200929","2","7.5","844","","131","20","9","30","8.6","제주특별자치도 제주시 한림읍 동명리 38-1"
"21","5011025026","2020","20200929","2","6.7","677","","57","3.5","2.49","20.6","2","제주특별자치도 제주시 한림읍 동명리 464"
"22","5011025026","2020","20200929","2","6.3","377","","24","3.2","2.02","7.6","1.3","제주특별자치도 제주시 한림읍 동명리 578-3"
