"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025027","2020","20201021","2","6.1","682","","42","1.2","1.16","5",".2","제주특별자치도 제주시 한림읍 명월리 452-7"
"2","5011025027","2020","20201021","2","5.6","517","","44","1.2","1.04","5",".6","제주특별자치도 제주시 한림읍 명월리 1624"
"3","5011025027","2020","20201021","2","5.7","363","","22",".6","1.04","4.4",".2","제주특별자치도 제주시 한림읍 명월리 702-1"
"4","5011025027","2020","20201021","2","5.8","662","","28","1.1","1.22","8.4",".9","제주특별자치도 제주시 한림읍 명월리 1938-1"
"5","5011025027","2020","20201021","2","4.8","536","","26","1","1.14","3.8","1.3","제주특별자치도 제주시 한림읍 명월리 2041-6"
"6","5011025027","2020","20201231","2","6.3","1050","","70","3.4","2.75","4.6",".4","제주특별자치도 제주시 한림읍 명월리 69"
"7","5011025027","2020","20201021","4","5.3","244","","86","1.3",".89","6.9",".7","제주특별자치도 제주시 한림읍 명월리 1446-3"
"8","5011025027","2020","20201021","4","5","539","","92",".7",".83","3.1",".3","제주특별자치도 제주시 한림읍 명월리 1622"
"9","5011025027","2020","20201231","4","5.2","621","","73","2",".86","3.4",".3","제주특별자치도 제주시 한림읍 명월리 732"
"10","5011025027","2020","20200406","4","5.9","245","","98","2.1",".95","5.8",".2","제주특별자치도 제주시 한림읍 명월리 86"
"11","5011025027","2020","20200406","4","5.9","245","","98","2.1",".95","5.8",".2","제주특별자치도 제주시 한림읍 명월리 86"
"12","5011025027","2020","20200228","2","6.2","25","","10","5.1",".31","6.5",".7","제주특별자치도 제주시 한림읍 명월리 2016"
"13","5011025027","2020","20200228","2","7.1","104","","76","6.6",".83","12.3",".6","제주특별자치도 제주시 한림읍 명월리 2016"
"14","5011025027","2020","20200228","2","7.1","37","","10","3.7",".44","7.2",".4","제주특별자치도 제주시 한림읍 명월리 2016"
"15","5011025027","2020","20200724","4","7.8","409","","30","7","1.36","12.7",".3","제주특별자치도 제주시 한림읍 명월리 2014"
"16","5011025027","2020","20200724","4","7.8","521","","27","5","1.38","12.4",".5","제주특별자치도 제주시 한림읍 명월리 2015"
"17","5011025027","2020","20200724","4","7.7","495","","27","4.3","1.28","12.6",".3","제주특별자치도 제주시 한림읍 명월리 2016"
"18","5011025027","2020","20200407","2","6.2","309","","47","2",".57","5.2",".2","제주특별자치도 제주시 한림읍 명월리 1009"
"19","5011025027","2020","20200515","2","5.9","613","","83","1","1.35","4.4",".3","제주특별자치도 제주시 한림읍 명월리 523"
"20","5011025027","2020","20200515","2","6.2","187","","58","2","2.26","5.2",".2","제주특별자치도 제주시 한림읍 명월리 560"
"21","5011025027","2020","20200515","2","6.3","177","","67","2","2.31","6.4",".2","제주특별자치도 제주시 한림읍 명월리 561"
"22","5011025027","2020","20200515","2","6.3","177","","67","2","2.31","6.4",".2","제주특별자치도 제주시 한림읍 명월리 567"
"23","5011025027","2020","20200515","2","6.3","177","","67","2","2.31","6.4",".2","제주특별자치도 제주시 한림읍 명월리 569"
"24","5011025027","2020","20200515","2","6.3","177","","67","2","2.31","6.4",".2","제주특별자치도 제주시 한림읍 명월리 566"
"25","5011025027","2020","20200828","2","7.8","137","","19","1.5","1.06","5.4",".3","제주특별자치도 제주시 한림읍 명월리 1696"
"26","5011025027","2020","20200225","3","6.8","407","","42","2.9","2.13","8.8",".6","제주특별자치도 제주시 한림읍 명월리 1115"
"27","5011025027","2020","20200218","4","5.6","76","","149","2.1","2.18","1.5",".3","제주특별자치도 제주시 한림읍 명월리 1560-1"
"28","5011025027","2020","20200317","4","5.7","692","","94","3.5","1.3","10.2","2","제주특별자치도 제주시 한림읍 명월리 616"
"29","5011025027","2020","20200318","4","6.2","346","","109","2.2","1.24","7",".2","제주특별자치도 제주시 한림읍 명월리 1520"
"30","5011025027","2020","20200318","4","5.9","254","","147","3.1","1.07","8.4",".6","제주특별자치도 제주시 한림읍 명월리 1525"
"31","5011025027","2020","20200318","4","5.9","245","","98","2.1",".95","5.8",".2","제주특별자치도 제주시 한림읍 명월리 60"
"32","5011025027","2020","20200423","4","6","558","","49","1.5",".44","5.5",".2","제주특별자치도 제주시 한림읍 명월리 661"
"33","5011025027","2020","20200708","4","5","173","","183",".8",".45","1.6",".7","제주특별자치도 제주시 한림읍 명월리 1349"
"34","5011025027","2020","20200708","4","5.4","260","","184",".8",".79","1.9",".3","제주특별자치도 제주시 한림읍 명월리 1350"
"35","5011025027","2020","20200708","4","5.3","105","","157",".6",".23","1.4",".2","제주특별자치도 제주시 한림읍 명월리 1351"
"36","5011025027","2020","20200708","4","5.9","106","","154","1.4",".74","3.5",".2","제주특별자치도 제주시 한림읍 명월리 1487"
"37","5011025027","2020","20200708","4","4.9","617","","104",".4",".28","1.6",".1","제주특별자치도 제주시 한림읍 명월리 599"
"38","5011025027","2020","20200728","4","7.5","492","","69","1.4","1.18","7.9",".3","제주특별자치도 제주시 한림읍 명월리 655"
"39","5011025027","2020","20200904","4","5.2","700","","73","1.9","1.41","3.5",".5","제주특별자치도 제주시 한림읍 명월리 732"
"40","5011025027","2020","20200904","4","5.1","927","","71","2.1","1.87","3.2",".9","제주특별자치도 제주시 한림읍 명월리 697"
"41","5011025027","2020","20200904","4","6.1","900","","82","3.2","1.46","6",".3","제주특별자치도 제주시 한림읍 명월리 659-2"
"42","5011025027","2020","20200924","2","7.4","1153.2","","53.4","5.09","3.422","13.21",".9","제주특별자치도 제주시 한림읍 명월리 126-5"
"43","5011025027","2020","20200924","2","5.4","505","","64","1.91",".99","5.31",".67","제주특별자치도 제주시 한림읍 명월리 122"
"44","5011025027","2020","20200924","2","5.3","1073.6","","32.8","1.6","1.068","2.89",".61","제주특별자치도 제주시 한림읍 명월리 2147"
"45","5011025027","2020","20200925","2","6.2","55.4","","44.6","4.49",".971","6.09",".5","제주특별자치도 제주시 한림읍 명월리 1889-1"
"46","5011025027","2020","20200928","2","6.3","577.1","","26.8","3.53","1.599","8","1.35","제주특별자치도 제주시 한림읍 명월리 2017"
"47","5011025027","2021","20211202","2","5.3","730","","20","","1.63","","","제주특별자치도 제주시 한림읍 명월리 2181-2"
"48","5011025027","2021","20211202","2","6.5","465","","27","","1.03","","","제주특별자치도 제주시 한림읍 명월리 2180"
"49","5011025027","2021","20211202","2","6.1","417","","35","","1.2","","","제주특별자치도 제주시 한림읍 명월리 116"
"50","5011025027","2021","20211202","2","5.7","228","","51","","1.57","","","제주특별자치도 제주시 한림읍 명월리 452-2"
"51","5011025027","2021","20211209","4","6.2","1","","122","","1.49","","","제주특별자치도 제주시 한림읍 명월리 1570-1"
"52","5011025027","2021","20211209","4","5.4","362","","195","",".91","","","제주특별자치도 제주시 한림읍 명월리 1428-1"
"53","5011025027","2021","20211209","4","5.6","1402","","271","",".84","","","제주특별자치도 제주시 한림읍 명월리 1525"
"54","5011025027","2021","20211209","4","6.1","612","","54","","1.01","","","제주특별자치도 제주시 한림읍 명월리 690"
"55","5011025027","2021","20211224","2","","","","","","","","","제주특별자치도 제주시 한림읍 명월리 523"
"56","5011025027","2021","20211224","2","5.7","265","","55","3.8","1.32","5.1",".85","제주특별자치도 제주시 한림읍 명월리 560"
"57","5011025027","2021","20211224","2","5.7","267","","50","3.8","1.31","5",".8","제주특별자치도 제주시 한림읍 명월리 561"
"58","5011025027","2021","20210226","2","7.3","271","","53","2.3",".74","14.3",".7","제주특별자치도 제주시 한림읍 명월리 2016"
"59","5011025027","2021","20210628","2","","","","","","","","","제주특별자치도 제주시 한림읍 명월리 560"
"60","5011025027","2021","20210628","2","5.6","138","","206","2.6",".51","2.8",".4","제주특별자치도 제주시 한림읍 명월리 566"
"61","5011025027","2021","20210628","2","6.1","5","","38","1.6",".61","2.6",".1","제주특별자치도 제주시 한림읍 명월리 560"
"62","5011025027","2021","20210706","2","7.9","245","","27","2.3","1.16","10.5",".3","제주특별자치도 제주시 한림읍 명월리 1595"
"63","5011025027","2021","20210915","2","6.6","361","","37",".1",".92","6.6","1.01","제주특별자치도 제주시 한림읍 명월리 1009"
"64","5011025027","2021","20210701","4","5.7","15","","116","1.9",".61","4.6",".1","제주특별자치도 제주시 한림읍 명월리 599"
"65","5011025027","2021","20210713","4","5.8","1122","","69","2.1","1.96","8.4","1.1","제주특별자치도 제주시 한림읍 명월리 659-2"
"66","5011025027","2021","20210804","4","6.1","776","","56","3.3","3.41","10.4",".6","제주특별자치도 제주시 한림읍 명월리 737"
"67","5011025027","2021","20210804","4","6","1034","","53","3.4","2.99","8.5",".8","제주특별자치도 제주시 한림읍 명월리 697"
"68","5011025027","2021","20210407","2","5.6","10","","189",".7",".1","1.5",".5","제주특별자치도 제주시 한림읍 명월리 1258-2"
"69","5011025027","2021","20210112","3","5.4","637","","41","3.4","1.68","3.3","6.3","제주특별자치도 제주시 한림읍 명월리 452-2"
"70","5011025027","2021","20210204","3","5.2","101","","58","1.9",".7","2.6","3.5","제주특별자치도 제주시 한림읍 명월리 626-1"
"71","5011025027","2021","20210204","3","6.3","211","","35","4.2","3.05","3.3","1.9","제주특별자치도 제주시 한림읍 명월리 1115"
"72","5011025027","2021","20210204","3","6.8","349","","35","4.2","4.09","7.2","4.1","제주특별자치도 제주시 한림읍 명월리 1115"
"73","5011025027","2021","20210204","3","7.1","579","","49","1.4","1.32","1.7","3.6","제주특별자치도 제주시 한림읍 명월리 1115"
"74","5011025027","2021","20210511","3","5.9","400","","35","3.1","1.16","5","1.4","제주특별자치도 제주시 한림읍 명월리 452-2"
"75","5011025027","2021","20210614","3","5.9","313","","300","2.8","1.14","5.7",".7","제주특별자치도 제주시 한림읍 명월리 452-2"
"76","5011025027","2021","20211021","3","6","349","","28","2.2",".34","3.8","1.16","제주특별자치도 제주시 한림읍 명월리 452-2"
"77","5011025027","2021","20211109","3","6","89","","20","3.3",".62","5.7","1.03","제주특별자치도 제주시 한림읍 명월리 452-2"
"78","5011025027","2021","20211208","3","5.9","205","","41","2.8",".96","5","1.49","제주특별자치도 제주시 한림읍 명월리 452-2"
"79","5011025027","2021","20210204","4","6.1","61","","166","2.4",".82","7.5",".6","제주특별자치도 제주시 한림읍 명월리 1446-3"
"80","5011025027","2021","20210218","4","5.7","519","","109","3.1",".84","7.6",".3","제주특별자치도 제주시 한림읍 명월리 86"
"81","5011025027","2021","20210218","4","5.9","485","","97","3.7","1.73","8.9",".5","제주특별자치도 제주시 한림읍 명월리 1520"
"82","5011025027","2021","20210218","4","5.8","335","","146","3.9","1.25","11.3",".7","제주특별자치도 제주시 한림읍 명월리 1525"
"83","5011025027","2021","20210308","4","5.9","123","","143","3.8","1.26","6.6",".3","제주특별자치도 제주시 한림읍 명월리 1560-1"
"84","5011025027","2021","20210308","4","5.1","343","","56","1.1",".49",".8",".3","제주특별자치도 제주시 한림읍 명월리 1045"
"85","5011025027","2021","20210315","4","5.9","713","","71","2.7",".65","3.2",".4","제주특별자치도 제주시 한림읍 명월리 661"
"86","5011025027","2021","20210329","4","5.7","886","","96","2.8","1.23","5.3",".3","제주특별자치도 제주시 한림읍 명월리 641"
"87","5011025027","2021","20210329","4","5.9","402","","60","2.3",".75","2.8",".3","제주특별자치도 제주시 한림읍 명월리 641"
"88","5011025027","2021","20210329","4","5.4","396","","64","1.6",".27","1.4",".3","제주특별자치도 제주시 한림읍 명월리 641"
"89","5011025027","2021","20210329","4","5.6","78","","50","1.8",".49","1.3",".2","제주특별자치도 제주시 한림읍 명월리 641"
