"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025030","2020","20201021","2","6.2","381","","48","1.4","1.03","6",".2","제주특별자치도 제주시 한림읍 상명리 90-1"
"2","5011025030","2020","20201021","2","5.7","324","","74",".8","1.01","5.3",".2","제주특별자치도 제주시 한림읍 상명리 91"
"3","5011025030","2020","20201021","2","6.7","619","","68","1.6","1.02","9.3",".2","제주특별자치도 제주시 한림읍 상명리 329-1"
"4","5011025030","2020","20201021","2","5","406","","40",".9","1.16","3.2",".6","제주특별자치도 제주시 한림읍 상명리 344"
"5","5011025030","2020","20201021","2","7.4","665","","53","1.4","1.05","15.7",".3","제주특별자치도 제주시 한림읍 상명리 374"
"6","5011025030","2020","20201021","2","7.7","526","","32","2.6","1.22","14.8",".4","제주특별자치도 제주시 한림읍 상명리 971-4"
"7","5011025030","2020","20201021","2","5.1","734","","33",".5","1.03","3.4",".3","제주특별자치도 제주시 한림읍 상명리 979"
"8","5011025030","2020","20201021","2","5.2","264","","45",".6","1.11","3.1",".4","제주특별자치도 제주시 한림읍 상명리 1318-3"
"9","5011025030","2020","20201021","2","6.2","303","","40","1.2","1.07","6.5",".4","제주특별자치도 제주시 한림읍 상명리 1365"
"10","5011025030","2020","20201021","2","5.7","372","","45","1.4","1.05","4.8",".4","제주특별자치도 제주시 한림읍 상명리 2127-1"
"11","5011025030","2020","20201021","2","4.7","373","","44",".5","1.08","2.4","1.1","제주특별자치도 제주시 한림읍 상명리 2145-2"
"12","5011025030","2020","20201021","4","6.7","502","","65","2.1","1.26","17.2",".4","제주특별자치도 제주시 한림읍 상명리 1319-1"
"13","5011025030","2020","20200423","2","5.4","656","","33","2.6","1.38","3.5",".7","제주특별자치도 제주시 한림읍 상명리 61"
"14","5011025030","2020","20200423","2","5.4","656","","33","2.6","1.38","3.5",".7","제주특별자치도 제주시 한림읍 상명리 61"
"15","5011025030","2020","20200908","2","5.2","424","","161",".8","2.3","1.9",".5","제주특별자치도 제주시 한림읍 상명리 424"
"16","5011025030","2020","20200908","2","6","742","","175","2.4","3.52","14.2",".4","제주특별자치도 제주시 한림읍 상명리 554"
"17","5011025030","2020","20200908","2","5.2","424","","161",".8","2.3","1.9",".5","제주특별자치도 제주시 한림읍 상명리 424"
"18","5011025030","2020","20200908","2","6","742","","175","2.4","3.52","14.2",".4","제주특별자치도 제주시 한림읍 상명리 554"
"19","5011025030","2020","20200908","2","5.2","424","","161",".8","2.3","1.9",".5","제주특별자치도 제주시 한림읍 상명리 424"
"20","5011025030","2020","20200908","2","6","742","","175","2.4","3.52","14.2",".4","제주특별자치도 제주시 한림읍 상명리 554"
"21","5011025030","2020","20200722","2","7.7","215","","67","4.1","2.54","12.3",".3","제주특별자치도 제주시 한림읍 상명리 418"
"22","5011025030","2020","20200731","2","6.7","828","","39","1.9","1.16","6",".2","제주특별자치도 제주시 한림읍 상명리 837"
"23","5011025030","2020","20200731","2","6.6","111","","25","2",".86","4.5",".1","제주특별자치도 제주시 한림읍 상명리 884-2"
"24","5011025030","2020","20200731","2","6.9","29","","39","2.3",".52","4.4",".2","제주특별자치도 제주시 한림읍 상명리 1232"
"25","5011025030","2020","20200731","2","6.5","723","","25","1.3","1.18","3.6",".1","제주특별자치도 제주시 한림읍 상명리 1647-1"
"26","5011025030","2020","20200828","2","6.3","331","","35","1.6","1.89","3.5",".5","제주특별자치도 제주시 한림읍 상명리 924"
"27","5011025030","2020","20200828","2","6.5","282","","25","1.6","1.26","4.5",".2","제주특별자치도 제주시 한림읍 상명리 925"
"28","5011025030","2020","20200828","2","5.9","10","","53","1",".31","1.7",".2","제주특별자치도 제주시 한림읍 상명리 111"
"29","5011025030","2020","20200828","2","7.5","210","","59","1.8","2.06","6.2",".3","제주특별자치도 제주시 한림읍 상명리 109"
"30","5011025030","2020","20200916","2","7.5","324","","56","4.8",".84","6.5",".6","제주특별자치도 제주시 한림읍 상명리 2141-1"
"31","5011025030","2020","20200312","3","5.5","238","","73","2.1","2.43","5",".7","제주특별자치도 제주시 한림읍 상명리 1708"
"32","5011025030","2020","20200312","3","5.5","69","","148",".1","2.7",".1","5.1","제주특별자치도 제주시 한림읍 상명리 1745"
"33","5011025030","2020","20200228","4","6.1","832","","124","1.7","2.14","24.4","1.3","제주특별자치도 제주시 한림읍 상명리 440"
"34","5011025030","2020","20200504","4","6.3","635","","54","2",".51","5.6",".2","제주특별자치도 제주시 한림읍 상명리 16"
