"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025022","2020","20201021","2","5.6","831","","35","1.7","1.36","4.6",".7","제주특별자치도 제주시 한림읍 수원리 260-2"
"2","5011025022","2020","20201021","2","4.9","626","","39","1.1","1.5","4","1.1","제주특별자치도 제주시 한림읍 수원리 262-6"
"3","5011025022","2020","20201021","2","5","689","","33","1.1","1.54","3.9","1.1","제주특별자치도 제주시 한림읍 수원리 263-5"
"4","5011025022","2020","20201021","2","6","573","","22",".9","1.05","4.9",".3","제주특별자치도 제주시 한림읍 수원리 264-15"
"5","5011025022","2020","20201021","2","5.2","805","","28","1.1","1.42","5.8","1.4","제주특별자치도 제주시 한림읍 수원리 267-5"
"6","5011025022","2020","20201021","2","6.9","832","","28","1.6","1.4","14.5","2.4","제주특별자치도 제주시 한림읍 수원리 277-2"
"7","5011025022","2020","20201021","2","4.8","899","","37",".9","1.33","2.7","1.3","제주특별자치도 제주시 한림읍 수원리 281-6"
"8","5011025022","2020","20201021","2","5","672","","26",".8","1.21","3.3","1.1","제주특별자치도 제주시 한림읍 수원리 282-12"
"9","5011025022","2020","20201021","2","4.7","801","","37",".6","1.06","2.9",".9","제주특별자치도 제주시 한림읍 수원리 283-18"
"10","5011025022","2020","20201021","2","7","755","","28","1.2","1.09","9.2",".2","제주특별자치도 제주시 한림읍 수원리 644-2"
"11","5011025022","2020","20201021","2","6.8","889","","38",".8","1.1","12.3",".5","제주특별자치도 제주시 한림읍 수원리 659-3"
"12","5011025022","2020","20200221","2","7.6","733","","98",".2","1.9","16.6",".4","제주특별자치도 제주시 한림읍 수원리 277-18"
"13","5011025022","2020","20200807","2","6.6","663","","36","1.1","1.22","3.5",".2","제주특별자치도 제주시 한림읍 수원리 263-22"
"14","5011025022","2020","20200807","2","7.1","437","","36","1","1.72","4.4",".4","제주특별자치도 제주시 한림읍 수원리 266-22"
"15","5011025022","2020","20201228","2","7.3","2238","","87",".9","3.8","10.1","2.8","제주특별자치도 제주시 한림읍 수원리 277-18"
"16","5011025022","2020","20200924","2","6","945.6","","29.5","2.05","1.15","4.74",".58","제주특별자치도 제주시 한림읍 수원리 263-1"
"17","5011025022","2020","20200925","2","5.9","657.4","","27.5","2.35","1.29","5.33",".45","제주특별자치도 제주시 한림읍 수원리 277-10"
"18","5011025022","2020","20200925","2","5.7","783.6","","27.1","1.92",".921","3.37",".54","제주특별자치도 제주시 한림읍 수원리 265-19"
"19","5011025022","2020","20200925","2","5.3","1058.9","","32","1.16",".72","2.59",".6","제주특별자치도 제주시 한림읍 수원리 267-20"
"20","5011025022","2020","20200925","2","5.2","1282.4","","30.7","1.28","1.001","2.64",".75","제주특별자치도 제주시 한림읍 수원리 267-22"
"21","5011025022","2020","20200925","2","5.8","567.1","","28","1.81","1.123","3.24",".43","제주특별자치도 제주시 한림읍 수원리 271-23"
"22","5011025022","2020","20200925","2","5.7","994.2","","31.1","2.02",".886","4.29","1.95","제주특별자치도 제주시 한림읍 수원리 272-13"
"23","5011025022","2021","20211202","2","5.4","492","","17","",".79","","","제주특별자치도 제주시 한림읍 수원리 261-1"
"24","5011025022","2021","20211202","2","6.2","826","","19","",".89","","","제주특별자치도 제주시 한림읍 수원리 266-3"
"25","5011025022","2021","20211202","2","6.2","801","","25","","1.12","","","제주특별자치도 제주시 한림읍 수원리 267-26"
"26","5011025022","2021","20211202","2","6.4","714","","25","","1.03","","","제주특별자치도 제주시 한림읍 수원리 268-16"
"27","5011025022","2021","20211202","2","5.4","823","","21","","1.21","","","제주특별자치도 제주시 한림읍 수원리 271-18"
"28","5011025022","2021","20211202","2","5.7","761","","22","","1.05","","","제주특별자치도 제주시 한림읍 수원리 282-4"
"29","5011025022","2021","20211202","2","5.5","581","","24","",".71","","","제주특별자치도 제주시 한림읍 수원리 277-3"
"30","5011025022","2021","20211202","2","5.9","457","","24","","1.03","","","제주특별자치도 제주시 한림읍 수원리 276-7"
"31","5011025022","2021","20211202","2","5.3","677","","26","",".93","","","제주특별자치도 제주시 한림읍 수원리 275-7"
"32","5011025022","2021","20211202","2","5.1","751","","27","",".99","","","제주특별자치도 제주시 한림읍 수원리 279-7"
"33","5011025022","2021","20210726","2","6.4","694","","89","2.8",".3","4.6",".4","제주특별자치도 제주시 한림읍 수원리 263-22"
"34","5011025022","2021","20210726","2","6.6","633","","91","2.8",".64","4.4",".5","제주특별자치도 제주시 한림읍 수원리 266-22"
"35","5011025022","2021","20210729","2","7.4","5000","","142","13.5","7.18","9.4","3.7","제주특별자치도 제주시 한림읍 수원리 276-14"
"36","5011025022","2021","20210930","2","6.8","660","","22","2.1","1.18","11.6","2.03","제주특별자치도 제주시 한림읍 수원리 263-3"
"37","5011025022","2021","20211220","3","6.6","806","","28","3.8","1.18","9.9","2.46","제주특별자치도 제주시 한림읍 수원리 281-13"
"38","5011025022","2022","20220811","2","6.7","757","","34","4.9","1.14","6.1",".61","제주특별자치도 제주시 한림읍 수원리 263-22"
"39","5011025022","2022","20220811","2","6.6","761","","25","4.5",".81","5.6",".51","제주특별자치도 제주시 한림읍 수원리 266-22"
"40","5011025022","2022","20220104","2","7.2","1787","","239","8.7","1.59","10.7","4.82","제주특별자치도 제주시 한림읍 수원리 276-14"
