"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025028","2020","20201021","2","8.5","269","","22",".8",".9","18.4",".4","제주특별자치도 제주시 한림읍 옹포리 655"
"2","5011025028","2020","20201021","2","7.2","623","","62","3.5","1.64","12.3",".3","제주특별자치도 제주시 한림읍 옹포리 936-1"
"3","5011025028","2020","20201021","2","5.6","857","","64","2.1","1.33","7.6",".7","제주특별자치도 제주시 한림읍 옹포리 101-1"
"4","5011025028","2020","20201021","2","6.9","911","","49","3.1","2.73","12.3",".5","제주특별자치도 제주시 한림읍 옹포리 858"
"5","5011025028","2020","20201021","2","5.3","253","","73","1.4","1.46","7.6","2","제주특별자치도 제주시 한림읍 옹포리 970"
"6","5011025028","2020","20201021","4","6.4","1307","","65","2.3","1.79","16.6",".8","제주특별자치도 제주시 한림읍 옹포리 145"
"7","5011025028","2020","20201021","4","5.8","42","","57",".9",".73","2.9",".2","제주특별자치도 제주시 한림읍 옹포리 976"
"8","5011025028","2020","20200908","2","7.1","259","","134","3.8","2.6","8.1",".4","제주특별자치도 제주시 한림읍 옹포리 256"
"9","5011025028","2020","20200929","2","5.9","639","","37","4.2","2.95","11.7","2.8","제주특별자치도 제주시 한림읍 옹포리 740"
"10","5011025028","2020","20201023","2","4.9","1102","","49","1","1.49","3.9","1.2","제주특별자치도 제주시 한림읍 옹포리 815"
"11","5011025028","2020","20200925","2","6.3","379.3","","84.5","4.63","1.504","7.57",".79","제주특별자치도 제주시 한림읍 옹포리 969"
"12","5011025028","2020","20200925","2","5.3","232.7","","71.6","1.67","1.545","4.69",".83","제주특별자치도 제주시 한림읍 옹포리 867"
"13","5011025028","2020","20200925","2","6.9","934.2","","43.7","3","2.052","8.94",".29","제주특별자치도 제주시 한림읍 옹포리 841"
"14","5011025028","2020","20200925","2","6","349.6","","12","3.09","1.011","6.26",".3","제주특별자치도 제주시 한림읍 옹포리 809"
"15","5011025028","2020","20200925","2","5.4","968.5","","57.4","1.48","2.011","3.68","1.07","제주특별자치도 제주시 한림읍 옹포리 728"
"16","5011025028","2020","20200925","2","4.8","915.1","","57.8","1.12","1.091","1.66",".73","제주특별자치도 제주시 한림읍 옹포리 717-1"
"17","5011025028","2021","20211202","2","6","147","","23","","1.18","","","제주특별자치도 제주시 한림읍 옹포리 640-1"
"18","5011025028","2021","20211202","2","5.6","765","","48","","1.9","","","제주특별자치도 제주시 한림읍 옹포리 729"
"19","5011025028","2021","20211202","2","5.9","494","","41","","1.9","","","제주특별자치도 제주시 한림읍 옹포리 746"
"20","5011025028","2021","20211202","2","5.4","376","","79","","2.17","","","제주특별자치도 제주시 한림읍 옹포리 959-1"
"21","5011025028","2021","20211202","2","5.7","220","","56","","1.31","","","제주특별자치도 제주시 한림읍 옹포리 969"
"22","5011025028","2021","20211202","2","6.9","802","","40","","1.69","","","제주특별자치도 제주시 한림읍 옹포리 883"
"23","5011025028","2021","20211202","2","6.3","334","","14","",".05","","","제주특별자치도 제주시 한림읍 옹포리 860"
"24","5011025028","2021","20211202","2","5.4","35","","74","",".95","","","제주특별자치도 제주시 한림읍 옹포리 849"
"25","5011025028","2021","20210901","3","7.2","591","","33","4.8","2.78","5.3","1.02","제주특별자치도 제주시 한림읍 옹포리 256"
"26","5011025028","2021","20210701","2","5.2","921","","50","2.2","1.47","2.6",".5","제주특별자치도 제주시 한림읍 옹포리 740"
"27","5011025028","2021","20210701","2","5.7","589","","41","2.3","1.58","4.5",".4","제주특별자치도 제주시 한림읍 옹포리 815"
"28","5011025028","2022","20220825","3","7","479","","12","4.7","2.82","6.1",".49","제주특별자치도 제주시 한림읍 옹포리 256"
"29","5011025028","2022","20220922","2","7","502","","55","1.9","1.29","17.1",".78","제주특별자치도 제주시 한림읍 옹포리 740"
"30","5011025028","2022","20220922","2","5.5","772","","29","2","1.91","3.7","2.95","제주특별자치도 제주시 한림읍 옹포리 815"
"31","5011025028","2022","20220104","2","5.4","796","","69","1.1","1.45","3.7","1.2","제주특별자치도 제주시 한림읍 옹포리 131"
"32","5011025028","2022","20220104","2","5.3","698","","96","1.2","1.14","2.9",".97","제주특별자치도 제주시 한림읍 옹포리 714"
"33","5011025028","2022","20220104","2","5","734","","72",".7",".91","2.6","1.07","제주특별자치도 제주시 한림읍 옹포리 717-1"
"34","5011025028","2022","20220104","2","5.4","574","","65","1.2","1.69","4.3","2.45","제주특별자치도 제주시 한림읍 옹포리 754"
"35","5011025028","2022","20220104","2","5.6","528","","62","1.9","1.03","4.4","1.17","제주특별자치도 제주시 한림읍 옹포리 753"
"36","5011025028","2022","20220104","2","5.4","609","","64","2","1.39","2.8","1.49","제주특별자치도 제주시 한림읍 옹포리 756"
"37","5011025028","2022","20220104","2","5.9","758","","76","1.3","1.53","5.6","1.08","제주특별자치도 제주시 한림읍 옹포리 729"
"38","5011025028","2022","20220104","2","5.5","445","","65","1.6","1.36","3.6","1.7","제주특별자치도 제주시 한림읍 옹포리 928"
"39","5011025028","2022","20220104","2","7.4","738","","110","1.9","1.42","11.3","1.84","제주특별자치도 제주시 한림읍 옹포리 930"
