"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025032","2020","20201021","2","7.2","691","","24","2.2","1.16","9.5",".3","제주특별자치도 제주시 한림읍 월령리 805-1"
"2","5011025032","2020","20201021","2","6","773","","23","1.6","1.38","8.3","2","제주특별자치도 제주시 한림읍 월령리 845-1"
"3","5011025032","2020","20201021","2","6.3","996","","26","1.6","1.38","8.4","1.3","제주특별자치도 제주시 한림읍 월령리 921"
"4","5011025032","2020","20201021","2","6.1","713","","23","1","1.52","5.4","1.1","제주특별자치도 제주시 한림읍 월령리 959"
"5","5011025032","2020","20201021","2","7.3","960","","23","1.9","1.51","10",".4","제주특별자치도 제주시 한림읍 월령리 970"
"6","5011025032","2020","20201021","2","5","615","","23",".5","1.11","1.9",".7","제주특별자치도 제주시 한림읍 월령리 1072"
"7","5011025032","2020","20201021","2","6.3","820","","23","1.5","1.31","6.7",".8","제주특별자치도 제주시 한림읍 월령리 1131"
"8","5011025032","2020","20201021","2","6.5","662","","31","1.5","1.35","8.1",".5","제주특별자치도 제주시 한림읍 월령리 1144"
"9","5011025032","2020","20201021","2","6","807","","25","1.1","1.27","7",".8","제주특별자치도 제주시 한림읍 월령리 1148-3"
"10","5011025032","2020","20201021","4","7.8","655","","28","2.3","1.37","9.9",".3","제주특별자치도 제주시 한림읍 월령리 799-1"
"11","5011025032","2020","20201021","4","4.2","1412","","44",".9","1.15","2.4","1.4","제주특별자치도 제주시 한림읍 월령리 1210"
"12","5011025032","2020","20200708","2","6","490","","23","1.1",".48","3.4",".1","제주특별자치도 제주시 한림읍 월령리 262-1"
"13","5011025032","2020","20200925","2","7.4","445.6","","25.3","2.19","1.49","12",".42","제주특별자치도 제주시 한림읍 월령리 1186-1"
"14","5011025032","2020","20200925","2","7.9","322.8","","18.7","2.38","1.396","13.5",".58","제주특별자치도 제주시 한림읍 월령리 496"
"15","5011025032","2020","20200925","2","5.5","625","","23.2","1.84","1.203","4.61",".68","제주특별자치도 제주시 한림읍 월령리 214"
"16","5011025032","2020","20200929","2","6.7","1061.9","","27.4","3.46","2.592","6.99",".82","제주특별자치도 제주시 한림읍 월령리 970"
"17","5011025032","2021","20211202","2","6.5","483","","13","","1.07","","","제주특별자치도 제주시 한림읍 월령리 868-1"
"18","5011025032","2021","20211202","2","6.7","540","","32","","1.71","","","제주특별자치도 제주시 한림읍 월령리 1127-1"
"19","5011025032","2021","20211209","4","6.7","803","","19","","1.47","","","제주특별자치도 제주시 한림읍 월령리 857-1"
"20","5011025032","2021","20211209","4","6.7","886","","29","","1.42","","","제주특별자치도 제주시 한림읍 월령리 1011-1"
"21","5011025032","2021","20211209","4","6.5","632","","19","","1.76","","","제주특별자치도 제주시 한림읍 월령리 1178-2"
"22","5011025032","2021","20211209","4","5.3","510","","41","","1.06","","","제주특별자치도 제주시 한림읍 월령리 1192-2"
"23","5011025032","2021","20210909","2","6","486","","12","2.1",".23","6.2",".82","제주특별자치도 제주시 한림읍 월령리 262-1"
"24","5011025032","2021","20210329","2","5.6","486","","26","2.7","1.42","2.8","1.7","제주특별자치도 제주시 한림읍 월령리 553-1"
"25","5011025032","2021","20210329","2","4.7","48","","29","1.3",".63",".5",".7","제주특별자치도 제주시 한림읍 월령리 564"
"26","5011025032","2021","20210329","2","4.9","198","","25","1.1",".42","1.4",".5","제주특별자치도 제주시 한림읍 월령리 565-1"
"27","5011025032","2021","20210329","2","6.7","348","","19","2.5",".15","4.8",".2","제주특별자치도 제주시 한림읍 월령리 789-1"
"28","5011025032","2021","20210329","2","5.2","167","","18","1.3",".43","1.7",".4","제주특별자치도 제주시 한림읍 월령리 789-2"
"29","5011025032","2022","20220420","4","6.7","855","","29","","1.17","","","제주특별자치도 제주시 한림읍 월령리 1011-1"
"30","5011025032","2022","20220830","2","5.2","556","","12","1.9",".26","4",".43","제주특별자치도 제주시 한림읍 월령리 262-1"
"31","5011025032","2022","20220324","4","4.5","1179","","85","1.2",".98","3.4","2.25","제주특별자치도 제주시 한림읍 월령리 1056"
