"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025024","2020","20201021","2","5.1","859","","38",".1",".58",".1","1.8","제주특별자치도 제주시 한림읍 한림리 218"
"2","5011025024","2020","20201021","2","5.7","674","","43","1.9","1.32","6.3",".7","제주특별자치도 제주시 한림읍 한림리 253-1"
"3","5011025024","2020","20201021","2","5.1","764","","27","1.5","1.25","3.4",".3","제주특별자치도 제주시 한림읍 한림리 401-4"
"4","5011025024","2020","20201021","2","6.4","898","","34","1.3","1.35","9.6",".5","제주특별자치도 제주시 한림읍 한림리 725-2"
"5","5011025024","2020","20201021","2","5.5","773","","51","1.5","1.57","9.6","2.2","제주특별자치도 제주시 한림읍 한림리 775"
"6","5011025024","2020","20201021","2","4.9","700","","41",".7","1.18","3.1",".9","제주특별자치도 제주시 한림읍 한림리 857-1"
"7","5011025024","2020","20201021","2","6.1","728","","22","1",".94","3.7",".2","제주특별자치도 제주시 한림읍 한림리 18-2"
"8","5011025024","2020","20201021","2","7.6","1235","","30","2.2","1.03","9.9",".5","제주특별자치도 제주시 한림읍 한림리 24-2"
"9","5011025024","2020","20201021","2","5.9","1062","","34","1.3","1.28","4.9",".5","제주특별자치도 제주시 한림읍 한림리 861"
"10","5011025024","2020","20201021","4","4.5","935","","97","2.7","2.63","12.3","3.6","제주특별자치도 제주시 한림읍 한림리 4-1"
"11","5011025024","2020","20200123","2","5.7","297","","21","2",".9","8.5",".22","제주특별자치도 제주시 한림읍 한림리 2"
"12","5011025024","2020","20200630","2","7.9","208","","15","2.3","1.23","4.7",".4","제주특별자치도 제주시 한림읍 한림리 825-7"
"13","5011025024","2020","20200716","2","6.2","836","","29","3.2","1.83","5","1","제주특별자치도 제주시 한림읍 한림리 253-1"
"14","5011025024","2020","20200716","2","6","5000","","11","2.8","1.37","7.8",".8","제주특별자치도 제주시 한림읍 한림리 446"
"15","5011025024","2020","20200722","2","6.7","801","","55","3.9","2.68","4.7","5.9","제주특별자치도 제주시 한림읍 한림리 258"
"16","5011025024","2020","20200731","2","6.8","38","","36","1.8",".88","3.4","1.5","제주특별자치도 제주시 한림읍 한림리 22"
"17","5011025024","2020","20200828","2","7.3","590","","66","2","1.27","6.1",".3","제주특별자치도 제주시 한림읍 한림리 750"
"18","5011025024","2020","20200828","2","7.4","336","","21",".6",".91","5.2",".3","제주특별자치도 제주시 한림읍 한림리 750"
"19","5011025024","2020","20200828","2","6.6","697","","32","1.2",".13","2.9",".4","제주특별자치도 제주시 한림읍 한림리 260"
"20","5011025024","2020","20200929","2","7","504","","22","2.6","1.92","10.1",".9","제주특별자치도 제주시 한림읍 한림리 1253-1"
"21","5011025024","2020","20201023","3","6","248","","36","1.2","1.08","6.4",".4","제주특별자치도 제주시 한림읍 한림리 510"
"22","5011025024","2020","20201126","3","4","1760","","71","1.9","1.54",".7","2.3","제주특별자치도 제주시 한림읍 한림리 3"
"23","5011025024","2020","20201126","3","4.3","1987","","187","1.9","1.68","1.3","1.6","제주특별자치도 제주시 한림읍 한림리 5"
"24","5011025024","2020","20201126","3","4","1537","","98",".2","1.3",".8","1.9","제주특별자치도 제주시 한림읍 한림리 6"
"25","5011025024","2020","20201126","3","4","2007","","296",".2","2.59",".1","9.2","제주특별자치도 제주시 한림읍 한림리 18-1"
