"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025031","2020","20201231","2","5.6","714","","41","1.3","1.07","3.1",".1","제주특별자치도 제주시 한림읍 협재리 10"
"2","5011025031","2020","20201231","2","4.8","248","","110",".8",".86","3.1","1.2","제주특별자치도 제주시 한림읍 협재리 576-1"
"3","5011025031","2020","20201231","2","6.3","208","","87","3.2","1.05","10.4",".6","제주특별자치도 제주시 한림읍 협재리 798-1"
"4","5011025031","2020","20201231","2","5.5","270","","63","1.1","1.05","3.4",".2","제주특별자치도 제주시 한림읍 협재리 875-1"
"5","5011025031","2020","20201231","2","7.5","148","","41","3.6","1.14","15.3",".8","제주특별자치도 제주시 한림읍 협재리 946-1"
"6","5011025031","2020","20201231","2","4.8","245","","85","1.3","1.6","4.2","2.5","제주특별자치도 제주시 한림읍 협재리 965-1"
"7","5011025031","2020","20201231","2","5.5","115","","79","1.4","1.01","4",".5","제주특별자치도 제주시 한림읍 협재리 967"
"8","5011025031","2020","20201231","2","9","29","","5","1.1",".01","13.8",".2","제주특별자치도 제주시 한림읍 협재리 2241-9"
"9","5011025031","2020","20201231","4","5.8","443","","120","2.2",".89","6",".2","제주특별자치도 제주시 한림읍 협재리 464"
"10","5011025031","2020","20200312","2","6.6","59","","71","3","1.87","10",".3","제주특별자치도 제주시 한림읍 협재리 1025"
"11","5011025031","2020","20200423","2","6.2","246","","39","3.5","2.13","13.1",".5","제주특별자치도 제주시 한림읍 협재리 975-1"
"12","5011025031","2020","20200807","2","6","262","","75","1.5","2.33","6.2",".7","제주특별자치도 제주시 한림읍 협재리 1029"
"13","5011025031","2020","20201103","2","7.2","668","","78","2.6","1.48","19.8",".5","제주특별자치도 제주시 한림읍 협재리 1275-1"
"14","5011025031","2020","20201103","3","4.5","1944","","269","1.6","1.95","30","3.9","제주특별자치도 제주시 한림읍 협재리 2171-1"
"15","5011025031","2020","20201103","3","4.1","2253","","118","1.6","2.32","12.5","3.2","제주특별자치도 제주시 한림읍 협재리 2171-1"
"16","5011025031","2020","20201103","3","5.8","1729","","117","3.9","3.44","30","2.4","제주특별자치도 제주시 한림읍 협재리 2171-3"
