"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011031026","2020","20201231","2","5.5","1022","","33","2.2","1.44","3.2","1.7","제주특별자치도 제주시 한경면 조수리 579-2"
"2","5011031026","2020","20201231","2","4.6","454","","33",".8","1.14",".5","1.2","제주특별자치도 제주시 한경면 조수리 609"
"3","5011031026","2020","20201231","2","4.7","486","","30","1.2","1.05","1","1","제주특별자치도 제주시 한경면 조수리 46-1"
"4","5011031026","2020","20201231","2","6.3","730","","15","3","2.26","4.6","2.7","제주특별자치도 제주시 한경면 조수리 2151"
"5","5011031026","2020","20201231","2","6.9","653","","28","2.2","1.88","6.1",".7","제주특별자치도 제주시 한경면 조수리 3513-3"
"6","5011031026","2020","20201231","2","6.8","586","","23","2.7","1.29","3.7","1","제주특별자치도 제주시 한경면 조수리 3511-1"
"7","5011031026","2020","20201231","2","8.1","472","","27","2.9","1.7","5.9","1.3","제주특별자치도 제주시 한경면 조수리 3716-3"
"8","5011031026","2020","20201231","3","6.9","560","","42","2.6","2.54","5.2","2.5","제주특별자치도 제주시 한경면 조수리 3298-1"
"9","5011031026","2020","20201231","4","5.7","692","","73","3","1.1","4.1",".3","제주특별자치도 제주시 한경면 조수리 590-3"
"10","5011031026","2020","20201231","4","6.4","739","","27","2","1.27","4.1",".2","제주특별자치도 제주시 한경면 조수리 2086-1"
"11","5011031026","2020","20201231","4","6.2","886","","86","2.4","1.46","4",".4","제주특별자치도 제주시 한경면 조수리 3292"
"12","5011031026","2020","20200110","4","5.4","259","","87","1.6",".99","4.2",".4","제주특별자치도 제주시 한경면 조수리 605-1"
"13","5011031026","2020","20200110","4","7.3","288","","80","4.9","2.51","15.9",".8","제주특별자치도 제주시 한경면 조수리 1370-1"
"14","5011031026","2020","20200130","2","5.6","506","","23",".8","1.07","1.8",".3","제주특별자치도 제주시 한경면 조수리 3203-1"
"15","5011031026","2020","20200130","2","5.8","181","","23",".9","1.12","2.2",".4","제주특별자치도 제주시 한경면 조수리 4064"
"16","5011031026","2020","20200130","2","4.5","404","","19","1","1.39","2.3",".2","제주특별자치도 제주시 한경면 조수리 3560"
"17","5011031026","2020","20200130","2","4.5","380","","31",".2",".76",".6",".3","제주특별자치도 제주시 한경면 조수리 2943"
"18","5011031026","2020","20200312","2","7.4","343","","19","2.6","2.08","10",".3","제주특별자치도 제주시 한경면 조수리 2217-1"
"19","5011031026","2020","20200605","2","5.8","59","","112","2.3",".48","3.9",".1","제주특별자치도 제주시 한경면 조수리 2413"
"20","5011031026","2020","20200825","2","7.6","618","","16","2.8","1.81","5.2",".2","제주특별자치도 제주시 한경면 조수리 4032"
"21","5011031026","2020","20200825","2","6.9","613","","13","1.4","1.22","1.9",".1","제주특별자치도 제주시 한경면 조수리 4037"
"22","5011031026","2020","20200825","2","7.5","772","","21","2.7","1.3","2.2",".2","제주특별자치도 제주시 한경면 조수리 4061-1"
"23","5011031026","2020","20200916","2","5.5","495","","12","2.1","2.01","2.9",".3","제주특별자치도 제주시 한경면 조수리 706"
"24","5011031026","2020","20200923","2","5.9","557","","16","1.9","1.01","3.1",".2","제주특별자치도 제주시 한경면 조수리 3719"
"25","5011031026","2020","20200923","2","5.9","504","","15","2.8","1.12","3.8",".2","제주특별자치도 제주시 한경면 조수리 3720"
"26","5011031026","2020","20200923","2","6.5","251","","23",".6","1.61","7.3",".2","제주특별자치도 제주시 한경면 조수리 3687-1"
"27","5011031026","2020","20201103","2","6.7","758","","41","1.8","1.13","10.3","1.4","제주특별자치도 제주시 한경면 조수리 4095-3"
"28","5011031026","2020","20201103","2","5.4","706","","40","1.5","1.89","5.6","1.8","제주특별자치도 제주시 한경면 조수리 4092"
"29","5011031026","2020","20201113","2","5.8","10","","28","3.3",".35","2.1",".2","제주특별자치도 제주시 한경면 조수리 3453-2"
"30","5011031026","2020","20201207","2","5.9","10","","25","3.3",".23","5.1",".3","제주특별자치도 제주시 한경면 조수리 700"
"31","5011031026","2020","20201207","2","5.9","10","","22","3.1",".2","5",".2","제주특별자치도 제주시 한경면 조수리 701"
"32","5011031026","2020","20201207","2","6.1","713","","34","3.7","1.91","4.7","1.3","제주특별자치도 제주시 한경면 조수리 2060-5"
"33","5011031026","2020","20201207","2","5.5","296","","63","2.7","1.46","4.4",".6","제주특별자치도 제주시 한경면 조수리 2060-6"
"34","5011031026","2020","20201218","2","5.2","125","","53",".3",".54",".8",".5","제주특별자치도 제주시 한경면 조수리 573-1"
"35","5011031026","2020","20201218","2","5.8","258","","42",".6",".75","5.3",".5","제주특별자치도 제주시 한경면 조수리 1871"
"36","5011031026","2020","20200110","3","5.9","1889","","125","1.8","3.84","9.9","3.36","제주특별자치도 제주시 한경면 조수리 2780"
"37","5011031026","2020","20200213","3","5.9","266","","18","3.9","1.22","7.3",".3","제주특별자치도 제주시 한경면 조수리 2105-1"
"38","5011031026","2020","20200225","3","4.9","421","","98","2","1.29","8","1.8","제주특별자치도 제주시 한경면 조수리 458"
"39","5011031026","2020","20200225","3","5.2","621","","109","2.8","1.76","9.1",".8","제주특별자치도 제주시 한경면 조수리 459-1"
"40","5011031026","2020","20200225","3","5.8","329","","87","2.7","1.45","8.9",".4","제주특별자치도 제주시 한경면 조수리 479"
"41","5011031026","2020","20200225","3","7.2","170","","88",".2","1.93","19",".5","제주특별자치도 제주시 한경면 조수리 1122"
"42","5011031026","2020","20200227","3","5.5","693","","58","2.8","3.52","6.3","1.3","제주특별자치도 제주시 한경면 조수리 4119-1"
"43","5011031026","2020","20200423","3","5.3","519","","89","1.4",".7","2.4",".8","제주특별자치도 제주시 한경면 조수리 35-1"
"44","5011031026","2020","20200423","3","5.2","483","","91","4.5","1.41","9.5",".4","제주특별자치도 제주시 한경면 조수리 79-1"
"45","5011031026","2020","20200728","3","6.1","1646","","89","2","3.74","7","1.9","제주특별자치도 제주시 한경면 조수리 749"
"46","5011031026","2020","20200728","3","6.2","1935","","101","6.4","2.19","1.5","3.7","제주특별자치도 제주시 한경면 조수리 751"
"47","5011031026","2020","20201211","3","6.6","993","","45","4.7","3.12","5.3","4.5","제주특별자치도 제주시 한경면 조수리 577"
"48","5011031026","2020","20201211","3","6.1","731","","5","2.7","2.34","6.5","2.6","제주특별자치도 제주시 한경면 조수리 577"
"49","5011031026","2020","20200123","4","5.8","219","","22","2.5","2.77","8.1",".44","제주특별자치도 제주시 한경면 조수리 2258-1"
"50","5011031026","2020","20200123","4","5.3","120","","13","2.9","2.2","6",".99","제주특별자치도 제주시 한경면 조수리 2235"
"51","5011031026","2020","20200123","4","5.4","207","","26","4.7","2.25","8.7",".52","제주특별자치도 제주시 한경면 조수리 2236"
"52","5011031026","2020","20200123","4","6.1","250","","11",".2",".06",".5","1.13","제주특별자치도 제주시 한경면 조수리 2258-2"
"53","5011031026","2020","20200423","4","6.4","548","","97","3.4","1.1","7.6",".2","제주특별자치도 제주시 한경면 조수리 36"
"54","5011031026","2020","20200504","4","6.6","263","","13","1.8","1.33","9.4","1.3","제주특별자치도 제주시 한경면 조수리 3724-1"
"55","5011031026","2020","20200605","4","5.9","33","","134","2.7",".56","4",".1","제주특별자치도 제주시 한경면 조수리 3075"
"56","5011031026","2020","20200701","4","5.5","550.9","","70.6","3.22","2.17","9.4","2.2","제주특별자치도 제주시 한경면 조수리 792"
"57","5011031026","2020","20200717","4","6","674","","25","2.5","1.25","7.1",".3","제주특별자치도 제주시 한경면 조수리 3292-3"
"58","5011031026","2020","20200717","4","6.1","1082","","136","3.3","1.61","11.4",".7","제주특별자치도 제주시 한경면 조수리 3292"
"59","5011031026","2020","20200916","4","7.1","97","","106","3.3","1.33","9.7",".6","제주특별자치도 제주시 한경면 조수리 862"
"60","5011031026","2020","20201211","4","6","719","","29","2.4","1.52","4.8",".4","제주특별자치도 제주시 한경면 조수리 1718"
"61","5011031026","2020","20200918","2","5.3","241.7","","80.7",".73","1.146","3.6",".63","제주특별자치도 제주시 한경면 조수리 509-1"
"62","5011031026","2020","20200918","2","6.5","587.9","","24.1","2.14","1.392","7.7",".47","제주특별자치도 제주시 한경면 조수리 756"
"63","5011031026","2020","20200918","2","6.9","57.3","","22","2.46",".663","7.44",".24","제주특별자치도 제주시 한경면 조수리 1881-1"
"64","5011031026","2020","20200918","2","6.7","879.8","","38.4","3.41","1.693","9.94",".44","제주특별자치도 제주시 한경면 조수리 1383-1"
"65","5011031026","2020","20200918","2","5.3","235","","43.8","1.23",".782","3.33",".4","제주특별자치도 제주시 한경면 조수리 2109-2"
"66","5011031026","2020","20200918","2","6.6","280.8","","34.8","4.05","1.408","7.12",".4","제주특별자치도 제주시 한경면 조수리 2340"
