"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025923","2020","20201014","4","5.9","686","","29",".4",".97","3.6",".2","제주특별자치도 제주시 조천읍 조천리 64"
"2","5011025923","2020","20201014","4","6.6","445","","97","1.7","1.13","13.6",".3","제주특별자치도 제주시 조천읍 조천리 73"
"3","5011025923","2020","20201014","4","6.3","369","","81","1.3","1.02","10",".3","제주특별자치도 제주시 조천읍 조천리 79"
"4","5011025923","2020","20201014","4","6","194","","80","2.4","1.12","9",".2","제주특별자치도 제주시 조천읍 조천리 1704"
"5","5011025923","2020","20201014","4","6.3","274","","35","1","1.03","4.4",".2","제주특별자치도 제주시 조천읍 조천리 1717"
"6","5011025923","2020","20201014","4","4.7","531","","110",".4",".91","1.5",".4","제주특별자치도 제주시 조천읍 조천리 1719"
"7","5011025923","2020","20201014","4","6.9","243","","48",".7","1.13","8.5",".3","제주특별자치도 제주시 조천읍 조천리 302-1"
"8","5011025923","2020","20201014","4","7.4","293","","44","1.2","1.12","8.7",".4","제주특별자치도 제주시 조천읍 조천리 1750"
"9","5011025923","2020","20201014","4","6.7","472","","51","1","1.17","5.3",".2","제주특별자치도 제주시 조천읍 조천리 1677-2"
"10","5011025923","2020","20201014","4","5.9","711","","67",".8","1.26","5",".3","제주특별자치도 제주시 조천읍 조천리 1675"
"11","5011025923","2020","20201014","4","6.9","753","","58","1.5","1.26","9.5",".3","제주특별자치도 제주시 조천읍 조천리 1676"
"12","5011025923","2020","20201014","4","6.1","594","","56","1.9","1.11","7.6",".2","제주특별자치도 제주시 조천읍 조천리 3288"
"13","5011025923","2020","20201014","4","5.4","538","","81",".6","1.12","2.9",".3","제주특별자치도 제주시 조천읍 조천리 3289"
"14","5011025923","2020","20201014","4","4.4","638","","127",".6",".96","1.2",".6","제주특별자치도 제주시 조천읍 조천리 3290"
"15","5011025923","2020","20200423","4","5.9","947","","45","2.9","1.06","5.4",".3","제주특별자치도 제주시 조천읍 조천리 1829"
"16","5011025923","2020","20200423","4","6.4","616","","43","4.8","1.45","9.7",".4","제주특별자치도 제주시 조천읍 조천리 1829-1"
"17","5011025923","2020","20200423","4","5","684","","99",".8","1.27","2.6","2","제주특별자치도 제주시 조천읍 조천리 2077"
"18","5011025923","2020","20200504","4","5.6","716","","76","1.1",".66","5",".3","제주특별자치도 제주시 조천읍 조천리 3328-1"
"19","5011025923","2020","20200504","4","5.7","372","","76","1.2",".65","5.1",".3","제주특별자치도 제주시 조천읍 조천리 2170"
"20","5011025923","2020","20200507","4","5.9","345","","118","5.5","2.31","30","1.3","제주특별자치도 제주시 조천읍 조천리 3"
"21","5011025923","2020","20200507","4","6.1","690","","124","7.9","1.93","30","1.8","제주특별자치도 제주시 조천읍 조천리 8-3"
"22","5011025923","2020","20200507","4","5.2","525","","92","2.5",".76","15.5","1.1","제주특별자치도 제주시 조천읍 조천리 8-4"
"23","5011025923","2020","20200507","4","5.2","505","","149","1",".3","6.4",".7","제주특별자치도 제주시 조천읍 조천리 104"
