"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025632","2020","20201127","2","8.3","22","","173","1.7",".27","30",".7","제주특별자치도 제주시 구좌읍 종달리 3752"
"2","5011025632","2020","20201127","2","5.7","30","","173","1",".29","5.5","2.7","제주특별자치도 제주시 구좌읍 종달리 4538"
"3","5011025632","2020","20201127","2","5.8","50","","109",".6",".46","6.9","1.8","제주특별자치도 제주시 구좌읍 종달리 4369"
"4","5011025632","2020","20201208","2","7.4","99","","127",".2","1.17","16.6","1.86","제주특별자치도 제주시 구좌읍 종달리 2222-2"
"5","5011025632","2020","20200514","2","6","78","","157","1.8","1","10.8",".3","제주특별자치도 제주시 구좌읍 종달리 3673"
"6","5011025632","2020","20200805","2","6.5","166","","126","5.8",".94","25.5",".6","제주특별자치도 제주시 구좌읍 종달리 488"
"7","5011025632","2020","20200902","2","5.4","113","","170",".9","1.52","4.6",".5","제주특별자치도 제주시 구좌읍 종달리 3692-2"
"8","5011025632","2020","20200902","2","5.2","34","","172",".8","1.21","6.1",".9","제주특별자치도 제주시 구좌읍 종달리 3779"
"9","5011025632","2020","20200902","2","5.2","48","","233",".7","1.44","4.9",".6","제주특별자치도 제주시 구좌읍 종달리 3843"
"10","5011025632","2020","20200409","2","6","27","","226","5","1.02","12",".4","제주특별자치도 제주시 구좌읍 종달리 3549"
"11","5011025632","2020","20200409","2","6","27","","226","5","1.02","12",".4","제주특별자치도 제주시 구좌읍 종달리 3549"
"12","5011025632","2020","20200518","2","5.8","21","","206","1.5",".48","5.8",".5","제주특별자치도 제주시 구좌읍 종달리 2936-1"
"13","5011025632","2020","20200518","2","8","23","","192","3.6",".64","30",".8","제주특별자치도 제주시 구좌읍 종달리 2936-1"
"14","5011025632","2020","20200518","2","8.2","30","","193","3.1",".55","30",".6","제주특별자치도 제주시 구좌읍 종달리 2936-1"
"15","5011025632","2020","20200603","2","7","50","","153","5","3.44","30",".4","제주특별자치도 제주시 구좌읍 종달리 2887-1"
"16","5011025632","2020","20200603","2","7","50","","153","5","3.44","30",".4","제주특별자치도 제주시 구좌읍 종달리 2887-3"
"17","5011025632","2020","20200603","2","7","50","","153","5","3.44","30",".4","제주특별자치도 제주시 구좌읍 종달리 2887-4"
"18","5011025632","2020","20200603","2","7","50","","153","5","3.44","30",".4","제주특별자치도 제주시 구좌읍 종달리 2887-5"
"19","5011025632","2020","20200603","2","7","50","","153","5","3.44","30",".4","제주특별자치도 제주시 구좌읍 종달리 2887-6"
"20","5011025632","2020","20200603","2","7","50","","153","5","3.44","30",".4","제주특별자치도 제주시 구좌읍 종달리 2887-7"
"21","5011025632","2020","20200820","2","5.7","26","","164","2.3","1.29","2.5",".6","제주특별자치도 제주시 구좌읍 종달리 3073"
"22","5011025632","2020","20200820","2","5.7","10","","236","1.2","1.2","8.3",".7","제주특별자치도 제주시 구좌읍 종달리 2532"
"23","5011025632","2020","20200929","2","5.9","10","","229","1.4","1.75","5.4",".3","제주특별자치도 제주시 구좌읍 종달리 3922"
"24","5011025632","2020","20201020","2","5.7","56","","233","1.2",".97","5","1.4","제주특별자치도 제주시 구좌읍 종달리 3549"
"25","5011025632","2020","20201020","2","5.7","56","","233","1.2",".97","5","1.4","제주특별자치도 제주시 구좌읍 종달리 3549"
"26","5011025632","2020","20200730","4","5.3","55","","289","1.1",".96","3.1",".8","제주특별자치도 제주시 구좌읍 종달리 4251"
"27","5011025632","2020","20200205","2","8","74","","139","3.4","1.34","30","1.1","제주특별자치도 제주시 구좌읍 종달리 1263"
"28","5011025632","2020","20200518","2","4","72","","209","1","1.3","1.9","4.9","제주특별자치도 제주시 구좌읍 종달리 2641"
"29","5011025632","2020","20200518","2","5.7","97","","175","1","1.147","7.4",".6","제주특별자치도 제주시 구좌읍 종달리 4247-1"
"30","5011025632","2020","20200528","2","6.1","29","","152","3.1",".69","7.2",".3","제주특별자치도 제주시 구좌읍 종달리 4657"
"31","5011025632","2020","20200528","2","6.1","14","","153","2.1",".34","4.3",".21","제주특별자치도 제주시 구좌읍 종달리 4672"
"32","5011025632","2020","20200622","2","8.3","94","","111","2.6","3.46","30",".6","제주특별자치도 제주시 구좌읍 종달리 1204"
"33","5011025632","2020","20200622","2","8.4","15","","204","1.9","2.14","25.2",".6","제주특별자치도 제주시 구좌읍 종달리 4000"
"34","5011025632","2020","20200630","2","4","55","","205","4.85","5.51","8.2","7.4","제주특별자치도 제주시 구좌읍 종달리 2641"
"35","5011025632","2020","20200713","2","8.2","36","","61","3.6","1.79","30","3.9","제주특별자치도 제주시 구좌읍 종달리 622-3"
"36","5011025632","2020","20200713","2","7.8","33","","107","8.3","1.7","30","1.4","제주특별자치도 제주시 구좌읍 종달리 3065"
"37","5011025632","2020","20201020","2","5.9","10","","232",".3",".59","2.6",".2","제주특별자치도 제주시 구좌읍 종달리 4976"
"38","5011025632","2020","20201217","2","8.2","13.9","","200.5","3.5",".6","30",".8","제주특별자치도 제주시 구좌읍 종달리 4000"
"39","5011025632","2020","20200730","4","5.6","194","","200","1.3",".83","5.1",".2","제주특별자치도 제주시 구좌읍 종달리 2958"
"40","5011025632","2020","20200730","4","6.2","106","","254","5","1.08","11","1.4","제주특별자치도 제주시 구좌읍 종달리 3098"
"41","5011025632","2020","20200730","4","7.3","39","","299","9.2","1.41","30","3","제주특별자치도 제주시 구좌읍 종달리 4277"
"42","5011025632","2020","20200730","4","8","108","","252","5.6","1.01","30","1.1","제주특별자치도 제주시 구좌읍 종달리 4277"
"43","5011025632","2020","20200730","4","7.7","10","","291","6.4","1.09","30","1.8","제주특별자치도 제주시 구좌읍 종달리 3097"
"44","5011025632","2020","20200730","4","8.2","19","","289","4.2",".76","30",".6","제주특별자치도 제주시 구좌읍 종달리 3821"
"45","5011025632","2020","20200804","4","5.1","50","","241",".8",".75","2.5",".8","제주특별자치도 제주시 구좌읍 종달리 4179"
"46","5011025632","2021","20211014","2","5","21","","183","",".2","","","제주특별자치도 제주시 구좌읍 종달리 1449"
"47","5011025632","2021","20211014","2","5.1","42","","180","",".38","","","제주특별자치도 제주시 구좌읍 종달리 1451"
"48","5011025632","2021","20211014","2","5.2","11","","183","",".23","","","제주특별자치도 제주시 구좌읍 종달리 1481"
"49","5011025632","2021","20211014","2","5.9","9","","144","",".37","","","제주특별자치도 제주시 구좌읍 종달리 1565-1"
"50","5011025632","2021","20211014","2","5.9","1","","139","",".35","","","제주특별자치도 제주시 구좌읍 종달리 1606"
"51","5011025632","2021","20211014","2","5.6","1","","135","",".3","","","제주특별자치도 제주시 구좌읍 종달리 1610"
"52","5011025632","2021","20211019","2","5.9","1","","151","",".47","","","제주특별자치도 제주시 구좌읍 종달리 1635"
"53","5011025632","2021","20211014","2","5.3","1","","105","",".11","","","제주특별자치도 제주시 구좌읍 종달리 1826"
