"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011031021","2020","20201231","2","6.7","465","","27","3.2","1.88","5.2",".4","제주특별자치도 제주시 한경면 청수리 90"
"2","5011031021","2020","20201231","2","5.4","444","","28","1.4","2.07","3.2",".9","제주특별자치도 제주시 한경면 청수리 666-1"
"3","5011031021","2020","20201231","2","6","489","","30",".1",".04",".1",".1","제주특별자치도 제주시 한경면 청수리 1267-1"
"4","5011031021","2020","20201231","2","5.3","666","","19",".9",".69","1.5",".2","제주특별자치도 제주시 한경면 청수리 1116-5"
"5","5011031021","2020","20201231","2","5.7","248","","26","1.3","1","2.5",".4","제주특별자치도 제주시 한경면 청수리 1118-3"
"6","5011031021","2020","20201231","2","6.1","690","","25","3.7","2.51","5.2","2.4","제주특별자치도 제주시 한경면 청수리 3288-1"
"7","5011031021","2020","20201231","2","6.6","884","","16","2.3",".84","3.7","1.2","제주특별자치도 제주시 한경면 청수리 2863"
"8","5011031021","2020","20201231","3","5.8","1949","","68",".1","1.96",".6","3.2","제주특별자치도 제주시 한경면 청수리 980-2"
"9","5011031021","2020","20201231","4","5.6","117","","17","4.2","1.85","5.8",".8","제주특별자치도 제주시 한경면 청수리 157-1"
"10","5011031021","2020","20201231","4","6.7","903","","79","2.7","1.88","6.3",".3","제주특별자치도 제주시 한경면 청수리 705-1"
"11","5011031021","2020","20201231","4","5.9","782","","33","1.4",".55","2.5",".2","제주특별자치도 제주시 한경면 청수리 3145-1"
"12","5011031021","2020","20200130","2","6.5","350","","26","1.9","1.39","4.3",".2","제주특별자치도 제주시 한경면 청수리 642"
"13","5011031021","2020","20200217","2","5.6","10","","105","1.2",".6","2.8",".2","제주특별자치도 제주시 한경면 청수리 1858-1"
"14","5011031021","2020","20200217","2","5.6","10","","113","1.4",".59","2.9",".2","제주특별자치도 제주시 한경면 청수리 1858-2"
"15","5011031021","2020","20200218","2","6.9","301","","58","2.1","3.19","5.5",".5","제주특별자치도 제주시 한경면 청수리 2875-2"
"16","5011031021","2020","20200218","2","6","425","","57","1.1","2.87","3.6",".2","제주특별자치도 제주시 한경면 청수리 2878"
"17","5011031021","2020","20200218","2","5.7","499","","57","1.3","2.85","3.4",".5","제주특별자치도 제주시 한경면 청수리 2920"
"18","5011031021","2020","20200218","2","6.1","481","","56","1.3","2.63","3.6",".2","제주특별자치도 제주시 한경면 청수리 2921-2"
"19","5011031021","2020","20200218","2","6.2","300","","61","1.9","2.57","2.6",".2","제주특별자치도 제주시 한경면 청수리 2923-1"
"20","5011031021","2020","20200218","2","5.9","463","","51","1.2","3.06","4.5",".2","제주특별자치도 제주시 한경면 청수리 2923-2"
"21","5011031021","2020","20200407","2","6.1","48","","21","1.1",".31","4.2",".2","제주특별자치도 제주시 한경면 청수리 3253"
"22","5011031021","2020","20200407","2","6.3","23","","18","1.2",".48","5",".1","제주특별자치도 제주시 한경면 청수리 2746"
"23","5011031021","2020","20200407","2","6.2","54","","17","1.3",".55","4.7",".1","제주특별자치도 제주시 한경면 청수리 2741"
"24","5011031021","2020","20200407","2","6.1","82","","21","1.1",".51","4.9",".2","제주특별자치도 제주시 한경면 청수리 2739"
"25","5011031021","2020","20200609","2","5.6","99","","120",".9","1.43","2.8",".3","제주특별자치도 제주시 한경면 청수리 1858-1"
"26","5011031021","2020","20200609","2","5.7","100","","126","1.1","1.42","3.1",".3","제주특별자치도 제주시 한경면 청수리 1858-2"
"27","5011031021","2020","20200717","2","4.6","273","","111",".6","1.1","1.6",".3","제주특별자치도 제주시 한경면 청수리 1824-3"
"28","5011031021","2020","20200728","2","7.2","441","","27",".1","1.69","3",".3","제주특별자치도 제주시 한경면 청수리 989-1"
"29","5011031021","2020","20200731","2","7.3","541","","71","2.5","1.69","9.8",".2","제주특별자치도 제주시 한경면 청수리 1729-1"
"30","5011031021","2020","20200807","2","6.8","10","","5","12.2",".83","6.3",".1","제주특별자치도 제주시 한경면 청수리 1141-3"
"31","5011031021","2020","20200807","2","7.4","563","","22","1.2","1.4","3.7",".3","제주특별자치도 제주시 한경면 청수리 1141-4"
"32","5011031021","2020","20200828","2","6.6","554","","21",".9","1.58","3.3",".2","제주특별자치도 제주시 한경면 청수리 2859"
"33","5011031021","2020","20200828","2","7.1","717","","24",".8","1.4","5.1",".3","제주특별자치도 제주시 한경면 청수리 2889"
"34","5011031021","2020","20200828","2","6.9","504","","27","1","1.71","4.4",".3","제주특별자치도 제주시 한경면 청수리 2952-1"
"35","5011031021","2020","20200828","2","7.4","574","","28","1.4","1.52","4.7",".4","제주특별자치도 제주시 한경면 청수리 2952-2"
"36","5011031021","2020","20200828","2","6.8","280","","37","1.1","4.03","4.6","1.1","제주특별자치도 제주시 한경면 청수리 1957"
"37","5011031021","2020","20200828","2","6.6","464","","30","1.2","2.16","4.3",".5","제주특별자치도 제주시 한경면 청수리 1957"
"38","5011031021","2020","20200828","2","6.5","293","","23","1.2","1.31","3.4",".4","제주특별자치도 제주시 한경면 청수리 2909-2"
"39","5011031021","2020","20200923","2","6.3","196","","15","3.4","1.07","4.9",".4","제주특별자치도 제주시 한경면 청수리 2980"
"40","5011031021","2020","20200923","2","7.3","546","","25","2.3","1.55","6.8",".4","제주특별자치도 제주시 한경면 청수리 3013"
"41","5011031021","2020","20200929","2","5.7","135","","50","1.8","1.24","5.2",".4","제주특별자치도 제주시 한경면 청수리 273"
"42","5011031021","2020","20200929","2","4.9","172","","40",".6","1.12","1.3",".3","제주특별자치도 제주시 한경면 청수리 274-2"
"43","5011031021","2020","20200929","2","6","280","","42","1.9","1.26","5.8",".3","제주특별자치도 제주시 한경면 청수리 274-3"
"44","5011031021","2020","20200929","2","5","227","","39","1","1.37","1.9",".4","제주특별자치도 제주시 한경면 청수리 278"
"45","5011031021","2020","20200929","2","6","273","","39","1.5","1.29","5.5","2.4","제주특별자치도 제주시 한경면 청수리 279"
"46","5011031021","2020","20200929","2","5.9","231","","43","1.4","1.27","5.5",".2","제주특별자치도 제주시 한경면 청수리 352"
"47","5011031021","2020","20201014","2","6.6","555","","47","2.2","1.1","8.4",".4","제주특별자치도 제주시 한경면 청수리 942-10"
"48","5011031021","2020","20201208","2","7.9","336","","34","2.7","1.1","6",".6","제주특별자치도 제주시 한경면 청수리 2710-5"
"49","5011031021","2020","20201208","2","6.9","733","","29","3.2","1.68","5.5","1.8","제주특별자치도 제주시 한경면 청수리 2810"
"50","5011031021","2020","20201208","2","7.3","568","","26","4","1.41","7.1","1.8","제주특별자치도 제주시 한경면 청수리 2879"
"51","5011031021","2020","20201208","2","6.1","166","","24","1.5","1","3",".5","제주특별자치도 제주시 한경면 청수리 2875-2"
"52","5011031021","2020","20201208","2","5.6","570","","14","1.1","1.48","2.5",".3","제주특별자치도 제주시 한경면 청수리 2878"
"53","5011031021","2020","20201208","2","5.4","703","","15","1","1.51","2",".8","제주특별자치도 제주시 한경면 청수리 2920"
"54","5011031021","2020","20201208","2","5.8","606","","13",".9","1.65","2.2",".6","제주특별자치도 제주시 한경면 청수리 2921-2"
"55","5011031021","2020","20201208","2","5.7","422","","15","1.4","1.33","2.8",".4","제주특별자치도 제주시 한경면 청수리 2923-1"
"56","5011031021","2020","20201208","2","5.5","701","","20",".7","1.38","1.9",".4","제주특별자치도 제주시 한경면 청수리 2923-2"
"57","5011031021","2020","20200218","3","5.1","578","","93","1.7","1.95","3.6","1.2","제주특별자치도 제주시 한경면 청수리 2925"
"58","5011031021","2020","20200227","3","4.7","722","","59","1.2",".64","2.8",".4","제주특별자치도 제주시 한경면 청수리 1065"
"59","5011031021","2020","20200227","3","6","520","","43","1.4","1.33","8.8","1.4","제주특별자치도 제주시 한경면 청수리 1066"
"60","5011031021","2020","20200312","3","6.3","496","","22","1.4","1.58","7.6",".4","제주특별자치도 제주시 한경면 청수리 3183"
