"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025633","2020","20201127","2","5.9","35","","143",".3",".22","3.1",".7","제주특별자치도 제주시 구좌읍 평대리 3265-1"
"2","5011025633","2020","20201127","2","6.5","93","","151","1.1",".4","13.4",".9","제주특별자치도 제주시 구좌읍 평대리 3223-3"
"3","5011025633","2020","20201127","2","6.3","31","","140",".3",".36","6.7",".5","제주특별자치도 제주시 구좌읍 평대리 3223-7"
"4","5011025633","2020","20201127","2","6","31","","154",".2",".14","3.3",".4","제주특별자치도 제주시 구좌읍 평대리 3223-2"
"5","5011025633","2020","20201127","2","6.9","16","","160",".7",".23","7.6",".8","제주특별자치도 제주시 구좌읍 평대리 2953"
"6","5011025633","2020","20201127","2","6.2","10","","126",".2",".03",".9",".2","제주특별자치도 제주시 구좌읍 평대리 3010-6"
"7","5011025633","2020","20201216","2","6.5","10","","67",".5",".2","7.3",".5","제주특별자치도 제주시 구좌읍 평대리 2843-1"
"8","5011025633","2020","20201216","2","8.2","10","","135","2.1",".69","30","1.1","제주특별자치도 제주시 구좌읍 평대리 2857-1"
"9","5011025633","2020","20201216","2","8.3","10","","143","2.2",".41","30","1","제주특별자치도 제주시 구좌읍 평대리 2877-1"
"10","5011025633","2020","20201216","2","6.8","10","","146","1.6",".33","13.7",".7","제주특별자치도 제주시 구좌읍 평대리 2854-2"
"11","5011025633","2020","20201216","2","6","84","","127",".8",".48","8.4","1.2","제주특별자치도 제주시 구좌읍 평대리 3203-1"
"12","5011025633","2020","20201216","2","5.6","51","","141","1.4","1.04","10.4","7.3","제주특별자치도 제주시 구좌읍 평대리 2710-1"
"13","5011025633","2020","20201216","2","6.4","19","","150",".4",".18","5.3",".3","제주특별자치도 제주시 구좌읍 평대리 2702-7"
"14","5011025633","2020","20201216","2","6.2","10","","162",".2",".06","3.9",".4","제주특별자치도 제주시 구좌읍 평대리 2862-3"
"15","5011025633","2020","20201216","2","5.7","10","","144",".3",".11","2.4",".4","제주특별자치도 제주시 구좌읍 평대리 2881-2"
"16","5011025633","2020","20201216","2","5.6","27","","166",".8",".73","5.8","2.6","제주특별자치도 제주시 구좌읍 평대리 2862-11"
"17","5011025633","2020","20201216","2","8.1","10","","130","1.4",".12","30","1.1","제주특별자치도 제주시 구좌읍 평대리 2841-1"
"18","5011025633","2020","20200504","2","8.2","192","","152","1.4",".39","23.9",".5","제주특별자치도 제주시 구좌읍 평대리 166"
"19","5011025633","2020","20200504","2","8.2","64","","136","2.3",".95","30",".9","제주특별자치도 제주시 구좌읍 평대리 400"
"20","5011025633","2020","20200504","2","8.3","326","","180","1.5",".28","29.3",".5","제주특별자치도 제주시 구좌읍 평대리 484"
"21","5011025633","2020","20200504","2","8.1","110","","144","3.1","1.1","30","1.3","제주특별자치도 제주시 구좌읍 평대리 1011-2"
"22","5011025633","2020","20200504","2","7.6","58","","151","3.5","3.01","30","6.3","제주특별자치도 제주시 구좌읍 평대리 900-2"
"23","5011025633","2020","20200504","2","8.1","51","","181","3.3","1.05","30","1.3","제주특별자치도 제주시 구좌읍 평대리 1340"
"24","5011025633","2020","20200504","2","6.5","10","","255","2.1",".87","22.1",".8","제주특별자치도 제주시 구좌읍 평대리 1167-5"
"25","5011025633","2020","20200504","2","8.2","61","","150","1.9",".65","28.9",".7","제주특별자치도 제주시 구좌읍 평대리 362-1"
"26","5011025633","2020","20200504","2","8.2","61","","150","1.9",".65","28.9",".7","제주특별자치도 제주시 구좌읍 평대리 362-1"
"27","5011025633","2020","20200507","2","7.5","66","","134","2.2",".75","19",".7","제주특별자치도 제주시 구좌읍 평대리 1013"
"28","5011025633","2020","20200514","2","8.3","194","","164","1.7",".42","28.4",".5","제주특별자치도 제주시 구좌읍 평대리 8-4"
"29","5011025633","2020","20200514","2","8.4","122","","164","1.6",".45","26.2",".5","제주특별자치도 제주시 구좌읍 평대리 8-23"
"30","5011025633","2020","20200514","2","8.1","68","","157","2",".93","30",".8","제주특별자치도 제주시 구좌읍 평대리 213"
"31","5011025633","2020","20200717","2","8.4","25","","237","4.8",".73","30",".4","제주특별자치도 제주시 구좌읍 평대리 196"
"32","5011025633","2020","20200717","2","8.4","214","","201","3.4",".83","30",".3","제주특별자치도 제주시 구좌읍 평대리 325"
"33","5011025633","2020","20200717","2","8.2","10","","155","4.6",".88","30","1.4","제주특별자치도 제주시 구좌읍 평대리 194-1"
"34","5011025633","2020","20200717","2","8.2","10","","155","4.6",".88","30","1.4","제주특별자치도 제주시 구좌읍 평대리 194-1"
"35","5011025633","2020","20200717","2","8.3","23","","218","4.9",".73","30",".5","제주특별자치도 제주시 구좌읍 평대리 196"
"36","5011025633","2020","20200810","2","8.3","19","","152","3.6","1.14","30",".6","제주특별자치도 제주시 구좌읍 평대리 457"
"37","5011025633","2020","20200810","2","7.5","119","","112","5.8","2.21","30","4.3","제주특별자치도 제주시 구좌읍 평대리 815"
"38","5011025633","2020","20200810","2","8.2","37","","135","3.9","1.31","30",".6","제주특별자치도 제주시 구좌읍 평대리 805"
"39","5011025633","2020","20200810","2","5.8","33","","230",".8",".9","7",".4","제주특별자치도 제주시 구좌읍 평대리 3161"
"40","5011025633","2020","20200814","2","7.6","24","","146","1.2",".93","15.1",".9","제주특별자치도 제주시 구좌읍 평대리 412-2"
"41","5011025633","2020","20200814","2","5.3","10","","183","1.8","1.09","7.3",".9","제주특별자치도 제주시 구좌읍 평대리 1659"
"42","5011025633","2020","20200814","2","7.7","59","","163","3",".89","24.3",".4","제주특별자치도 제주시 구좌읍 평대리 1041"
"43","5011025633","2020","20200814","2","8","53","","159","2.7",".94","21.7",".5","제주특별자치도 제주시 구좌읍 평대리 1065"
"44","5011025633","2020","20200814","2","7.9","101","","157","2.9",".88","26.4",".7","제주특별자치도 제주시 구좌읍 평대리 178"
"45","5011025633","2020","20200814","2","6.5","67","","182","5.3","1.39","28.5","1.3","제주특별자치도 제주시 구좌읍 평대리 180"
"46","5011025633","2020","20200814","2","7.5","19","","176","4.3","1.11","30",".8","제주특별자치도 제주시 구좌읍 평대리 182"
"47","5011025633","2020","20200814","2","7.4","22","","160","4.2","1.1","30",".7","제주특별자치도 제주시 구좌읍 평대리 190"
"48","5011025633","2020","20200814","2","7.9","21","","172","3.3",".96","28.2","1","제주특별자치도 제주시 구좌읍 평대리 191"
"49","5011025633","2020","20200814","2","5.8","87","","161","2.4","1.19","18.9",".9","제주특별자치도 제주시 구좌읍 평대리 193"
"50","5011025633","2020","20200814","2","8","35","","175","2.9",".86","28",".8","제주특별자치도 제주시 구좌읍 평대리 197-1"
"51","5011025633","2020","20200814","2","6","10","","164","3.5",".93","14.1",".8","제주특별자치도 제주시 구좌읍 평대리 1251"
"52","5011025633","2020","20200814","2","6.7","10","","108","1.5","1.11","17",".4","제주특별자치도 제주시 구좌읍 평대리 2620"
"53","5011025633","2020","20200820","2","8.5","40","","184",".4",".4","7.1",".4","제주특별자치도 제주시 구좌읍 평대리 2425"
"54","5011025633","2020","20200820","2","8.4","10","","108","3.1","1.1","30",".5","제주특별자치도 제주시 구좌읍 평대리 61"
"55","5011025633","2020","20200820","2","8.4","10","","175","2.6","1.08","30",".4","제주특별자치도 제주시 구좌읍 평대리 491"
"56","5011025633","2020","20200820","2","7.2","24","","132","2.9",".77","30",".4","제주특별자치도 제주시 구좌읍 평대리 928"
"57","5011025633","2020","20200902","2","6.9","22","","186","2.6","1.35","24.4",".4","제주특별자치도 제주시 구좌읍 평대리 2469"
"58","5011025633","2020","20200902","2","7.4","10","","205","2.6","1.37","30","1.7","제주특별자치도 제주시 구좌읍 평대리 2754"
"59","5011025633","2020","20200902","2","6.3","19","","204","1.9","1.51","30","4.1","제주특별자치도 제주시 구좌읍 평대리 2756"
"60","5011025633","2020","20200902","2","5.9","23","","213",".9","1.33","5.8",".5","제주특별자치도 제주시 구좌읍 평대리 2606-1"
"61","5011025633","2020","20200902","2","5.6","23","","248","1.5","1.3","11.7","1.9","제주특별자치도 제주시 구좌읍 평대리 2607"
"62","5011025633","2020","20200902","2","5.4","29","","205",".9","1.2","7.2",".8","제주특별자치도 제주시 구좌읍 평대리 2608"
"63","5011025633","2020","20200902","2","5.7","30","","219",".7","1.18","6.4",".4","제주특별자치도 제주시 구좌읍 평대리 2611"
"64","5011025633","2020","20200814","2","8","13","","155","2.5","1.03","28.2",".5","제주특별자치도 제주시 구좌읍 평대리 710"
"65","5011025633","2020","20200814","2","7.9","10","","157","2.3","1.01","30",".6","제주특별자치도 제주시 구좌읍 평대리 1603-1"
"66","5011025633","2020","20201013","2","8.4","243","","182","1.4",".7","21.9",".6","제주특별자치도 제주시 구좌읍 평대리 561"
"67","5011025633","2020","20200518","4","6.7","216","","169","2.9","1.14","30",".6","제주특별자치도 제주시 구좌읍 평대리 284-1"
"68","5011025633","2020","20200624","4","7.7","52","","221","5.6","3.67","30","3.1","제주특별자치도 제주시 구좌읍 평대리 1157"
"69","5011025633","2020","20200514","2","5.7","27","","164","1.2",".65","9.6",".7","제주특별자치도 제주시 구좌읍 평대리 1929"
"70","5011025633","2020","20200518","2","6.4","43","","164","2.9",".87","21.4","4.4","제주특별자치도 제주시 구좌읍 평대리 1439"
