"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025631","2020","20201216","2","8","297","","33","1.6",".45","30","1.6","제주특별자치도 제주시 구좌읍 하도리 2638-2"
"2","5011025631","2020","20201216","2","8.1","180","","62","2.2","1.45","30","1.1","제주특별자치도 제주시 구좌읍 하도리 2627-1"
"3","5011025631","2020","20201216","2","8","389","","35","1.5",".64","30","2.4","제주특별자치도 제주시 구좌읍 하도리 2635-1"
"4","5011025631","2020","20201216","2","8.1","368","","54","1.3",".68","26.4","1.3","제주특별자치도 제주시 구좌읍 하도리 2634-1"
"5","5011025631","2020","20201216","2","8","140","","64",".7",".45","16.9","2.7","제주특별자치도 제주시 구좌읍 하도리 2677-7"
"6","5011025631","2020","20201216","2","8.1","654","","47","1.5",".76","30","1.6","제주특별자치도 제주시 구좌읍 하도리 2676"
"7","5011025631","2020","20201216","2","8.2","703","","67","1.5",".6","30",".9","제주특별자치도 제주시 구좌읍 하도리 2651-1"
"8","5011025631","2020","20200724","2","8.2","47","","220","2.9",".75","28.6",".4","제주특별자치도 제주시 구좌읍 하도리 2628"
"9","5011025631","2020","20200810","2","5.7","155","","93","3.3","1.91","30",".3","제주특별자치도 제주시 구좌읍 하도리 2140"
"10","5011025631","2020","20200810","2","6.7","303","","81","10.4","2.66","30",".6","제주특별자치도 제주시 구좌읍 하도리 2143"
"11","5011025631","2020","20200824","2","8.2","113","","136","6.9","1.29","30",".9","제주특별자치도 제주시 구좌읍 하도리 3338"
"12","5011025631","2020","20200824","2","8.2","113","","136","6.9","1.29","30",".9","제주특별자치도 제주시 구좌읍 하도리 3338"
"13","5011025631","2020","20200824","2","8.2","113","","136","6.9","1.29","30",".9","제주특별자치도 제주시 구좌읍 하도리 3338"
"14","5011025631","2020","20200824","2","8.2","113","","136","6.9","1.29","30",".9","제주특별자치도 제주시 구좌읍 하도리 3338"
"15","5011025631","2020","20200304","2","6.5","252","","69","3.1","1.65","11.5",".6","제주특별자치도 제주시 구좌읍 하도리 2010-1"
"16","5011025631","2020","20200304","2","6.5","252","","69","3.1","1.65","11.5",".6","제주특별자치도 제주시 구좌읍 하도리 2010-1"
"17","5011025631","2020","20200304","2","4.7","239","","63","3.2","1.88","7.3","4","제주특별자치도 제주시 구좌읍 하도리 2001"
"18","5011025631","2020","20200304","2","4.7","239","","63","3.2","1.88","7.3","4","제주특별자치도 제주시 구좌읍 하도리 2001"
"19","5011025631","2020","20200409","2","6.1","99","","124","4.1","1.44","16.7",".7","제주특별자치도 제주시 구좌읍 하도리 507"
"20","5011025631","2020","20200408","2","5.3","208","","91","2.2","1.44","10.2","1.8","제주특별자치도 제주시 구좌읍 하도리 1736-2"
"21","5011025631","2020","20200514","2","8.4","124","","161","1.9",".61","30",".5","제주특별자치도 제주시 구좌읍 하도리 1064"
"22","5011025631","2020","20200514","2","6.5","10","","184","2.6",".53","13.6",".5","제주특별자치도 제주시 구좌읍 하도리 2469-2"
"23","5011025631","2020","20200528","2","7.3","18","","118","3",".77","26.8","1.1","제주특별자치도 제주시 구좌읍 하도리 1996-1"
"24","5011025631","2020","20200528","2","7.3","10","","123","3.1",".79","26.9","1.1","제주특별자치도 제주시 구좌읍 하도리 2891"
"25","5011025631","2020","20200624","2","7.2","62","","154","4.8","3.24","29.2","1","제주특별자치도 제주시 구좌읍 하도리 1215"
"26","5011025631","2020","20200624","2","8.3","149","","95","3.7","4.37","30","1","제주특별자치도 제주시 구좌읍 하도리 1435-1"
"27","5011025631","2020","20200624","2","8.2","203","","18","3.9","4.5","30","1.2","제주특별자치도 제주시 구좌읍 하도리 2131"
"28","5011025631","2020","20200713","2","6","546","","68","4.4",".98","17.3",".4","제주특별자치도 제주시 구좌읍 하도리 1900-1"
"29","5011025631","2020","20200929","2","6.6","114","","103","3","1.24","10",".3","제주특별자치도 제주시 구좌읍 하도리 2312"
"30","5011025631","2020","20200929","2","8.2","40","","151","1.8","1.09","30",".6","제주특별자치도 제주시 구좌읍 하도리 2499-2"
"31","5011025631","2020","20200929","2","7","119","","106","3.5","1.27","10.4",".3","제주특별자치도 제주시 구좌읍 하도리 2499-5"
"32","5011025631","2020","20200218","2","5.5","10","","281",".6",".19","1.7",".2","제주특별자치도 제주시 구좌읍 하도리 2859-1"
"33","5011025631","2020","20200218","2","6.2","434","","61","2.3","1.02","12.1","1.3","제주특별자치도 제주시 구좌읍 하도리 2761"
"34","5011025631","2020","20200218","2","5.5","12","","279",".6",".2","1.8",".3","제주특별자치도 제주시 구좌읍 하도리 2761-1"
"35","5011025631","2020","20200218","2","5.5","10","","276",".7",".2","2",".2","제주특별자치도 제주시 구좌읍 하도리 2761-2"
"36","5011025631","2020","20200218","2","6.5","462","","102","2.7",".95","14.9",".9","제주특별자치도 제주시 구좌읍 하도리 2761-3"
"37","5011025631","2020","20200218","2","5.6","19","","287",".8",".26","2.3",".3","제주특별자치도 제주시 구좌읍 하도리 3117"
