"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025924","2020","20201014","4","5.1","417","","145",".5",".82","3.6",".3","제주특별자치도 제주시 조천읍 함덕리 65-1"
"2","5011025924","2020","20201014","4","6.7","52","","124","4.1","1.17","23.9",".5","제주특별자치도 제주시 조천읍 함덕리 67"
"3","5011025924","2020","20201014","4","5.5","249","","31",".4",".97","4",".3","제주특별자치도 제주시 조천읍 함덕리 71"
"4","5011025924","2020","20201014","4","5.6","165","","116",".5",".95","4",".3","제주특별자치도 제주시 조천읍 함덕리 72"
"5","5011025924","2020","20201014","4","6.3","275","","100","1.2","1.1","10.1",".3","제주특별자치도 제주시 조천읍 함덕리 1784-1"
"6","5011025924","2020","20201014","4","4.9","461","","46",".3",".95","1.6",".2","제주특별자치도 제주시 조천읍 함덕리 1788-2"
"7","5011025924","2020","20201014","4","4.6","687","","153",".2","1.04",".9",".3","제주특별자치도 제주시 조천읍 함덕리 1794-2"
"8","5011025924","2020","20201014","4","4.8","451","","87",".2",".85",".9",".2","제주특별자치도 제주시 조천읍 함덕리 2083-2"
"9","5011025924","2020","20201014","4","5.6","133","","95",".4",".79","2.6",".2","제주특별자치도 제주시 조천읍 함덕리 2094"
"10","5011025924","2020","20201014","4","6.1","207","","91","1.7","1.07","10.3",".2","제주특별자치도 제주시 조천읍 함덕리 2097"
"11","5011025924","2020","20201014","4","4.8","534","","30",".6","1.11","2",".3","제주특별자치도 제주시 조천읍 함덕리 3859-1"
"12","5011025924","2020","20201014","4","6.6","588","","58","1.1",".92","6.4",".6","제주특별자치도 제주시 조천읍 함덕리 3870-1"
"13","5011025924","2020","20201014","4","4.8","543","","130",".4","1.06","1.4",".4","제주특별자치도 제주시 조천읍 함덕리 4013-1"
"14","5011025924","2020","20201014","4","6.5","264","","79","1.3","1.33","10.8",".4","제주특별자치도 제주시 조천읍 함덕리 4079-1"
"15","5011025924","2020","20201106","2","7.2","430","","37","1","1.08","20.6",".6","제주특별자치도 제주시 조천읍 함덕리 3542-1"
"16","5011025924","2020","20200116","4","5.9","147","","159","1.8","1.18","7.1",".3","제주특별자치도 제주시 조천읍 함덕리 1990"
"17","5011025924","2020","20200313","4","6.6","202","","108","3.3","1.17","14.7",".6","제주특별자치도 제주시 조천읍 함덕리 44"
"18","5011025924","2020","20200313","4","5.8","81","","124","2.8","1.26","8.6",".6","제주특별자치도 제주시 조천읍 함덕리 45"
"19","5011025924","2020","20200410","4","7.3","351","","87","8",".49","22.2",".7","제주특별자치도 제주시 조천읍 함덕리 1724-4"
"20","5011025924","2020","20200423","4","6.3","63","","107","2.1","1.09","5.9",".3","제주특별자치도 제주시 조천읍 함덕리 59-1"
"21","5011025924","2020","20200423","4","6.1","36","","130","1.6","1.12","6.1",".4","제주특별자치도 제주시 조천읍 함덕리 62"
"22","5011025924","2020","20200507","4","5.2","22","","73",".3",".34","1.3",".4","제주특별자치도 제주시 조천읍 함덕리 1870"
"23","5011025924","2020","20200507","4","5","990","","54",".6",".45","3.4",".3","제주특별자치도 제주시 조천읍 함덕리 2397"
"24","5011025924","2020","20200507","4","5.6","116","","36","6","1.31","12",".3","제주특별자치도 제주시 조천읍 함덕리 721"
"25","5011025924","2020","20200507","4","5.5","594","","102","1.4",".76","5.1",".4","제주특별자치도 제주시 조천읍 함덕리 1788-2"
"26","5011025924","2020","20200518","4","5.9","99","","185","3.7","1.26","10.8",".8","제주특별자치도 제주시 조천읍 함덕리 67"
"27","5011025924","2020","20200603","4","5.4","749","","143","1.7","2.45","15.3","1.6","제주특별자치도 제주시 조천읍 함덕리 623-2"
"28","5011025924","2020","20200804","4","5.4","619","","63",".7",".84","3.74",".3","제주특별자치도 제주시 조천읍 함덕리 2466"
"29","5011025924","2020","20200820","4","6.7","1033","","236","6.2","1.76","22.1","1.1","제주특별자치도 제주시 조천읍 함덕리 844-1"
"30","5011025924","2020","20200420","2","5.7","692","","65","2.5","1.11","8",".4","제주특별자치도 제주시 조천읍 함덕리 640-1"
"31","5011025924","2020","20200507","2","4.9","566","","92",".5",".96","2.1",".6","제주특별자치도 제주시 조천읍 함덕리 1896-1"
"32","5011025924","2020","20200507","2","7.9","486","","61","2","1.08","23.9",".7","제주특별자치도 제주시 조천읍 함덕리 2394"
"33","5011025924","2020","20201204","2","8.1","506","","49","2.1","1.25","19.7",".8","제주특별자치도 제주시 조천읍 함덕리 2933-1"
"34","5011025924","2020","20201204","2","8.1","506","","49","2.1","1.25","19.7",".8","제주특별자치도 제주시 조천읍 함덕리 2933-1"
"35","5011025924","2020","20201204","2","8.1","506","","49","2.1","1.25","19.7",".8","제주특별자치도 제주시 조천읍 함덕리 2933-1"
"36","5011025924","2020","20200205","4","5.2","561","","44",".9",".76","3.1",".3","제주특별자치도 제주시 조천읍 함덕리 1723"
"37","5011025924","2020","20200207","4","4","38","","300","4","2.01","9.6","2.4","제주특별자치도 제주시 조천읍 함덕리 59-2"
"38","5011025924","2020","20200207","4","4","20","","300","6.1","4.5","15.2","1.3","제주특별자치도 제주시 조천읍 함덕리 59-2"
"39","5011025924","2020","20200207","4","4","477","","300","4.3","2.53","13.3","1.3","제주특별자치도 제주시 조천읍 함덕리 59-2"
