"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025321","2020","20200929","3","5.6","487","","174","","2.33","","","제주특별자치도 서귀포시 남원읍 남원리 1309"
"2","5013025321","2020","20200929","3","5.1","976","","112","",".57","","","제주특별자치도 서귀포시 남원읍 남원리 1475"
"3","5013025321","2020","20200929","3","5.4","473","","155","","1.61","","","제주특별자치도 서귀포시 남원읍 남원리 1715"
"4","5013025321","2020","20200929","3","4","306","","122","","2.21","","","제주특별자치도 서귀포시 남원읍 남원리 414"
"5","5013025321","2020","20200929","3","4.9","820","","159","","2.37","","","제주특별자치도 서귀포시 남원읍 남원리 579"
"6","5013025321","2020","20200929","3","5.5","1104","","137","",".58","","","제주특별자치도 서귀포시 남원읍 남원리 653-1"
"7","5013025321","2020","20200929","3","4.2","46","","91","",".57","","","제주특별자치도 서귀포시 남원읍 남원리 746"
"8","5013025321","2020","20200929","3","5.9","1101","","109","","2.62","","","제주특별자치도 서귀포시 남원읍 남원리 951-7"
"9","5013025321","2020","20200929","4","4.7","568","","188","",".25","","","제주특별자치도 서귀포시 남원읍 남원리 1003-4"
"10","5013025321","2020","20200929","4","5.2","735","","208","",".94","","","제주특별자치도 서귀포시 남원읍 남원리 1431-5"
"11","5013025321","2020","20200929","4","5.1","841","","109","",".34","","","제주특별자치도 서귀포시 남원읍 남원리 1701-1"
"12","5013025321","2020","20200929","4","6.3","357","","198","",".5","","","제주특별자치도 서귀포시 남원읍 남원리 1761"
"13","5013025321","2020","20200929","4","5.5","834","","168","",".47","","","제주특별자치도 서귀포시 남원읍 남원리 2068-2"
"14","5013025321","2020","20200929","4","5.1","503","","137","","2.12","","","제주특별자치도 서귀포시 남원읍 남원리 2291-3"
"15","5013025321","2020","20200929","4","6.3","170","","146","",".61","","","제주특별자치도 서귀포시 남원읍 남원리 2354-3"
"16","5013025321","2020","20200929","4","6.1","393","","87","",".4","","","제주특별자치도 서귀포시 남원읍 남원리 343-2"
"17","5013025321","2020","20200929","4","6.7","417","","99","",".82","","","제주특별자치도 서귀포시 남원읍 남원리 405"
"18","5013025321","2020","20200309","3","5.5","828","","162","5.9",".69","27.3",".38","제주특별자치도 서귀포시 남원읍 남원리 1241"
"19","5013025321","2020","20200810","4","5.8","428","","162","1.3",".48","8.8",".35","제주특별자치도 서귀포시 남원읍 남원리 912"
"20","5013025321","2020","20200810","4","6.1","271","","119","1.7",".79","7.4",".26","제주특별자치도 서귀포시 남원읍 남원리 977-1"
"21","5013025321","2020","20200401","3","5","870","","108","3.6","3.35","7.3","3.83","제주특별자치도 서귀포시 남원읍 남원리 1556-1"
"22","5013025321","2020","20200401","3","5.9","922","","207","12.1","3.31","18.3","6.53","제주특별자치도 서귀포시 남원읍 남원리 1040-1"
"23","5013025321","2020","20200901","3","6.2","1291","","241","8.2","8.16","14.1","5.46","제주특별자치도 서귀포시 남원읍 남원리 1310-1"
"24","5013025321","2020","20200117","4","5.2","108","","79",".5","1.54",".6",".21","제주특별자치도 서귀포시 남원읍 남원리 419"
"25","5013025321","2020","20200117","4","5","154","","73",".5","1.68","1.1",".63","제주특별자치도 서귀포시 남원읍 남원리 881-3"
"26","5013025321","2020","20200117","4","5.1","80","","76",".3","1.66",".9",".38","제주특별자치도 서귀포시 남원읍 남원리 884"
"27","5013025321","2020","20200117","4","5.3","74","","48",".8","1.65","1.6",".29","제주특별자치도 서귀포시 남원읍 남원리 885"
"28","5013025321","2020","20200309","4","7.1","75","","177","1.6",".17","3.8",".21","제주특별자치도 서귀포시 남원읍 남원리 1239"
"29","5013025321","2020","20200529","4","5.7","363","","180","2.6","1.23","6.4",".22","제주특별자치도 서귀포시 남원읍 남원리 2036-3"
"30","5013025321","2020","20200701","4","6.8","111.8","","258.3","4.24","1.06","26.15",".5","제주특별자치도 서귀포시 남원읍 남원리 2042-4"
"31","5013025321","2020","20200715","4","5.9","543","","190","1.8",".52","7",".27","제주특별자치도 서귀포시 남원읍 남원리 2421-1"
"32","5013025321","2020","20200129","3","4.9","148","","166","5.3","3.34","8.8","4.39","제주특별자치도 서귀포시 남원읍 남원리 1864-3"
"33","5013025321","2020","20201019","3","4","234","","196","2.6","2.62","2.7","5.09","제주특별자치도 서귀포시 남원읍 남원리 2019"
"34","5013025321","2020","20201019","3","4.8","188","","277","3.1","1.08","3.9","1.02","제주특별자치도 서귀포시 남원읍 남원리 2103-1"
"35","5013025321","2020","20201019","4","5.3","194","","286","3.6",".47","4.1",".19","제주특별자치도 서귀포시 남원읍 남원리 2137-3"
"36","5013025321","2020","20201019","4","6.3","10.9","","242","5.1",".45","9.8",".21","제주특별자치도 서귀포시 남원읍 남원리 2103-1"
"37","5013025321","2020","20201019","4","6","305","","206","6.5","1.34","9.1",".3","제주특별자치도 서귀포시 남원읍 남원리 2136-1"
"38","5013025321","2020","20201019","4","5.1","380","","268","2.8",".64","6.4",".32","제주특별자치도 서귀포시 남원읍 남원리 2140-1"
"39","5013025321","2020","20201019","4","5.8","110","","258","3",".97","5.3",".36","제주특별자치도 서귀포시 남원읍 남원리 2019"
"40","5013025321","2020","20201019","4","5.6","109","","180","3.1",".73","3.8",".26","제주특별자치도 서귀포시 남원읍 남원리 2139-3"
"41","5013025321","2020","20200107","3","4.8","316.1","","124.9","3.24",".82","4.96","2.8","제주특별자치도 서귀포시 남원읍 남원리 851"
"42","5013025321","2020","20200214","3","5.1","285","","143","5.4","2.98","10","3.81","제주특별자치도 서귀포시 남원읍 남원리 2325"
"43","5013025321","2020","20200615","3","6.3","153","","118","4.6","2.31","6.9","2.65","제주특별자치도 서귀포시 남원읍 남원리 2451-2"
"44","5013025321","2020","20200803","3","5.1","268","","104","2.6","2.4","6.8","3.2","제주특별자치도 서귀포시 남원읍 남원리 1464"
"45","5013025321","2020","20200911","3","4.3","452","","138","2.4","2.1","4.3","4.34","제주특별자치도 서귀포시 남원읍 남원리 983"
"46","5013025321","2020","20201005","3","5.5","99","","130","2.5","1.55","5.5","1.34","제주특별자치도 서귀포시 남원읍 남원리 2482-7"
"47","5013025321","2020","20201006","3","5","335","","170","1.6","1.57","3.5","1.4","제주특별자치도 서귀포시 남원읍 남원리 1977"
"48","5013025321","2020","20201006","3","4.8","268","","203","2.7","3.28","3.9","2.84","제주특별자치도 서귀포시 남원읍 남원리 1978"
"49","5013025321","2020","20201006","3","4.8","216","","205","2.1","2.18","4.1","2.4","제주특별자치도 서귀포시 남원읍 남원리 1980"
"50","5013025321","2020","20201006","3","4.5","616","","236","2.1","3.12","5.2","3.79","제주특별자치도 서귀포시 남원읍 남원리 1980"
