"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013031028","2020","20201231","2","5.5","84","","117","1",".77",".9",".3","제주특별자치도 서귀포시 안덕면 동광리 927"
"2","5013031028","2020","20201231","2","5.9","96","","116","1.4",".79","2.1",".2","제주특별자치도 서귀포시 안덕면 동광리 939"
"3","5013031028","2020","20201231","2","5.3","181","","116",".8","1.03","1.1",".3","제주특별자치도 서귀포시 안덕면 동광리 1506"
"4","5013031028","2020","20201231","2","5.8","91","","109",".8",".8","1.5",".2","제주특별자치도 서귀포시 안덕면 동광리 446-2"
"5","5013031028","2020","20201231","2","6.7","157","","123","3.8","1.33","3.5",".3","제주특별자치도 서귀포시 안덕면 동광리 47-3"
"6","5013031028","2020","20201231","2","6.1","31","","146","1.9",".75","1.8",".2","제주특별자치도 서귀포시 안덕면 동광리 47-19"
"7","5013031028","2020","20201231","2","5.5","63","","63",".7",".89",".6",".2","제주특별자치도 서귀포시 안덕면 동광리 192"
"8","5013031028","2020","20201231","2","6.5","11","","60","2.2",".63","2.5",".4","제주특별자치도 서귀포시 안덕면 동광리 434"
"9","5013031028","2020","20201231","2","4.8","205","","121",".5",".64",".6",".3","제주특별자치도 서귀포시 안덕면 동광리 308"
"10","5013031028","2020","20201231","2","5.6","82","","132","1.2","1.83",".8","2.4","제주특별자치도 서귀포시 안덕면 동광리 372"
"11","5013031028","2020","20201231","3","5.6","143","","134",".8","1.06","1.4",".3","제주특별자치도 서귀포시 안덕면 동광리 1424-2"
"12","5013031028","2020","20200821","2","6","17","","139",".4",".75","2.6",".26","제주특별자치도 서귀포시 안덕면 동광리 274-3"
"13","5013031028","2020","20200821","2","6","15","","149",".8",".69","2.5",".28","제주특별자치도 서귀포시 안덕면 동광리 316"
"14","5013031028","2020","20200821","2","5.9","15","","144",".5",".77","2.7",".32","제주특별자치도 서귀포시 안덕면 동광리 328"
"15","5013031028","2020","20200821","2","5.6","10","","230",".4",".61","2.2",".3","제주특별자치도 서귀포시 안덕면 동광리 5"
"16","5013031028","2020","20200821","2","5.8","12","","157",".5",".73","2.6",".29","제주특별자치도 서귀포시 안덕면 동광리 340-4"
"17","5013031028","2020","20200821","2","5.7","12","","139",".3",".71","2.8",".33","제주특별자치도 서귀포시 안덕면 동광리 171"
"18","5013031028","2020","20200821","2","5.4","17","","138",".7",".74","2.8",".32","제주특별자치도 서귀포시 안덕면 동광리 172"
"19","5013031028","2020","20200821","2","5.1","10","","220",".3",".49","2.3",".31","제주특별자치도 서귀포시 안덕면 동광리 201"
"20","5013031028","2020","20200821","2","5.5","10","","224",".4",".54","2.2",".37","제주특별자치도 서귀포시 안덕면 동광리 260"
"21","5013031028","2020","20200821","2","5.5","10","","218",".3",".47","2.1",".32","제주특별자치도 서귀포시 안덕면 동광리 269-3"
"22","5013031028","2020","20200821","2","5.5","10","","223",".3",".46","2.1",".28","제주특별자치도 서귀포시 안덕면 동광리 269-7"
"23","5013031028","2020","20200821","2","5.7","14","","131",".5",".74","2.6",".27","제주특별자치도 서귀포시 안덕면 동광리 320"
"24","5013031028","2020","20200821","2","5.3","10","","219",".4",".57","2.1",".33","제주특별자치도 서귀포시 안덕면 동광리 331"
"25","5013031028","2020","20200217","2","5.6","10","","75","1.9","1.84","4.1",".6","제주특별자치도 서귀포시 안덕면 동광리 84"
"26","5013031028","2020","20200217","2","5.5","10","","68","1.3","1.44","3.1",".6","제주특별자치도 서귀포시 안덕면 동광리 359"
"27","5013031028","2020","20200217","2","5.6","10","","78","1.9","1.86","4.1",".5","제주특별자치도 서귀포시 안덕면 동광리 361"
"28","5013031028","2020","20200217","2","5.6","10","","64","1.7","1.68","4",".5","제주특별자치도 서귀포시 안덕면 동광리 364"
"29","5013031028","2020","20200217","2","5.6","10","","65","1.6","1.75","3.8",".4","제주특별자치도 서귀포시 안덕면 동광리 92"
"30","5013031028","2020","20200220","2","4.9","138","","137",".6",".9","2.7",".7","제주특별자치도 서귀포시 안덕면 동광리 935"
"31","5013031028","2020","20200326","2","5.5","56","","74","1","1.31","2.8",".3","제주특별자치도 서귀포시 안덕면 동광리 153"
"32","5013031028","2020","20200428","2","4.9","369","","217","1","1.29","3.1",".7","제주특별자치도 서귀포시 안덕면 동광리 54"
"33","5013031028","2020","20200428","2","5.7","182","","247","2.4","1.4","7.7",".6","제주특별자치도 서귀포시 안덕면 동광리 57-2"
