"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025021","2020","20200204","2","4.3","327","","68",".1","1.56","4",".9","제주특별자치도 서귀포시 대정읍 상모리 2365-1"
"2","5013025021","2020","20200323","2","6","27","","73","2.4","1.18","8.4",".8","제주특별자치도 서귀포시 대정읍 상모리 552-2"
"3","5013025021","2020","20200323","2","5.6","21","","102","1.7",".79","4.9",".9","제주특별자치도 서귀포시 대정읍 상모리 1327-1"
"4","5013025021","2020","20200522","2","6.6","63","","154","2","1.28","10",".6","제주특별자치도 서귀포시 대정읍 상모리 642"
"5","5013025021","2020","20200629","2","6.6","213","","74","1.4","1.34","6.5",".4","제주특별자치도 서귀포시 대정읍 상모리 605-1"
"6","5013025021","2020","20200629","2","7.1","487","","58","1.4","1.21","7.5",".4","제주특별자치도 서귀포시 대정읍 상모리 616"
"7","5013025021","2020","20200629","2","5.8","264","","68",".8","1.61","2.7",".3","제주특별자치도 서귀포시 대정읍 상모리 1210"
"8","5013025021","2020","20200629","2","5","357","","86",".4",".83",".1",".6","제주특별자치도 서귀포시 대정읍 상모리 1272"
"9","5013025021","2020","20200629","2","6","155","","145","1.4","1.27","4.3",".5","제주특별자치도 서귀포시 대정읍 상모리 1341"
"10","5013025021","2020","20200629","2","6.1","63","","91","1.1",".58","3.2",".8","제주특별자치도 서귀포시 대정읍 상모리 1987-3"
"11","5013025021","2020","20200629","2","5.4","177","","106",".7","1.31","1.4",".9","제주특별자치도 서귀포시 대정읍 상모리 2171-1"
"12","5013025021","2020","20200728","2","6.3","678","","37","3.4","1.39","4.5",".2","제주특별자치도 서귀포시 대정읍 상모리 1619-1"
"13","5013025021","2020","20200728","2","6.3","452","","92","3.8","1.7","6.7",".6","제주특별자치도 서귀포시 대정읍 상모리 62-3"
"14","5013025021","2020","20200728","2","4.6","898","","51","1","1.1","2.1",".5","제주특별자치도 서귀포시 대정읍 상모리 3456-1"
"15","5013025021","2020","20200728","2","6.4","359","","130","4","1.93","8.1",".5","제주특별자치도 서귀포시 대정읍 상모리 470"
"16","5013025021","2020","20200728","2","5.6","576","","76","1.3","1.62","4.7",".4","제주특별자치도 서귀포시 대정읍 상모리 3042"
"17","5013025021","2020","20200728","2","4.8","343","","66",".2","1.69","2.3",".5","제주특별자치도 서귀포시 대정읍 상모리 1670"
"18","5013025021","2020","20200728","2","4.7","280","","96",".1",".82","2.1",".5","제주특별자치도 서귀포시 대정읍 상모리 1798"
"19","5013025021","2020","20200728","2","6.4","154","","78","1.5","1.13","5.7",".4","제주특별자치도 서귀포시 대정읍 상모리 1244"
"20","5013025021","2020","20200728","2","7.2","336","","54","5.3","2.54","7.8",".2","제주특별자치도 서귀포시 대정읍 상모리 995"
"21","5013025021","2020","20200728","2","5.5","244","","86","1.4","1.62","2.8",".4","제주특별자치도 서귀포시 대정읍 상모리 1798"
"22","5013025021","2020","20200728","2","5.2","260","","123","1.2","1.5","1.8",".5","제주특별자치도 서귀포시 대정읍 상모리 2430-1"
"23","5013025021","2020","20200728","2","5.2","540","","67","1","1.91","2.3",".3","제주특별자치도 서귀포시 대정읍 상모리 3748-1"
"24","5013025021","2020","20200728","2","4.8","335","","109","1",".97","1",".7","제주특별자치도 서귀포시 대정읍 상모리 2134"
"25","5013025021","2020","20200728","2","4.5","366","","51",".9","1.5","1",".7","제주특별자치도 서귀포시 대정읍 상모리 1917"
"26","5013025021","2020","20200810","2","6.6","129","","42",".9","3.09","5.4",".1","제주특별자치도 서귀포시 대정읍 상모리 337"
"27","5013025021","2020","20200810","2","6.6","21","","71",".5","1.76","5.5",".1","제주특별자치도 서귀포시 대정읍 상모리 347"
"28","5013025021","2020","20200810","2","6.9","69","","45","1.5","2.46","6.4",".1","제주특별자치도 서귀포시 대정읍 상모리 347"
"29","5013025021","2020","20200810","2","6.6","121","","49","1","2.93","5.6",".1","제주특별자치도 서귀포시 대정읍 상모리 337"
"30","5013025021","2020","20200827","2","6.1","307","","94","1.2","1.94","1.8",".3","제주특별자치도 서귀포시 대정읍 상모리 663"
"31","5013025021","2020","20200827","2","6","370","","58","1","1.25","2",".3","제주특별자치도 서귀포시 대정읍 상모리 749"
"32","5013025021","2020","20200827","2","6.3","116","","110","1.4","1.17","5.1",".3","제주특별자치도 서귀포시 대정읍 상모리 1542"
