"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025033","2020","20200608","2","5.1","979","","38",".9",".99","3.2",".48","제주특별자치도 서귀포시 대정읍 신도리 1734"
"2","5013025033","2020","20200608","2","5.8","638","","29","1","1.32","5.1",".82","제주특별자치도 서귀포시 대정읍 신도리 684-1"
"3","5013025033","2020","20200608","2","5.5","10","","23","3.1",".76","4.6",".33","제주특별자치도 서귀포시 대정읍 신도리 777-2"
"4","5013025033","2020","20200608","2","5.6","579","","33","1","1.08","3.9",".35","제주특별자치도 서귀포시 대정읍 신도리 780-2"
"5","5013025033","2020","20200130","2","7.8","491","","23","4.1","1.53","9.9",".5","제주특별자치도 서귀포시 대정읍 신도리 2989"
"6","5013025033","2020","20200204","2","6","472","","16",".1","1.57","6.6",".6","제주특별자치도 서귀포시 대정읍 신도리 856"
"7","5013025033","2020","20200217","2","5.7","34","","104","1.8","1.87","5.6",".4","제주특별자치도 서귀포시 대정읍 신도리 1779"
"8","5013025033","2020","20200217","2","5.9","38","","74","2.3","2.24","6.4",".4","제주특별자치도 서귀포시 대정읍 신도리 1248"
"9","5013025033","2020","20200217","2","6","38","","89","2.1","2.04","6.2",".5","제주특별자치도 서귀포시 대정읍 신도리 1781-1"
"10","5013025033","2020","20200217","2","6","40","","91","2.3","1.98","5.9",".5","제주특별자치도 서귀포시 대정읍 신도리 919"
"11","5013025033","2020","20200218","2","5.3","538","","81","2.1","3.12","1.9","1.1","제주특별자치도 서귀포시 대정읍 신도리 472"
"12","5013025033","2020","20200218","2","5.2","543","","69","2.2","2.86","1.4","1.2","제주특별자치도 서귀포시 대정읍 신도리 472"
"13","5013025033","2020","20200225","2","7.6","187","","20","2.5",".45","10.3",".1","제주특별자치도 서귀포시 대정읍 신도리 1989"
"14","5013025033","2020","20200318","2","7.3","329","","14","3.4","1.96","8.6",".3","제주특별자치도 서귀포시 대정읍 신도리 1121-3"
"15","5013025033","2020","20200318","2","4.8","488","","17","1.1",".95","2.4",".6","제주특별자치도 서귀포시 대정읍 신도리 1933"
"16","5013025033","2020","20200318","2","6.9","458","","10","2.7","1.52","6.8",".5","제주특별자치도 서귀포시 대정읍 신도리 1964-1"
"17","5013025033","2020","20200323","2","4.9","761","","32",".8",".91","1.5",".2","제주특별자치도 서귀포시 대정읍 신도리 794"
"18","5013025033","2020","20200323","2","5.5","444","","35",".9",".95","4.3",".4","제주특별자치도 서귀포시 대정읍 신도리 1617-1"
"19","5013025033","2020","20200323","2","4.6","635","","40",".5",".71","1.9",".6","제주특별자치도 서귀포시 대정읍 신도리 1747"
