"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025326","2020","20201014","2","5.3","81","","178","",".33","","","제주특별자치도 서귀포시 남원읍 신흥리 1126"
"2","5013025326","2020","20201014","2","6.1","10","","87","",".94","","","제주특별자치도 서귀포시 남원읍 신흥리 2064-1"
"3","5013025326","2020","20201007","3","5","13","","150","","2.05","","","제주특별자치도 서귀포시 남원읍 신흥리 1587-23"
"4","5013025326","2020","20201007","3","4.4","682","","128","",".8","","","제주특별자치도 서귀포시 남원읍 신흥리 1747"
"5","5013025326","2020","20201007","3","6.7","711","","153","","2.69","","","제주특별자치도 서귀포시 남원읍 신흥리 1754-1"
"6","5013025326","2020","20201007","3","4.8","169","","124","","1.08","","","제주특별자치도 서귀포시 남원읍 신흥리 241-7"
"7","5013025326","2020","20201007","3","5.2","497","","157","","1.21","","","제주특별자치도 서귀포시 남원읍 신흥리 532-7"
"8","5013025326","2020","20201007","3","4.6","162","","173","",".21","","","제주특별자치도 서귀포시 남원읍 신흥리 575"
"9","5013025326","2020","20201007","3","5.1","725","","145","","2.85","","","제주특별자치도 서귀포시 남원읍 신흥리 647-1"
"10","5013025326","2020","20201007","4","5.3","147","","91","",".14","","","제주특별자치도 서귀포시 남원읍 신흥리 1339"
"11","5013025326","2020","20201007","4","5.3","88","","181","",".12","","","제주특별자치도 서귀포시 남원읍 신흥리 336"
"12","5013025326","2020","20201007","4","5.1","22","","139","",".09","","","제주특별자치도 서귀포시 남원읍 신흥리 412"
"13","5013025326","2020","20201007","4","5.1","513","","139","",".3","","","제주특별자치도 서귀포시 남원읍 신흥리 483"
"14","5013025326","2020","20201007","4","5.8","381","","152","",".44","","","제주특별자치도 서귀포시 남원읍 신흥리 502-4"
"15","5013025326","2020","20201007","4","5.4","514","","140","",".66","","","제주특별자치도 서귀포시 남원읍 신흥리 518"
"16","5013025326","2020","20201007","4","4.8","734","","188","",".16","","","제주특별자치도 서귀포시 남원읍 신흥리 933"
"17","5013025326","2020","20200130","2","6.2","10","","93","2.5","1.15","3.8",".18","제주특별자치도 서귀포시 남원읍 신흥리 2080"
"18","5013025326","2020","20200605","2","5.9","10","","254","5.3",".11","1.1",".26","제주특별자치도 서귀포시 남원읍 신흥리 1111"
