"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025325","2020","20201007","3","5.1","10","","150","",".38","","","제주특별자치도 서귀포시 남원읍 의귀리 1006"
"2","5013025325","2020","20201007","3","4.2","95","","70","","1.47","","","제주특별자치도 서귀포시 남원읍 의귀리 126-3"
"3","5013025325","2020","20201007","3","4.3","125","","70","","1.09","","","제주특별자치도 서귀포시 남원읍 의귀리 234-18"
"4","5013025325","2020","20201007","3","5.5","369","","150","","3.13","","","제주특별자치도 서귀포시 남원읍 의귀리 359-1"
"5","5013025325","2020","20201007","3","6.3","551","","163","","1.24","","","제주특별자치도 서귀포시 남원읍 의귀리 360"
"6","5013025325","2020","20201007","3","4.3","695","","212","","2.59","","","제주특별자치도 서귀포시 남원읍 의귀리 712"
"7","5013025325","2020","20201007","3","5.8","211","","167","","1.14","","","제주특별자치도 서귀포시 남원읍 의귀리 80-16"
"8","5013025325","2020","20201007","3","4.6","143","","109","","1.05","","","제주특별자치도 서귀포시 남원읍 의귀리 830"
"9","5013025325","2020","20201007","4","5","163","","150","",".27","","","제주특별자치도 서귀포시 남원읍 의귀리 1961"
"10","5013025325","2020","20201007","4","4.3","105","","182","",".15","","","제주특별자치도 서귀포시 남원읍 의귀리 40-1"
"11","5013025325","2020","20201007","4","5.4","107","","181","",".09","","","제주특별자치도 서귀포시 남원읍 의귀리 446"
"12","5013025325","2020","20201007","4","5.3","10","","167","",".27","","","제주특별자치도 서귀포시 남원읍 의귀리 453"
"13","5013025325","2020","20201007","4","5","130","","205","",".12","","","제주특별자치도 서귀포시 남원읍 의귀리 50-14"
"14","5013025325","2020","20201007","4","4.7","93","","200","",".19","","","제주특별자치도 서귀포시 남원읍 의귀리 594"
"15","5013025325","2020","20201007","4","7","36","","133","",".25","","","제주특별자치도 서귀포시 남원읍 의귀리 643"
"16","5013025325","2020","20201007","4","4.3","351","","143","",".25","","","제주특별자치도 서귀포시 남원읍 의귀리 989"
"17","5013025325","2020","20200427","3","4.4","706","","116","2.2",".91","3.8","1.7","제주특별자치도 서귀포시 남원읍 의귀리 260"
"18","5013025325","2020","20200311","4","6.3","97","","186","5.2",".51","8.8",".29","제주특별자치도 서귀포시 남원읍 의귀리 361-1"
"19","5013025325","2020","20200311","4","6","631","","150","3.8",".29","6.8",".17","제주특별자치도 서귀포시 남원읍 의귀리 1548-3"
"20","5013025325","2020","20200311","4","6.9","611","","91","5.7","1.22","9.8",".23","제주특별자치도 서귀포시 남원읍 의귀리 840-1"
"21","5013025325","2020","20200311","4","5.7","59","","129","1.5",".26","2.5",".15","제주특별자치도 서귀포시 남원읍 의귀리 367"
