"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025324","2020","20200928","3","4.6","141","","183","",".54","","","제주특별자치도 서귀포시 남원읍 수망리 48-12"
"2","5013025324","2020","20200928","3","6.5","482","","162","","3.71","","","제주특별자치도 서귀포시 남원읍 수망리 790-4"
"3","5013025324","2020","20200928","4","5","93","","198","",".14","","","제주특별자치도 서귀포시 남원읍 수망리 22-2"
"4","5013025324","2020","20200928","4","5.6","296","","158","",".23","","","제주특별자치도 서귀포시 남원읍 수망리 331-1"
"5","5013025324","2020","20200928","4","5.8","175","","114","",".26","","","제주특별자치도 서귀포시 남원읍 수망리 711"
"6","5013025324","2020","20200911","2","5.9","10","","184",".3",".32","3.5",".25","제주특별자치도 서귀포시 남원읍 수망리 10-2"
"7","5013025324","2020","20200911","2","5.9","10","","184",".3",".33","3.4",".24","제주특별자치도 서귀포시 남원읍 수망리 182"
"8","5013025324","2020","20200911","2","5.8","10","","186",".3",".33","3.6",".26","제주특별자치도 서귀포시 남원읍 수망리 189-5"
"9","5013025324","2020","20200911","2","5.7","10","","177",".5",".34","3.7",".25","제주특별자치도 서귀포시 남원읍 수망리 189-6"
"10","5013025324","2020","20200911","2","5.7","10","","186",".5",".32","3.3",".23","제주특별자치도 서귀포시 남원읍 수망리 12"
"11","5013025324","2020","20200226","2","5","10","","225","1.8",".27","3.8",".35","제주특별자치도 서귀포시 남원읍 수망리 602"
"12","5013025324","2020","20200421","3","5.9","110","","177","2.3",".2","7.9",".21","제주특별자치도 서귀포시 남원읍 수망리 489-2"
"13","5013025324","2020","20200123","4","5.6","10","","199","1.6",".28","5.1",".19","제주특별자치도 서귀포시 남원읍 수망리 19"
"14","5013025324","2020","20200601","4","6.1","317","","131","2.7",".35","7.6",".14","제주특별자치도 서귀포시 남원읍 수망리 244"
"15","5013025324","2020","20200601","4","6.5","228","","93","2","1.06","10.6",".13","제주특별자치도 서귀포시 남원읍 수망리 243"
"16","5013025324","2020","20200401","3","4.9","85","","202","4.7","1.36","8","4.41","제주특별자치도 서귀포시 남원읍 수망리 954-1"
"17","5013025324","2020","20200210","4","6","134","","122","3.1",".63","5.8",".21","제주특별자치도 서귀포시 남원읍 수망리 816-4"
"18","5013025324","2020","20200309","4","6.3","124","","151",".1",".01",".1",".13","제주특별자치도 서귀포시 남원읍 수망리 706"
"19","5013025324","2020","20200327","4","5.7","85","","200","1.7",".14","4.1",".14","제주특별자치도 서귀포시 남원읍 수망리 15-1"
"20","5013025324","2020","20200327","4","5.9","42","","196","1.7",".23","4.5",".14","제주특별자치도 서귀포시 남원읍 수망리 42-1"
"21","5013025324","2020","20200327","4","6","106","","177","1.9",".2","4.3",".13","제주특별자치도 서귀포시 남원읍 수망리 12"
"22","5013025324","2020","20200327","4","6.2","67","","211","2.2",".44","6.3",".11","제주특별자치도 서귀포시 남원읍 수망리 35-1"
"23","5013025324","2020","20200330","4","5.9","10","","300","1.9",".57","3",".18","제주특별자치도 서귀포시 남원읍 수망리 151"
"24","5013025324","2020","20200330","4","5.9","10","","300","2.3",".49","4.9",".25","제주특별자치도 서귀포시 남원읍 수망리 152"
"25","5013025324","2020","20200330","4","5.9","53","","252","2.1",".43","4.4",".24","제주특별자치도 서귀포시 남원읍 수망리 154"
"26","5013025324","2020","20200330","4","5.7","21","","232","1.4",".27","3.3",".19","제주특별자치도 서귀포시 남원읍 수망리 974"
"27","5013025324","2020","20200410","4","6.4","103","","90","2.6",".82","10",".34","제주특별자치도 서귀포시 남원읍 수망리 845"
"28","5013025324","2020","20200427","4","6.5","213","","185","6",".34","9.6",".41","제주특별자치도 서귀포시 남원읍 수망리 286"
"29","5013025324","2020","20200427","4","6.2","180","","212","4.5",".43","8.2",".17","제주특별자치도 서귀포시 남원읍 수망리 472"
"30","5013025324","2020","20200514","4","6.6","273","","209",".3",".86","28.3",".24","제주특별자치도 서귀포시 남원읍 수망리 196-3"
