"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025026","2020","20200407","2","6.8","218","","34","2.4","1.4","7.2",".2","제주특별자치도 서귀포시 대정읍 가파리 261-1"
"2","5013025026","2020","20200407","2","6.9","331","","38","1.9","1.41","6.6",".2","제주특별자치도 서귀포시 대정읍 가파리 48"
"3","5013025026","2020","20200407","2","6.8","353","","86","2","1.49","5.8",".2","제주특별자치도 서귀포시 대정읍 가파리 134"
"4","5013025026","2020","20200407","2","6.7","285","","26","1.7","1.54","5.5",".2","제주특별자치도 서귀포시 대정읍 가파리 244"
"5","5013025026","2020","20200407","2","6.4","315","","27","1.4","1.53","4.5",".3","제주특별자치도 서귀포시 대정읍 가파리 254-1"
"6","5013025026","2020","20200407","2","6.5","289","","41","2","1.73","5.9",".3","제주특별자치도 서귀포시 대정읍 가파리 140"
"7","5013025026","2020","20200407","2","6.5","377","","25","1.4","1.33","4.7",".4","제주특별자치도 서귀포시 대정읍 가파리 351-1"
"8","5013025026","2020","20200407","2","6.6","246","","36","2.2","1.62","5.3",".3","제주특별자치도 서귀포시 대정읍 가파리 257"
"9","5013025026","2020","20200407","2","6.6","431","","36","1.9","1.73","5.2",".3","제주특별자치도 서귀포시 대정읍 가파리 264"
"10","5013025026","2020","20200407","2","5.6","176","","114","2.4",".64","5.4",".2","제주특별자치도 서귀포시 대정읍 가파리 64"
"11","5013025026","2020","20200407","2","7.1","162","","49","3.1",".84","6.7",".2","제주특별자치도 서귀포시 대정읍 가파리 323"
"12","5013025026","2020","20200407","2","6.7","316","","45","2","1.17","5.4",".2","제주특별자치도 서귀포시 대정읍 가파리 448"
"13","5013025026","2020","20200407","2","7.1","598","","41","2.2","1.14","7.2",".2","제주특별자치도 서귀포시 대정읍 가파리 515"
"14","5013025026","2020","20200407","2","6.6","524","","23","1.2",".63","3.4",".2","제주특별자치도 서귀포시 대정읍 가파리 124"
"15","5013025026","2021","20210716","2","7.1","73","","22","4.5",".73","7.2",".2","제주특별자치도 서귀포시 대정읍 가파리 40"
"16","5013025026","2021","20210716","2","7","42","","21","4.2","1.53","7.4",".3","제주특별자치도 서귀포시 대정읍 가파리 34"
