"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025924","2020","20201204","2","4.7","273","","137","","1.28","","","제주특별자치도 서귀포시 성산읍 고성리 2082-1"
"2","5013025924","2020","20201224","2","7.5","47","","49","","1.89","","","제주특별자치도 서귀포시 성산읍 고성리 487-2"
"3","5013025924","2020","20201224","2","8.5","96","","63","","1.11","","","제주특별자치도 서귀포시 성산읍 고성리 472-5"
"4","5013025924","2020","20201224","2","5.8","205","","130","",".91","","","제주특별자치도 서귀포시 성산읍 고성리 816-2"
"5","5013025924","2020","20201224","2","5.5","271","","113","","2","","","제주특별자치도 서귀포시 성산읍 고성리 824-2"
"6","5013025924","2020","20201224","2","7.6","133","","57","","1.41","","","제주특별자치도 서귀포시 성산읍 고성리 446-2"
"7","5013025924","2020","20201224","2","6.3","107","","93","","1.75","","","제주특별자치도 서귀포시 성산읍 고성리 891-1"
"8","5013025924","2020","20201224","2","7.1","64","","133","",".94","","","제주특별자치도 서귀포시 성산읍 고성리 881-1"
"9","5013025924","2020","20201224","2","5.5","207","","119","","1.19","","","제주특별자치도 서귀포시 성산읍 고성리 798-1"
"10","5013025924","2020","20201224","2","6.5","118","","148","","1.3","","","제주특별자치도 서귀포시 성산읍 고성리 834"
"11","5013025924","2020","20201224","2","7.9","48","","83","","1.05","","","제주특별자치도 서귀포시 성산읍 고성리 482"
"12","5013025924","2020","20201224","2","6","184","","96","","3.61","","","제주특별자치도 서귀포시 성산읍 고성리 799-1"
"13","5013025924","2020","20201224","2","6.9","129","","145","","1","","","제주특별자치도 서귀포시 성산읍 고성리 992"
"14","5013025924","2020","20201224","2","6.3","185","","108","",".85","","","제주특별자치도 서귀포시 성산읍 고성리 470"
"15","5013025924","2020","20201224","2","6.5","120","","125","",".73","","","제주특별자치도 서귀포시 성산읍 고성리 412-1"
"16","5013025924","2020","20201224","2","6.6","103","","89","","1.25","","","제주특별자치도 서귀포시 성산읍 고성리 467"
"17","5013025924","2020","20201224","2","7.2","166","","57","","1.67","","","제주특별자치도 서귀포시 성산읍 고성리 488-3"
"18","5013025924","2020","20201224","2","7.5","163","","51","","1.62","","","제주특별자치도 서귀포시 성산읍 고성리 451-2"
"19","5013025924","2020","20201019","4","4.8","101","","169","",".23","","","제주특별자치도 서귀포시 성산읍 고성리 1269-2"
"20","5013025924","2020","20201019","4","5.4","292","","124","",".9","","","제주특별자치도 서귀포시 성산읍 고성리 1317-1"
"21","5013025924","2020","20201019","4","5.5","119","","133","",".83","","","제주특별자치도 서귀포시 성산읍 고성리 1654-1"
"22","5013025924","2020","20201019","4","5.5","120","","139","",".73","","","제주특별자치도 서귀포시 성산읍 고성리 2018-4"
"23","5013025924","2020","20201019","4","4.6","672","","145","","1.2","","","제주특별자치도 서귀포시 성산읍 고성리 2233"
"24","5013025924","2020","20201019","4","5.5","287","","116","",".25","","","제주특별자치도 서귀포시 성산읍 고성리 2441"
"25","5013025924","2020","20201019","4","6","157","","108","",".29","","","제주특별자치도 서귀포시 성산읍 고성리 1815-2"
"26","5013025924","2020","20201019","4","5.5","259","","198","",".62","","","제주특별자치도 서귀포시 성산읍 고성리 2418-2"
"27","5013025924","2020","20201019","4","5.8","185","","107","",".22","","","제주특별자치도 서귀포시 성산읍 고성리 2114"
"28","5013025924","2020","20201019","4","6.6","58","","117","",".71","","","제주특별자치도 서귀포시 성산읍 고성리 2011-1"
"29","5013025924","2020","20201019","4","5.1","61","","127","",".32","","","제주특별자치도 서귀포시 성산읍 고성리 1755-1"
"30","5013025924","2020","20201204","4","5.7","117","","101","","1.09","","","제주특별자치도 서귀포시 성산읍 고성리 2098-1"
"31","5013025924","2020","20200217","2","6.4","190","","125","3.8","1.48","11",".2","제주특별자치도 서귀포시 성산읍 고성리 972-2"
"32","5013025924","2020","20200302","4","5.6","605","","87","2.6",".77","6.1",".14","제주특별자치도 서귀포시 성산읍 고성리 2120"
"33","5013025924","2020","20200302","4","5.5","686","","95","2.5",".79","6.9",".15","제주특별자치도 서귀포시 성산읍 고성리 2117-2"
"34","5013025924","2020","20200910","4","5.4","30","","205","1.7",".74","4.4",".52","제주특별자치도 서귀포시 성산읍 고성리 2451"
