"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025923","2020","20201130","2","5.4","66","","174","",".96","","","제주특별자치도 서귀포시 성산읍 시흥리 462"
"2","5013025923","2020","20201130","2","6","49","","162","",".68","","","제주특별자치도 서귀포시 성산읍 시흥리 1539-1"
"3","5013025923","2020","20201130","2","5.4","10","","155","",".26","","","제주특별자치도 서귀포시 성산읍 시흥리 2167-1"
"4","5013025923","2020","20201130","2","6.5","12","","149","",".27","","","제주특별자치도 서귀포시 성산읍 시흥리 2058-1"
"5","5013025923","2020","20201130","2","5.9","15","","143","",".32","","","제주특별자치도 서귀포시 성산읍 시흥리 2166-1"
"6","5013025923","2020","20201130","2","5.5","10","","122","",".74","","","제주특별자치도 서귀포시 성산읍 시흥리 1536-1"
"7","5013025923","2020","20201130","2","4.8","104","","200","",".52","","","제주특별자치도 서귀포시 성산읍 시흥리 1589-1"
"8","5013025923","2020","20201130","2","5.3","30","","188","",".22","","","제주특별자치도 서귀포시 성산읍 시흥리 1610"
"9","5013025923","2020","20201130","2","6.1","134","","133","","1.62","","","제주특별자치도 서귀포시 성산읍 시흥리 692"
"10","5013025923","2020","20201130","2","6.1","22","","149","",".71","","","제주특별자치도 서귀포시 성산읍 시흥리 1562-1"
"11","5013025923","2020","20201130","2","7.5","62","","93","","1","","","제주특별자치도 서귀포시 성산읍 시흥리 1537-1"
"12","5013025923","2020","20201130","2","4.3","91","","208","","1.51","","","제주특별자치도 서귀포시 성산읍 시흥리 2093"
"13","5013025923","2020","20201204","2","6.2","47","","158","",".42","","","제주특별자치도 서귀포시 성산읍 시흥리 2059"
"14","5013025923","2020","20201204","2","5.4","58","","185","","1.09","","","제주특별자치도 서귀포시 성산읍 시흥리 447-2"
"15","5013025923","2020","20201204","2","4.7","97","","165","",".36","","","제주특별자치도 서귀포시 성산읍 시흥리 1561-1"
"16","5013025923","2020","20201204","2","5.8","55","","201","",".74","","","제주특별자치도 서귀포시 성산읍 시흥리 1609"
"17","5013025923","2020","20201222","2","8.1","109","","155","","1.17","","","제주특별자치도 서귀포시 성산읍 시흥리 1181"
"18","5013025923","2020","20201222","2","4.8","205","","111","","2.3","","","제주특별자치도 서귀포시 성산읍 시흥리 1094-1"
"19","5013025923","2020","20201222","2","6.9","83","","134","",".87","","","제주특별자치도 서귀포시 성산읍 시흥리 1177-1"
"20","5013025923","2020","20201222","2","7.4","83","","123","",".87","","","제주특별자치도 서귀포시 성산읍 시흥리 225"
"21","5013025923","2020","20201222","2","6.2","133","","181","",".84","","","제주특별자치도 서귀포시 성산읍 시흥리 221"
"22","5013025923","2020","20201222","2","7.6","51","","133","",".25","","","제주특별자치도 서귀포시 성산읍 시흥리 1186-1"
"23","5013025923","2020","20201222","2","6.5","90","","193","","1.21","","","제주특별자치도 서귀포시 성산읍 시흥리 1210-1"
"24","5013025923","2020","20201222","2","7.1","19","","155","",".68","","","제주특별자치도 서귀포시 성산읍 시흥리 142"
"25","5013025923","2020","20201222","2","6.8","78","","105","","1.39","","","제주특별자치도 서귀포시 성산읍 시흥리 704-1"
"26","5013025923","2020","20201222","2","6.4","125","","138","","1.4","","","제주특별자치도 서귀포시 성산읍 시흥리 704-2"
"27","5013025923","2020","20201019","4","5.9","128","","124","",".56","","","제주특별자치도 서귀포시 성산읍 시흥리 329"
"28","5013025923","2020","20201208","2","6.4","34","","155",".2",".75","8.8",".64","제주특별자치도 서귀포시 성산읍 시흥리 1330"
"29","5013025923","2020","20200710","2","7.5","25","","164","2.1",".74","30",".51","제주특별자치도 서귀포시 성산읍 시흥리 1845"
"30","5013025923","2020","20200727","2","7.3","13","","123","2",".01","27.8",".38","제주특별자치도 서귀포시 성산읍 시흥리 1541"
"31","5013025923","2020","20200727","2","4.6","10","","184",".1",".14",".6",".38","제주특별자치도 서귀포시 성산읍 시흥리 2148"
"32","5013025923","2020","20200727","2","4.8","18","","181",".2",".26","1.1",".45","제주특별자치도 서귀포시 성산읍 시흥리 2153"
"33","5013025923","2020","20200727","2","6.5","13","","127","4.1",".77","15.3",".27","제주특별자치도 서귀포시 성산읍 시흥리 2150"
"34","5013025923","2020","20200727","2","7.5","10","","135","2.1",".61","30",".4","제주특별자치도 서귀포시 성산읍 시흥리 1559"
"35","5013025923","2020","20200727","2","5.9","135","","105","2.5","1.21","11",".29","제주특별자치도 서귀포시 성산읍 시흥리 147"
"36","5013025923","2020","20200727","4","5.4","23","","212","1",".35","3.5",".37","제주특별자치도 서귀포시 성산읍 시흥리 1543"
"37","5013025923","2020","20200727","4","5.7","10","","151","1.1","1","3.1",".43","제주특별자치도 서귀포시 성산읍 시흥리 392"
"38","5013025923","2020","20201202","2","6.1","29","","246","4.9",".72","6.6",".36","제주특별자치도 서귀포시 성산읍 시흥리 1674"
"39","5013025923","2020","20200622","2","6.1","55","","164","4.6","1.06","9.1",".74","제주특별자치도 서귀포시 성산읍 시흥리 2486-2"
"40","5013025923","2020","20201117","2","7.7","10","","131","2.1",".77","24.8",".64","제주특별자치도 서귀포시 성산읍 시흥리 1662"
"41","5013025923","2020","20201117","2","8.1","48","","133","2.9","1.68","23.8",".51","제주특별자치도 서귀포시 성산읍 시흥리 1089"
