"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025930","2020","20201023","4","5.7","308","","146","",".59","","","제주특별자치도 서귀포시 성산읍 신천리 672-1"
"2","5013025930","2020","20201023","4","5.7","125","","123","",".67","","","제주특별자치도 서귀포시 성산읍 신천리 62"
"3","5013025930","2020","20201023","4","6.3","352","","109","","1.3","","","제주특별자치도 서귀포시 성산읍 신천리 708"
"4","5013025930","2020","20201023","4","5.9","25","","117","",".78","","","제주특별자치도 서귀포시 성산읍 신천리 727"
"5","5013025930","2020","20201023","4","5.2","125","","108","",".21","","","제주특별자치도 서귀포시 성산읍 신천리 1039"
"6","5013025930","2020","20201023","4","6.3","273","","82","",".84","","","제주특별자치도 서귀포시 성산읍 신천리 1020"
"7","5013025930","2020","20201023","4","5.1","313","","102","",".13","","","제주특별자치도 서귀포시 성산읍 신천리 1002"
"8","5013025930","2020","20201023","4","5.1","117","","114","",".13","","","제주특별자치도 서귀포시 성산읍 신천리 989"
"9","5013025930","2020","20201023","4","6.7","384","","83","","1.38","","","제주특별자치도 서귀포시 성산읍 신천리 924"
"10","5013025930","2020","20201023","4","6.4","384","","134","",".62","","","제주특별자치도 서귀포시 성산읍 신천리 501"
"11","5013025930","2020","20201023","4","4.7","293","","120","",".23","","","제주특별자치도 서귀포시 성산읍 신천리 823"
"12","5013025930","2020","20201023","4","5.1","294","","118","",".48","","","제주특별자치도 서귀포시 성산읍 신천리 813"
"13","5013025930","2020","20201023","4","5.3","242","","145","",".28","","","제주특별자치도 서귀포시 성산읍 신천리 822"
"14","5013025930","2020","20201023","4","5","295","","131","",".29","","","제주특별자치도 서귀포시 성산읍 신천리 724"
"15","5013025930","2020","20200304","4","5.2","79","","118","1.5",".42","3.3",".16","제주특별자치도 서귀포시 성산읍 신천리 836"
"16","5013025930","2020","20200304","4","6.2","10","","102","2.6",".74","8.3",".12","제주특별자치도 서귀포시 성산읍 신천리 835"
"17","5013025930","2020","20200608","4","5.9","212","","179","1.9","1.13","4.3",".27","제주특별자치도 서귀포시 성산읍 신천리 936"
"18","5013025930","2020","20200304","3","5.9","203","","92","3.6","1.18","12.9",".53","제주특별자치도 서귀포시 성산읍 신천리 836"
"19","5013025930","2020","20200304","3","6","479","","98","5.7","1.93","14.3",".44","제주특별자치도 서귀포시 성산읍 신천리 836"
"20","5013025930","2020","20200304","4","6.5","274","","137","3.7","1.04","14",".26","제주특별자치도 서귀포시 성산읍 신천리 976"
"21","5013025930","2020","20200304","4","5.6","166","","133","2.7",".29","6.7",".2","제주특별자치도 서귀포시 성산읍 신천리 1038"
"22","5013025930","2020","20200304","4","5.8","40","","97","2.2",".55","5.7",".2","제주특별자치도 서귀포시 성산읍 신천리 1010"
"23","5013025930","2020","20200304","4","6","23","","89","2.6",".67","5.6",".16","제주특별자치도 서귀포시 성산읍 신천리 975"
"24","5013025930","2020","20200608","4","5.1","128","","137",".3",".24",".9",".18","제주특별자치도 서귀포시 성산읍 신천리 468"
"25","5013025930","2020","20200608","4","6.6","77","","94","2.9",".79","8.9",".18","제주특별자치도 서귀포시 성산읍 신천리 657-2"
"26","5013025930","2020","20200608","4","5.4","226","","123",".8",".43","3",".26","제주특별자치도 서귀포시 성산읍 신천리 70-3"
"27","5013025930","2020","20200727","4","5.5","192","","228","1.3",".7","6.7",".43","제주특별자치도 서귀포시 성산읍 신천리 732-2"
"28","5013025930","2020","20200210","3","4.6","886","","153","1.5",".89","3.5",".51","제주특별자치도 서귀포시 성산읍 신천리 671"
"29","5013025930","2020","20200210","3","4.8","1061","","155","3","2.26","6.5","1.72","제주특별자치도 서귀포시 성산읍 신천리 671"
"30","5013025930","2020","20200210","3","4.3","394","","116",".7","1.19",".6",".71","제주특별자치도 서귀포시 성산읍 신천리 671"
"31","5013025930","2020","20200210","3","4.3","394","","116",".7","1.19",".6",".71","제주특별자치도 서귀포시 성산읍 신천리 671"
"32","5013025930","2020","20200210","3","4.6","370","","117","1.4","1.46","2.7",".71","제주특별자치도 서귀포시 성산읍 신천리 671"
"33","5013025930","2020","20200210","3","5.2","171","","138","1.8","1.17","6.9",".52","제주특별자치도 서귀포시 성산읍 신천리 671"
"34","5013025930","2020","20200210","3","5","337","","169","1.4",".93","3.6",".82","제주특별자치도 서귀포시 성산읍 신천리 671"
"35","5013025930","2020","20200714","4","5.3","10","","121",".3",".11","1.4",".24","제주특별자치도 서귀포시 성산읍 신천리 961"
"36","5013025930","2020","20200929","4","7.5","143","","93","5.4","1.6","12.4",".8","제주특별자치도 서귀포시 성산읍 신천리 845"
"37","5013025930","2020","20200929","4","7.3","231","","122","4.9","1.41","17",".7","제주특별자치도 서귀포시 성산읍 신천리 1054"
"38","5013025930","2021","20210813","4","5.8","59","","120","",".73","","","제주특별자치도 서귀포시 성산읍 신천리 503"
"39","5013025930","2021","20210813","4","4.9","190","","118","",".17","","","제주특별자치도 서귀포시 성산읍 신천리 506"
"40","5013025930","2021","20210813","4","4.7","359","","102","",".2","","","제주특별자치도 서귀포시 성산읍 신천리 507-6"
"41","5013025930","2021","20210813","4","5.7","142","","141","","1.01","","","제주특별자치도 서귀포시 성산읍 신천리 522"
"42","5013025930","2021","20210813","4","4.8","318","","123","","1.18","","","제주특별자치도 서귀포시 성산읍 신천리 539"
"43","5013025930","2021","20210813","4","4.7","263","","154","",".42","","","제주특별자치도 서귀포시 성산읍 신천리 548"
"44","5013025930","2021","20210813","4","5.8","75","","51","",".92","","","제주특별자치도 서귀포시 성산읍 신천리 549-1"
"45","5013025930","2021","20210813","4","4.8","139","","125","",".35","","","제주특별자치도 서귀포시 성산읍 신천리 555"
"46","5013025930","2021","20210813","4","4.8","144","","134","",".82","","","제주특별자치도 서귀포시 성산읍 신천리 560-1"
"47","5013025930","2021","20210813","4","4.6","66","","134","",".15","","","제주특별자치도 서귀포시 성산읍 신천리 596-1"
"48","5013025930","2021","20210813","4","4.5","20","","189","",".16","","","제주특별자치도 서귀포시 성산읍 신천리 597"
"49","5013025930","2021","20210813","4","4.5","111","","131","",".26","","","제주특별자치도 서귀포시 성산읍 신천리 606"
"50","5013025930","2021","20210813","4","4","592","","133","",".46","","","제주특별자치도 서귀포시 성산읍 신천리 614"
"51","5013025930","2021","20210813","4","5.3","179","","153","",".51","","","제주특별자치도 서귀포시 성산읍 신천리 622"
"52","5013025930","2021","20210813","4","4.7","22","","151","",".18","","","제주특별자치도 서귀포시 성산읍 신천리 625"
"53","5013025930","2021","20210813","4","5.3","78","","161","",".17","","","제주특별자치도 서귀포시 성산읍 신천리 626"
"54","5013025930","2021","20210813","4","5.9","104","","111","",".35","","","제주특별자치도 서귀포시 성산읍 신천리 627"
"55","5013025930","2021","20210813","4","5.3","435","","135","",".64","","","제주특별자치도 서귀포시 성산읍 신천리 630"
"56","5013025930","2021","20210813","4","5.4","85","","127","",".34","","","제주특별자치도 서귀포시 성산읍 신천리 631"
"57","5013025930","2021","20210813","4","6.6","233","","121","",".89","","","제주특별자치도 서귀포시 성산읍 신천리 632"
"58","5013025930","2021","20210813","4","5.7","111","","131","",".15","","","제주특별자치도 서귀포시 성산읍 신천리 635-2"
"59","5013025930","2021","20210813","4","6.5","139","","100","",".39","","","제주특별자치도 서귀포시 성산읍 신천리 644"
"60","5013025930","2021","20210813","4","6.2","110","","115","",".21","","","제주특별자치도 서귀포시 성산읍 신천리 648"
"61","5013025930","2021","20210813","4","5","92","","94","",".54","","","제주특별자치도 서귀포시 성산읍 신천리 1003"
"62","5013025930","2021","20210813","4","5.2","130","","87","",".32","","","제주특별자치도 서귀포시 성산읍 신천리 1034"
"63","5013025930","2021","20210813","4","5.7","124","","73","",".23","","","제주특별자치도 서귀포시 성산읍 신천리 1041"
"64","5013025930","2021","20210813","4","5.6","139","","132","",".32","","","제주특별자치도 서귀포시 성산읍 신천리 1056"
"65","5013025930","2021","20210813","4","5.6","85","","90","",".8","","","제주특별자치도 서귀포시 성산읍 신천리 1063"
"66","5013025930","2021","20210813","4","4.9","97","","130","",".48","","","제주특별자치도 서귀포시 성산읍 신천리 1076"
"67","5013025930","2021","20210813","4","4.6","270","","111","",".28","","","제주특별자치도 서귀포시 성산읍 신천리 1061-3"
"68","5013025930","2021","20210208","4","5.6","248","","131","3","1","6.2",".26","제주특별자치도 서귀포시 성산읍 신천리 835"
"69","5013025930","2021","20210208","4","5.2","192","","132","2.1",".72","3.4",".26","제주특별자치도 서귀포시 성산읍 신천리 836"
