"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025926","2020","20201019","4","5.4","179","","137","",".2","","","제주특별자치도 서귀포시 성산읍 온평리 2056-2"
"2","5013025926","2020","20201019","4","5.4","589","","119","",".26","","","제주특별자치도 서귀포시 성산읍 온평리 1604-1"
"3","5013025926","2020","20201019","4","5.6","91","","133","",".23","","","제주특별자치도 서귀포시 성산읍 온평리 2071"
"4","5013025926","2020","20201019","4","5","49","","178","",".15","","","제주특별자치도 서귀포시 성산읍 온평리 2105-2"
"5","5013025926","2020","20201019","4","5.6","726","","147","",".26","","","제주특별자치도 서귀포시 성산읍 온평리 1511-1"
"6","5013025926","2020","20201019","4","5.3","126","","169","",".21","","","제주특별자치도 서귀포시 성산읍 온평리 1363-1"
"7","5013025926","2020","20201019","4","5.5","68","","84","",".36","","","제주특별자치도 서귀포시 성산읍 온평리 1356-6"
"8","5013025926","2020","20201020","4","5.8","167","","133","",".11","","","제주특별자치도 서귀포시 성산읍 온평리 1333-2"
"9","5013025926","2020","20201208","2","6.3","185","","120",".3",".97","6.4",".49","제주특별자치도 서귀포시 성산읍 온평리 1414"
"10","5013025926","2020","20201208","2","5.7","177","","173",".2","1.21","6.2",".92","제주특별자치도 서귀포시 성산읍 온평리 1447"
"11","5013025926","2020","20201208","2","4.5","202","","175",".1","1.21","2.2","2.52","제주특별자치도 서귀포시 성산읍 온평리 1469"
"12","5013025926","2020","20200217","2","7.2","20","","74","5.3","1.24","20.1",".61","제주특별자치도 서귀포시 성산읍 온평리 2531"
"13","5013025926","2020","20200226","2","7.7","14","","97","6.7",".01",".5",".64","제주특별자치도 서귀포시 성산읍 온평리 2767"
"14","5013025926","2020","20200217","2","6.5","64","","160","3.1",".79","9.9",".23","제주특별자치도 서귀포시 성산읍 온평리 2781"
"15","5013025926","2020","20200217","2","6.7","58","","180","2.6",".79","12.8",".26","제주특별자치도 서귀포시 성산읍 온평리 2790"
"16","5013025926","2020","20200409","2","6.6","38","","131","6.1",".69","9.8",".12","제주특별자치도 서귀포시 성산읍 온평리 303-1"
"17","5013025926","2020","20200409","4","5.8","15","","147","1.6",".46","2.7",".14","제주특별자치도 서귀포시 성산읍 온평리 318"
"18","5013025926","2020","20200409","4","6","24","","149","1.8",".37","3",".12","제주특별자치도 서귀포시 성산읍 온평리 1865-2"
"19","5013025926","2020","20201104","2","5.5","120","","171","1.3",".84","4",".27","제주특별자치도 서귀포시 성산읍 온평리 2623-1"
"20","5013025926","2020","20200221","4","5.6","164","","140","1.7",".43","3.4",".16","제주특별자치도 서귀포시 성산읍 온평리 1468-4"
"21","5013025926","2020","20200221","4","5.1","104","","143","1.7",".23","2.3",".36","제주특별자치도 서귀포시 성산읍 온평리 1629-3"
"22","5013025926","2020","20200716","4","5.5","436","","196","1.3",".46","6.7",".35","제주특별자치도 서귀포시 성산읍 온평리 2472"
"23","5013025926","2020","20200803","4","6.8","93","","177","4.2",".71","15.5",".36","제주특별자치도 서귀포시 성산읍 온평리 1910-1"
"24","5013025926","2020","20200520","3","5.8","81","","137","2.2",".93","6.2",".93","제주특별자치도 서귀포시 성산읍 온평리 209-1"
"25","5013025926","2020","20200526","3","5.7","191","","153","1.5",".93","8",".23","제주특별자치도 서귀포시 성산읍 온평리 1416-1"
"26","5013025926","2020","20200526","3","6.3","10","","217","4.1",".37","8.3",".25","제주특별자치도 서귀포시 성산읍 온평리 1416-2"
"27","5013025926","2020","20201120","4","5.4","100","","209","1.3","1.7","9.5","2.5","제주특별자치도 서귀포시 성산읍 온평리 2501-1"
"28","5013025926","2021","20210420","2","6.7","47","","141","1.4",".2","8.4",".2","제주특별자치도 서귀포시 성산읍 온평리 303-1"
"29","5013025926","2021","20210420","4","5.5","127","","176",".3",".19","2.6",".29","제주특별자치도 서귀포시 성산읍 온평리 1865-2"
"30","5013025926","2021","20210420","4","5.7","59","","167",".4",".17","3.1",".19","제주특별자치도 서귀포시 성산읍 온평리 318"
"31","5013025926","2021","20210803","2","5.8","130","","87","1.6","1.41","6.7",".89","제주특별자치도 서귀포시 성산읍 온평리 2445"
"32","5013025926","2021","20211029","2","5.9","91","","157","1.4",".7","3.7","1.06","제주특별자치도 서귀포시 성산읍 온평리 2623-1"
"33","5013025926","2021","20210716","4","5.4","134","","157",".5",".34","1.7",".6","제주특별자치도 서귀포시 성산읍 온평리 1468-4"
"34","5013025926","2021","20210716","4","5.4","188","","176","1",".81","2.9",".7","제주특별자치도 서귀포시 성산읍 온평리 1629-3"
"35","5013025926","2021","20210806","4","7.5","156","","224","1.8",".22","2.1",".87","제주특별자치도 서귀포시 성산읍 온평리 1910-1"
"36","5013025926","2021","20210412","2","6.4","7","","146","1.4",".57","10.7",".32","제주특별자치도 서귀포시 성산읍 온평리 2655"
"37","5013025926","2021","20210422","2","5.2","133","","166",".6",".33","4.9","1.26","제주특별자치도 서귀포시 성산읍 온평리 176-2"
"38","5013025926","2021","20211209","2","5.9","111","","153","2.2","1.54","6.4","1.5","제주특별자치도 서귀포시 성산읍 온평리 2765"
"39","5013025926","2021","20211209","2","5.5","42","","166","1.3",".74","2.5","1.38","제주특별자치도 서귀포시 성산읍 온평리 2774"
"40","5013025926","2021","20211209","2","5.8","77","","159","2","1.23","4.6","1.28","제주특별자치도 서귀포시 성산읍 온평리 2791"
"41","5013025926","2021","20211209","2","5.8","137","","162","2.1","1.8","5.6","1.91","제주특별자치도 서귀포시 성산읍 온평리 2773"
"42","5013025926","2021","20211209","2","6.3","190","","139",".3","1.76","14.8","1.61","제주특별자치도 서귀포시 성산읍 온평리 2771-1"
"43","5013025926","2021","20211209","2","6.5","174","","122","3.4","2.29","11.5","1.62","제주특별자치도 서귀포시 성산읍 온평리 2792"
"44","5013025926","2021","20211209","2","6.2","142","","140","2.6","1.8","8.9","1.83","제주특별자치도 서귀포시 성산읍 온평리 2775"
"45","5013025926","2021","20211209","2","5.2","83","","67",".7",".67","2.5","1.52","제주특별자치도 서귀포시 성산읍 온평리 1965"
"46","5013025926","2021","20211209","2","5.2","82","","65",".6",".66","3.3","1.54","제주특별자치도 서귀포시 성산읍 온평리 1962"
"47","5013025926","2021","20211209","2","6","134","","93","2.5","1.02","6.5","1.13","제주특별자치도 서귀포시 성산읍 온평리 120"
"48","5013025926","2021","20211209","2","6","113","","93","2.5","1.02","7","1.11","제주특별자치도 서귀포시 성산읍 온평리 1390"
"49","5013025926","2021","20210210","3","5.8","89","","139",".6",".29","3.6",".19","제주특별자치도 서귀포시 성산읍 온평리 1416-1"
"50","5013025926","2021","20210517","3","4.4","108","","145",".3",".76","1.1","4","제주특별자치도 서귀포시 성산읍 온평리 209-1"
"51","5013025926","2021","20210318","4","5.7","10","","161",".2",".15",".7",".2","제주특별자치도 서귀포시 성산읍 온평리 2727"
"52","5013025926","2021","20210318","4","5.7","10","","87",".1",".15",".4",".3","제주특별자치도 서귀포시 성산읍 온평리 2727"
"53","5013025926","2021","20210318","4","5.7","24","","159",".4",".23","1.5",".4","제주특별자치도 서귀포시 성산읍 온평리 2727"
"54","5013025926","2021","20210318","4","5.8","16","","162",".3",".35","1.3",".4","제주특별자치도 서귀포시 성산읍 온평리 2727"
"55","5013025926","2021","20210412","4","6.3","35","","112","2.1",".92","7.8",".57","제주특별자치도 서귀포시 성산읍 온평리 2437"
"56","5013025926","2022","20220211","2","5.8","55","","169","1.3",".84","6.8","1.14","제주특별자치도 서귀포시 성산읍 온평리 2781"
"57","5013025926","2022","20220211","2","6","40","","152","1.3",".74","7.6","1.03","제주특별자치도 서귀포시 성산읍 온평리 2790"
"58","5013025926","2022","20220211","2","7.1","16","","148","3.9",".21","30","1.53","제주특별자치도 서귀포시 성산읍 온평리 2767"
"59","5013025926","2022","20220412","2","6.6","51","","121","6.6",".82","9.4","1.13","제주특별자치도 서귀포시 성산읍 온평리 303-1"
"60","5013025926","2022","20221114","2","5.9","38","","165","3.4",".87","9.8",".6","제주특별자치도 서귀포시 성산읍 온평리 2771-1"
"61","5013025926","2022","20221114","2","5.5","49","","166","1.5",".56","5.3",".7","제주특별자치도 서귀포시 성산읍 온평리 2765"
"62","5013025926","2022","20221114","2","5.6","41","","162","2.5",".69","8.2",".73","제주특별자치도 서귀포시 성산읍 온평리 2774"
"63","5013025926","2022","20221114","2","6.2","35","","164","4.3",".99","11.8",".6","제주특별자치도 서귀포시 성산읍 온평리 2792"
"64","5013025926","2022","20221114","2","5.8","41","","165","2.9",".81","8.7",".76","제주특별자치도 서귀포시 성산읍 온평리 2791"
"65","5013025926","2022","20221114","2","6","35","","163","3.7",".9","10.7",".65","제주특별자치도 서귀포시 성산읍 온평리 2773"
"66","5013025926","2022","20221114","2","5.4","49","","166","1.8",".58","6",".83","제주특별자치도 서귀포시 성산읍 온평리 2775"
"67","5013025926","2022","20221114","2","5.7","41","","89","1.7",".62","6.2","1.24","제주특별자치도 서귀포시 성산읍 온평리 1390"
"68","5013025926","2022","20221114","2","5.5","56","","91","1.5",".75","5.7","1.62","제주특별자치도 서귀포시 성산읍 온평리 1962"
"69","5013025926","2022","20221114","2","5.4","56","","89","1.4",".75","5.4","1.74","제주특별자치도 서귀포시 성산읍 온평리 1963"
"70","5013025926","2022","20221114","2","5.7","39","","91","1.9",".68","6.5","1.17","제주특별자치도 서귀포시 성산읍 온평리 1965"
"71","5013025926","2022","20220412","4","5.6","92","","149","1.4",".58","5.1","1.18","제주특별자치도 서귀포시 성산읍 온평리 1865-2"
"72","5013025926","2022","20220412","4","5.2","65","","132",".9",".64","2.5","1.05","제주특별자치도 서귀포시 성산읍 온평리 318"
"73","5013025926","2022","20220809","4","7.2","124","","171","12.6",".28","22.8",".71","제주특별자치도 서귀포시 성산읍 온평리 1910-1"
"74","5013025926","2022","20220628","2","5.3","46","","124","1.2",".88","4.2",".43","제주특별자치도 서귀포시 성산읍 온평리 2649"
"75","5013025926","2022","20220823","2","5.5","75","","82","1.3","2.26","4.2",".94","제주특별자치도 서귀포시 성산읍 온평리 2445"
"76","5013025926","2022","20220302","4","5.3","143","","133","1.4",".66","3.7",".93","제주특별자치도 서귀포시 성산읍 온평리 1468-4"
"77","5013025926","2022","20220302","4","5.1","162","","149","1.2",".62","3.3",".95","제주특별자치도 서귀포시 성산읍 온평리 1629-3"
"78","5013025926","2022","20220517","2","4.3","112","","116",".2",".56","1.5","1.98","제주특별자치도 서귀포시 성산읍 온평리 1131"
"79","5013025926","2022","20220114","3","5.1","101","","109","2.1","1.72","10.7","3.8","제주특별자치도 서귀포시 성산읍 온평리 209-1"
"80","5013025926","2022","20220328","3","4.8","265","","101","2.1","1.98","4.4","6.75","제주특별자치도 서귀포시 성산읍 온평리 279-2"
"81","5013025926","2022","20220714","3","4.7","125","","120","4.3","3.53","6.9","10.6","제주특별자치도 서귀포시 성산읍 온평리 2136-2"
"82","5013025926","2022","20220121","4","5","140","","135",".2",".41",".3",".73","제주특별자치도 서귀포시 성산읍 온평리 2503"
"83","5013025926","2022","20220121","4","4.8","547","","131",".7",".78",".6",".73","제주특별자치도 서귀포시 성산읍 온평리 2504-1"
