"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013031025","2020","20201231","2","6.5","273","","44","2.5","1.31","7.7","1.1","제주특별자치도 서귀포시 안덕면 사계리 1237"
"2","5013031025","2020","20201231","2","5.8","656","","29","4.3","3.04","7.9","1.1","제주특별자치도 서귀포시 안덕면 사계리 1244"
"3","5013031025","2020","20201231","2","8.3","75","","47","5.1","1.22","12.1",".3","제주특별자치도 서귀포시 안덕면 사계리 872-1"
"4","5013031025","2020","20201231","2","5.1","271","","60","1.6","1.33","1.4",".4","제주특별자치도 서귀포시 안덕면 사계리 704"
"5","5013031025","2020","20201231","2","6.3","168","","72","3","1.12","5.7",".2","제주특별자치도 서귀포시 안덕면 사계리 702"
"6","5013031025","2020","20201231","2","6.6","302","","49","3.3","2.06","7.2",".2","제주특별자치도 서귀포시 안덕면 사계리 490"
"7","5013031025","2020","20201231","2","5.7","269","","76","2.1","1.53","5.7",".8","제주특별자치도 서귀포시 안덕면 사계리 557-2"
"8","5013031025","2020","20201231","2","6.9","437","","36","4.1","1.73","6.7",".4","제주특별자치도 서귀포시 안덕면 사계리 1719"
"9","5013031025","2020","20201231","2","6.5","530","","23","4.6","2.52","7.3",".6","제주특별자치도 서귀포시 안덕면 사계리 3319-3"
"10","5013031025","2020","20201231","2","5.9","313","","52","4.5","2.49","5.8",".4","제주특별자치도 서귀포시 안덕면 사계리 3217-2"
"11","5013031025","2020","20201231","2","8.3","322","","29","3.1","2.33","10.9",".4","제주특별자치도 서귀포시 안덕면 사계리 3574"
"12","5013031025","2020","20201231","2","7.8","458","","28","4.1","1.96","7.5",".4","제주특별자치도 서귀포시 안덕면 사계리 3576"
"13","5013031025","2020","20201231","2","5.3","268","","41","3.2","1.49","3.9","1.3","제주특별자치도 서귀포시 안덕면 사계리 3492-1"
"14","5013031025","2020","20201231","2","6.1","600","","56","4","2.24","7","1.1","제주특별자치도 서귀포시 안덕면 사계리 3518"
