"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013031030","2020","20201231","2","6.4","50","","116","2.9","1.06","5.7",".3","제주특별자치도 서귀포시 안덕면 상천리 476-1"
"2","5013031030","2020","20201231","2","6.9","53","","131","3.6","1.05","9",".3","제주특별자치도 서귀포시 안덕면 상천리 478-1"
"3","5013031030","2020","20201231","2","6.3","118","","133","2.7",".78","5.7",".2","제주특별자치도 서귀포시 안덕면 상천리 670"
"4","5013031030","2020","20201231","2","4.5","132","","179",".8",".88",".4",".6","제주특별자치도 서귀포시 안덕면 상천리 744"
"5","5013031030","2020","20201231","2","6.1","35","","107","1.3","1.04","1.5",".2","제주특별자치도 서귀포시 안덕면 상천리 468"
"6","5013031030","2020","20201231","2","5.6","55","","119","1.1",".91","1",".2","제주특별자치도 서귀포시 안덕면 상천리 493"
"7","5013031030","2020","20201231","2","6.1","26","","112","2.9",".64","2.5",".2","제주특별자치도 서귀포시 안덕면 상천리 569"
"8","5013031030","2020","20201231","2","5.7","19","","118","1.5",".9","1",".2","제주특별자치도 서귀포시 안덕면 상천리 776-1"
"9","5013031030","2020","20200928","2","6.4","59.8","","109.2","2.38","1.02","6.51",".37","제주특별자치도 서귀포시 안덕면 상천리 468"
"10","5013031030","2020","20200928","2","5.9","120.6","","164.2","1.02","1.139","6.28",".3","제주특별자치도 서귀포시 안덕면 상천리 477"
"11","5013031030","2020","20200928","2","5.4","195.8","","135.9","1.32",".814","2.64",".38","제주특별자치도 서귀포시 안덕면 상천리 647"
"12","5013031030","2020","20200914","2","4.9","63","","237",".34",".3","1.49",".3","제주특별자치도 서귀포시 안덕면 상천리 768"
"13","5013031030","2021","20211207","2","6.3","107","","94","","1.4","","","제주특별자치도 서귀포시 안덕면 상천리 619-1"
"14","5013031030","2021","20211207","2","6.3","62","","149","",".78","","","제주특별자치도 서귀포시 안덕면 상천리 687"
"15","5013031030","2021","20211207","2","6.4","54","","107","",".62","","","제주특별자치도 서귀포시 안덕면 상천리 495"
"16","5013031030","2021","20211207","2","5.9","13","","92","",".81","","","제주특별자치도 서귀포시 안덕면 상천리 492"
"17","5013031030","2021","20211207","2","6.2","13","","107","",".75","","","제주특별자치도 서귀포시 안덕면 상천리 483"
"18","5013031030","2021","20211207","2","6.1","155","","108","","1.01","","","제주특별자치도 서귀포시 안덕면 상천리 532"
"19","5013031030","2021","20210514","2","5.3","10","","66",".2",".12",".5",".21","제주특별자치도 서귀포시 안덕면 상천리 3-1"
"20","5013031030","2021","20211112","2","6.6","1","","82","4.2","2.5","13.7","1","제주특별자치도 서귀포시 안덕면 상천리 3-1"
"21","5013031030","2021","20211224","2","5.7","1","","114","1.3","1.18","3.4","1.55","제주특별자치도 서귀포시 안덕면 상천리 492"
"22","5013031030","2021","20210608","2","","","","","","","","","제주특별자치도 서귀포시 안덕면 상천리 492"
"23","5013031030","2021","20210608","2","6","22","","122",".9",".96",".4",".2","제주특별자치도 서귀포시 안덕면 상천리 493"
"24","5013031030","2021","20210608","2","6","22","","122",".9",".96",".4",".2","제주특별자치도 서귀포시 안덕면 상천리 495"
"25","5013031030","2022","20220308","2","5.6","109","","150","1.4",".94","4","1.68","제주특별자치도 서귀포시 안덕면 상천리 617-4"
"26","5013031030","2022","20220308","2","5.4","124","","143","1.6","1.35","4.7","2.52","제주특별자치도 서귀포시 안덕면 상천리 617-6"
"27","5013031030","2022","20220411","2","5.4","58.2","","110.2","1.19","1.141","2.93","2.435","제주특별자치도 서귀포시 안덕면 상천리 43"
"28","5013031030","2022","20220411","2","5.4","53.1","","113.8","1.1","1.125","2.71","2.455","제주특별자치도 서귀포시 안덕면 상천리 495"
"29","5013031030","2022","20220427","2","4.8","132","","117",".7",".27",".5","1.01","제주특별자치도 서귀포시 안덕면 상천리 3"
"30","5013031030","2022","20220725","2","5","34.6","","135",".63",".757","1.6",".858","제주특별자치도 서귀포시 안덕면 상천리 492"
"31","5013031030","2022","20220725","2","5","30.7","","136",".66",".767","1.63",".94","제주특별자치도 서귀포시 안덕면 상천리 493"
"32","5013031030","2022","20220725","2","5","33.2","","131",".71",".783","1.73",".909","제주특별자치도 서귀포시 안덕면 상천리 495"
"33","5013031030","2022","20221110","2","5.4","43","","99",".6",".46","1.2",".35","제주특별자치도 서귀포시 안덕면 상천리 3-1"
"34","5013031030","2022","20220609","2","6.3","30","","141","3.5",".46","5.7",".65","제주특별자치도 서귀포시 안덕면 상천리 725"
"35","5013031030","2022","20220609","2","5.8","46","","126","2",".42","4",".65","제주특별자치도 서귀포시 안덕면 상천리 721"
"36","5013031030","2022","20220405","2","6.2","111","","123","3","1.02","9.9","1.89","제주특별자치도 서귀포시 안덕면 상천리 413"
"37","5013031030","2022","20220405","2","6","124","","177","3","1.1","10.3","1.64","제주특별자치도 서귀포시 안덕면 상천리 668"
"38","5013031030","2022","20220405","2","5.1","86","","154",".5",".9","1.9","1.4","제주특별자치도 서귀포시 안덕면 상천리 625"
"39","5013031030","2022","20220420","2","5.9","162","","177.6","1.75","1.41","10.78",".6","제주특별자치도 서귀포시 안덕면 상천리 620-2"
"40","5013031030","2022","20220510","2","6.3","111","","128","3.4","1.21","11.4","1.4","제주특별자치도 서귀포시 안덕면 상천리 413"
"41","5013031030","2022","20220510","2","6","72","","161","3.5","1.02","10.4","1.43","제주특별자치도 서귀포시 안덕면 상천리 668"
"42","5013031030","2022","20220510","2","6.9","155","","132","5.5",".74","18.8","1.12","제주특별자치도 서귀포시 안덕면 상천리 625"
"43","5013031030","2022","20221111","2","5.9","62","","86","2.2",".96","7.3",".75","제주특별자치도 서귀포시 안덕면 상천리 413"
"44","5013031030","2022","20221025","2","5.4","103.2","","92.6","2.29",".916","4.19",".54","제주특별자치도 서귀포시 안덕면 상천리 531"
"45","5013031030","2022","20221025","2","5.5","62.4","","84.4","1.03",".877","4.38",".329","제주특별자치도 서귀포시 안덕면 상천리 468"
"46","5013031030","2022","20221025","2","4.9","66.1","","104.2",".57",".911","2.54",".738","제주특별자치도 서귀포시 안덕면 상천리 475-2"
"47","5013031030","2022","20221025","2","5.9","129.4","","104.6","3.9","4.153","8.45","1.535","제주특별자치도 서귀포시 안덕면 상천리 611-1"
"48","5013031030","2022","20221025","2","5","72.1","","190.2",".43",".391","2.34",".226","제주특별자치도 서귀포시 안덕면 상천리 768"
"49","5013031030","2022","20221025","2","5","62.2","","136.6",".29",".353","2.15",".3","제주특별자치도 서귀포시 안덕면 상천리 620-9"
"50","5013031030","2022","20221025","2","5","129.5","","136.8","1.08",".538","2.33",".338","제주특별자치도 서귀포시 안덕면 상천리 598"
"51","5013031030","2022","20221025","2","5.9","45.6","","109.2","3.02",".485","6.08",".258","제주특별자치도 서귀포시 안덕면 상천리 573"
"52","5013031030","2022","20221025","2","5.2","135.7","","104.4","1.47",".703","2.84",".345","제주특별자치도 서귀포시 안덕면 상천리 647"
"53","5013031030","2022","20221025","2","5.5","156.2","","121.5","1.91",".994","5.05",".591","제주특별자치도 서귀포시 안덕면 상천리 721"
