"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013031027","2020","20201231","2","5.9","65","","87","1.3","1.12","1.9",".3","제주특별자치도 서귀포시 안덕면 서광리 622"
"2","5013031027","2020","20201231","2","6.1","19","","110","1.3",".9","2.3",".3","제주특별자치도 서귀포시 안덕면 서광리 606"
"3","5013031027","2020","20201231","2","6.8","584","","53","2.4","1.23","6.2",".2","제주특별자치도 서귀포시 안덕면 서광리 2035-2"
"4","5013031027","2020","20201231","2","6.4","106","","66","2.5","1.16","3.3",".3","제주특별자치도 서귀포시 안덕면 서광리 2445-1"
"5","5013031027","2020","20201231","2","6.2","427","","59","2.2","1.02","3",".1","제주특별자치도 서귀포시 안덕면 서광리 2003"
"6","5013031027","2020","20201231","2","4.7","145","","103","1",".95","1.2",".9","제주특별자치도 서귀포시 안덕면 서광리 218"
"7","5013031027","2020","20201231","3","6.3","880","","95","2.5","1.86","6.6",".4","제주특별자치도 서귀포시 안덕면 서광리 1744-3"
"8","5013031027","2020","20201231","3","5.8","2795","","91","4.6","1.54","6.3","1","제주특별자치도 서귀포시 안덕면 서광리 2371-1"
"9","5013031027","2020","20201231","3","4.6","423","","48","2.4","1.52",".4","1.1","제주특별자치도 서귀포시 안덕면 서광리 1703-1"
"10","5013031027","2020","20201231","3","6.9","610","","77","2.3","1.73","7",".5","제주특별자치도 서귀포시 안덕면 서광리 1545"
"11","5013031027","2020","20201231","4","5.1","905","","52","1.2","1.13","2.5",".2","제주특별자치도 서귀포시 안덕면 서광리 2056-1"
"12","5013031027","2020","20201231","4","6.1","390","","80","1.9",".88","5.2",".2","제주특별자치도 서귀포시 안덕면 서광리 2014"
"13","5013031027","2020","20201231","4","5.4","250","","123","1.1",".96",".4",".2","제주특별자치도 서귀포시 안덕면 서광리 194-2"
"14","5013031027","2020","20201231","4","5","513","","159","1.2",".85","2.5",".4","제주특별자치도 서귀포시 안덕면 서광리 436-1"
"15","5013031027","2020","20201102","2","6.8","13","","96",".3",".56","5.7",".2","제주특별자치도 서귀포시 안덕면 서광리 569-1"
"16","5013031027","2020","20200110","3","7.8","595","","153",".1","1.22","16.2",".58","제주특별자치도 서귀포시 안덕면 서광리 1954-1"
"17","5013031027","2020","20200205","3","6.6","547","","70","1.7",".54","12.6",".2","제주특별자치도 서귀포시 안덕면 서광리 830-1"
"18","5013031027","2020","20200629","3","5.3","824","","86","1.7",".78","2.4",".5","제주특별자치도 서귀포시 안덕면 서광리 2010-1"
"19","5013031027","2020","20201211","3","7.5","309","","5",".3",".19","1.6",".1","제주특별자치도 서귀포시 안덕면 서광리 24-1"
"20","5013031027","2020","20200120","4","6.5","1270","","116","4","1.71","16.1",".71","제주특별자치도 서귀포시 안덕면 서광리 537"
"21","5013031027","2020","20200120","4","6.7","1406","","82","3.6","1.85","10.6",".57","제주특별자치도 서귀포시 안덕면 서광리 537"
"22","5013031027","2020","20200120","4","6.1","1528","","109","3.5","2.35","13.4",".53","제주특별자치도 서귀포시 안덕면 서광리 537"
"23","5013031027","2020","20200120","4","5.9","274","","9","1.6","1","3.5",".37","제주특별자치도 서귀포시 안덕면 서광리 540"
"24","5013031027","2020","20200122","4","5.9","787","","124","2.8","1.42","12.5",".34","제주특별자치도 서귀포시 안덕면 서광리 694-1"
"25","5013031027","2020","20200130","4","6.9","408","","77",".1","2.28","17.5",".3","제주특별자치도 서귀포시 안덕면 서광리 830-1"
"26","5013031027","2020","20200130","4","6.6","547","","70","1.7",".54","12.6",".2","제주특별자치도 서귀포시 안덕면 서광리 830-1"
"27","5013031027","2020","20200130","4","6.3","237","","105","3.1","1.57","11.2",".2","제주특별자치도 서귀포시 안덕면 서광리 286"
"28","5013031027","2020","20200218","4","5.5","526","","140","1.9","2.74","2.5",".3","제주특별자치도 서귀포시 안덕면 서광리 1416"
"29","5013031027","2020","20200218","4","6.4","436","","135","3.3","2.84","5.2",".2","제주특별자치도 서귀포시 안덕면 서광리 1414"
"30","5013031027","2020","20200218","4","5.8","544","","128","2.2","2.75","2.9",".2","제주특별자치도 서귀포시 안덕면 서광리 1464-1"
"31","5013031027","2020","20200302","4","7.1","579","","170","3.4","1.92","27.4","1.66","제주특별자치도 서귀포시 안덕면 서광리 2385"
"32","5013031027","2020","20200407","4","4.5","195","","89",".6","1.73","1.6","1.8","제주특별자치도 서귀포시 안덕면 서광리 213-2"
"33","5013031027","2020","20200407","4","5.5","741","","54","1.4","1.69","5.3","1","제주특별자치도 서귀포시 안덕면 서광리 250-1"
"34","5013031027","2020","20200601","4","5.3","1204.8","","67.3","2.19",".72","5.96",".9","제주특별자치도 서귀포시 안덕면 서광리 2010-2"
"35","5013031027","2020","20200629","4","6.1","295","","104","2.2","2.56","5.7",".5","제주특별자치도 서귀포시 안덕면 서광리 979-3"
"36","5013031027","2020","20200701","4","6.5","245","","101.8","2.16","1.87","22.25","1.5","제주특별자치도 서귀포시 안덕면 서광리 2371-1"
"37","5013031027","2020","20200701","4","4.8","160.6","","90.7",".68","1.18","3.27",".8","제주특별자치도 서귀포시 안덕면 서광리 2371-1"
"38","5013031027","2020","20200701","4","7.6","408.4","","98.7","3.88","1.58","25.1",".7","제주특별자치도 서귀포시 안덕면 서광리 1958-2"
"39","5013031027","2020","20200914","2","5.9","191","","109","1.8","1.05","7.88",".2","제주특별자치도 서귀포시 안덕면 서광리 371-1"
"40","5013031027","2020","20200914","2","5.8","257","","44","2.49",".81","4.68",".6","제주특별자치도 서귀포시 안덕면 서광리 1713"
"41","5013031027","2020","20200914","2","6.6","857","","87","4.6","1.69","12.98",".5","제주특별자치도 서귀포시 안덕면 서광리 2267"
"42","5013031027","2020","20200928","2","6.2","130.3","","63.9","5.49",".86","10.99",".23","제주특별자치도 서귀포시 안덕면 서광리 1446"
