"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013031022","2020","20201231","2","6.5","624","","23","1.9","1.7","5.6",".8","제주특별자치도 서귀포시 안덕면 창천리 681-1"
"2","5013031022","2020","20201231","3","5.7","1447","","32","2.3","3.48","5.1",".9","제주특별자치도 서귀포시 안덕면 창천리 875-4"
"3","5013031022","2020","20201231","3","6.8","858","","35","2.4","2.86","7.5","1.5","제주특별자치도 서귀포시 안덕면 창천리 975-1"
"4","5013031022","2020","20201231","3","6.3","1027","","59","3.2","3.74","5.7","1.8","제주특별자치도 서귀포시 안덕면 창천리 747-1"
"5","5013031022","2020","20201231","3","5.4","303","","62","1.6",".92","2.9",".7","제주특별자치도 서귀포시 안덕면 창천리 358"
"6","5013031022","2020","20201231","4","4.5","897","","43",".5",".5",".1",".2","제주특별자치도 서귀포시 안덕면 창천리 734-1"
"7","5013031022","2020","20201231","4","6.2","678","","53","2.5","2.87","7.1",".2","제주특별자치도 서귀포시 안덕면 창천리 707-2"
"8","5013031022","2020","20201231","4","4.9","787","","71",".7",".45",".6",".2","제주특별자치도 서귀포시 안덕면 창천리 1404"
"9","5013031022","2020","20201231","4","5.1","297","","137","1.1",".51","1.2",".3","제주특별자치도 서귀포시 안덕면 창천리 22"
"10","5013031022","2020","20201231","4","5.7","303","","64","2.3","1.99","2.2","1.2","제주특별자치도 서귀포시 안덕면 창천리 32"
"11","5013031022","2020","20201231","4","5","571","","58","1.2",".73","1.4",".5","제주특별자치도 서귀포시 안덕면 창천리 346-1"
"12","5013031022","2020","20201231","4","5.5","123","","143","1.9",".73","2.2",".3","제주특별자치도 서귀포시 안덕면 창천리 281"
"13","5013031022","2020","20201231","4","5","261","","142",".5",".51","1.1",".3","제주특별자치도 서귀포시 안덕면 창천리 288-2"
"14","5013031022","2020","20200204","3","5.1","1119","","34","4.5","2.89","6.2","1.31","제주특별자치도 서귀포시 안덕면 창천리 498-5"
"15","5013031022","2020","20200217","4","6.2","156","","41","6.7",".68","9.7",".91","제주특별자치도 서귀포시 안덕면 창천리 267"
"16","5013031022","2020","20200810","2","6.4","656","","40",".3","1.51","3.3",".22","제주특별자치도 서귀포시 안덕면 창천리 964"
"17","5013031022","2020","20200814","2","6.2","151","","41","2.6",".36","4.7",".14","제주특별자치도 서귀포시 안덕면 창천리 662"
"18","5013031022","2020","20200226","4","6.6","195","","55","4.4","1.36","9.8",".19","제주특별자치도 서귀포시 안덕면 창천리 1290"
"19","5013031022","2020","20200504","2","7.7","625","","11",".9","1.03","6.9",".2","제주특별자치도 서귀포시 안덕면 창천리 691-1"
"20","5013031022","2020","20200722","2","8","863","","20","1.9","1.8","4.3",".3","제주특별자치도 서귀포시 안덕면 창천리 691-1"
"21","5013031022","2020","20200227","3","5.5","527","","61",".2","6.12",".9","2.3","제주특별자치도 서귀포시 안덕면 창천리 687-3"
"22","5013031022","2020","20200227","3","7","1085","","67",".2","5.54",".9","1.2","제주특별자치도 서귀포시 안덕면 창천리 960-2"
"23","5013031022","2020","20200401","3","4.8","987","","59","1.5","2.4","3.2",".8","제주특별자치도 서귀포시 안덕면 창천리 720"
"24","5013031022","2020","20200522","3","6.4","476","","139","5.3","1.56","14","5.7","제주특별자치도 서귀포시 안덕면 창천리 17"
"25","5013031022","2020","20200708","3","6.2","1010","","113","3","2.11","5.1","3.3","제주특별자치도 서귀포시 안덕면 창천리 511-2"
"26","5013031022","2020","20200910","3","5.3","197","","170","4.4","4.42","10.4","7.27","제주특별자치도 서귀포시 안덕면 창천리 287"
"27","5013031022","2020","20201126","3","5.9","276","","85","3.8","3.09","6","1.5","제주특별자치도 서귀포시 안덕면 창천리 1293"
"28","5013031022","2020","20200316","4","5.7","680","","52","2.2",".47","5.2",".12","제주특별자치도 서귀포시 안덕면 창천리 1054"
"29","5013031022","2020","20200701","4","5.9","49.1","","71.5","2.51","1.25","8.22",".4","제주특별자치도 서귀포시 안덕면 창천리 392-2"
"30","5013031022","2020","20200825","4","4.8","710","","33","2.6",".74","2.1",".2","제주특별자치도 서귀포시 안덕면 창천리 628"
"31","5013031022","2020","20200825","4","5.3","679","","62","2.9",".64","2.9",".2","제주특별자치도 서귀포시 안덕면 창천리 630"
"32","5013031022","2020","20201014","4","5.3","699","","77","1",".32","2.2",".13","제주특별자치도 서귀포시 안덕면 창천리 729-1"
"33","5013031022","2020","20201022","8","6.2","669.4","","29.4","2.66","1.65","9.54",".8","제주특별자치도 서귀포시 안덕면 창천리 766-8"
"34","5013031022","2020","20200915","2","6","73","","76","3.63","1.46","5.16",".4","제주특별자치도 서귀포시 안덕면 창천리 32"
"35","5013031022","2020","20200915","2","6.3","33","","86","3.03","1.54","7.91",".3","제주특별자치도 서귀포시 안덕면 창천리 181"
"36","5013031022","2020","20200915","2","7.5","324.1","","24.7","4.93","2.552","13.57",".51","제주특별자치도 서귀포시 안덕면 창천리 951-8"
