"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013032026","2020","20201124","4","5.1","213","","187","",".18","","","제주특별자치도 서귀포시 표선면 토산리 168-7"
"2","5013032026","2020","20200605","2","6.3","10","","143","1.9",".01","4",".4","제주특별자치도 서귀포시 표선면 토산리 1147"
"3","5013032026","2020","20200605","2","6.3","10","","148","1.9",".01","4.4",".41","제주특별자치도 서귀포시 표선면 토산리 1152"
"4","5013032026","2020","20200605","2","6.4","10","","192",".1",".01",".5",".16","제주특별자치도 서귀포시 표선면 토산리 1568"
"5","5013032026","2020","20200605","2","6.3","10","","181",".2",".01",".2",".15","제주특별자치도 서귀포시 표선면 토산리 1618"
"6","5013032026","2020","20200605","2","6.2","10","","148","1.3",".01","3.8",".46","제주특별자치도 서귀포시 표선면 토산리 1972"
"7","5013032026","2020","20200605","2","6","10","","222",".1",".01",".5",".23","제주특별자치도 서귀포시 표선면 토산리 750"
"8","5013032026","2020","20200622","2","6","132","","160","1.7","2.74","6.5",".6","제주특별자치도 서귀포시 표선면 토산리 90-1"
"9","5013032026","2020","20200330","4","5.7","10","","192","1.5",".11","2.4",".11","제주특별자치도 서귀포시 표선면 토산리 4"
"10","5013032026","2020","20200622","4","5.8","130","","154","1.6","2.63","6.8",".72","제주특별자치도 서귀포시 표선면 토산리 212"
"11","5013032026","2020","20200925","2","5.3","79","","138",".9",".74","2.4",".37","제주특별자치도 서귀포시 표선면 토산리 2036"
"12","5013032026","2020","20200925","2","5.5","74","","140",".8",".71","2.3",".34","제주특별자치도 서귀포시 표선면 토산리 2039"
"13","5013032026","2020","20200925","2","5.6","54","","159","1",".95","3",".43","제주특별자치도 서귀포시 표선면 토산리 2026"
"14","5013032026","2020","20200925","2","5.6","68","","149",".9",".74","2",".34","제주특별자치도 서귀포시 표선면 토산리 1988"
"15","5013032026","2020","20200925","2","5.6","72","","151",".8",".75","2.1",".34","제주특별자치도 서귀포시 표선면 토산리 162-3"
"16","5013032026","2020","20201008","2","5.7","72","","144","1",".63","2.1",".25","제주특별자치도 서귀포시 표선면 토산리 1991"
"17","5013032026","2020","20200421","4","4.8","612","","284","3.1",".93","7.4","2.41","제주특별자치도 서귀포시 표선면 토산리 189"
"18","5013032026","2020","20200604","4","5.6","533","","139",".1",".73","4.8",".2","제주특별자치도 서귀포시 표선면 토산리 1533-4"
"19","5013032026","2020","20200824","2","5.7","150","","155","1.8","1.34","7.2",".48","제주특별자치도 서귀포시 표선면 토산리 752"
"20","5013032026","2020","20200925","2","5.7","54","","156",".9",".84","2.8",".36","제주특별자치도 서귀포시 표선면 토산리 2042"
"21","5013032026","2020","20200925","2","5.8","71","","136",".8",".76","1.9",".32","제주특별자치도 서귀포시 표선면 토산리 1619"
"22","5013032026","2020","20201008","2","5.4","73","","137","1",".63","2.5",".32","제주특별자치도 서귀포시 표선면 토산리 1781-1"
"23","5013032026","2020","20201026","2","5.3","78","","138","1",".65","2.5",".37","제주특별자치도 서귀포시 표선면 토산리 2041"
"24","5013032026","2020","20200213","3","6.3","915","","151","9.6","3.58","25.7","2.23","제주특별자치도 서귀포시 표선면 토산리 1618-1"
"25","5013032026","2020","20200306","3","6.4","196","","107","4.8","1.43","13.3",".34","제주특별자치도 서귀포시 표선면 토산리 1510"
"26","5013032026","2020","20200507","3","6.5","779","","137",".3","4.98","19.7","1.04","제주특별자치도 서귀포시 표선면 토산리 816-1"
"27","5013032026","2020","20200507","3","6.6","279","","142",".1","2.13","29.1","1","제주특별자치도 서귀포시 표선면 토산리 816-1"
"28","5013032026","2020","20200522","3","6","289","","149","7.4","3.55","14","5.65","제주특별자치도 서귀포시 표선면 토산리 1653"
"29","5013032026","2020","20200522","3","6.8","268","","139","6.7",".01","18.2",".66","제주특별자치도 서귀포시 표선면 토산리 1653"
"30","5013032026","2020","20200522","3","6.7","989","","153",".5","6.52","17","3.18","제주특별자치도 서귀포시 표선면 토산리 1653"
"31","5013032026","2020","20200522","3","6.9","716","","134",".3","4.35","14.1",".61","제주특별자치도 서귀포시 표선면 토산리 1653"
"32","5013032026","2020","20200522","3","5.9","182","","146",".3","2.91","10.6","3.21","제주특별자치도 서귀포시 표선면 토산리 1653"
"33","5013032026","2020","20200522","3","6.8","736","","164",".3","2.57","18.6","1.25","제주특별자치도 서귀포시 표선면 토산리 1425-1"
"34","5013032026","2020","20200623","3","4.3","70","","151",".9","1.09","2.4","1.52","제주특별자치도 서귀포시 표선면 토산리 851-3"
"35","5013032026","2020","20200723","3","5.9","240","","132","1.2","1","5.6",".47","제주특별자치도 서귀포시 표선면 토산리 258"
"36","5013032026","2020","20200723","3","5.3","389","","135","1.5","4.2","6.7","3.47","제주특별자치도 서귀포시 표선면 토산리 403-4"
"37","5013032026","2020","20200723","3","6.3","421","","130","2.1","2.05","8.7",".23","제주특별자치도 서귀포시 표선면 토산리 401"
"38","5013032026","2020","20200224","4","5.9","64","","140","1.3",".52","2.6",".19","제주특별자치도 서귀포시 표선면 토산리 693-2"
"39","5013032026","2020","20200305","4","5.9","310","","113","3",".72","7.3",".21","제주특별자치도 서귀포시 표선면 토산리 1465"
"40","5013032026","2020","20200305","4","5.5","139","","81","1.5",".9","2.7",".2","제주특별자치도 서귀포시 표선면 토산리 1464"
"41","5013032026","2020","20200407","4","6","32","","83","2",".66","4.2",".14","제주특별자치도 서귀포시 표선면 토산리 1309"
"42","5013032026","2020","20200507","4","7.6","327","","208",".5",".55","30",".7","제주특별자치도 서귀포시 표선면 토산리 1451-1"
"43","5013032026","2020","20200507","4","6.5","222","","150",".3","1.55","20.4",".79","제주특별자치도 서귀포시 표선면 토산리 1545-3"
"44","5013032026","2020","20200522","4","5.7","467","","167",".2","2.14","5.9",".57","제주특별자치도 서귀포시 표선면 토산리 1708-1"
"45","5013032026","2020","20200522","4","6.4","297","","113",".2","1.28","11.9",".88","제주특별자치도 서귀포시 표선면 토산리 1757"
"46","5013032026","2020","20200528","4","5.1","181","","200",".4",".2","2.3",".27","제주특별자치도 서귀포시 표선면 토산리 189"
"47","5013032026","2020","20200616","4","5.6","86","","119",".9",".55","3.1",".35","제주특별자치도 서귀포시 표선면 토산리 1293"
"48","5013032026","2020","20200604","4","6.5","507","","213","2","2.29","16.4",".4","제주특별자치도 서귀포시 표선면 토산리 1681"
"49","5013032026","2020","20201005","4","5.8","10","","149","1.1",".52","2.4",".27","제주특별자치도 서귀포시 표선면 토산리 193"
"50","5013032026","2020","20201109","4","5.8","253","","196","1.4",".7","6.8",".3","제주특별자치도 서귀포시 표선면 토산리 1013"
"51","5013032026","2020","20201109","4","6","148","","263","2.9",".51","7.1",".2","제주특별자치도 서귀포시 표선면 토산리 1013"
"52","5013032026","2020","20201109","4","5.7","458","","194","1.7",".42","6.3",".15","제주특별자치도 서귀포시 표선면 토산리 1014"
"53","5013032026","2020","20201109","4","4.6","499","","300",".4",".24","1.7",".28","제주특별자치도 서귀포시 표선면 토산리 1016"
"54","5013032026","2020","20201109","4","4.6","550","","300",".7",".25","2.4",".24","제주특별자치도 서귀포시 표선면 토산리 1017-2"
"55","5013032026","2020","20200729","3","6.4","321","","132","7.9",".65","20.7","1.14","제주특별자치도 서귀포시 표선면 토산리 1558-5"
"56","5013032026","2020","20200729","4","6.8","360","","152","5.9","3","23.5","1.13","제주특별자치도 서귀포시 표선면 토산리 1558-5"
"57","5013032026","2020","20200114","3","6.1","556","","99","12.1","3.05","21","1.16","제주특별자치도 서귀포시 표선면 토산리 1580"
"58","5013032026","2020","20200114","3","5.5","117","","117",".3","1.67","13","1.98","제주특별자치도 서귀포시 표선면 토산리 1583"
"59","5013032026","2020","20200213","3","4.9","108","","163","2.5",".41","6.4","1.63","제주특별자치도 서귀포시 표선면 토산리 259-1"
"60","5013032026","2020","20200313","3","6.2","84","","103","2.3",".57","5.4",".17","제주특별자치도 서귀포시 표선면 토산리 2027"
"61","5013032026","2020","20200506","3","6","10","","141","2.2",".37","5.5",".12","제주특별자치도 서귀포시 표선면 토산리 1617-1"
"62","5013032026","2020","20200506","3","6.3","10","","138","2.8",".27","5.3",".1","제주특별자치도 서귀포시 표선면 토산리 1617-1"
"63","5013032026","2020","20200609","3","6.2","305","","145","3.3","2.46","15","1.06","제주특별자치도 서귀포시 표선면 토산리 1572-1"
"64","5013032026","2020","20200609","3","6.5","206","","137","4.7","1.77","17",".67","제주특별자치도 서귀포시 표선면 토산리 1572-1"
"65","5013032026","2020","20200609","3","6.6","236","","140","4.7","1.68","17.3",".63","제주특별자치도 서귀포시 표선면 토산리 1572-1"
"66","5013032026","2020","20200609","3","6.4","226","","149","4.4","1.53","13.3",".64","제주특별자치도 서귀포시 표선면 토산리 1572-1"
"67","5013032026","2020","20200625","3","5.4","126","","185",".9","1.91","3.5",".65","제주특별자치도 서귀포시 표선면 토산리 181"
"68","5013032026","2020","20200713","3","5.7","1672","","193","7.2","6.15","12.4","4.45","제주특별자치도 서귀포시 표선면 토산리 1552-1"
"69","5013032026","2020","20200903","3","4.9","1026","","227","3.6","5.69","5.6","3.92","제주특별자치도 서귀포시 표선면 토산리 77-1"
"70","5013032026","2020","20200903","3","5.9","304","","141","1.3","1.8","11.2",".9","제주특별자치도 서귀포시 표선면 토산리 264-4"
"71","5013032026","2020","20201120","3","6.8","434","","120","5.6","3.82","14.8",".88","제주특별자치도 서귀포시 표선면 토산리 1550-1"
"72","5013032026","2020","20201120","3","5.8","71","","108","2.3",".7","3.9",".3","제주특별자치도 서귀포시 표선면 토산리 1550-1"
"73","5013032026","2020","20201120","3","6.7","219","","130","5.3","1.31","10.1",".48","제주특별자치도 서귀포시 표선면 토산리 1550-3"
"74","5013032026","2020","20201120","3","5.1","684","","154","3.6","2.9","6.1","1.94","제주특별자치도 서귀포시 표선면 토산리 1551-3"
"75","5013032026","2020","20201120","3","4.7","82","","125","1.8","2.93","3.7","3.6","제주특별자치도 서귀포시 표선면 토산리 1551-3"
"76","5013032026","2020","20201126","3","6.4","229","","122","1.9","1.25","6.4",".18","제주특별자치도 서귀포시 표선면 토산리 1589-2"
"77","5013032026","2020","20201207","3","5.9","153","","120","1.5",".87","6.6",".84","제주특별자치도 서귀포시 표선면 토산리 1628-1"
"78","5013032026","2020","20201221","3","6.1","221","","134","3.1","1.57","6.7",".25","제주특별자치도 서귀포시 표선면 토산리 1589-2"
"79","5013032026","2020","20201221","3","6.3","359","","133","4.1","1.22","6.7",".22","제주특별자치도 서귀포시 표선면 토산리 1589-2"
"80","5013032026","2020","20201221","3","6.2","284","","142","2.3","1.52","8.9",".32","제주특별자치도 서귀포시 표선면 토산리 1589-2"
"81","5013032026","2020","20200213","4","5","137","","146","5.3",".83","7.7","2.24","제주특별자치도 서귀포시 표선면 토산리 270-8"
"82","5013032026","2020","20200220","4","5.2","91","","145","1.4",".36","2.3",".19","제주특별자치도 서귀포시 표선면 토산리 666"
"83","5013032026","2020","20200522","4","5.9","159","","128",".1",".01","3.9",".18","제주특별자치도 서귀포시 표선면 토산리 1630-1"
"84","5013032026","2020","20200717","4","4.5","170","","149",".4",".36",".5",".69","제주특별자치도 서귀포시 표선면 토산리 865"
"85","5013032026","2020","20201207","4","5.6","10","","168",".3",".23",".8",".12","제주특별자치도 서귀포시 표선면 토산리 1992"
"86","5013032026","2021","20211013","3","7.7","149","","105","",".86","","","제주특별자치도 서귀포시 표선면 토산리 1522-1"
"87","5013032026","2021","20211013","3","6.1","351","","109","","1.84","","","제주특별자치도 서귀포시 표선면 토산리 1541-2"
"88","5013032026","2021","20211013","3","6.5","342","","98","","2.49","","","제주특별자치도 서귀포시 표선면 토산리 1561-3"
"89","5013032026","2021","20211013","3","6.4","32","","106","",".88","","","제주특별자치도 서귀포시 표선면 토산리 1589-2"
"90","5013032026","2021","20211013","3","6.3","65","","90","",".55","","","제주특별자치도 서귀포시 표선면 토산리 1570-4"
"91","5013032026","2021","20210909","4","5","356","","46","",".83","","","제주특별자치도 서귀포시 표선면 토산리 1000-1"
"92","5013032026","2021","20210909","4","5.8","200","","81","",".31","","","제주특별자치도 서귀포시 표선면 토산리 1026-1"
"93","5013032026","2021","20210909","4","5.9","343","","76","",".21","","","제주특별자치도 서귀포시 표선면 토산리 1026-4"
