"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013032022","2020","20201111","2","4.8","10","","96","",".19","","","제주특별자치도 서귀포시 표선면 하천리 1029-1"
"2","5013032022","2020","20201023","4","5","30","","152","",".12","","","제주특별자치도 서귀포시 표선면 하천리 312-1"
"3","5013032022","2020","20201023","4","5.5","55","","124","",".36","","","제주특별자치도 서귀포시 표선면 하천리 308-1"
"4","5013032022","2020","20201023","4","6.5","222","","161","",".78","","","제주특별자치도 서귀포시 표선면 하천리 266-1"
"5","5013032022","2020","20201023","4","6.2","81","","59","",".4","","","제주특별자치도 서귀포시 표선면 하천리 418"
"6","5013032022","2020","20201023","4","5.8","643","","176","","1.31","","","제주특별자치도 서귀포시 표선면 하천리 1071"
"7","5013032022","2020","20201023","4","4","365","","160","",".86","","","제주특별자치도 서귀포시 표선면 하천리 1073"
"8","5013032022","2020","20201023","4","5","605","","132","",".22","","","제주특별자치도 서귀포시 표선면 하천리 246-2"
"9","5013032022","2020","20201023","4","5.5","271","","134","",".33","","","제주특별자치도 서귀포시 표선면 하천리 211"
"10","5013032022","2020","20201023","4","6.1","150","","130","",".85","","","제주특별자치도 서귀포시 표선면 하천리 227-4"
"11","5013032022","2020","20201023","4","6.1","96","","172","",".86","","","제주특별자치도 서귀포시 표선면 하천리 196"
"12","5013032022","2020","20201110","4","5.3","268","","111","",".41","","","제주특별자치도 서귀포시 표선면 하천리 630"
"13","5013032022","2020","20201110","4","5","385","","109","",".41","","","제주특별자치도 서귀포시 표선면 하천리 791-5"
"14","5013032022","2020","20201111","4","5","200","","102","",".23","","","제주특별자치도 서귀포시 표선면 하천리 994"
"15","5013032022","2020","20201111","4","4.4","296","","111","",".27","","","제주특별자치도 서귀포시 표선면 하천리 432"
"16","5013032022","2020","20201111","4","5","33","","127","",".18","","","제주특별자치도 서귀포시 표선면 하천리 604-1"
"17","5013032022","2020","20201111","4","6.8","273","","88","",".48","","","제주특별자치도 서귀포시 표선면 하천리 686-1"
"18","5013032022","2020","20201111","4","5.3","282","","158","",".35","","","제주특별자치도 서귀포시 표선면 하천리 1249-6"
"19","5013032022","2020","20201111","4","5.2","690","","102","",".71","","","제주특별자치도 서귀포시 표선면 하천리 431"
"20","5013032022","2020","20201111","4","5","409","","109","",".48","","","제주특별자치도 서귀포시 표선면 하천리 972-1"
"21","5013032022","2020","20201111","4","5.3","820","","116","","1.38","","","제주특별자치도 서귀포시 표선면 하천리 1015-4"
"22","5013032022","2020","20201111","4","4.6","26","","189","",".31","","","제주특별자치도 서귀포시 표선면 하천리 461-3"
"23","5013032022","2020","20201111","4","5.2","362","","124","",".28","","","제주특별자치도 서귀포시 표선면 하천리 1249-1"
