"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025323","2020","20200929","3","4.7","167","","97","",".83","","","제주특별자치도 서귀포시 남원읍 한남리 1214"
"2","5013025323","2020","20200929","3","5","461","","117","","1.44","","","제주특별자치도 서귀포시 남원읍 한남리 1255-2"
"3","5013025323","2020","20200929","3","5.3","602","","149","","2.66","","","제주특별자치도 서귀포시 남원읍 한남리 335-1"
"4","5013025323","2020","20200929","3","5.1","293","","161","",".82","","","제주특별자치도 서귀포시 남원읍 한남리 431"
"5","5013025323","2020","20200929","3","5.7","332","","134","",".41","","","제주특별자치도 서귀포시 남원읍 한남리 546"
"6","5013025323","2020","20200929","4","6.1","133","","138","",".37","","","제주특별자치도 서귀포시 남원읍 한남리 233"
"7","5013025323","2020","20200929","4","5.4","282","","126","",".25","","","제주특별자치도 서귀포시 남원읍 한남리 480-9"
"8","5013025323","2020","20200929","4","5.5","528","","177","",".86","","","제주특별자치도 서귀포시 남원읍 한남리 681-1"
"9","5013025323","2020","20200929","4","5.5","19","","183","",".14","","","제주특별자치도 서귀포시 남원읍 한남리 957"
"10","5013025323","2020","20200605","2","5.5","10","","237",".6",".1",".9",".29","제주특별자치도 서귀포시 남원읍 한남리 961-1"
"11","5013025323","2020","20200911","2","5.8","10","","186",".5",".29","3.3",".26","제주특별자치도 서귀포시 남원읍 한남리 11-7"
"12","5013025323","2020","20200401","3","4.8","164","","178","1.7","1.04","3.3",".98","제주특별자치도 서귀포시 남원읍 한남리 651-1"
"13","5013025323","2020","20200401","3","6","24","","107","2.9","1.09","11.6","1.22","제주특별자치도 서귀포시 남원읍 한남리 651-28"
"14","5013025323","2020","20200309","4","6.1","55","","150","2.3",".19","6.6",".15","제주특별자치도 서귀포시 남원읍 한남리 446-2"
"15","5013025323","2020","20200601","4","5.3","243","","223",".9",".18","3",".19","제주특별자치도 서귀포시 남원읍 한남리 251"
"16","5013025323","2020","20200731","4","5.9","180","","210","1.7",".28","15.9",".46","제주특별자치도 서귀포시 남원읍 한남리 1141"
"17","5013025323","2020","20200703","2","5.7","15","","149",".6","1.38","1.1",".3","제주특별자치도 서귀포시 남원읍 한남리 1633"
"18","5013025323","2020","20200703","2","5.7","15","","149",".6","1.38","1.1",".3","제주특별자치도 서귀포시 남원읍 한남리 1633"
"19","5013025323","2020","20200703","2","5.7","15","","149",".6","1.38","1.1",".3","제주특별자치도 서귀포시 남원읍 한남리 1633"
"20","5013025323","2020","20200313","3","4.9","638","","166","4.2","3.85","11","3.74","제주특별자치도 서귀포시 남원읍 한남리 206-2"
"21","5013025323","2020","20200401","3","5","250","","239","3.3","3.11","7.6","2.27","제주특별자치도 서귀포시 남원읍 한남리 600"
"22","5013025323","2020","20200422","3","5.2","55","","116","2.2",".65","8.9","1.98","제주특별자치도 서귀포시 남원읍 한남리 151"
"23","5013025323","2020","20200616","3","6","144","","121","4.2","4.25","8.2","3.83","제주특별자치도 서귀포시 남원읍 한남리 446-1"
"24","5013025323","2020","20200616","3","6.5","319","","169","9.1","1.36","19.3","3.86","제주특별자치도 서귀포시 남원읍 한남리 446-6"
"25","5013025323","2020","20200401","4","6.1","69","","180","2.6",".4","7.2",".14","제주특별자치도 서귀포시 남원읍 한남리 874"
"26","5013025323","2020","20200401","4","5.6","10","","212","1.2",".26","3.1",".19","제주특별자치도 서귀포시 남원읍 한남리 873"
"27","5013025323","2020","20200401","4","6","18","","224","1.3",".67","5.6",".19","제주특별자치도 서귀포시 남원읍 한남리 643-4"
"28","5013025323","2020","20200629","4","5.7","15","","149",".6","1.38","1.1",".3","제주특별자치도 서귀포시 남원읍 한남리 1633"
"29","5013025323","2020","20200107","3","4","1031.7","","215.9","1.35","1.5","2.97","3.4","제주특별자치도 서귀포시 남원읍 한남리 28-1"
"30","5013025323","2020","20200109","3","4.8","147","","179","2.1",".63","4.3",".87","제주특별자치도 서귀포시 남원읍 한남리 377-5"
"31","5013025323","2020","20200225","3","5.5","86","","235","4.3","1.73","7.6","1.57","제주특별자치도 서귀포시 남원읍 한남리 1544"
"32","5013025323","2020","20200304","3","5.5","253","","183","2.2",".76","5.5",".58","제주특별자치도 서귀포시 남원읍 한남리 377-4"
"33","5013025323","2020","20200504","3","4.5","287","","211","2.1",".01","4.5","1.67","제주특별자치도 서귀포시 남원읍 한남리 399"
"34","5013025323","2020","20200504","3","4.2","1042","","209","1.4","1.32","3.4","2.64","제주특별자치도 서귀포시 남원읍 한남리 399"
"35","5013025323","2020","20200504","3","4.3","723","","138","2.6",".04","4.2",".77","제주특별자치도 서귀포시 남원읍 한남리 399"
"36","5013025323","2020","20200907","3","4.2","10","","168","1.1","1.47","2.4","2.18","제주특별자치도 서귀포시 남원읍 한남리 190"
"37","5013025323","2020","20200907","3","4.3","288","","137","1.3","1.14","3.4","2.82","제주특별자치도 서귀포시 남원읍 한남리 190"
"38","5013025323","2020","20201117","3","5.3","111","","164","1.6",".41","4.2","1.46","제주특별자치도 서귀포시 남원읍 한남리 1502-1"
"39","5013025323","2020","20201123","3","5.3","134","","189","2.6","1.17","8.4","1.59","제주특별자치도 서귀포시 남원읍 한남리 28-3"
"40","5013025323","2020","20201123","3","4.4","166","","135","1",".82","2.7","1.99","제주특별자치도 서귀포시 남원읍 한남리 1214"
"41","5013025323","2020","20201201","3","5.4","256","","175","3.6","1.72","7.3","1.92","제주특별자치도 서귀포시 남원읍 한남리 38-1"
"42","5013025323","2020","20201229","3","5.1","228","","169","1.7","1.21","3.7","1.36","제주특별자치도 서귀포시 남원읍 한남리 1202-1"
"43","5013025323","2020","20200107","4","4.7","634.3","","199.3",".61",".14","1.46",".3","제주특별자치도 서귀포시 남원읍 한남리 28-1"
"44","5013025323","2020","20200109","4","5","131","","188",".8",".37","1.9",".18","제주특별자치도 서귀포시 남원읍 한남리 376"
"45","5013025323","2020","20200304","4","6","317","","176","2.5",".52","9.8",".15","제주특별자치도 서귀포시 남원읍 한남리 377-4"
"46","5013025323","2020","20200304","4","6.2","252","","189","1.6",".3","5.2",".19","제주특별자치도 서귀포시 남원읍 한남리 377-4"
"47","5013025323","2020","20200305","4","6.2","108","","115","3",".25","5.8",".28","제주특별자치도 서귀포시 남원읍 한남리 642"
"48","5013025323","2020","20200904","2","5","495","","300",".9",".49",".1",".32","제주특별자치도 서귀포시 남원읍 한남리 1130"
"49","5013025323","2020","20200904","2","5.1","336","","300","1",".2","2.7",".26","제주특별자치도 서귀포시 남원읍 한남리 1144"
"50","5013025323","2020","20200904","2","5.7","50","","110",".7",".2",".1",".23","제주특별자치도 서귀포시 남원읍 한남리 1509"
"51","5013025323","2020","20200904","2","5.2","82","","280",".8","1.09",".1",".91","제주특별자치도 서귀포시 남원읍 한남리 1500-1"
"52","5013025323","2020","20200907","2","5.7","10","","179",".6",".21",".1",".19","제주특별자치도 서귀포시 남원읍 한남리 1633-1"
"53","5013025323","2020","20200907","2","6.3","10","","75",".9",".3",".1",".11","제주특별자치도 서귀포시 남원읍 한남리 202-1"
"54","5013025323","2020","20200907","2","5.4","33","","163",".6",".23","1","3.61","제주특별자치도 서귀포시 남원읍 한남리 950"
"55","5013025323","2020","20200907","2","5.3","499","","300","1.1",".83","2.8","1.31","제주특별자치도 서귀포시 남원읍 한남리 1511-1"
"56","5013025323","2020","20200907","3","5.1","851","","151","1","2.45","8.4","2.65","제주특별자치도 서귀포시 남원읍 한남리 6"
"57","5013025323","2020","20200907","3","5.7","691","","195","5.6","1.62","14.9","1.15","제주특별자치도 서귀포시 남원읍 한남리 68"
"58","5013025323","2020","20200907","3","5.3","1513","","229","2.6",".9","4.8","5.96","제주특별자치도 서귀포시 남원읍 한남리 160-1"
"59","5013025323","2020","20200907","3","5.1","227","","228","1.9","1.62","4",".8","제주특별자치도 서귀포시 남원읍 한남리 378-3"
"60","5013025323","2020","20200907","3","5.5","514","","226","2.7","1.12","16.1","1.77","제주특별자치도 서귀포시 남원읍 한남리 249-5"
"61","5013025323","2020","20200907","3","5.5","860","","238","3.4","1.71","12.3","2.05","제주특별자치도 서귀포시 남원읍 한남리 161"
"62","5013025323","2020","20200907","4","5","569","","201",".7",".24",".4",".29","제주특별자치도 서귀포시 남원읍 한남리 4"
"63","5013025323","2020","20200907","4","5","284","","144",".6",".14",".1",".17","제주특별자치도 서귀포시 남원읍 한남리 535"
"64","5013025323","2020","20200907","4","5.2","185","","119",".6",".26",".1",".25","제주특별자치도 서귀포시 남원읍 한남리 62"
