"","apt_juso..duplicated.apt_juso...."
"1","제주특별자치도 제주시 한림읍 귀덕리 153"
"2","제주특별자치도 제주시 한림읍 귀덕리 447-1"
"3","제주특별자치도 제주시 한림읍 귀덕리 449-4"
"4","제주특별자치도 제주시 한림읍 귀덕리 454"
"5","제주특별자치도 제주시 한림읍 귀덕리 1000-2"
"6","제주특별자치도 제주시 한림읍 귀덕리 1332-1"
"7","제주특별자치도 제주시 한림읍 귀덕리 1454-1"
"8","제주특별자치도 제주시 한림읍 귀덕리 2423-1"
"9","제주특별자치도 제주시 한림읍 귀덕리 2875-2"
"10","제주특별자치도 제주시 한림읍 귀덕리 2880-2"
"11","제주특별자치도 제주시 한림읍 귀덕리 30"
"12","제주특별자치도 제주시 한림읍 귀덕리 1246-1"
"13","제주특별자치도 제주시 한림읍 귀덕리 862-1"
"14","제주특별자치도 제주시 한림읍 귀덕리 860"
"15","제주특별자치도 제주시 한림읍 귀덕리 881"
"16","제주특별자치도 제주시 한림읍 귀덕리 2241"
"17","제주특별자치도 제주시 한림읍 귀덕리 58-4"
"18","제주특별자치도 제주시 한림읍 귀덕리 448-12"
"19","제주특별자치도 제주시 한림읍 귀덕리 276"
"20","제주특별자치도 제주시 한림읍 귀덕리 280"
"21","제주특별자치도 제주시 한림읍 귀덕리 281"
"22","제주특별자치도 제주시 한림읍 귀덕리 283"
"23","제주특별자치도 제주시 한림읍 귀덕리 291-1"
"24","제주특별자치도 제주시 한림읍 귀덕리 302"
"25","제주특별자치도 제주시 한림읍 귀덕리 846-1"
"26","제주특별자치도 제주시 한림읍 귀덕리 859-1"
"27","제주특별자치도 제주시 한림읍 귀덕리 864"
"28","제주특별자치도 제주시 한림읍 귀덕리 866"
"29","제주특별자치도 제주시 한림읍 귀덕리 963-4"
"30","제주특별자치도 제주시 한림읍 귀덕리 2770-2"
"31","제주특별자치도 제주시 한림읍 귀덕리 3568"
"32","제주특별자치도 제주시 한림읍 귀덕리 3457"
"33","제주특별자치도 제주시 한림읍 귀덕리 2772"
"34","제주특별자치도 제주시 한림읍 귀덕리 2788-2"
"35","제주특별자치도 제주시 한림읍 귀덕리 2789"
"36","제주특별자치도 제주시 한림읍 귀덕리 165"
"37","제주특별자치도 제주시 한림읍 귀덕리 537"
"38","제주특별자치도 제주시 한림읍 귀덕리 255-1"
"39","제주특별자치도 제주시 한림읍 귀덕리 851-2"
"40","제주특별자치도 제주시 한림읍 귀덕리 710-1"
"41","제주특별자치도 제주시 한림읍 귀덕리 1453-1"
"42","제주특별자치도 제주시 한림읍 귀덕리 887"
"43","제주특별자치도 제주시 한림읍 귀덕리 454-4"
"44","제주특별자치도 제주시 한림읍 귀덕리 1941"
"45","제주특별자치도 제주시 한림읍 귀덕리 2248"
"46","제주특별자치도 제주시 한림읍 귀덕리 2248-2"
"47","제주특별자치도 제주시 한림읍 귀덕리 2831"
"48","제주특별자치도 제주시 한림읍 귀덕리 2836-1"
"49","제주특별자치도 제주시 한림읍 귀덕리 3228-2"
"50","제주특별자치도 제주시 한림읍 귀덕리 3129-1"
"51","제주특별자치도 제주시 한림읍 귀덕리 3246"
"52","제주특별자치도 제주시 한림읍 귀덕리 3230-4"
"53","제주특별자치도 제주시 한림읍 귀덕리 1995-1"
"54","제주특별자치도 제주시 한림읍 귀덕리 2305-1"
"55","제주특별자치도 제주시 한림읍 귀덕리 2289"
"56","제주특별자치도 제주시 한림읍 귀덕리 2310"
"57","제주특별자치도 제주시 한림읍 귀덕리 2424-1"
"58","제주특별자치도 제주시 한림읍 귀덕리 2530-1"
"59","제주특별자치도 제주시 한림읍 귀덕리 3247"
"60","제주특별자치도 제주시 한림읍 귀덕리 2378-3"
"61","제주특별자치도 제주시 한림읍 귀덕리 2377-1"
"62","제주특별자치도 제주시 한림읍 귀덕리 621-5"
"63","제주특별자치도 제주시 한림읍 귀덕리 1712"
"64","제주특별자치도 제주시 한림읍 귀덕리 3919"
"65","제주특별자치도 제주시 한림읍 귀덕리 3600-1"
"66","제주특별자치도 제주시 한림읍 귀덕리 3263"
"67","제주특별자치도 제주시 한림읍 귀덕리 3130"
"68","제주특별자치도 제주시 한림읍 귀덕리 3165"
"69","제주특별자치도 제주시 한림읍 귀덕리 872-3"
"70","제주특별자치도 제주시 한림읍 귀덕리 2044"
"71","제주특별자치도 제주시 한림읍 귀덕리 2045"
"72","제주특별자치도 제주시 한림읍 귀덕리 2046-1"
"73","제주특별자치도 제주시 한림읍 귀덕리 2046-2"
"74","제주특별자치도 제주시 한림읍 귀덕리 2047-1"
"75","제주특별자치도 제주시 한림읍 귀덕리 2047-2"
"76","제주특별자치도 제주시 한림읍 귀덕리 286"
"77","제주특별자치도 제주시 한림읍 귀덕리 2635-1"
"78","제주특별자치도 제주시 한림읍 귀덕리 2073"
"79","제주특별자치도 제주시 한림읍 귀덕리 2083"
"80","제주특별자치도 제주시 한림읍 귀덕리 239-1"
"81","제주특별자치도 제주시 한림읍 귀덕리 1997-1"
"82","제주특별자치도 제주시 한림읍 귀덕리 515-1"
"83","제주특별자치도 제주시 한림읍 귀덕리 559-1"
"84","제주특별자치도 제주시 한림읍 귀덕리 611-1"
"85","제주특별자치도 제주시 한림읍 귀덕리 3244-1"
"86","제주특별자치도 제주시 한림읍 귀덕리 2885"
"87","제주특별자치도 제주시 한림읍 귀덕리 1513-2"
"88","제주특별자치도 제주시 한림읍 귀덕리 2378-1"
"89","제주특별자치도 제주시 한림읍 귀덕리 2314-1"
"90","제주특별자치도 제주시 한림읍 귀덕리 3209-2"
"91","제주특별자치도 제주시 한림읍 귀덕리 3257"
"92","제주특별자치도 제주시 한림읍 귀덕리 3744-1"
"93","제주특별자치도 제주시 한림읍 귀덕리 3588"
"94","제주특별자치도 제주시 한림읍 귀덕리 2678-1"
"95","제주특별자치도 제주시 한림읍 귀덕리 2711"
"96","제주특별자치도 제주시 한림읍 귀덕리 2294-2"
"97","제주특별자치도 제주시 한림읍 귀덕리 793-1"
"98","제주특별자치도 제주시 한림읍 귀덕리 2673"
"99","제주특별자치도 제주시 한림읍 귀덕리 269-1"
"100","제주특별자치도 제주시 한림읍 귀덕리 1731-6"
"101","제주특별자치도 제주시 한림읍 귀덕리 3465-4"
"102","제주특별자치도 제주시 한림읍 귀덕리 3454"
"103","제주특별자치도 제주시 한림읍 귀덕리 3744-3"
"104","제주특별자치도 제주시 한림읍 귀덕리 450-8"
"105","제주특별자치도 제주시 한림읍 귀덕리 2268"
"106","제주특별자치도 제주시 한림읍 귀덕리 1928-1"
"107","제주특별자치도 제주시 한림읍 귀덕리 1904"
"108","제주특별자치도 제주시 한림읍 귀덕리 211-1"
"109","제주특별자치도 제주시 한림읍 귀덕리 225"
"110","제주특별자치도 제주시 한림읍 귀덕리 29"
"111","제주특별자치도 제주시 한림읍 귀덕리 2736-1"
"112","제주특별자치도 제주시 한림읍 귀덕리 253"
"113","제주특별자치도 제주시 한림읍 귀덕리 455-5"
"114","제주특별자치도 제주시 한림읍 귀덕리 555-1"
"115","제주특별자치도 제주시 한림읍 귀덕리 3387-1"
"116","제주특별자치도 제주시 한림읍 귀덕리 1917"
"117","제주특별자치도 제주시 한림읍 귀덕리 649"
"118","제주특별자치도 제주시 한림읍 귀덕리 210-1"
"119","제주특별자치도 제주시 한림읍 귀덕리 2726-2"
"120","제주특별자치도 제주시 한림읍 귀덕리 198-1"
"121","제주특별자치도 제주시 한림읍 귀덕리 2360-1"
