research_day,average_temperature,minimum_temperature,maximum_temperature,daily_precipitation,average_relative_humidity,sunshine_duration,insolation,ground_temperature,underground_temperature,large_evaporation,small_evaporation
2021-10-01,22.9,19.3,27.1,0,82.6,9.2,18.57,24.6,25,3.5,5
2021-10-02,23.5,19.6,28,0,74.5,9.7,18.67,24.5,24.9,3.7,5.3
2021-10-03,24.7,19.2,31.1,0,67.9,10.6,19.99,24.9,24.9,4.5,6.4
2021-10-04,25.5,21.6,30.1,0,71,10,17.79,26.2,25.3,3.5,5
2021-10-05,25.7,21.4,31,0,75.9,8.8,18.33,26.9,25.7,3.5,5
2021-10-06,25.1,22.5,27.7,0,80.1,8.3,16.74,27.2,25.9,3.3,4.7
2021-10-07,24.6,21.2,28.4,0,76.3,10.3,18.61,27.3,25.7,3.3,4.8
2021-10-08,24.5,21.8,27.8,0,82.6,7.4,15.08,26.4,25.5,2.9,4.1
2021-10-09,24.3,23.4,25.5,5.2,92.4,0,4.44,25.1,25.3,1.1,1.6
2021-10-10,26.1,22.2,31.8,0,78.8,5.5,12.52,26.5,25.7,2.4,3.5
2021-10-11,22,20.9,24.1,0.1,88.9,0.2,5.4,23.9,25.1,1.1,1.6
2021-10-12,22.2,21.3,22.9,16.4,96.9,0,1.7,23.4,24.3,0.5,0.8
2021-10-13,22.5,21.6,23.8,2.1,93.9,0,2.81,23.9,24,0.8,1.1
2021-10-14,24,22.3,28,0,86.3,6.7,14.01,25.6,24.8,2.5,3.6
2021-10-15,23.5,20.7,27.1,0,76.4,7,15.73,24.3,24.6,3.2,4.5
2021-10-16,17,14.4,21.1,7.6,76.3,0,1.94,18.2,21.6,2.4,3.4
2021-10-17,13.3,11,16.1,0,55.6,9.2,18.15,15.7,18.7,3.7,5.2
2021-10-18,14,9,18.4,0,59.9,8.4,16.57,15.9,18.3,3.3,4.7
2021-10-19,16.2,12.3,20.8,0.5,62.5,4.9,11.4,16.2,18.5,3.3,4.7
2021-10-20,14.4,13.7,16.3,0,60.4,0.2,5.6,15.1,17.9,1.7,2.5
2021-10-21,15.6,13.6,18.9,0,61.6,4.9,12,17.1,18.3,3,4.3
2021-10-22,16.5,14.8,19.6,0,57.5,6,12.7,16.9,18,3.6,5.1
2021-10-23,16.2,12.1,20,0,60.4,10.3,16.43,17.5,17.8,3.2,4.5
2021-10-24,17.4,13.6,20.5,0,69.8,1.1,8,18.1,18.2,1.8,2.5
2021-10-25,16.8,13.5,20.8,0,69,8.6,15.28,19,18.8,3.1,4.5
2021-10-26,16.3,12.2,21.1,0,62.9,9.5,16.16,18.2,18.3,3.2,4.6
2021-10-27,17.6,13.8,22.1,0,67,7.7,12.86,18.4,18.5,2.8,4
2021-10-28,16.7,13.3,20.9,0,63,9.9,16.36,17.8,18.2,3.3,4.7
2021-10-29,18.4,15.9,21.8,0,69.5,8.2,13.86,19.1,18.5,2.8,4.1
2021-10-30,17.3,14.8,21.5,0.2,73.8,1.1,5.77,17.2,18.4,1.5,2.1
2021-10-31,17.3,13.6,22.1,0,68.1,10.2,15.51,17.8,18.1,3,4.3
2021-11-01,17.6,14.4,21.5,0,72.3,5,10.65,18.7,18.4,2.7,3.9
2021-11-02,16.4,14.9,19.8,0,59.9,5.7,12.24,17.9,18.2,3,4.3
2021-11-03,16.1,14.1,19.5,0,65.6,8.2,14.08,17.9,18,2.8,4
2021-11-04,16.5,13,21.5,0,66.3,7.8,13.32,17.8,17.8,2.8,4.1
2021-11-05,17.5,13,20.9,0,64.3,2.9,6.34,16.3,17.3,1.9,2.7
2021-11-06,19.2,17.5,22.7,0,65.6,3.9,9.43,19.2,18.5,2.7,3.9
2021-11-07,19.1,16.3,23.2,0,68.9,4.2,10.09,19.8,18.9,2.4,3.5
