"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","ucg","abb","11","3","2021-11-19","1","10.60","63.86"
"2","vcg","abb","11","3","2021-11-19","2","11.73","63.47"
"3","wcg","abb","11","3","2021-11-19","3","13.52","64.71"
"4","xcg","abb","11","3","2021-11-19","4","10.97","63.84"
"5","ycg","abb","11","3","2021-11-19","5","10.66","64.91"
"6","zcg","abb","11","3","2021-11-19","6","10.40","65.71"
"7","adg","abb","11","3","2021-11-19","7","10.26","66.79"
"8","bdg","abb","11","3","2021-11-19","8","10.28","65.36"
"9","cdg","abb","11","3","2021-11-19","9","10.48","64.30"
"10","ddg","abb","11","3","2021-11-19","10","11.88","62.18"
"11","edg","abb","11","3","2021-11-19","11","12.24","65.24"
"12","fdg","abb","11","3","2021-11-19","12","10.62","66.13"
"13","gdg","abb","11","3","2021-11-19","13","10.77","61.08"
"14","hdg","abb","11","3","2021-11-19","14","10.38","63.15"
"15","idg","abb","11","3","2021-11-19","15","11.77","62.53"
"16","jdg","abb","11","3","2021-11-19","16","13.46","66.33"
"17","kdg","abb","11","3","2021-11-19","17","10.49","63.41"
"18","ldg","abb","11","3","2021-11-19","18","15.71","62.58"
"19","mdg","abb","11","3","2021-11-19","19","12.64","64.87"
"20","ndg","abb","11","3","2021-11-19","20","10.76","65.17"
"21","odg","abb","11","3","2021-11-19","21","10.90","63.64"
"22","pdg","abb","11","3","2021-11-19","22","12.00","63.67"
"23","qdg","abb","11","3","2021-11-19","23","11.64","64.90"
"24","rdg","abb","11","3","2021-11-19","24","13.20","66.91"
"25","sdg","abb","11","3","2021-11-19","25","10.62","66.13"
"26","tdg","abb","11","3","2021-11-19","26","11.76","66.13"
"27","udg","abb","11","3","2021-11-19","27","11.53","64.10"
"28","vdg","abb","11","3","2021-11-19","28","10.70","66.23"
"29","wdg","abb","11","3","2021-11-19","29","10.39","64.72"
"30","xdg","abb","11","3","2021-11-19","30","13.60","64.70"
"31","ydg","abb","11","3","2021-11-19","31","11.17","63.44"
"32","zdg","abb","11","3","2021-11-19","32","14.66","65.20"
"33","aeg","abb","11","3","2021-11-19","33","12.12","64.62"
"34","beg","abb","11","3","2021-11-19","34","10.63","63.53"
"35","ceg","abb","11","3","2021-11-19","35","10.89","63.24"
"36","deg","abb","11","3","2021-11-19","36","10.91","63.50"
"37","eeg","abb","11","3","2021-11-19","37","10.27","62.97"
"38","feg","abb","11","3","2021-11-19","38","10.21","63.20"
"39","geg","abb","11","3","2021-11-19","39","11.48","64.26"
"40","heg","abb","11","3","2021-11-19","40","9.59","65.13"
"41","ieg","abb","11","3","2021-11-19","41","10.23","64.49"
"42","jeg","abb","11","3","2021-11-19","42","9.70","65.01"
"43","keg","abb","11","3","2021-11-19","43","8.94","66.45"
"44","leg","abb","11","3","2021-11-19","44","8.82","65.01"
"45","meg","abb","11","3","2021-11-19","45","10.36","68.58"
"46","neg","abb","11","3","2021-11-19","46","10.04","62.90"
"47","oeg","abb","11","3","2021-11-19","47","9.90","63.24"
"48","peg","abb","11","3","2021-11-19","48","9.80","64.52"
"49","qeg","abb","11","3","2021-11-19","49","9.00","65.81"
"50","reg","abb","11","3","2021-11-19","50","8.51","64.08"
"51","seg","abb","11","3","2021-11-19","51","8.98","65.45"
"52","teg","abb","11","3","2021-11-19","52","9.56","63.35"
"53","ueg","abb","11","3","2021-11-19","53","8.21","64.98"
"54","veg","abb","11","3","2021-11-19","54","9.94","65.15"
"55","weg","abb","11","3","2021-11-19","55","9.11","68.92"
"56","xeg","abb","11","3","2021-11-19","56","9.00","68.20"
"57","yeg","abb","11","3","2021-11-19","57","9.62","65.70"
"58","zeg","abb","11","3","2021-11-19","58","10.36","66.92"
"59","afg","abb","11","3","2021-11-19","59","9.68","63.23"
"60","bfg","abb","11","3","2021-11-19","60","9.04","64.37"
"61","cfg","abb","11","3","2021-11-19","61","10.14","65.18"
"62","dfg","abb","11","3","2021-11-19","62","10.09","66.41"
"63","efg","abb","11","3","2021-11-19","63","9.32","66.86"
"64","ffg","abb","11","3","2021-11-19","64","10.60","61.69"
"65","gfg","abb","11","3","2021-11-19","65","9.98","64.08"
"66","hfg","abb","11","3","2021-11-19","66","9.09","66.15"
"67","ifg","abb","11","3","2021-11-19","67","10.08","66.61"
"68","jfg","abb","11","3","2021-11-19","68","9.34","64.30"
"69","kfg","abb","11","3","2021-11-19","69","8.42","64.85"
"70","lfg","abb","11","3","2021-11-19","70","9.47","63.75"
"71","mfg","abb","11","3","2021-11-19","71","9.68","67.89"
"72","nfg","abb","11","3","2021-11-19","72","10.73","64.04"
"73","ofg","abb","11","3","2021-11-19","73","11.29","67.36"
"74","pfg","abb","11","3","2021-11-19","74","11.34","62.61"
"75","qfg","abb","11","3","2021-11-19","75","9.23","64.16"
"76","rfg","abb","11","3","2021-11-19","76","10.40","64.93"
"77","sfg","abb","11","3","2021-11-19","77","9.92","64.43"
"78","tfg","abb","11","3","2021-11-19","78","10.86","65.02"
"79","ufg","abb","11","3","2021-11-19","79","8.94","65.83"
"80","vfg","abb","11","3","2021-11-19","80","9.96","61.99"
"81","wfg","abb","11","3","2021-11-19","81","10.23","64.45"
"82","xfg","abb","11","3","2021-11-19","82","8.46","66.28"
"83","yfg","abb","11","3","2021-11-19","83","10.12","64.43"
"84","zfg","abb","11","3","2021-11-19","84","9.51","65.64"
"85","agg","abb","11","3","2021-11-19","85","10.61","65.80"
"86","bgg","abb","11","3","2021-11-19","86","9.01","64.69"
"87","cgg","abb","11","3","2021-11-19","87","9.58","65.99"
"88","dgg","abb","11","3","2021-11-19","88","9.54","62.98"
"89","egg","abb","11","3","2021-11-19","89","9.30","65.86"
"90","fgg","abb","11","3","2021-11-19","90","9.32","66.07"
