"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","kpb","bab","11","3","2021-11-15","1","11.26","62.03"
"2","lpb","bab","11","3","2021-11-15","2","11.30","62.87"
"3","mpb","bab","11","3","2021-11-15","3","10.30","57.24"
"4","npb","bab","11","3","2021-11-15","4","11.13","63.41"
"5","opb","bab","11","3","2021-11-15","5","11.04","59.55"
"6","ppb","bab","11","3","2021-11-15","6","12.32","59.93"
"7","qpb","bab","11","3","2021-11-15","7","11.73","58.23"
"8","rpb","bab","11","3","2021-11-15","8","10.02","59.43"
"9","spb","bab","11","3","2021-11-15","9","10.21","61.35"
"10","tpb","bab","11","3","2021-11-15","10","11.63","59.45"
"11","upb","bab","11","3","2021-11-15","11","10.36","61.09"
"12","vpb","bab","11","3","2021-11-15","12","9.91","59.78"
"13","wpb","bab","11","3","2021-11-15","13","9.44","57.80"
"14","xpb","bab","11","3","2021-11-15","14","10.91","64.47"
"15","ypb","bab","11","3","2021-11-15","15","10.04","61.32"
"16","zpb","bab","11","3","2021-11-15","16","11.18","60.49"
"17","aqb","bab","11","3","2021-11-15","17","11.04","61.03"
"18","bqb","bab","11","3","2021-11-15","18","10.17","60.88"
"19","cqb","bab","11","3","2021-11-15","19","11.28","61.04"
"20","dqb","bab","11","3","2021-11-15","20","11.62","62.65"
"21","eqb","bab","11","3","2021-11-15","21","11.00","60.16"
"22","fqb","bab","11","3","2021-11-15","22","11.34","58.37"
"23","gqb","bab","11","3","2021-11-15","23","11.20","58.13"
"24","hqb","bab","11","3","2021-11-15","24","11.21","63.30"
"25","iqb","bab","11","3","2021-11-15","25","11.11","61.04"
"26","jqb","bab","11","3","2021-11-15","26","11.31","58.74"
"27","kqb","bab","11","3","2021-11-15","27","11.16","61.66"
"28","lqb","bab","11","3","2021-11-15","28","10.81","61.22"
"29","mqb","bab","11","3","2021-11-15","29","10.89","60.99"
"30","nqb","bab","11","3","2021-11-15","30","11.97","59.27"
"31","oqb","bab","11","3","2021-11-15","31","13.36","61.80"
"32","pqb","bab","11","3","2021-11-15","32","10.76","58.19"
"33","qqb","bab","11","3","2021-11-15","33","10.78","62.77"
"34","rqb","bab","11","3","2021-11-15","34","11.02","60.50"
"35","sqb","bab","11","3","2021-11-15","35","10.54","61.66"
"36","tqb","bab","11","3","2021-11-15","36","11.49","61.16"
"37","uqb","bab","11","3","2021-11-15","37","9.83","60.44"
"38","vqb","bab","11","3","2021-11-15","38","10.01","64.63"
"39","wqb","bab","11","3","2021-11-15","39","9.41","64.02"
"40","xqb","bab","11","3","2021-11-15","40","9.62","61.24"
"41","yqb","bab","11","3","2021-11-15","41","9.07","60.74"
"42","zqb","bab","11","3","2021-11-15","42","10.04","60.47"
"43","arb","bab","11","3","2021-11-15","43","11.58","60.12"
"44","brb","bab","11","3","2021-11-15","44","10.54","60.03"
"45","crb","bab","11","3","2021-11-15","45","11.40","62.39"
"46","drb","bab","11","3","2021-11-15","46","10.83","57.55"
"47","erb","bab","11","3","2021-11-15","47","10.98","60.98"
"48","frb","bab","11","3","2021-11-15","48","10.88","60.83"
"49","grb","bab","11","3","2021-11-15","49","11.17","58.61"
"50","hrb","bab","11","3","2021-11-15","50","10.61","57.22"
"51","irb","bab","11","3","2021-11-15","51","10.67","60.55"
"52","jrb","bab","11","3","2021-11-15","52","11.56","58.87"
"53","krb","bab","11","3","2021-11-15","53","10.72","63.35"
"54","lrb","bab","11","3","2021-11-15","54","10.71","62.95"
"55","mrb","bab","11","3","2021-11-15","55","12.59","60.65"
"56","nrb","bab","11","3","2021-11-15","56","10.68","59.73"
"57","orb","bab","11","3","2021-11-15","57","9.96","59.23"
"58","prb","bab","11","3","2021-11-15","58","10.20","57.43"
"59","qrb","bab","11","3","2021-11-15","59","11.33","58.90"
"60","rrb","bab","11","3","2021-11-15","60","11.51","62.39"
"61","srb","bab","11","3","2021-11-15","61","10.72","63.09"
"62","trb","bab","11","3","2021-11-15","62","12.11","57.54"
"63","urb","bab","11","3","2021-11-15","63","13.94","59.11"
"64","vrb","bab","11","3","2021-11-15","64","14.01","62.08"
"65","wrb","bab","11","3","2021-11-15","65","11.63","60.96"
"66","xrb","bab","11","3","2021-11-15","66","12.12","63.91"
"67","yrb","bab","11","3","2021-11-15","67","12.14","63.31"
"68","zrb","bab","11","3","2021-11-15","68","10.34","62.37"
"69","asb","bab","11","3","2021-11-15","69","11.80","61.42"
"70","bsb","bab","11","3","2021-11-15","70","11.18","59.43"
"71","csb","bab","11","3","2021-11-15","71","11.22","62.40"
"72","dsb","bab","11","3","2021-11-15","72","9.92","62.57"
"73","esb","bab","11","3","2021-11-15","73","10.81","57.28"
"74","fsb","bab","11","3","2021-11-15","74","12.28","62.34"
"75","gsb","bab","11","3","2021-11-15","75","11.98","59.35"
"76","hsb","bab","11","3","2021-11-15","76","11.12","62.95"
"77","isb","bab","11","3","2021-11-15","77","11.28","60.25"
"78","jsb","bab","11","3","2021-11-15","78","10.16","61.55"
"79","ksb","bab","11","3","2021-11-15","79","10.71","60.44"
"80","lsb","bab","11","3","2021-11-15","80","10.89","60.65"
"81","msb","bab","11","3","2021-11-15","81","11.67","63.06"
"82","nsb","bab","11","3","2021-11-15","82","11.50","58.27"
"83","osb","bab","11","3","2021-11-15","83","10.93","59.72"
"84","psb","bab","11","3","2021-11-15","84","12.30","63.73"
"85","qsb","bab","11","3","2021-11-15","85","12.53","60.14"
"86","rsb","bab","11","3","2021-11-15","86","11.14","62.27"
"87","ssb","bab","11","3","2021-11-15","87","11.57","65.04"
"88","tsb","bab","11","3","2021-11-15","88","11.17","62.59"
"89","usb","bab","11","3","2021-11-15","89","10.20","58.42"
"90","vsb","bab","11","3","2021-11-15","90","10.31","62.10"
"91","wsb","bab","11","3","2021-11-15","91","10.67","61.70"
"92","xsb","bab","11","3","2021-11-15","92","11.78","60.82"
"93","ysb","bab","11","3","2021-11-15","93","11.22","61.69"
"94","zsb","bab","11","3","2021-11-15","94","9.17","61.40"
"95","atb","bab","11","3","2021-11-15","95","10.89","63.38"
"96","btb","bab","11","3","2021-11-15","96","11.19","60.49"
"97","ctb","bab","11","3","2021-11-15","97","10.21","58.65"
"98","dtb","bab","11","3","2021-11-15","98","9.82","62.95"
"99","etb","bab","11","3","2021-11-15","99","10.82","60.72"
"100","ftb","bab","11","3","2021-11-15","100","9.67","59.49"
