"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","cfo","bbb","11","4","2021-11-26","1","14.61","66.01"
"2","dfo","bbb","11","4","2021-11-26","2","13.44","64.34"
"3","efo","bbb","11","4","2021-11-26","3","11.56","63.66"
"4","ffo","bbb","11","4","2021-11-26","4","13.22","65.21"
"5","gfo","bbb","11","4","2021-11-26","5","10.94","65.21"
"6","hfo","bbb","11","4","2021-11-26","6","11.57","63.63"
"7","ifo","bbb","11","4","2021-11-26","7","10.10","66.20"
"8","jfo","bbb","11","4","2021-11-26","8","12.13","63.66"
"9","kfo","bbb","11","4","2021-11-26","9","11.28","62.51"
"10","lfo","bbb","11","4","2021-11-26","10","13.23","63.15"
"11","mfo","bbb","11","4","2021-11-26","11","13.01","66.48"
"12","nfo","bbb","11","4","2021-11-26","12","13.84","66.60"
"13","ofo","bbb","11","4","2021-11-26","13","12.62","60.22"
"14","pfo","bbb","11","4","2021-11-26","14","14.18","63.73"
"15","qfo","bbb","11","4","2021-11-26","15","11.01","63.47"
"16","rfo","bbb","11","4","2021-11-26","16","12.30","61.48"
"17","sfo","bbb","11","4","2021-11-26","17","11.09","62.28"
"18","tfo","bbb","11","4","2021-11-26","18","12.04","63.87"
"19","ufo","bbb","11","4","2021-11-26","19","10.53","63.74"
"20","vfo","bbb","11","4","2021-11-26","20","12.53","62.56"
"21","wfo","bbb","11","4","2021-11-26","21","10.98","65.72"
"22","xfo","bbb","11","4","2021-11-26","22","12.56","61.01"
"23","yfo","bbb","11","4","2021-11-26","23","12.07","61.94"
"24","zfo","bbb","11","4","2021-11-26","24","12.48","62.68"
"25","ago","bbb","11","4","2021-11-26","25","10.91","59.98"
"26","bgo","bbb","11","4","2021-11-26","26","11.58","62.00"
"27","cgo","bbb","11","4","2021-11-26","27","12.61","64.73"
"28","dgo","bbb","11","4","2021-11-26","28","11.74","63.69"
"29","ego","bbb","11","4","2021-11-26","29","12.03","60.68"
"30","fgo","bbb","11","4","2021-11-26","30","11.78","63.90"
"31","ggo","bbb","11","4","2021-11-26","31","11.19","63.02"
"32","hgo","bbb","11","4","2021-11-26","32","11.49","62.87"
"33","igo","bbb","11","4","2021-11-26","33","10.70","64.40"
"34","jgo","bbb","11","4","2021-11-26","34","11.67","65.56"
"35","kgo","bbb","11","4","2021-11-26","35","11.76","61.17"
"36","lgo","bbb","11","4","2021-11-26","36","13.14","61.66"
"37","mgo","bbb","11","4","2021-11-26","37","12.67","63.33"
"38","ngo","bbb","11","4","2021-11-26","38","13.33","60.60"
"39","ogo","bbb","11","4","2021-11-26","39","11.04","63.93"
"40","pgo","bbb","11","4","2021-11-26","40","13.03","62.56"
"41","qgo","bbb","11","4","2021-11-26","41","12.67","64.19"
"42","rgo","bbb","11","4","2021-11-26","42","13.02","65.82"
"43","sgo","bbb","11","4","2021-11-26","43","11.16","61.07"
"44","tgo","bbb","11","4","2021-11-26","44","11.71","63.09"
"45","ugo","bbb","11","4","2021-11-26","45","10.96","62.29"
"46","vgo","bbb","11","4","2021-11-26","46","11.90","63.88"
"47","wgo","bbb","11","4","2021-11-26","47","11.44","66.28"
"48","xgo","bbb","11","4","2021-11-26","48","11.68","61.89"
"49","ygo","bbb","11","4","2021-11-26","49","10.83","65.28"
"50","zgo","bbb","11","4","2021-11-26","50","12.03","64.80"
"51","aho","bbb","11","4","2021-11-26","51","11.07","60.64"
"52","bho","bbb","11","4","2021-11-26","52","12.80","62.79"
"53","cho","bbb","11","4","2021-11-26","53","11.00","67.36"
"54","dho","bbb","11","4","2021-11-26","54","12.04","67.49"
"55","eho","bbb","11","4","2021-11-26","55","11.01","60.16"
"56","fho","bbb","11","4","2021-11-26","56","12.04","65.42"
"57","gho","bbb","11","4","2021-11-26","57","10.26","61.50"
"58","hho","bbb","11","4","2021-11-26","58","12.08","62.33"
"59","iho","bbb","11","4","2021-11-26","59","11.44","65.34"
"60","jho","bbb","11","4","2021-11-26","60","12.74","66.03"
"61","kho","bbb","11","4","2021-11-26","61","11.50","63.60"
"62","lho","bbb","11","4","2021-11-26","62","11.81","63.07"
"63","mho","bbb","11","4","2021-11-26","63","10.78","62.48"
"64","nho","bbb","11","4","2021-11-26","64","11.12","62.82"
"65","oho","bbb","11","4","2021-11-26","65","9.89","60.64"
"66","pho","bbb","11","4","2021-11-26","66","11.79","63.66"
"67","qho","bbb","11","4","2021-11-26","67","10.20","62.53"
"68","rho","bbb","11","4","2021-11-26","68","11.89","65.73"
"69","sho","bbb","11","4","2021-11-26","69","11.22","64.15"
"70","tho","bbb","11","4","2021-11-26","70","11.44","59.22"
"71","uho","bbb","11","4","2021-11-26","71","10.31","61.98"
"72","vho","bbb","11","4","2021-11-26","72","11.74","62.68"
"73","who","bbb","11","4","2021-11-26","73","9.77","60.12"
"74","xho","bbb","11","4","2021-11-26","74","11.70","61.97"
"75","yho","bbb","11","4","2021-11-26","75","9.73","62.39"
"76","zho","bbb","11","4","2021-11-26","76","11.73","62.92"
"77","aio","bbb","11","4","2021-11-26","77","10.17","65.56"
"78","bio","bbb","11","4","2021-11-26","78","11.31","62.75"
"79","cio","bbb","11","4","2021-11-26","79","11.40","62.24"
"80","dio","bbb","11","4","2021-11-26","80","11.68","65.58"
"81","eio","bbb","11","4","2021-11-26","81","11.17","62.99"
"82","fio","bbb","11","4","2021-11-26","82","11.94","61.38"
"83","gio","bbb","11","4","2021-11-26","83","10.83","65.66"
"84","hio","bbb","11","4","2021-11-26","84","13.90","65.09"
"85","iio","bbb","11","4","2021-11-26","85","11.31","65.05"
"86","jio","bbb","11","4","2021-11-26","86","11.16","65.50"
"87","kio","bbb","11","4","2021-11-26","87","10.50","61.27"
"88","lio","bbb","11","4","2021-11-26","88","11.16","64.84"
"89","mio","bbb","11","4","2021-11-26","89","11.06","61.98"
"90","nio","bbb","11","4","2021-11-26","90","12.44","64.81"
"91","oio","bbb","11","4","2021-11-26","91","11.79","63.65"
"92","pio","bbb","11","4","2021-11-26","92","12.71","61.86"
"93","qio","bbb","11","4","2021-11-26","93","12.94","62.08"
"94","rio","bbb","11","4","2021-11-26","94","11.38","65.23"
"95","sio","bbb","11","4","2021-11-26","95","12.09","63.73"
"96","tio","bbb","11","4","2021-11-26","96","13.17","63.20"
"97","uio","bbb","11","4","2021-11-26","97","12.54","60.47"
"98","vio","bbb","11","4","2021-11-26","98","12.80","65.33"
"99","wio","bbb","11","4","2021-11-26","99","12.02","65.09"
"100","xio","bbb","11","4","2021-11-26","100","12.10","64.83"
