"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","knd","cab","11","4","2021-11-22","1","10.63","67.90"
"2","lnd","cab","11","4","2021-11-22","2","12.18","65.41"
"3","mnd","cab","11","4","2021-11-22","3","10.64","66.71"
"4","nnd","cab","11","4","2021-11-22","4","11.02","67.94"
"5","ond","cab","11","4","2021-11-22","5","11.86","66.91"
"6","pnd","cab","11","4","2021-11-22","6","10.59","68.39"
"7","qnd","cab","11","4","2021-11-22","7","9.38","67.58"
"8","rnd","cab","11","4","2021-11-22","8","10.08","65.72"
"9","snd","cab","11","4","2021-11-22","9","11.71","68.53"
"10","tnd","cab","11","4","2021-11-22","10","11.54","66.61"
"11","und","cab","11","4","2021-11-22","11","11.42","66.95"
"12","vnd","cab","11","4","2021-11-22","12","10.73","67.10"
"13","wnd","cab","11","4","2021-11-22","13","10.08","67.07"
"14","xnd","cab","11","4","2021-11-22","14","9.97","68.19"
"15","ynd","cab","11","4","2021-11-22","15","11.26","66.34"
"16","znd","cab","11","4","2021-11-22","16","11.98","69.14"
"17","aod","cab","11","4","2021-11-22","17","12.08","67.84"
"18","bod","cab","11","4","2021-11-22","18","11.53","69.06"
"19","cod","cab","11","4","2021-11-22","19","10.72","67.29"
"20","dod","cab","11","4","2021-11-22","20","9.13","63.22"
"21","eod","cab","11","4","2021-11-22","21","9.76","67.98"
"22","fod","cab","11","4","2021-11-22","22","12.19","66.52"
"23","god","cab","11","4","2021-11-22","23","11.96","67.39"
"24","hod","cab","11","4","2021-11-22","24","10.73","66.35"
"25","iod","cab","11","4","2021-11-22","25","9.56","66.12"
"26","jod","cab","11","4","2021-11-22","26","8.44","67.23"
"27","kod","cab","11","4","2021-11-22","27","12.14","67.36"
"28","lod","cab","11","4","2021-11-22","28","9.30","66.56"
"29","mod","cab","11","4","2021-11-22","29","10.48","68.78"
"30","nod","cab","11","4","2021-11-22","30","10.48","65.93"
"31","ood","cab","11","4","2021-11-22","31","11.19","67.18"
"32","pod","cab","11","4","2021-11-22","32","11.34","67.49"
"33","qod","cab","11","4","2021-11-22","33","10.43","65.69"
"34","rod","cab","11","4","2021-11-22","34","8.59","69.49"
"35","sod","cab","11","4","2021-11-22","35","8.97","65.20"
"36","tod","cab","11","4","2021-11-22","36","10.41","67.82"
"37","uod","cab","11","4","2021-11-22","37","10.47","66.59"
"38","vod","cab","11","4","2021-11-22","38","10.69","66.03"
"39","wod","cab","11","4","2021-11-22","39","10.16","66.71"
"40","xod","cab","11","4","2021-11-22","40","9.46","66.47"
"41","yod","cab","11","4","2021-11-22","41","8.76","67.22"
"42","zod","cab","11","4","2021-11-22","42","9.51","65.11"
"43","apd","cab","11","4","2021-11-22","43","9.86","67.80"
"44","bpd","cab","11","4","2021-11-22","44","10.42","67.23"
"45","cpd","cab","11","4","2021-11-22","45","11.20","66.53"
"46","dpd","cab","11","4","2021-11-22","46","10.83","65.63"
"47","epd","cab","11","4","2021-11-22","47","11.27","67.31"
"48","fpd","cab","11","4","2021-11-22","48","9.76","68.22"
"49","gpd","cab","11","4","2021-11-22","49","10.38","67.85"
"50","hpd","cab","11","4","2021-11-22","50","10.54","67.80"
"51","ipd","cab","11","4","2021-11-22","51","11.73","66.53"
"52","jpd","cab","11","4","2021-11-22","52","10.41","68.46"
"53","kpd","cab","11","4","2021-11-22","53","10.51","67.42"
"54","lpd","cab","11","4","2021-11-22","54","9.58","67.08"
"55","mpd","cab","11","4","2021-11-22","55","8.83","65.79"
"56","npd","cab","11","4","2021-11-22","56","10.43","67.73"
"57","opd","cab","11","4","2021-11-22","57","11.04","65.79"
"58","ppd","cab","11","4","2021-11-22","58","11.98","66.87"
"59","qpd","cab","11","4","2021-11-22","59","10.84","64.89"
"60","rpd","cab","11","4","2021-11-22","60","10.68","67.15"
"61","spd","cab","11","4","2021-11-22","61","9.40","66.95"
"62","tpd","cab","11","4","2021-11-22","62","8.92","67.78"
"63","upd","cab","11","4","2021-11-22","63","9.04","64.40"
"64","vpd","cab","11","4","2021-11-22","64","9.36","65.62"
"65","wpd","cab","11","4","2021-11-22","65","11.20","67.69"
"66","xpd","cab","11","4","2021-11-22","66","9.83","65.44"
"67","ypd","cab","11","4","2021-11-22","67","10.34","67.79"
"68","zpd","cab","11","4","2021-11-22","68","10.29","67.48"
"69","aqd","cab","11","4","2021-11-22","69","8.98","67.11"
"70","bqd","cab","11","4","2021-11-22","70","9.56","68.24"
"71","cqd","cab","11","4","2021-11-22","71","9.54","66.11"
"72","dqd","cab","11","4","2021-11-22","72","10.92","67.80"
"73","eqd","cab","11","4","2021-11-22","73","10.32","66.38"
"74","fqd","cab","11","4","2021-11-22","74","11.27","68.37"
"75","gqd","cab","11","4","2021-11-22","75","10.03","65.88"
"76","hqd","cab","11","4","2021-11-22","76","9.47","67.69"
"77","iqd","cab","11","4","2021-11-22","77","10.11","69.10"
"78","jqd","cab","11","4","2021-11-22","78","9.51","65.51"
"79","kqd","cab","11","4","2021-11-22","79","9.37","65.73"
"80","lqd","cab","11","4","2021-11-22","80","9.42","66.27"
"81","mqd","cab","11","4","2021-11-22","81","9.43","68.04"
"82","nqd","cab","11","4","2021-11-22","82","10.33","66.90"
"83","oqd","cab","11","4","2021-11-22","83","9.61","68.76"
"84","pqd","cab","11","4","2021-11-22","84","9.14","67.16"
"85","qqd","cab","11","4","2021-11-22","85","10.47","64.75"
"86","rqd","cab","11","4","2021-11-22","86","8.84","65.15"
"87","sqd","cab","11","4","2021-11-22","87","8.90","65.15"
"88","tqd","cab","11","4","2021-11-22","88","10.11","66.64"
"89","uqd","cab","11","4","2021-11-22","89","9.69","68.25"
"90","vqd","cab","11","4","2021-11-22","90","9.31","65.30"
"91","wqd","cab","11","4","2021-11-22","91","10.29","66.91"
"92","xqd","cab","11","4","2021-11-22","92","9.78","67.83"
"93","yqd","cab","11","4","2021-11-22","93","9.68","68.50"
"94","zqd","cab","11","4","2021-11-22","94","9.71","68.13"
"95","ard","cab","11","4","2021-11-22","95","10.79","66.11"
"96","brd","cab","11","4","2021-11-22","96","9.90","65.29"
"97","crd","cab","11","4","2021-11-22","97","11.22","66.62"
"98","drd","cab","11","4","2021-11-22","98","10.92","67.08"
"99","erd","cab","11","4","2021-11-22","99","10.83","65.38"
"100","frd","cab","11","4","2021-11-22","100","11.72","68.48"
