"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","blm","cbb","11","1","2021-11-05","1","10.61","75.01"
"2","clm","cbb","11","1","2021-11-05","2","10.87","72.58"
"3","dlm","cbb","11","1","2021-11-05","3","11.52","68.10"
"4","elm","cbb","11","1","2021-11-05","4","11.61","77.55"
"5","flm","cbb","11","1","2021-11-05","5","11.67","63.00"
"6","glm","cbb","11","1","2021-11-05","6","12.73","66.03"
"7","hlm","cbb","11","1","2021-11-05","7","10.99","67.87"
"8","ilm","cbb","11","1","2021-11-05","8","11.09","71.59"
"9","jlm","cbb","11","1","2021-11-05","9","12.12","66.62"
"10","klm","cbb","11","1","2021-11-05","10","11.98","64.32"
"11","llm","cbb","11","1","2021-11-05","11","11.87","67.98"
"12","mlm","cbb","11","1","2021-11-05","12","14.41","70.80"
"13","nlm","cbb","11","1","2021-11-05","13","11.86","73.89"
"14","olm","cbb","11","1","2021-11-05","14","10.83","66.35"
"15","plm","cbb","11","1","2021-11-05","15","11.82","61.51"
"16","qlm","cbb","11","1","2021-11-05","16","9.64","72.00"
"17","rlm","cbb","11","1","2021-11-05","17","11.49","71.96"
"18","slm","cbb","11","1","2021-11-05","18","11.38","67.92"
"19","tlm","cbb","11","1","2021-11-05","19","11.91","68.78"
"20","ulm","cbb","11","1","2021-11-05","20","12.36","76.93"
"21","vlm","cbb","11","1","2021-11-05","21","11.17","70.11"
"22","wlm","cbb","11","1","2021-11-05","3","10.60","74.34"
"23","xlm","cbb","11","1","2021-11-05","23","10.62","71.04"
"24","ylm","cbb","11","1","2021-11-05","24","13.11","70.28"
"25","zlm","cbb","11","1","2021-11-05","25","10.91","68.37"
"26","amm","cbb","11","1","2021-11-05","26","10.63","70.18"
"27","bmm","cbb","11","1","2021-11-05","27","11.03","74.69"
"28","cmm","cbb","11","1","2021-11-05","28","13.06","75.11"
"29","dmm","cbb","11","1","2021-11-05","29","10.16","77.36"
"30","emm","cbb","11","1","2021-11-05","30","12.57","65.29"
"31","fmm","cbb","11","1","2021-11-05","31","10.60","70.25"
"32","gmm","cbb","11","1","2021-11-05","32","12.68","64.76"
"33","hmm","cbb","11","1","2021-11-05","33","11.94","63.30"
"34","imm","cbb","11","1","2021-11-05","34","11.83","71.55"
"35","jmm","cbb","11","1","2021-11-05","35","11.26","73.03"
"36","kmm","cbb","11","1","2021-11-05","36","11.40","70.71"
"37","lmm","cbb","11","1","2021-11-05","37","10.89","67.63"
"38","mmm","cbb","11","1","2021-11-05","38","14.11","73.66"
"39","nmm","cbb","11","1","2021-11-05","39","10.59","65.75"
"40","omm","cbb","11","1","2021-11-05","40","11.89","70.30"
"41","pmm","cbb","11","1","2021-11-05","41","10.82","75.77"
"42","qmm","cbb","11","1","2021-11-05","42","12.11","73.66"
"43","rmm","cbb","11","1","2021-11-05","43","10.07","65.98"
"44","smm","cbb","11","1","2021-11-05","44","11.13","66.51"
"45","tmm","cbb","11","1","2021-11-05","45","11.26","74.87"
"46","umm","cbb","11","1","2021-11-05","46","11.36","73.50"
"47","vmm","cbb","11","1","2021-11-05","47","10.92","72.50"
"48","wmm","cbb","11","1","2021-11-05","48","11.72","68.50"
"49","xmm","cbb","11","1","2021-11-05","49","11.12","69.51"
"50","ymm","cbb","11","1","2021-11-05","50","11.31","74.67"
"51","zmm","cbb","11","1","2021-11-05","51","12.24","67.10"
"52","anm","cbb","11","1","2021-11-05","52","12.61","68.49"
"53","bnm","cbb","11","1","2021-11-05","53","12.74","68.46"
"54","cnm","cbb","11","1","2021-11-05","54","12.58","71.64"
"55","dnm","cbb","11","1","2021-11-05","55","10.80","68.72"
"56","enm","cbb","11","1","2021-11-05","56","11.58","63.27"
"57","fnm","cbb","11","1","2021-11-05","57","11.40","69.46"
"58","gnm","cbb","11","1","2021-11-05","58","11.46","67.34"
"59","hnm","cbb","11","1","2021-11-05","59","11.97","74.48"
"60","inm","cbb","11","1","2021-11-05","60","14.71","68.70"
"61","jnm","cbb","11","1","2021-11-05","61","13.47","70.72"
"62","knm","cbb","11","1","2021-11-05","62","12.54","73.42"
"63","lnm","cbb","11","1","2021-11-05","63","12.33","73.00"
"64","mnm","cbb","11","1","2021-11-05","64","11.91","65.40"
"65","nnm","cbb","11","1","2021-11-05","65","11.82","69.39"
"66","onm","cbb","11","1","2021-11-05","66","13.11","66.04"
"67","pnm","cbb","11","1","2021-11-05","67","12.08","70.28"
"68","qnm","cbb","11","1","2021-11-05","68","12.61","76.50"
"69","rnm","cbb","11","1","2021-11-05","69","12.42","70.17"
"70","snm","cbb","11","1","2021-11-05","70","12.10","71.41"
"71","tnm","cbb","11","1","2021-11-05","71","11.59","67.60"
"72","unm","cbb","11","1","2021-11-05","72","14.34","76.21"
"73","vnm","cbb","11","1","2021-11-05","73","11.39","69.92"
"74","wnm","cbb","11","1","2021-11-05","74","13.46","70.01"
"75","xnm","cbb","11","1","2021-11-05","75","12.77","68.87"
"76","ynm","cbb","11","1","2021-11-05","76","14.12","75.29"
"77","znm","cbb","11","1","2021-11-05","77","11.17","67.17"
"78","aom","cbb","11","1","2021-11-05","78","12.98","77.44"
"79","bom","cbb","11","1","2021-11-05","79","12.00","65.12"
"80","com","cbb","11","1","2021-11-05","80","13.17","69.42"
"81","dom","cbb","11","1","2021-11-05","81","13.78","67.42"
"82","eom","cbb","11","1","2021-11-05","82","12.22","71.32"
"83","fom","cbb","11","1","2021-11-05","83","11.06","71.21"
"84","gom","cbb","11","1","2021-11-05","84","12.22","67.37"
"85","hom","cbb","11","1","2021-11-05","85","12.09","74.34"
"86","iom","cbb","11","1","2021-11-05","86","11.87","71.52"
"87","jom","cbb","11","1","2021-11-05","87","10.88","70.70"
"88","kom","cbb","11","1","2021-11-05","88","11.48","71.11"
"89","lom","cbb","11","1","2021-11-05","89","10.82","66.84"
"90","mom","cbb","11","1","2021-11-05","90","12.34","64.51"
"91","nom","cbb","11","1","2021-11-05","91","11.23","66.88"
"92","oom","cbb","11","1","2021-11-05","92","12.22","70.13"
"93","pom","cbb","11","1","2021-11-05","93","13.24","72.83"
"94","qom","cbb","11","1","2021-11-05","94","12.33","63.37"
"95","rom","cbb","11","1","2021-11-05","95","11.67","70.07"
"96","som","cbb","11","1","2021-11-05","96","11.56","70.41"
"97","tom","cbb","11","1","2021-11-05","97","9.92","70.44"
"98","uom","cbb","11","1","2021-11-05","98","12.12","65.80"
"99","vom","cbb","11","1","2021-11-05","99","12.44","69.18"
"100","wom","cbb","11","1","2021-11-05","100","12.37","70.42"
