citrus_id,farm_id,month,week,research_day,tag,brix,size
ris,aab,10,4,2021.10.21,1,9.28,57.44
sis,aab,10,4,2021.10.21,2,9.08,51.1
tis,aab,10,4,2021.10.21,3,8.66,53.74
uis,aab,10,4,2021.10.21,4,8.92,58.48
vis,aab,10,4,2021.10.21,5,8.92,53.24
wis,aab,10,4,2021.10.21,6,8.89,59.41
xis,aab,10,4,2021.10.21,7,8.98,48.49
yis,aab,10,4,2021.10.21,8,8.56,56
zis,aab,10,4,2021.10.21,9,10.96,55.78
ajs,aab,10,4,2021.10.21,10,11.18,57.62
bjs,aab,10,4,2021.10.21,11,9.17,61.33
cjs,aab,10,4,2021.10.21,12,9.42,49.87
djs,aab,10,4,2021.10.21,13,10.79,60.41
ejs,aab,10,4,2021.10.21,14,10.9,55.84
fjs,aab,10,4,2021.10.21,15,10.72,50.53
gjs,aab,10,4,2021.10.21,16,11.06,59.92
hjs,aab,10,4,2021.10.21,17,8.54,55.14
ijs,aab,10,4,2021.10.21,18,12.64,57.27
jjs,aab,10,4,2021.10.21,19,9.47,52.83
kjs,aab,10,4,2021.10.21,20,9.62,52.56
ljs,aab,10,4,2021.10.21,21,11.27,53.73
mjs,aab,10,4,2021.10.21,22,11.16,52.93
njs,aab,10,4,2021.10.21,23,11.17,59.56
ojs,aab,10,4,2021.10.21,24,10.9,55.57
pjs,aab,10,4,2021.10.21,25,9.4,55.46
qjs,aab,10,4,2021.10.21,26,11.22,57.79
rjs,aab,10,4,2021.10.21,27,9.27,54.04
sjs,aab,10,4,2021.10.21,28,9.62,57.06
tjs,aab,10,4,2021.10.21,29,11.38,54.92
ujs,aab,10,4,2021.10.21,30,10.5,57.49
vjs,aab,10,4,2021.10.21,31,10.94,54.98
wjs,aab,10,4,2021.10.21,32,9.73,55.18
xjs,aab,10,4,2021.10.21,33,9.22,57.94
yjs,aab,10,4,2021.10.21,34,9.67,55.31
zjs,aab,10,4,2021.10.21,35,9.82,52.8
aks,aab,10,4,2021.10.21,36,9.82,54.96
bks,aab,10,4,2021.10.21,37,9.59,54.45
cks,aab,10,4,2021.10.21,38,9.9,56.73
dks,aab,10,4,2021.10.21,39,9.28,56.88
eks,aab,10,4,2021.10.21,40,9.8,57.22
fks,aab,10,4,2021.10.21,41,9.4,52.15
gks,aab,10,4,2021.10.21,42,9.18,62.7
hks,aab,10,4,2021.10.21,43,9.34,54.77
iks,aab,10,4,2021.10.21,44,9.57,55.67
jks,aab,10,4,2021.10.21,45,10.11,52.48
kks,aab,10,4,2021.10.21,46,9.64,56.02
