"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","jou","dab","11","2","2021-11-09","1","11.87","42.05"
"2","kou","dab","11","2","2021-11-09","2","12.18","43.72"
"3","lou","dab","11","2","2021-11-09","3","11.80","44.06"
"4","mou","dab","11","2","2021-11-09","4","9.80","45.53"
"5","nou","dab","11","2","2021-11-09","5","11.69","44.02"
"6","oou","dab","11","2","2021-11-09","6","11.93","42.71"
"7","pou","dab","11","2","2021-11-09","7","11.50","43.87"
"8","qou","dab","11","2","2021-11-09","8","11.97","44.65"
"9","rou","dab","11","2","2021-11-09","9","11.97","45.95"
"10","sou","dab","11","2","2021-11-09","10","11.73","44.23"
"11","tou","dab","11","2","2021-11-09","11","11.87","43.86"
"12","uou","dab","11","2","2021-11-09","12","11.68","44.98"
"13","vou","dab","11","2","2021-11-09","13","11.27","42.70"
"14","wou","dab","11","2","2021-11-09","14","11.83","42.83"
"15","xou","dab","11","2","2021-11-09","15","11.98","42.07"
"16","you","dab","11","2","2021-11-09","16","11.78","42.88"
"17","zou","dab","11","2","2021-11-09","17","11.92","46.01"
"18","apu","dab","11","2","2021-11-09","18","11.84","42.61"
"19","bpu","dab","11","2","2021-11-09","19","11.71","44.16"
"20","cpu","dab","11","2","2021-11-09","20","11.76","43.03"
"21","dpu","dab","11","2","2021-11-09","21","12.00","43.91"
"22","epu","dab","11","2","2021-11-09","22","11.98","43.67"
"23","fpu","dab","11","2","2021-11-09","23","11.62","42.89"
"24","gpu","dab","11","2","2021-11-09","24","11.73","42.08"
"25","hpu","dab","11","2","2021-11-09","25","11.83","46.82"
"26","ipu","dab","11","2","2021-11-09","26","12.02","46.42"
"27","jpu","dab","11","2","2021-11-09","27","11.76","44.49"
"28","kpu","dab","11","2","2021-11-09","28","11.21","45.21"
"29","lpu","dab","11","2","2021-11-09","29","11.33","45.00"
"30","mpu","dab","11","2","2021-11-09","30","12.08","42.75"
"31","npu","dab","11","2","2021-11-09","31","11.76","46.71"
"32","opu","dab","11","2","2021-11-09","32","11.66","44.07"
"33","ppu","dab","11","2","2021-11-09","33","11.72","43.34"
"34","qpu","dab","11","2","2021-11-09","34","10.38","42.64"
"35","rpu","dab","11","2","2021-11-09","35","11.66","45.78"
"36","spu","dab","11","2","2021-11-09","36","11.78","45.07"
"37","tpu","dab","11","2","2021-11-09","37","11.61","43.19"
"38","upu","dab","11","2","2021-11-09","38","11.43","45.26"
"39","vpu","dab","11","2","2021-11-09","39","11.58","45.23"
"40","wpu","dab","11","2","2021-11-09","40","11.39","44.95"
"41","xpu","dab","11","2","2021-11-09","41","11.46","45.54"
"42","ypu","dab","11","2","2021-11-09","42","11.61","43.25"
"43","zpu","dab","11","2","2021-11-09","43","11.41","45.26"
"44","aqu","dab","11","2","2021-11-09","44","13.42","45.83"
"45","bqu","dab","11","2","2021-11-09","45","11.60","44.72"
"46","cqu","dab","11","2","2021-11-09","46","11.43","43.35"
"47","dqu","dab","11","2","2021-11-09","47","11.96","44.66"
"48","equ","dab","11","2","2021-11-09","48","12.12","43.28"
"49","fqu","dab","11","2","2021-11-09","49","11.39","45.31"
"50","gqu","dab","11","2","2021-11-09","50","11.76","45.20"
"51","hqu","dab","11","2","2021-11-09","51","10.93","44.93"
"52","iqu","dab","11","2","2021-11-09","52","11.71","45.36"
"53","jqu","dab","11","2","2021-11-09","53","11.33","44.31"
"54","kqu","dab","11","2","2021-11-09","54","11.50","44.10"
"55","lqu","dab","11","2","2021-11-09","55","11.83","43.39"
"56","mqu","dab","11","2","2021-11-09","56","11.54","45.30"
"57","nqu","dab","11","2","2021-11-09","57","11.56","43.40"
