"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","mii","dbb","11","1","2021-11-03","1","11.71","52.34"
"2","nii","dbb","11","1","2021-11-03","2","10.10","55.88"
"3","oii","dbb","11","1","2021-11-03","3","11.67","53.02"
"4","pii","dbb","11","1","2021-11-03","4","12.77","51.23"
"5","qii","dbb","11","1","2021-11-03","5","11.54","55.67"
"6","rii","dbb","11","1","2021-11-03","6","10.36","53.17"
"7","sii","dbb","11","1","2021-11-03","7","12.74","49.13"
"8","tii","dbb","11","1","2021-11-03","8","12.40","51.58"
"9","uii","dbb","11","1","2021-11-03","9","10.07","51.54"
"10","vii","dbb","11","1","2021-11-03","10","11.10","50.25"
"11","wii","dbb","11","1","2021-11-03","11","10.48","51.41"
"12","xii","dbb","11","1","2021-11-03","12","11.04","54.28"
"13","yii","dbb","11","1","2021-11-03","13","12.53","56.12"
"14","zii","dbb","11","1","2021-11-03","14","10.03","57.05"
"15","aji","dbb","11","1","2021-11-03","15","12.06","54.18"
"16","bji","dbb","11","1","2021-11-03","16","10.72","50.61"
"17","cji","dbb","11","1","2021-11-03","17","13.12","55.85"
"18","dji","dbb","11","1","2021-11-03","18","10.00","57.88"
"19","eji","dbb","11","1","2021-11-03","19","9.57","55.80"
"20","fji","dbb","11","1","2021-11-03","20","10.43","54.38"
"21","gji","dbb","11","1","2021-11-03","21","12.31","54.13"
"22","hji","dbb","11","1","2021-11-03","22","11.03","52.00"
"23","iji","dbb","11","1","2021-11-03","23","9.57","51.66"
"24","jji","dbb","11","1","2021-11-03","24","11.89","53.89"
"25","kji","dbb","11","1","2021-11-03","25","11.26","55.75"
"26","lji","dbb","11","1","2021-11-03","26","10.69","55.72"
"27","mji","dbb","11","1","2021-11-03","27","12.14","54.29"
"28","nji","dbb","11","1","2021-11-03","28","12.19","52.68"
"29","oji","dbb","11","1","2021-11-03","29","10.36","55.18"
"30","pji","dbb","11","1","2021-11-03","30","12.32","57.48"
"31","qji","dbb","11","1","2021-11-03","31","11.67","56.91"
"32","rji","dbb","11","1","2021-11-03","32","9.89","56.90"
"33","sji","dbb","11","1","2021-11-03","33","10.60","49.71"
"34","tji","dbb","11","1","2021-11-03","34","9.04","54.41"
"35","uji","dbb","11","1","2021-11-03","35","9.94","54.47"
"36","vji","dbb","11","1","2021-11-03","36","10.66","55.03"
"37","wji","dbb","11","1","2021-11-03","37","11.31","53.95"
"38","xji","dbb","11","1","2021-11-03","38","11.73","58.39"
"39","yji","dbb","11","1","2021-11-03","39","11.93","52.43"
"40","zji","dbb","11","1","2021-11-03","40","12.67","54.00"
