"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","sbj","eab","11","4","2021-11-22","1","13.72","49.45"
"2","tbj","eab","11","4","2021-11-22","2","13.00","50.99"
"3","ubj","eab","11","4","2021-11-22","3","12.88","56.50"
"4","vbj","eab","11","4","2021-11-22","4","12.02","52.93"
"5","wbj","eab","11","4","2021-11-22","5","13.12","61.54"
"6","xbj","eab","11","4","2021-11-22","6","11.36","51.50"
"7","ybj","eab","11","4","2021-11-22","7","11.83","57.81"
"8","zbj","eab","11","4","2021-11-22","8","13.16","53.46"
"9","acj","eab","11","4","2021-11-22","9","12.14","51.64"
"10","bcj","eab","11","4","2021-11-22","10","11.19","54.55"
"11","ccj","eab","11","4","2021-11-22","11","13.64","52.21"
"12","dcj","eab","11","4","2021-11-22","12","12.40","58.29"
"13","ecj","eab","11","4","2021-11-22","13","10.64","58.40"
"14","fcj","eab","11","4","2021-11-22","14","13.37","53.47"
"15","gcj","eab","11","4","2021-11-22","15","11.04","55.22"
"16","hcj","eab","11","4","2021-11-22","16","11.52","53.53"
"17","icj","eab","11","4","2021-11-22","17","12.44","55.90"
"18","jcj","eab","11","4","2021-11-22","18","13.76","52.58"
"19","kcj","eab","11","4","2021-11-22","19","12.38","53.52"
"20","lcj","eab","11","4","2021-11-22","20","13.89","58.81"
"21","mcj","eab","11","4","2021-11-22","21","12.87","52.43"
"22","ncj","eab","11","4","2021-11-22","22","12.67","53.14"
"23","ocj","eab","11","4","2021-11-22","23","12.28","56.93"
"24","pcj","eab","11","4","2021-11-22","24","12.97","60.26"
"25","qcj","eab","11","4","2021-11-22","25","14.60","55.55"
"26","rcj","eab","11","4","2021-11-22","26","12.08","51.94"
"27","scj","eab","11","4","2021-11-22","27","11.98","50.73"
"28","tcj","eab","11","4","2021-11-22","28","11.47","59.00"
"29","ucj","eab","11","4","2021-11-22","29","10.79","54.07"
"30","vcj","eab","11","4","2021-11-22","30","11.63","58.60"
"31","wcj","eab","11","4","2021-11-22","31","12.51","53.17"
"32","xcj","eab","11","4","2021-11-22","32","12.67","60.14"
"33","ycj","eab","11","4","2021-11-22","33","11.68","51.05"
"34","zcj","eab","11","4","2021-11-22","34","13.37","54.00"
"35","adj","eab","11","4","2021-11-22","35","9.92","50.49"
"36","bdj","eab","11","4","2021-11-22","36","14.13","54.29"
"37","cdj","eab","11","4","2021-11-22","37","13.58","57.66"
"38","ddj","eab","11","4","2021-11-22","38","12.96","59.39"
"39","edj","eab","11","4","2021-11-22","39","11.37","53.09"
"40","fdj","eab","11","4","2021-11-22","40","13.68","53.96"
