"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","iqe","gab","10","4","2021-10-21","1","10.26","61.07"
"2","jqe","gab","10","4","2021-10-21","2","11.99","59.91"
"3","kqe","gab","10","4","2021-10-21","3","10.23","63.79"
"4","lqe","gab","10","4","2021-10-21","4","10.98","57.30"
"5","mqe","gab","10","4","2021-10-21","5","10.00","54.95"
"6","nqe","gab","10","4","2021-10-21","6","9.43","55.95"
"7","oqe","gab","10","4","2021-10-21","7","10.51","60.95"
"8","pqe","gab","10","4","2021-10-21","8","9.91","59.21"
"9","qqe","gab","10","4","2021-10-21","9","10.38","61.37"
"10","rqe","gab","10","4","2021-10-21","10","11.17","62.56"
"11","sqe","gab","10","4","2021-10-21","11","9.79","60.48"
"12","tqe","gab","10","4","2021-10-21","12","10.32","65.00"
"13","uqe","gab","10","4","2021-10-21","13","10.07","59.60"
"14","vqe","gab","10","4","2021-10-21","14","10.24","56.50"
"15","wqe","gab","10","4","2021-10-21","15","9.06","57.92"
"16","xqe","gab","10","4","2021-10-21","16","9.28","60.33"
"17","yqe","gab","10","4","2021-10-21","17","9.58","57.36"
"18","zqe","gab","10","4","2021-10-21","18","9.30","63.86"
"19","are","gab","10","4","2021-10-21","19","9.42","56.93"
"20","bre","gab","10","4","2021-10-21","20","9.51","55.06"
"21","cre","gab","10","4","2021-10-21","21","9.80","58.82"
"22","dre","gab","10","4","2021-10-21","22","9.73","57.31"
"23","ere","gab","10","4","2021-10-21","23","11.09","63.35"
"24","fre","gab","10","4","2021-10-21","24","7.28","62.52"
"25","gre","gab","10","4","2021-10-21","25","7.92","63.29"
"26","hre","gab","10","4","2021-10-21","26","9.10","57.32"
"27","ire","gab","10","4","2021-10-21","27","9.47","57.03"
"28","jre","gab","10","4","2021-10-21","28","8.39","53.09"
"29","kre","gab","10","4","2021-10-21","29","9.46","60.72"
"30","lre","gab","10","4","2021-10-21","30","8.93","61.01"
"31","mre","gab","10","4","2021-10-21","31","10.03","56.04"
"32","nre","gab","10","4","2021-10-21","32","9.67","57.30"
"33","ore","gab","10","4","2021-10-21","33","10.63","59.18"
"34","pre","gab","10","4","2021-10-21","34","10.22","61.12"
"35","qre","gab","10","4","2021-10-21","35","10.09","59.97"
"36","rre","gab","10","4","2021-10-21","36","9.18","65.86"
"37","sre","gab","10","4","2021-10-21","37","9.68","63.91"
"38","tre","gab","10","4","2021-10-21","38","9.03","61.51"
"39","ure","gab","10","4","2021-10-21","39","9.66","59.37"
"40","vre","gab","10","4","2021-10-21","40","9.99","60.44"
"41","wre","gab","10","4","2021-10-21","41","9.91","60.13"
"42","xre","gab","10","4","2021-10-21","42","9.56","57.40"
"43","yre","gab","10","4","2021-10-21","43","9.40","60.19"
"44","zre","gab","10","4","2021-10-21","44","9.49","62.48"
"45","ase","gab","10","4","2021-10-21","45","8.74","54.60"
"46","bse","gab","10","4","2021-10-21","46","9.54","56.99"
"47","cse","gab","10","4","2021-10-21","47","9.51","62.05"
"48","dse","gab","10","4","2021-10-21","48","9.74","57.93"
"49","ese","gab","10","4","2021-10-21","49","9.59","58.31"
"50","fse","gab","10","4","2021-10-21","50","9.94","55.85"
"51","gse","gab","10","4","2021-10-21","51","8.40","58.26"
"52","hse","gab","10","4","2021-10-21","52","9.32","54.10"
"53","ise","gab","10","4","2021-10-21","53","9.87","59.97"
"54","jse","gab","10","4","2021-10-21","54","9.78","55.65"
"55","kse","gab","10","4","2021-10-21","55","9.71","59.82"
"56","lse","gab","10","4","2021-10-21","56","9.90","61.22"
"57","mse","gab","10","4","2021-10-21","57","9.97","60.76"
"58","nse","gab","10","4","2021-10-21","58","9.46","55.30"
"59","ose","gab","10","4","2021-10-21","59","9.03","52.68"
"60","pse","gab","10","4","2021-10-21","60","9.39","58.84"
"61","qse","gab","10","4","2021-10-21","61","9.23","62.79"
"62","rse","gab","10","4","2021-10-21","62","8.00","62.17"
"63","sse","gab","10","4","2021-10-21","63","8.94","55.82"
"64","tse","gab","10","4","2021-10-21","64","9.20","60.14"
"65","use","gab","10","4","2021-10-21","65","8.78","61.99"
"66","vse","gab","10","4","2021-10-21","66","9.09","58.31"
"67","wse","gab","10","4","2021-10-21","67","9.06","58.69"
"68","xse","gab","10","4","2021-10-21","68","10.41","54.41"
"69","yse","gab","10","4","2021-10-21","69","9.54","57.62"
"70","zse","gab","10","4","2021-10-21","70","10.44","63.08"
"71","ate","gab","10","4","2021-10-21","71","9.58","58.35"
"72","bte","gab","10","4","2021-10-21","72","9.36","56.37"
"73","cte","gab","10","4","2021-10-21","73","8.97","54.99"
"74","dte","gab","10","4","2021-10-21","74","9.87","59.36"
"75","ete","gab","10","4","2021-10-21","75","10.48","59.44"
"76","fte","gab","10","4","2021-10-21","76","10.47","57.35"
"77","gte","gab","10","4","2021-10-21","77","9.92","59.73"
"78","hte","gab","10","4","2021-10-21","78","10.24","60.42"
