"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","kzq","hab","11","4","2021-11-24","1","11.94","52.21"
"2","lzq","hab","11","4","2021-11-24","2","13.42","52.01"
"3","mzq","hab","11","4","2021-11-24","3","14.12","56.71"
"4","nzq","hab","11","4","2021-11-24","4","14.13","51.51"
"5","ozq","hab","11","4","2021-11-24","5","12.28","54.98"
"6","pzq","hab","11","4","2021-11-24","6","10.64","53.12"
"7","qzq","hab","11","4","2021-11-24","7","11.38","53.27"
"8","rzq","hab","11","4","2021-11-24","8","12.03","52.04"
"9","szq","hab","11","4","2021-11-24","9","11.12","51.97"
"10","tzq","hab","11","4","2021-11-24","10","11.62","50.19"
"11","uzq","hab","11","4","2021-11-24","11","12.04","50.36"
"12","vzq","hab","11","4","2021-11-24","12","12.07","52.73"
"13","wzq","hab","11","4","2021-11-24","13","12.14","54.04"
"14","xzq","hab","11","4","2021-11-24","14","12.23","52.51"
"15","yzq","hab","11","4","2021-11-24","15","12.23","45.92"
"16","zzq","hab","11","4","2021-11-24","16","13.56","50.18"
"17","aar","hab","11","4","2021-11-24","18","13.59","51.39"
"18","bar","hab","11","4","2021-11-24","19","12.50","57.39"
"19","car","hab","11","4","2021-11-24","20","13.40","56.74"
"20","dar","hab","11","4","2021-11-24","21","12.53","51.67"
"21","ear","hab","11","4","2021-11-24","22","12.48","50.87"
"22","far","hab","11","4","2021-11-24","23","13.32","49.15"
"23","gar","hab","11","4","2021-11-24","24","12.71","49.41"
"24","har","hab","11","4","2021-11-24","25","12.33","50.95"
"25","iar","hab","11","4","2021-11-24","26","12.29","51.87"
"26","jar","hab","11","4","2021-11-24","27","12.19","51.93"
"27","kar","hab","11","4","2021-11-24","28","13.42","49.50"
"28","lar","hab","11","4","2021-11-24","29","10.87","49.91"
"29","mar","hab","11","4","2021-11-24","31","11.44","53.00"
"30","nar","hab","11","4","2021-11-24","32","11.17","53.61"
"31","oar","hab","11","4","2021-11-24","33","12.03","56.02"
"32","par","hab","11","4","2021-11-24","34","12.24","54.53"
"33","qar","hab","11","4","2021-11-24","35","13.18","53.78"
"34","rar","hab","11","4","2021-11-24","36","13.14","55.53"
"35","sar","hab","11","4","2021-11-24","37","12.46","54.58"
"36","tar","hab","11","4","2021-11-24","39","12.79","49.72"
"37","uar","hab","11","4","2021-11-24","40","13.03","51.06"
"38","var","hab","11","4","2021-11-24","42","12.23","49.92"
"39","war","hab","11","4","2021-11-24","43","12.31","50.47"
"40","xar","hab","11","4","2021-11-24","44","13.16","53.81"
"41","yar","hab","11","4","2021-11-24","45","10.31","51.02"
"42","zar","hab","11","4","2021-11-24","46","10.83","50.21"
"43","abr","hab","11","4","2021-11-24","47","10.56","52.85"
"44","bbr","hab","11","4","2021-11-24","48","13.32","53.37"
"45","cbr","hab","11","4","2021-11-24","49","10.23","52.47"
"46","dbr","hab","11","4","2021-11-24","50","10.77","51.89"
"47","ebr","hab","11","4","2021-11-24","51","10.59","52.45"
"48","fbr","hab","11","4","2021-11-24","52","13.06","51.72"
"49","gbr","hab","11","4","2021-11-24","53","12.98","48.87"
"50","hbr","hab","11","4","2021-11-24","54","10.52","54.08"
"51","ibr","hab","11","4","2021-11-24","55","10.70","52.58"
"52","jbr","hab","11","4","2021-11-24","56","10.47","52.99"
"53","kbr","hab","11","4","2021-11-24","57","10.93","49.18"
"54","lbr","hab","11","4","2021-11-24","58","10.60","49.51"
"55","mbr","hab","11","4","2021-11-24","59","10.90","51.24"
"56","nbr","hab","11","4","2021-11-24","60","10.83","49.43"
"57","obr","hab","11","4","2021-11-24","61","12.46","54.52"
"58","pbr","hab","11","4","2021-11-24","62","12.14","48.19"
"59","qbr","hab","11","4","2021-11-24","63","10.87","51.73"
"60","rbr","hab","11","4","2021-11-24","64","10.83","49.33"
"61","sbr","hab","11","4","2021-11-24","65","13.00","49.92"
"62","tbr","hab","11","4","2021-11-24","66","12.42","54.05"
"63","ubr","hab","11","4","2021-11-24","67","10.86","53.60"
"64","vbr","hab","11","4","2021-11-24","68","10.61","49.05"
"65","wbr","hab","11","4","2021-11-24","69","10.81","48.42"
"66","xbr","hab","11","4","2021-11-24","70","13.24","51.12"
"67","ybr","hab","11","4","2021-11-24","71","10.89","49.66"
"68","zbr","hab","11","4","2021-11-24","72","10.69","50.20"
"69","acr","hab","11","4","2021-11-24","73","10.56","51.46"
"70","bcr","hab","11","4","2021-11-24","74","12.39","49.34"
"71","ccr","hab","11","4","2021-11-24","75","12.11","48.24"
"72","dcr","hab","11","4","2021-11-24","76","10.33","49.96"
"73","ecr","hab","11","4","2021-11-24","77","10.71","48.08"
"74","fcr","hab","11","4","2021-11-24","78","10.66","50.76"
"75","gcr","hab","11","4","2021-11-24","79","10.57","53.71"
"76","hcr","hab","11","4","2021-11-24","80","11.00","52.75"
"77","icr","hab","11","4","2021-11-24","81","12.39","52.36"
"78","jcr","hab","11","4","2021-11-24","82","10.70","52.20"
"79","kcr","hab","11","4","2021-11-24","83","11.09","49.68"
"80","lcr","hab","11","4","2021-11-24","84","11.16","51.18"
"81","mcr","hab","11","4","2021-11-24","85","11.00","50.52"
"82","ncr","hab","11","4","2021-11-24","86","10.74","47.59"
"83","ocr","hab","11","4","2021-11-24","87","10.93","52.94"
"84","pcr","hab","11","4","2021-11-24","88","13.34","54.49"
"85","qcr","hab","11","4","2021-11-24","89","10.88","54.69"
"86","rcr","hab","11","4","2021-11-24","90","10.68","53.89"
"87","scr","hab","11","4","2021-11-24","91","11.03","50.67"
"88","tcr","hab","11","4","2021-11-24","92","10.54","53.08"
"89","ucr","hab","11","4","2021-11-24","93","10.81","51.25"
"90","vcr","hab","11","4","2021-11-24","94","12.39","50.12"
"91","wcr","hab","11","4","2021-11-24","95","11.91","51.51"
"92","xcr","hab","11","4","2021-11-24","96","12.12","54.02"
"93","ycr","hab","11","4","2021-11-24","97","12.24","52.64"
"94","zcr","hab","11","4","2021-11-24","98","10.76","52.37"
"95","adr","hab","11","4","2021-11-24","99","11.13","50.21"
"96","bdr","hab","11","4","2021-11-24","100","10.69","47.70"
