"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","qor","iab","11","2","2021-11-09","1","12.72","43.18"
"2","ror","iab","11","2","2021-11-09","2","12.78","42.71"
"3","sor","iab","11","2","2021-11-09","3","12.71","42.56"
"4","tor","iab","11","2","2021-11-09","4","13.22","41.10"
"5","uor","iab","11","2","2021-11-09","5","11.57","42.38"
"6","vor","iab","11","2","2021-11-09","6","13.86","42.68"
"7","wor","iab","11","2","2021-11-09","7","11.94","41.80"
"8","xor","iab","11","2","2021-11-09","8","11.51","42.98"
"9","yor","iab","11","2","2021-11-09","9","12.87","41.66"
"10","zor","iab","11","2","2021-11-09","10","11.52","42.77"
"11","apr","iab","11","2","2021-11-09","11","10.97","41.59"
"12","bpr","iab","11","2","2021-11-09","12","10.76","41.90"
"13","cpr","iab","11","2","2021-11-09","13","12.77","41.93"
"14","dpr","iab","11","2","2021-11-09","14","13.80","41.80"
"15","epr","iab","11","2","2021-11-09","15","13.49","42.09"
"16","fpr","iab","11","2","2021-11-09","16","12.94","40.87"
"17","gpr","iab","11","2","2021-11-09","17","11.93","41.55"
"18","hpr","iab","11","2","2021-11-09","18","14.73","43.12"
"19","ipr","iab","11","2","2021-11-09","19","12.77","42.44"
"20","jpr","iab","11","2","2021-11-09","20","14.23","41.12"
"21","kpr","iab","11","2","2021-11-09","21","11.81","41.98"
"22","lpr","iab","11","2","2021-11-09","22","10.87","42.33"
"23","mpr","iab","11","2","2021-11-09","23","12.72","41.56"
"24","npr","iab","11","2","2021-11-09","24","12.80","42.14"
"25","opr","iab","11","2","2021-11-09","25","12.93","42.01"
"26","ppr","iab","11","2","2021-11-09","26","12.70","43.24"
"27","qpr","iab","11","2","2021-11-09","27","13.77","42.12"
"28","rpr","iab","11","2","2021-11-09","28","12.62","41.95"
"29","spr","iab","11","2","2021-11-09","29","12.80","41.86"
"30","tpr","iab","11","2","2021-11-09","30","14.44","41.85"
"31","upr","iab","11","2","2021-11-09","31","12.88","40.99"
"32","vpr","iab","11","2","2021-11-09","32","12.84","42.32"
"33","wpr","iab","11","2","2021-11-09","33","12.58","41.72"
"34","xpr","iab","11","2","2021-11-09","34","12.60","42.19"
"35","ypr","iab","11","2","2021-11-09","35","13.08","42.51"
"36","zpr","iab","11","2","2021-11-09","36","12.59","43.23"
"37","aqr","iab","11","2","2021-11-09","37","12.74","41.26"
"38","bqr","iab","11","2","2021-11-09","38","12.53","42.39"
"39","cqr","iab","11","2","2021-11-09","39","12.72","41.00"
"40","dqr","iab","11","2","2021-11-09","40","12.68","41.37"
"41","eqr","iab","11","2","2021-11-09","41","12.86","42.58"
"42","fqr","iab","11","2","2021-11-09","42","12.58","43.45"
"43","gqr","iab","11","2","2021-11-09","43","12.61","42.17"
"44","hqr","iab","11","2","2021-11-09","44","12.46","42.13"
"45","iqr","iab","11","2","2021-11-09","45","13.23","42.67"
"46","jqr","iab","11","2","2021-11-09","46","12.84","43.28"
"47","kqr","iab","11","2","2021-11-09","47","12.32","41.88"
"48","lqr","iab","11","2","2021-11-09","48","12.90","41.13"
"49","mqr","iab","11","2","2021-11-09","49","12.72","42.40"
"50","nqr","iab","11","2","2021-11-09","50","12.71","42.23"
"51","oqr","iab","11","2","2021-11-09","51","12.87","41.32"
"52","pqr","iab","11","2","2021-11-09","52","12.56","41.39"
"53","qqr","iab","11","2","2021-11-09","53","12.22","42.19"
"54","rqr","iab","11","2","2021-11-09","54","13.23","42.92"
"55","sqr","iab","11","2","2021-11-09","55","12.08","41.40"
"56","tqr","iab","11","2","2021-11-09","56","12.32","41.43"
"57","uqr","iab","11","2","2021-11-09","57","12.30","41.24"
"58","vqr","iab","11","2","2021-11-09","58","12.42","41.82"
"59","wqr","iab","11","2","2021-11-09","59","12.21","43.03"
"60","xqr","iab","11","2","2021-11-09","60","12.13","42.22"
"61","yqr","iab","11","2","2021-11-09","61","12.20","41.09"
"62","zqr","iab","11","2","2021-11-09","62","11.92","41.90"
"63","arr","iab","11","2","2021-11-09","63","12.37","42.48"
"64","brr","iab","11","2","2021-11-09","64","12.09","42.78"
"65","crr","iab","11","2","2021-11-09","65","13.03","42.47"
"66","drr","iab","11","2","2021-11-09","66","11.17","41.38"
"67","err","iab","11","2","2021-11-09","67","12.51","40.55"
"68","frr","iab","11","2","2021-11-09","68","13.39","41.30"
"69","grr","iab","11","2","2021-11-09","69","12.13","41.40"
"70","hrr","iab","11","2","2021-11-09","70","12.18","42.46"
