"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","muo","kab","11","2","2021-11-11","1","12.18","54.99"
"2","nuo","kab","11","2","2021-11-11","2","12.46","52.14"
"3","ouo","kab","11","2","2021-11-11","3","12.20","54.26"
"4","puo","kab","11","2","2021-11-11","4","12.46","54.03"
"5","quo","kab","11","2","2021-11-11","5","12.13","55.72"
"6","ruo","kab","11","2","2021-11-11","6","10.30","51.46"
"7","suo","kab","11","2","2021-11-11","7","12.47","51.20"
"8","tuo","kab","11","2","2021-11-11","8","12.28","57.29"
"9","uuo","kab","11","2","2021-11-11","9","12.48","58.84"
"10","vuo","kab","11","2","2021-11-11","10","12.39","55.90"
"11","wuo","kab","11","2","2021-11-11","11","14.16","53.01"
"12","xuo","kab","11","2","2021-11-11","12","13.24","55.01"
"13","yuo","kab","11","2","2021-11-11","13","13.54","55.43"
"14","zuo","kab","11","2","2021-11-11","14","10.22","59.29"
"15","avo","kab","11","2","2021-11-11","15","12.48","54.74"
"16","bvo","kab","11","2","2021-11-11","16","11.94","50.94"
"17","cvo","kab","11","2","2021-11-11","17","12.27","56.07"
"18","dvo","kab","11","2","2021-11-11","18","12.37","54.18"
"19","evo","kab","11","2","2021-11-11","19","10.97","54.23"
"20","fvo","kab","11","2","2021-11-11","20","12.98","56.01"
"21","gvo","kab","11","2","2021-11-11","21","11.89","59.79"
"22","hvo","kab","11","2","2021-11-11","22","13.89","52.75"
"23","ivo","kab","11","2","2021-11-11","23","10.20","55.16"
"24","jvo","kab","11","2","2021-11-11","24","13.22","53.77"
"25","kvo","kab","11","2","2021-11-11","25","11.82","54.24"
"26","lvo","kab","11","2","2021-11-11","26","12.93","52.54"
"27","mvo","kab","11","2","2021-11-11","27","9.47","51.48"
"28","nvo","kab","11","2","2021-11-11","28","10.40","59.53"
"29","ovo","kab","11","2","2021-11-11","29","13.18","53.47"
"30","pvo","kab","11","2","2021-11-11","30","13.43","52.02"
"31","qvo","kab","11","2","2021-11-11","31","13.41","49.84"
"32","rvo","kab","11","2","2021-11-11","32","11.19","55.68"
"33","svo","kab","11","2","2021-11-11","33","12.42","54.26"
"34","tvo","kab","11","2","2021-11-11","34","11.16","51.65"
"35","uvo","kab","11","2","2021-11-11","35","12.47","54.77"
"36","vvo","kab","11","2","2021-11-11","36","12.29","53.44"
"37","wvo","kab","11","2","2021-11-11","37","12.14","57.07"
"38","xvo","kab","11","2","2021-11-11","38","12.58","53.27"
"39","yvo","kab","11","2","2021-11-11","39","12.18","55.13"
"40","zvo","kab","11","2","2021-11-11","40","10.02","51.46"
"41","awo","kab","11","2","2021-11-11","41","10.16","56.74"
"42","bwo","kab","11","2","2021-11-11","42","12.27","54.95"
"43","cwo","kab","11","2","2021-11-11","43","13.28","56.32"
"44","dwo","kab","11","2","2021-11-11","44","11.57","55.17"
"45","ewo","kab","11","2","2021-11-11","45","10.94","55.87"
"46","fwo","kab","11","2","2021-11-11","46","14.26","55.16"
"47","gwo","kab","11","2","2021-11-11","47","11.63","50.98"
"48","hwo","kab","11","2","2021-11-11","48","12.23","56.99"
"49","iwo","kab","11","2","2021-11-11","49","13.23","60.84"
"50","jwo","kab","11","2","2021-11-11","50","12.37","59.90"
"51","kwo","kab","11","2","2021-11-11","51","14.19","57.83"
"52","lwo","kab","11","2","2021-11-11","52","11.48","57.38"
"53","mwo","kab","11","2","2021-11-11","53","12.11","55.79"
