"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","sfe","mab","11","2","2021-11-11","9","10.74","64.84"
"2","tfe","mab","11","2","2021-11-11","10","11.07","73.05"
"3","ufe","mab","11","2","2021-11-11","11","10.43","69.78"
"4","vfe","mab","11","2","2021-11-11","12","11.67","67.35"
"5","wfe","mab","11","2","2021-11-11","13","12.28","65.74"
"6","xfe","mab","11","2","2021-11-11","14","11.81","65.79"
"7","yfe","mab","11","2","2021-11-11","15","11.71","67.78"
"8","zfe","mab","11","2","2021-11-11","16","10.88","63.74"
"9","age","mab","11","2","2021-11-11","17","10.62","68.85"
"10","bge","mab","11","2","2021-11-11","18","11.11","68.38"
"11","cge","mab","11","2","2021-11-11","19","11.88","63.22"
"12","dge","mab","11","2","2021-11-11","20","11.54","61.69"
"13","ege","mab","11","2","2021-11-11","21","12.06","64.44"
"14","fge","mab","11","2","2021-11-11","22","12.10","63.43"
"15","gge","mab","11","2","2021-11-11","23","10.98","62.30"
"16","hge","mab","11","2","2021-11-11","24","11.29","69.26"
"17","ige","mab","11","2","2021-11-11","25","10.30","65.35"
"18","jge","mab","11","2","2021-11-11","26","11.29","65.58"
"19","kge","mab","11","2","2021-11-11","27","12.64","66.76"
"20","lge","mab","11","2","2021-11-11","28","12.27","66.39"
"21","mge","mab","11","2","2021-11-11","29","11.23","65.26"
"22","nge","mab","11","2","2021-11-11","30","13.13","63.09"
"23","oge","mab","11","2","2021-11-11","31","11.99","64.81"
"24","pge","mab","11","2","2021-11-11","32","12.29","65.94"
"25","qge","mab","11","2","2021-11-11","33","10.36","64.97"
"26","rge","mab","11","2","2021-11-11","34","10.12","71.44"
"27","sge","mab","11","2","2021-11-11","35","10.12","65.02"
"28","tge","mab","11","2","2021-11-11","36","11.10","70.42"
"29","uge","mab","11","2","2021-11-11","37","12.28","67.49"
"30","vge","mab","11","2","2021-11-11","38","11.64","72.36"
"31","wge","mab","11","2","2021-11-11","39","12.08","67.64"
"32","xge","mab","11","2","2021-11-11","40","12.64","69.23"
"33","yge","mab","11","2","2021-11-11","41","11.42","68.70"
"34","zge","mab","11","2","2021-11-11","42","10.44","64.47"
"35","ahe","mab","11","2","2021-11-11","43","10.89","65.08"
"36","bhe","mab","11","2","2021-11-11","44","10.99","64.73"
"37","che","mab","11","2","2021-11-11","45","11.52","69.95"
"38","dhe","mab","11","2","2021-11-11","46","11.16","65.47"
"39","ehe","mab","11","2","2021-11-11","47","12.40","64.85"
"40","fhe","mab","11","2","2021-11-11","48","13.67","64.39"
"41","ghe","mab","11","2","2021-11-11","49","12.38","67.26"
"42","hhe","mab","11","2","2021-11-11","50","11.44","64.40"
"43","ihe","mab","11","2","2021-11-11","51","12.23","69.88"
"44","jhe","mab","11","2","2021-11-11","52","10.13","61.01"
"45","khe","mab","11","2","2021-11-11","53","10.56","63.25"
"46","lhe","mab","11","2","2021-11-11","54","13.46","72.30"
"47","mhe","mab","11","2","2021-11-11","55","12.90","67.83"
"48","nhe","mab","11","2","2021-11-11","56","12.98","67.32"
"49","ohe","mab","11","2","2021-11-11","57","12.29","68.49"
"50","phe","mab","11","2","2021-11-11","58","12.27","69.20"
"51","qhe","mab","11","2","2021-11-11","59","11.91","66.72"
"52","rhe","mab","11","2","2021-11-11","60","11.47","65.74"
"53","she","mab","11","2","2021-11-11","61","10.16","67.72"
"54","the","mab","11","2","2021-11-11","62","10.37","67.33"
"55","uhe","mab","11","2","2021-11-11","63","10.94","69.94"
"56","vhe","mab","11","2","2021-11-11","64","12.59","67.51"
