"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","edl","nab","11","2","2021-11-11","1","9.11","66.18"
"2","fdl","nab","11","2","2021-11-11","2","8.62","60.61"
"3","gdl","nab","11","2","2021-11-11","3","9.09","64.72"
"4","hdl","nab","11","2","2021-11-11","4","8.82","62.48"
"5","idl","nab","11","2","2021-11-11","5","9.84","60.10"
"6","jdl","nab","11","2","2021-11-11","6","9.24","62.48"
"7","kdl","nab","11","2","2021-11-11","7","9.48","63.85"
"8","ldl","nab","11","2","2021-11-11","8","8.79","66.14"
"9","mdl","nab","11","2","2021-11-11","9","9.07","64.21"
"10","ndl","nab","11","2","2021-11-11","10","9.59","60.94"
"11","odl","nab","11","2","2021-11-11","11","9.67","65.64"
"12","pdl","nab","11","2","2021-11-11","12","9.86","62.32"
"13","qdl","nab","11","2","2021-11-11","13","9.64","62.82"
"14","rdl","nab","11","2","2021-11-11","14","9.53","62.43"
"15","sdl","nab","11","2","2021-11-11","15","9.53","60.64"
"16","tdl","nab","11","2","2021-11-11","16","9.04","64.67"
"17","udl","nab","11","2","2021-11-11","17","9.89","61.39"
"18","vdl","nab","11","2","2021-11-11","18","9.10","60.91"
"19","wdl","nab","11","2","2021-11-11","19","9.63","59.63"
"20","xdl","nab","11","2","2021-11-11","20","9.61","62.59"
"21","ydl","nab","11","2","2021-11-11","21","10.08","59.88"
"22","zdl","nab","11","2","2021-11-11","22","9.00","61.27"
"23","ael","nab","11","2","2021-11-11","23","9.36","60.35"
"24","bel","nab","11","2","2021-11-11","24","9.08","63.67"
"25","cel","nab","11","2","2021-11-11","25","10.36","61.59"
"26","del","nab","11","2","2021-11-11","26","10.31","60.12"
"27","eel","nab","11","2","2021-11-11","27","9.67","61.46"
"28","fel","nab","11","2","2021-11-11","28","9.73","62.96"
"29","gel","nab","11","2","2021-11-11","29","10.22","66.00"
"30","hel","nab","11","2","2021-11-11","30","10.42","66.30"
"31","iel","nab","11","2","2021-11-11","31","9.40","61.90"
"32","jel","nab","11","2","2021-11-11","32","8.91","65.24"
"33","kel","nab","11","2","2021-11-11","33","9.57","64.21"
"34","lel","nab","11","2","2021-11-11","34","8.98","64.40"
"35","mel","nab","11","2","2021-11-11","35","10.41","63.96"
"36","nel","nab","11","2","2021-11-11","36","9.87","64.15"
"37","oel","nab","11","2","2021-11-11","37","10.82","59.08"
"38","pel","nab","11","2","2021-11-11","38","9.22","63.34"
"39","qel","nab","11","2","2021-11-11","39","9.88","59.02"
"40","rel","nab","11","2","2021-11-11","40","9.44","63.49"
"41","sel","nab","11","2","2021-11-11","41","9.74","65.00"
"42","tel","nab","11","2","2021-11-11","42","9.82","63.81"
"43","uel","nab","11","2","2021-11-11","43","10.56","61.28"
"44","vel","nab","11","2","2021-11-11","44","10.27","60.79"
"45","wel","nab","11","2","2021-11-11","45","9.10","63.85"
"46","xel","nab","11","2","2021-11-11","46","9.79","62.40"
"47","yel","nab","11","2","2021-11-11","47","10.18","62.17"
"48","zel","nab","11","2","2021-11-11","48","10.18","63.15"
"49","afl","nab","11","2","2021-11-11","49","10.19","64.04"
"50","bfl","nab","11","2","2021-11-11","50","9.23","59.38"
"51","cfl","nab","11","2","2021-11-11","51","10.72","67.57"
"52","dfl","nab","11","2","2021-11-11","52","9.83","61.71"
"53","efl","nab","11","2","2021-11-11","53","9.64","63.04"
"54","ffl","nab","11","2","2021-11-11","54","9.26","67.42"
"55","gfl","nab","11","2","2021-11-11","55","10.27","64.95"
"56","hfl","nab","11","2","2021-11-11","56","9.21","61.78"
"57","ifl","nab","11","2","2021-11-11","57","10.72","62.58"
"58","jfl","nab","11","2","2021-11-11","58","9.73","59.63"
"59","kfl","nab","11","2","2021-11-11","59","9.57","64.58"
"60","lfl","nab","11","2","2021-11-11","60","9.81","62.49"
"61","mfl","nab","11","2","2021-11-11","61","11.10","60.34"
"62","nfl","nab","11","2","2021-11-11","62","10.83","64.85"
"63","ofl","nab","11","2","2021-11-11","63","11.57","61.13"
"64","pfl","nab","11","2","2021-11-11","64","9.67","62.56"
"65","qfl","nab","11","2","2021-11-11","65","9.17","64.40"
"66","rfl","nab","11","2","2021-11-11","66","9.23","64.01"
"67","sfl","nab","11","2","2021-11-11","67","9.89","66.79"
"68","tfl","nab","11","2","2021-11-11","68","11.20","66.49"
"69","ufl","nab","11","2","2021-11-11","69","9.80","63.56"
"70","vfl","nab","11","2","2021-11-11","70","9.37","59.45"
"71","wfl","nab","11","2","2021-11-11","71","10.09","62.84"
"72","xfl","nab","11","2","2021-11-11","72","10.03","65.44"
"73","yfl","nab","11","2","2021-11-11","73","11.47","66.39"
"74","zfl","nab","11","2","2021-11-11","74","11.87","62.23"
"75","agl","nab","11","2","2021-11-11","75","12.12","62.46"
"76","bgl","nab","11","2","2021-11-11","76","11.78","66.06"
"77","cgl","nab","11","2","2021-11-11","77","9.79","63.65"
"78","dgl","nab","11","2","2021-11-11","78","9.14","63.43"
"79","egl","nab","11","2","2021-11-11","79","10.93","65.43"
"80","fgl","nab","11","2","2021-11-11","80","10.57","62.75"
"81","ggl","nab","11","2","2021-11-11","81","10.61","63.35"
"82","hgl","nab","11","2","2021-11-11","82","10.20","66.14"
"83","igl","nab","11","2","2021-11-11","83","10.22","62.93"
"84","jgl","nab","11","2","2021-11-11","84","10.18","62.65"
"85","kgl","nab","11","2","2021-11-11","85","10.57","61.06"
"86","lgl","nab","11","2","2021-11-11","86","10.34","62.15"
"87","mgl","nab","11","2","2021-11-11","87","10.00","63.94"
"88","ngl","nab","11","2","2021-11-11","88","10.12","65.09"
"89","ogl","nab","11","2","2021-11-11","89","10.86","63.57"
"90","pgl","nab","11","2","2021-11-11","90","9.46","62.78"
"91","qgl","nab","11","2","2021-11-11","91","9.84","63.66"
"92","rgl","nab","11","2","2021-11-11","92","9.27","62.94"
"93","sgl","nab","11","2","2021-11-11","93","9.51","63.56"
"94","tgl","nab","11","2","2021-11-11","94","9.51","65.74"
"95","ugl","nab","11","2","2021-11-11","95","9.28","68.33"
"96","vgl","nab","11","2","2021-11-11","96","8.68","61.09"
"97","wgl","nab","11","2","2021-11-11","97","8.97","63.67"
"98","xgl","nab","11","2","2021-11-11","98","9.22","64.58"
"99","ygl","nab","11","2","2021-11-11","99","10.27","60.08"
"100","zgl","nab","11","2","2021-11-11","100","10.47","60.76"
