"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","cth","pab","11","1","2021-11-03","1","11.54","59.43"
"2","dth","pab","11","1","2021-11-03","2","12.71","59.91"
"3","eth","pab","11","1","2021-11-03","3","10.23","60.36"
"4","fth","pab","11","1","2021-11-03","4","10.24","57.52"
"5","gth","pab","11","1","2021-11-03","5","10.52","61.76"
"6","hth","pab","11","1","2021-11-03","6","9.21","60.41"
"7","ith","pab","11","1","2021-11-03","7","10.30","62.01"
"8","jth","pab","11","1","2021-11-03","8","9.69","61.69"
"9","kth","pab","11","1","2021-11-03","9","9.84","60.07"
"10","lth","pab","11","1","2021-11-03","10","12.40","60.95"
"11","mth","pab","11","1","2021-11-03","11","9.09","62.79"
"12","nth","pab","11","1","2021-11-03","12","10.31","59.69"
"13","oth","pab","11","1","2021-11-03","13","9.61","61.23"
"14","pth","pab","11","1","2021-11-03","14","11.51","59.94"
"15","qth","pab","11","1","2021-11-03","15","10.10","58.90"
"16","rth","pab","11","1","2021-11-03","16","10.38","61.33"
"17","sth","pab","11","1","2021-11-03","17","11.43","57.68"
"18","tth","pab","11","1","2021-11-03","18","12.62","60.32"
"19","uth","pab","11","1","2021-11-03","19","10.84","59.51"
"20","vth","pab","11","1","2021-11-03","20","12.02","60.54"
"21","wth","pab","11","1","2021-11-03","21","13.77","61.03"
"22","xth","pab","11","1","2021-11-03","22","11.31","58.06"
"23","yth","pab","11","1","2021-11-03","23","10.84","60.24"
"24","zth","pab","11","1","2021-11-03","24","11.60","60.26"
"25","auh","pab","11","1","2021-11-03","25","11.69","61.01"
"26","buh","pab","11","1","2021-11-03","26","10.84","61.74"
"27","cuh","pab","11","1","2021-11-03","27","12.34","59.61"
"28","duh","pab","11","1","2021-11-03","28","11.52","59.10"
"29","euh","pab","11","1","2021-11-03","29","9.91","58.30"
"30","fuh","pab","11","1","2021-11-03","30","9.33","61.22"
"31","guh","pab","11","1","2021-11-03","31","11.11","58.69"
"32","huh","pab","11","1","2021-11-03","32","11.38","58.52"
"33","iuh","pab","11","1","2021-11-03","33","12.56","59.05"
"34","juh","pab","11","1","2021-11-03","34","10.17","59.90"
"35","kuh","pab","11","1","2021-11-03","35","12.97","57.25"
"36","luh","pab","11","1","2021-11-03","36","11.56","59.14"
"37","muh","pab","11","1","2021-11-03","37","10.26","60.61"
"38","nuh","pab","11","1","2021-11-03","38","10.27","61.55"
"39","ouh","pab","11","1","2021-11-03","39","10.63","59.97"
"40","puh","pab","11","1","2021-11-03","40","11.04","58.17"
"41","quh","pab","11","1","2021-11-03","41","11.32","58.11"
"42","ruh","pab","11","1","2021-11-03","42","9.49","60.04"
"43","suh","pab","11","1","2021-11-03","43","8.98","58.05"
"44","tuh","pab","11","1","2021-11-03","44","9.80","59.79"
"45","uuh","pab","11","1","2021-11-03","45","9.74","56.51"
"46","vuh","pab","11","1","2021-11-03","46","9.69","60.33"
"47","wuh","pab","11","1","2021-11-03","47","10.41","61.88"
"48","xuh","pab","11","1","2021-11-03","48","11.88","60.58"
"49","yuh","pab","11","1","2021-11-03","49","11.63","61.77"
"50","zuh","pab","11","1","2021-11-03","50","11.56","59.05"
"51","avh","pab","11","1","2021-11-03","51","10.73","61.02"
"52","bvh","pab","11","1","2021-11-03","52","12.23","61.82"
"53","cvh","pab","11","1","2021-11-03","53","8.78","61.50"
"54","dvh","pab","11","1","2021-11-03","54","10.29","59.33"
"55","evh","pab","11","1","2021-11-03","55","11.29","57.76"
"56","fvh","pab","11","1","2021-11-03","56","9.22","58.83"
"57","gvh","pab","11","1","2021-11-03","57","11.42","60.01"
"58","hvh","pab","11","1","2021-11-03","58","11.71","59.72"
"59","ivh","pab","11","1","2021-11-03","59","11.26","58.71"
"60","jvh","pab","11","1","2021-11-03","60","10.61","61.16"
"61","kvh","pab","11","1","2021-11-03","61","10.61","60.18"
"62","lvh","pab","11","1","2021-11-03","62","10.88","57.93"
"63","mvh","pab","11","1","2021-11-03","63","9.72","57.66"
"64","nvh","pab","11","1","2021-11-03","64","10.74","57.54"
"65","ovh","pab","11","1","2021-11-03","65","10.16","59.24"
"66","pvh","pab","11","1","2021-11-03","66","9.94","60.95"
"67","qvh","pab","11","1","2021-11-03","67","10.60","58.70"
"68","rvh","pab","11","1","2021-11-03","68","10.01","60.07"
"69","svh","pab","11","1","2021-11-03","69","9.47","59.21"
"70","tvh","pab","11","1","2021-11-03","70","11.01","58.24"
"71","uvh","pab","11","1","2021-11-03","71","11.06","56.55"
"72","vvh","pab","11","1","2021-11-03","72","10.84","61.37"
"73","wvh","pab","11","1","2021-11-03","73","10.63","57.61"
"74","xvh","pab","11","1","2021-11-03","74","10.03","60.34"
"75","yvh","pab","11","1","2021-11-03","75","9.91","59.57"
"76","zvh","pab","11","1","2021-11-03","76","10.80","57.62"
"77","awh","pab","11","1","2021-11-03","77","11.16","60.70"
"78","bwh","pab","11","1","2021-11-03","78","11.17","61.69"
"79","cwh","pab","11","1","2021-11-03","79","10.44","58.45"
"80","dwh","pab","11","1","2021-11-03","80","10.40","60.66"
"81","ewh","pab","11","1","2021-11-03","81","9.53","58.71"
"82","fwh","pab","11","1","2021-11-03","82","11.89","61.31"
"83","gwh","pab","11","1","2021-11-03","83","11.38","58.11"
"84","hwh","pab","11","1","2021-11-03","84","10.49","60.29"
"85","iwh","pab","11","1","2021-11-03","85","10.32","60.23"
"86","jwh","pab","11","1","2021-11-03","86","10.63","61.58"
"87","kwh","pab","11","1","2021-11-03","87","11.08","62.36"
"88","lwh","pab","11","1","2021-11-03","88","10.63","58.27"
"89","mwh","pab","11","1","2021-11-03","89","9.91","57.49"
"90","nwh","pab","11","1","2021-11-03","90","8.77","60.97"
"91","owh","pab","11","1","2021-11-03","91","12.86","61.30"
