"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","qyj","qab","11","4","2021-11-25","1","10.86","56.75"
"2","ryj","qab","11","4","2021-11-25","2","11.13","58.29"
"3","syj","qab","11","4","2021-11-25","3","10.13","58.61"
"4","tyj","qab","11","4","2021-11-25","4","11.56","57.23"
"5","uyj","qab","11","4","2021-11-25","5","10.31","58.39"
"6","vyj","qab","11","4","2021-11-25","7","10.66","58.07"
"7","wyj","qab","11","4","2021-11-25","8","11.57","55.28"
"8","xyj","qab","11","4","2021-11-25","9","10.34","60.01"
"9","yyj","qab","11","4","2021-11-25","10","10.82","55.64"
"10","zyj","qab","11","4","2021-11-25","11","10.72","59.21"
"11","azj","qab","11","4","2021-11-25","12","11.73","57.04"
"12","bzj","qab","11","4","2021-11-25","13","11.92","56.93"
"13","czj","qab","11","4","2021-11-25","14","12.93","59.20"
"14","dzj","qab","11","4","2021-11-25","15","11.04","55.14"
"15","ezj","qab","11","4","2021-11-25","17","10.18","54.47"
"16","fzj","qab","11","4","2021-11-25","18","11.67","55.81"
"17","gzj","qab","11","4","2021-11-25","19","10.53","55.88"
"18","hzj","qab","11","4","2021-11-25","20","11.78","54.92"
"19","izj","qab","11","4","2021-11-25","21","10.76","59.87"
"20","jzj","qab","11","4","2021-11-25","22","11.02","61.28"
"21","kzj","qab","11","4","2021-11-25","23","10.36","58.49"
"22","lzj","qab","11","4","2021-11-25","24","11.32","59.26"
"23","mzj","qab","11","4","2021-11-25","25","10.52","56.26"
"24","nzj","qab","11","4","2021-11-25","26","11.31","55.53"
"25","ozj","qab","11","4","2021-11-25","27","12.96","57.93"
"26","pzj","qab","11","4","2021-11-25","28","11.37","58.71"
"27","qzj","qab","11","4","2021-11-25","29","11.27","53.52"
"28","rzj","qab","11","4","2021-11-25","31","11.03","57.04"
"29","szj","qab","11","4","2021-11-25","32","11.97","60.63"
"30","tzj","qab","11","4","2021-11-25","33","10.56","57.39"
"31","uzj","qab","11","4","2021-11-25","34","10.74","60.82"
"32","vzj","qab","11","4","2021-11-25","35","10.80","57.75"
"33","wzj","qab","11","4","2021-11-25","36","11.87","60.81"
"34","xzj","qab","11","4","2021-11-25","37","10.50","59.28"
"35","yzj","qab","11","4","2021-11-25","38","12.10","58.59"
"36","zzj","qab","11","4","2021-11-25","40","10.84","58.05"
"37","aak","qab","11","4","2021-11-25","41","10.22","57.73"
"38","bak","qab","11","4","2021-11-25","42","11.17","56.87"
"39","cak","qab","11","4","2021-11-25","43","10.42","57.99"
"40","dak","qab","11","4","2021-11-25","44","10.30","58.47"
"41","eak","qab","11","4","2021-11-25","45","10.41","56.26"
"42","fak","qab","11","4","2021-11-25","46","12.12","56.79"
"43","gak","qab","11","4","2021-11-25","47","11.20","56.46"
"44","hak","qab","11","4","2021-11-25","48","12.27","53.61"
"45","iak","qab","11","4","2021-11-25","49","10.70","55.47"
"46","jak","qab","11","4","2021-11-25","51","10.10","57.00"
