"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","sdh","rab","11","4","2021-11-25","1","11.49","65.90"
"2","tdh","rab","11","4","2021-11-25","2","12.72","63.56"
"3","udh","rab","11","4","2021-11-25","3","10.74","62.29"
"4","vdh","rab","11","4","2021-11-25","4","11.48","60.11"
"5","wdh","rab","11","4","2021-11-25","5","10.77","64.02"
"6","xdh","rab","11","4","2021-11-25","6","12.19","60.81"
"7","ydh","rab","11","4","2021-11-25","7","11.52","62.43"
"8","zdh","rab","11","4","2021-11-25","8","10.89","66.49"
"9","aeh","rab","11","4","2021-11-25","9","9.66","67.28"
"10","beh","rab","11","4","2021-11-25","10","11.22","60.97"
"11","ceh","rab","11","4","2021-11-25","11","11.69","63.87"
"12","deh","rab","11","4","2021-11-25","12","11.52","64.58"
"13","eeh","rab","11","4","2021-11-25","13","11.73","62.39"
"14","feh","rab","11","4","2021-11-25","14","11.09","63.90"
"15","geh","rab","11","4","2021-11-25","15","12.06","62.88"
"16","heh","rab","11","4","2021-11-25","16","12.83","64.87"
"17","ieh","rab","11","4","2021-11-25","17","12.84","64.90"
"18","jeh","rab","11","4","2021-11-25","18","12.81","65.27"
"19","keh","rab","11","4","2021-11-25","19","12.00","62.77"
"20","leh","rab","11","4","2021-11-25","20","11.87","64.59"
"21","meh","rab","11","4","2021-11-25","21","12.00","61.18"
"22","neh","rab","11","4","2021-11-25","22","11.58","65.05"
"23","oeh","rab","11","4","2021-11-25","23","11.97","64.76"
"24","peh","rab","11","4","2021-11-25","24","11.08","60.58"
"25","qeh","rab","11","4","2021-11-25","25","10.18","64.00"
"26","reh","rab","11","4","2021-11-25","26","9.57","63.13"
"27","seh","rab","11","4","2021-11-25","27","10.51","64.40"
"28","teh","rab","11","4","2021-11-25","28","10.98","66.31"
"29","ueh","rab","11","4","2021-11-25","29","12.79","63.40"
"30","veh","rab","11","4","2021-11-25","30","11.48","61.69"
"31","weh","rab","11","4","2021-11-25","31","13.17","64.18"
"32","xeh","rab","11","4","2021-11-25","32","12.72","65.46"
"33","yeh","rab","11","4","2021-11-25","33","12.26","64.51"
"34","zeh","rab","11","4","2021-11-25","34","12.81","62.27"
"35","afh","rab","11","4","2021-11-25","35","13.68","61.77"
"36","bfh","rab","11","4","2021-11-25","36","12.79","63.05"
"37","cfh","rab","11","4","2021-11-25","37","11.61","61.39"
"38","dfh","rab","11","4","2021-11-25","38","11.46","60.20"
"39","efh","rab","11","4","2021-11-25","39","10.94","62.68"
"40","ffh","rab","11","4","2021-11-25","40","12.18","61.77"
"41","gfh","rab","11","4","2021-11-25","41","12.06","61.63"
"42","hfh","rab","11","4","2021-11-25","42","12.36","60.75"
"43","ifh","rab","11","4","2021-11-25","43","11.08","62.98"
"44","jfh","rab","11","4","2021-11-25","44","12.50","63.74"
"45","kfh","rab","11","4","2021-11-25","45","11.66","64.00"
"46","lfh","rab","11","4","2021-11-25","46","9.79","65.05"
"47","mfh","rab","11","4","2021-11-25","47","9.90","65.12"
"48","nfh","rab","11","4","2021-11-25","48","10.60","64.10"
"49","ofh","rab","11","4","2021-11-25","49","10.62","62.02"
"50","pfh","rab","11","4","2021-11-25","50","9.64","66.51"
"51","qfh","rab","11","4","2021-11-25","51","11.83","62.39"
"52","rfh","rab","11","4","2021-11-25","52","10.63","63.51"
"53","sfh","rab","11","4","2021-11-25","53","9.63","62.98"
"54","tfh","rab","11","4","2021-11-25","54","9.21","62.62"
"55","ufh","rab","11","4","2021-11-25","55","11.13","63.81"
"56","vfh","rab","11","4","2021-11-25","56","9.71","62.08"
"57","wfh","rab","11","4","2021-11-25","57","10.34","64.32"
"58","xfh","rab","11","4","2021-11-25","58","11.09","62.57"
"59","yfh","rab","11","4","2021-11-25","59","9.91","62.55"
"60","zfh","rab","11","4","2021-11-25","60","9.78","62.39"
"61","agh","rab","11","4","2021-11-25","61","10.84","63.83"
"62","bgh","rab","11","4","2021-11-25","62","10.29","64.43"
"63","cgh","rab","11","4","2021-11-25","63","10.03","63.90"
"64","dgh","rab","11","4","2021-11-25","64","11.23","61.76"
"65","egh","rab","11","4","2021-11-25","65","11.20","60.95"
"66","fgh","rab","11","4","2021-11-25","66","10.20","62.91"
"67","ggh","rab","11","4","2021-11-25","67","10.07","61.97"
"68","hgh","rab","11","4","2021-11-25","68","10.49","66.92"
"69","igh","rab","11","4","2021-11-25","69","10.92","65.76"
"70","jgh","rab","11","4","2021-11-25","70","10.37","64.50"
"71","kgh","rab","11","4","2021-11-25","71","9.90","61.58"
"72","lgh","rab","11","4","2021-11-25","72","10.34","64.19"
"73","mgh","rab","11","4","2021-11-25","73","10.29","64.75"
"74","ngh","rab","11","4","2021-11-25","74","11.02","62.87"
"75","ogh","rab","11","4","2021-11-25","75","10.47","63.64"
"76","pgh","rab","11","4","2021-11-25","76","9.37","63.31"
"77","qgh","rab","11","4","2021-11-25","77","10.79","61.09"
"78","rgh","rab","11","4","2021-11-25","78","10.44","65.42"
"79","sgh","rab","11","4","2021-11-25","79","11.13","62.15"
"80","tgh","rab","11","4","2021-11-25","80","11.31","61.59"
"81","ugh","rab","11","4","2021-11-25","81","9.76","64.10"
"82","vgh","rab","11","4","2021-11-25","82","10.37","64.75"
"83","wgh","rab","11","4","2021-11-25","83","11.81","63.45"
"84","xgh","rab","11","4","2021-11-25","84","10.50","65.97"
"85","ygh","rab","11","4","2021-11-25","85","10.63","62.17"
"86","zgh","rab","11","4","2021-11-25","86","9.73","61.66"
"87","ahh","rab","11","4","2021-11-25","87","12.39","65.40"
"88","bhh","rab","11","4","2021-11-25","88","13.34","65.39"
"89","chh","rab","11","4","2021-11-25","89","12.07","65.19"
"90","dhh","rab","11","4","2021-11-25","90","11.91","66.89"
"91","ehh","rab","11","4","2021-11-25","91","11.52","64.69"
"92","fhh","rab","11","4","2021-11-25","92","12.53","62.45"
"93","ghh","rab","11","4","2021-11-25","93","10.83","64.41"
"94","hhh","rab","11","4","2021-11-25","94","12.34","63.26"
"95","ihh","rab","11","4","2021-11-25","95","12.82","62.93"
"96","jhh","rab","11","4","2021-11-25","96","12.98","60.36"
"97","khh","rab","11","4","2021-11-25","97","12.53","66.56"
"98","lhh","rab","11","4","2021-11-25","98","11.80","62.77"
"99","mhh","rab","11","4","2021-11-25","99","10.34","62.16"
"100","nhh","rab","11","4","2021-11-25","100","10.91","63.08"
