"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","yjk","sab","11","3","2021-11-15","1","10.68","69.24"
"2","zjk","sab","11","3","2021-11-15","2","10.69","64.63"
"3","akk","sab","11","3","2021-11-15","3","10.03","70.78"
"4","bkk","sab","11","3","2021-11-15","4","9.92","65.59"
"5","ckk","sab","11","3","2021-11-15","5","10.89","70.36"
"6","dkk","sab","11","3","2021-11-15","6","10.48","67.02"
"7","ekk","sab","11","3","2021-11-15","7","10.23","68.59"
"8","fkk","sab","11","3","2021-11-15","8","10.13","70.33"
"9","gkk","sab","11","3","2021-11-15","9","11.02","71.59"
"10","hkk","sab","11","3","2021-11-15","10","10.16","68.30"
"11","ikk","sab","11","3","2021-11-15","11","10.87","70.01"
"12","jkk","sab","11","3","2021-11-15","12","10.40","68.36"
"13","kkk","sab","11","3","2021-11-15","13","10.09","67.88"
"14","lkk","sab","11","3","2021-11-15","14","10.17","67.89"
"15","mkk","sab","11","3","2021-11-15","15","10.94","66.78"
"16","nkk","sab","11","3","2021-11-15","16","10.04","65.06"
"17","okk","sab","11","3","2021-11-15","17","10.06","71.49"
"18","pkk","sab","11","3","2021-11-15","18","9.27","70.00"
"19","qkk","sab","11","3","2021-11-15","19","10.18","65.71"
"20","rkk","sab","11","3","2021-11-15","20","11.06","69.62"
"21","skk","sab","11","3","2021-11-15","21","9.63","73.02"
"22","tkk","sab","11","3","2021-11-15","22","9.68","66.27"
"23","ukk","sab","11","3","2021-11-15","23","10.30","68.20"
"24","vkk","sab","11","3","2021-11-15","24","10.92","64.30"
"25","wkk","sab","11","3","2021-11-15","25","10.19","67.15"
"26","xkk","sab","11","3","2021-11-15","26","10.07","62.18"
"27","ykk","sab","11","3","2021-11-15","27","10.39","70.86"
"28","zkk","sab","11","3","2021-11-15","28","9.66","73.20"
"29","alk","sab","11","3","2021-11-15","29","10.31","65.97"
"30","blk","sab","11","3","2021-11-15","30","9.33","68.04"
"31","clk","sab","11","3","2021-11-15","31","9.47","66.60"
"32","dlk","sab","11","3","2021-11-15","32","9.77","66.84"
"33","elk","sab","11","3","2021-11-15","33","9.84","65.04"
"34","flk","sab","11","3","2021-11-15","34","10.21","71.10"
"35","glk","sab","11","3","2021-11-15","35","10.11","73.64"
"36","hlk","sab","11","3","2021-11-15","36","9.29","64.87"
"37","ilk","sab","11","3","2021-11-15","37","10.47","71.46"
"38","jlk","sab","11","3","2021-11-15","38","10.59","68.79"
"39","klk","sab","11","3","2021-11-15","39","9.58","71.40"
"40","llk","sab","11","3","2021-11-15","40","10.09","69.37"
"41","mlk","sab","11","3","2021-11-15","41","10.31","69.04"
"42","nlk","sab","11","3","2021-11-15","42","10.24","70.41"
"43","olk","sab","11","3","2021-11-15","43","9.71","67.14"
"44","plk","sab","11","3","2021-11-15","44","9.34","69.42"
"45","qlk","sab","11","3","2021-11-15","45","11.37","67.10"
"46","rlk","sab","11","3","2021-11-15","46","8.88","70.57"
"47","slk","sab","11","3","2021-11-15","47","10.09","66.50"
"48","tlk","sab","11","3","2021-11-15","48","9.32","72.25"
"49","ulk","sab","11","3","2021-11-15","49","10.14","65.15"
"50","vlk","sab","11","3","2021-11-15","50","10.00","70.58"
"51","wlk","sab","11","3","2021-11-15","51","9.49","73.28"
"52","xlk","sab","11","3","2021-11-15","52","9.77","64.67"
"53","ylk","sab","11","3","2021-11-15","53","10.32","67.64"
"54","zlk","sab","11","3","2021-11-15","54","10.04","66.28"
"55","amk","sab","11","3","2021-11-15","55","10.31","72.51"
"56","bmk","sab","11","3","2021-11-15","56","10.31","66.95"
"57","cmk","sab","11","3","2021-11-15","57","9.79","72.60"
"58","dmk","sab","11","3","2021-11-15","58","10.17","68.11"
"59","emk","sab","11","3","2021-11-15","59","9.54","68.24"
"60","fmk","sab","11","3","2021-11-15","60","11.00","67.35"
"61","gmk","sab","11","3","2021-11-15","61","10.57","72.48"
"62","hmk","sab","11","3","2021-11-15","62","10.24","68.66"
"63","imk","sab","11","3","2021-11-15","63","9.37","61.65"
"64","jmk","sab","11","3","2021-11-15","64","9.76","67.96"
"65","kmk","sab","11","3","2021-11-15","65","10.33","73.99"
"66","lmk","sab","11","3","2021-11-15","66","9.84","65.64"
"67","mmk","sab","11","3","2021-11-15","67","9.86","72.26"
"68","nmk","sab","11","3","2021-11-15","68","11.76","63.52"
"69","omk","sab","11","3","2021-11-15","69","9.74","71.93"
"70","pmk","sab","11","3","2021-11-15","70","9.80","68.82"
"71","qmk","sab","11","3","2021-11-15","71","9.51","70.58"
"72","rmk","sab","11","3","2021-11-15","72","9.66","67.25"
"73","smk","sab","11","3","2021-11-15","73","10.32","65.13"
"74","tmk","sab","11","3","2021-11-15","74","10.04","69.88"
"75","umk","sab","11","3","2021-11-15","75","9.90","75.23"
"76","vmk","sab","11","3","2021-11-15","76","9.37","73.15"
"77","wmk","sab","11","3","2021-11-15","77","9.40","69.66"
"78","xmk","sab","11","3","2021-11-15","78","9.89","68.74"
"79","ymk","sab","11","3","2021-11-15","79","11.03","72.04"
"80","zmk","sab","11","3","2021-11-15","80","9.28","65.83"
"81","ank","sab","11","3","2021-11-15","81","10.08","68.92"
"82","bnk","sab","11","3","2021-11-15","82","10.02","64.15"
"83","cnk","sab","11","3","2021-11-15","83","9.98","74.58"
"84","dnk","sab","11","3","2021-11-15","84","9.99","68.01"
"85","enk","sab","11","3","2021-11-15","85","10.98","66.40"
"86","fnk","sab","11","3","2021-11-15","86","9.92","69.22"
"87","gnk","sab","11","3","2021-11-15","87","10.50","67.59"
"88","hnk","sab","11","3","2021-11-15","88","10.41","66.54"
"89","ink","sab","11","3","2021-11-15","89","9.52","65.62"
"90","jnk","sab","11","3","2021-11-15","90","8.87","69.49"
"91","knk","sab","11","3","2021-11-15","91","10.24","64.31"
"92","lnk","sab","11","3","2021-11-15","92","9.88","69.98"
"93","mnk","sab","11","3","2021-11-15","93","9.70","67.56"
"94","nnk","sab","11","3","2021-11-15","94","9.46","62.94"
"95","onk","sab","11","3","2021-11-15","95","10.02","64.92"
"96","pnk","sab","11","3","2021-11-15","96","10.09","71.69"
"97","qnk","sab","11","3","2021-11-15","97","9.62","63.55"
"98","rnk","sab","11","3","2021-11-15","98","9.62","61.86"
"99","snk","sab","11","3","2021-11-15","99","10.01","69.66"
"100","tnk","sab","11","3","2021-11-15","100","10.13","63.33"
