"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","dsu","tab","10","4","2021-10-20","1","9.38","57.97"
"2","esu","tab","10","4","2021-10-20","2","9.52","52.01"
"3","fsu","tab","10","4","2021-10-20","3","9.28","48.81"
"4","gsu","tab","10","4","2021-10-20","4","9.36","49.45"
"5","hsu","tab","10","4","2021-10-20","5","8.80","49.51"
"6","isu","tab","10","4","2021-10-20","6","9.52","49.76"
"7","jsu","tab","10","4","2021-10-20","7","9.40","48.57"
"8","ksu","tab","10","4","2021-10-20","8","9.10","45.56"
"9","lsu","tab","10","4","2021-10-20","9","9.59","53.44"
"10","msu","tab","10","4","2021-10-20","10","8.69","52.61"
"11","nsu","tab","10","4","2021-10-20","11","8.59","53.49"
"12","osu","tab","10","4","2021-10-20","12","10.39","54.29"
"13","psu","tab","10","4","2021-10-20","13","9.03","49.25"
"14","qsu","tab","10","4","2021-10-20","14","9.33","55.27"
"15","rsu","tab","10","4","2021-10-20","15","9.44","47.98"
"16","ssu","tab","10","4","2021-10-20","16","8.68","57.80"
"17","tsu","tab","10","4","2021-10-20","17","10.24","54.87"
"18","usu","tab","10","4","2021-10-20","18","9.23","50.34"
"19","vsu","tab","10","4","2021-10-20","19","9.27","51.29"
"20","wsu","tab","10","4","2021-10-20","20","8.96","54.39"
"21","xsu","tab","10","4","2021-10-20","21","10.01","49.62"
"22","ysu","tab","10","4","2021-10-20","22","10.23","56.78"
"23","zsu","tab","10","4","2021-10-20","23","9.64","53.48"
"24","atu","tab","10","4","2021-10-20","24","9.57","51.77"
"25","btu","tab","10","4","2021-10-20","25","8.83","55.02"
"26","ctu","tab","10","4","2021-10-20","26","9.26","52.66"
"27","dtu","tab","10","4","2021-10-20","27","9.02","55.47"
"28","etu","tab","10","4","2021-10-20","28","8.94","45.88"
"29","ftu","tab","10","4","2021-10-20","29","11.70","49.51"
"30","gtu","tab","10","4","2021-10-20","30","9.51","48.28"
"31","htu","tab","10","4","2021-10-20","31","9.37","50.74"
"32","itu","tab","10","4","2021-10-20","32","9.22","56.01"
"33","jtu","tab","10","4","2021-10-20","33","10.11","49.40"
"34","ktu","tab","10","4","2021-10-20","34","9.01","53.89"
"35","ltu","tab","10","4","2021-10-20","35","9.07","49.34"
"36","mtu","tab","10","4","2021-10-20","36","9.01","48.92"
"37","ntu","tab","10","4","2021-10-20","37","9.06","47.93"
"38","otu","tab","10","4","2021-10-20","38","10.37","55.40"
"39","ptu","tab","10","4","2021-10-20","39","9.14","46.45"
"40","qtu","tab","10","4","2021-10-20","40","9.48","44.74"
"41","rtu","tab","10","4","2021-10-20","41","8.93","49.90"
"42","stu","tab","10","4","2021-10-20","42","9.63","51.79"
"43","ttu","tab","10","4","2021-10-20","43","9.22","53.95"
"44","utu","tab","10","4","2021-10-20","44","8.83","54.03"
"45","vtu","tab","10","4","2021-10-20","45","9.42","57.80"
"46","wtu","tab","10","4","2021-10-20","46","9.63","52.57"
"47","xtu","tab","10","4","2021-10-20","47","9.13","54.56"
"48","ytu","tab","10","4","2021-10-20","48","8.93","48.49"
"49","ztu","tab","10","4","2021-10-20","49","9.13","52.19"
"50","auu","tab","10","4","2021-10-20","50","9.52","57.61"
"51","buu","tab","10","4","2021-10-20","51","9.70","50.25"
"52","cuu","tab","10","4","2021-10-20","52","8.92","53.76"
"53","duu","tab","10","4","2021-10-20","53","8.81","52.86"
"54","euu","tab","10","4","2021-10-20","54","9.06","57.98"
"55","fuu","tab","10","4","2021-10-20","55","9.34","53.63"
"56","guu","tab","10","4","2021-10-20","56","9.27","52.25"
"57","huu","tab","10","4","2021-10-20","57","9.58","56.95"
"58","iuu","tab","10","4","2021-10-20","58","9.10","53.25"
"59","juu","tab","10","4","2021-10-20","59","9.90","51.68"
"60","kuu","tab","10","4","2021-10-20","60","9.18","51.87"
"61","luu","tab","10","4","2021-10-20","61","9.82","55.14"
"62","muu","tab","10","4","2021-10-20","62","9.23","55.04"
"63","nuu","tab","10","4","2021-10-20","63","8.78","52.94"
"64","ouu","tab","10","4","2021-10-20","64","9.64","52.42"
"65","puu","tab","10","4","2021-10-20","65","9.02","51.89"
"66","quu","tab","10","4","2021-10-20","66","10.03","47.72"
"67","ruu","tab","10","4","2021-10-20","67","9.44","48.91"
"68","suu","tab","10","4","2021-10-20","68","9.87","54.47"
"69","tuu","tab","10","4","2021-10-20","69","9.86","59.52"
"70","uuu","tab","10","4","2021-10-20","70","9.46","52.16"
"71","vuu","tab","10","4","2021-10-20","71","10.40","53.23"
"72","wuu","tab","10","4","2021-10-20","72","9.62","54.49"
"73","xuu","tab","10","4","2021-10-20","73","9.71","46.86"
"74","yuu","tab","10","4","2021-10-20","74","9.40","50.83"
"75","zuu","tab","10","4","2021-10-20","75","10.04","58.11"
"76","avu","tab","10","4","2021-10-20","76","9.56","55.55"
"77","bvu","tab","10","4","2021-10-20","77","9.77","50.56"
"78","cvu","tab","10","4","2021-10-20","78","9.56","49.80"
"79","dvu","tab","10","4","2021-10-20","79","9.71","53.35"
"80","evu","tab","10","4","2021-10-20","80","9.56","50.10"
"81","fvu","tab","10","4","2021-10-20","81","9.69","57.83"
"82","gvu","tab","10","4","2021-10-20","82","9.21","56.40"
"83","hvu","tab","10","4","2021-10-20","83","8.43","52.83"
"84","ivu","tab","10","4","2021-10-20","84","9.70","49.82"
"85","jvu","tab","10","4","2021-10-20","85","9.16","53.62"
"86","kvu","tab","10","4","2021-10-20","86","9.46","50.88"
"87","lvu","tab","10","4","2021-10-20","87","9.56","59.44"
"88","mvu","tab","10","4","2021-10-20","88","9.24","51.22"
"89","nvu","tab","10","4","2021-10-20","89","9.76","45.22"
"90","ovu","tab","10","4","2021-10-20","90","8.99","46.29"
"91","pvu","tab","10","4","2021-10-20","91","9.51","50.39"
"92","qvu","tab","10","4","2021-10-20","92","9.03","46.40"
"93","rvu","tab","10","4","2021-10-20","93","11.34","51.60"
"94","svu","tab","10","4","2021-10-20","94","8.98","51.19"
"95","tvu","tab","10","4","2021-10-20","95","8.09","52.07"
"96","uvu","tab","10","4","2021-10-20","96","10.01","48.04"
"97","vvu","tab","10","4","2021-10-20","97","9.54","50.88"
"98","wvu","tab","10","4","2021-10-20","98","9.68","53.32"
"99","xvu","tab","10","4","2021-10-20","99","10.51","52.45"
"100","yvu","tab","10","4","2021-10-20","100","9.93","54.42"
