"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","hwl","uab","11","2","2021-11-09","1","9.78","71.01"
"2","iwl","uab","11","2","2021-11-09","2","9.87","68.23"
"3","jwl","uab","11","2","2021-11-09","3","10.76","69.03"
"4","kwl","uab","11","2","2021-11-09","4","10.83","72.86"
"5","lwl","uab","11","2","2021-11-09","5","10.27","68.09"
"6","mwl","uab","11","2","2021-11-09","6","9.92","71.34"
"7","nwl","uab","11","2","2021-11-09","7","9.83","71.46"
"8","owl","uab","11","2","2021-11-09","8","11.69","71.20"
"9","pwl","uab","11","2","2021-11-09","9","10.58","69.93"
"10","qwl","uab","11","2","2021-11-09","10","11.14","66.80"
"11","rwl","uab","11","2","2021-11-09","11","9.78","72.42"
"12","swl","uab","11","2","2021-11-09","12","10.69","74.58"
"13","twl","uab","11","2","2021-11-09","13","9.61","73.45"
"14","uwl","uab","11","2","2021-11-09","14","11.04","73.18"
"15","vwl","uab","11","2","2021-11-09","15","9.18","73.59"
"16","wwl","uab","11","2","2021-11-09","16","10.74","71.31"
"17","xwl","uab","11","2","2021-11-09","17","10.63","75.14"
"18","ywl","uab","11","2","2021-11-09","18","10.08","69.50"
"19","zwl","uab","11","2","2021-11-09","19","10.09","72.20"
"20","axl","uab","11","2","2021-11-09","20","10.11","68.57"
"21","bxl","uab","11","2","2021-11-09","21","9.14","69.95"
"22","cxl","uab","11","2","2021-11-09","22","9.57","71.94"
"23","dxl","uab","11","2","2021-11-09","23","9.44","67.93"
"24","exl","uab","11","2","2021-11-09","24","10.17","66.76"
"25","fxl","uab","11","2","2021-11-09","25","9.44","71.76"
"26","gxl","uab","11","2","2021-11-09","26","10.50","69.63"
"27","hxl","uab","11","2","2021-11-09","27","8.39","71.68"
"28","ixl","uab","11","2","2021-11-09","28","9.42","73.18"
"29","jxl","uab","11","2","2021-11-09","29","9.14","72.20"
"30","kxl","uab","11","2","2021-11-09","30","9.51","71.48"
"31","lxl","uab","11","2","2021-11-09","31","9.37","70.79"
"32","mxl","uab","11","2","2021-11-09","32","9.72","70.82"
"33","nxl","uab","11","2","2021-11-09","33","9.72","69.49"
"34","oxl","uab","11","2","2021-11-09","34","10.31","72.23"
"35","pxl","uab","11","2","2021-11-09","35","9.11","74.35"
"36","qxl","uab","11","2","2021-11-09","36","10.77","77.05"
"37","rxl","uab","11","2","2021-11-09","37","9.72","73.84"
"38","sxl","uab","11","2","2021-11-09","38","9.94","73.58"
"39","txl","uab","11","2","2021-11-09","39","9.80","71.86"
"40","uxl","uab","11","2","2021-11-09","40","9.69","67.25"
"41","vxl","uab","11","2","2021-11-09","41","10.38","66.64"
"42","wxl","uab","11","2","2021-11-09","42","10.39","72.21"
"43","xxl","uab","11","2","2021-11-09","43","9.70","70.23"
"44","yxl","uab","11","2","2021-11-09","44","10.07","72.20"
"45","zxl","uab","11","2","2021-11-09","45","9.90","71.18"
"46","ayl","uab","11","2","2021-11-09","46","9.88","74.89"
"47","byl","uab","11","2","2021-11-09","47","8.90","76.98"
"48","cyl","uab","11","2","2021-11-09","48","9.62","70.60"
"49","dyl","uab","11","2","2021-11-09","49","9.67","70.81"
"50","eyl","uab","11","2","2021-11-09","50","10.11","69.69"
"51","fyl","uab","11","2","2021-11-09","51","10.00","71.20"
"52","gyl","uab","11","2","2021-11-09","52","10.42","74.43"
"53","hyl","uab","11","2","2021-11-09","53","9.77","74.86"
"54","iyl","uab","11","2","2021-11-09","54","9.96","70.22"
"55","jyl","uab","11","2","2021-11-09","55","9.68","71.78"
"56","kyl","uab","11","2","2021-11-09","56","9.66","73.32"
"57","lyl","uab","11","2","2021-11-09","57","8.93","73.24"
"58","myl","uab","11","2","2021-11-09","58","9.46","71.70"
"59","nyl","uab","11","2","2021-11-09","59","8.76","68.76"
"60","oyl","uab","11","2","2021-11-09","60","9.71","69.89"
"61","pyl","uab","11","2","2021-11-09","61","9.64","72.69"
"62","qyl","uab","11","2","2021-11-09","62","9.64","74.48"
"63","ryl","uab","11","2","2021-11-09","63","9.14","74.07"
"64","syl","uab","11","2","2021-11-09","64","9.99","66.25"
"65","tyl","uab","11","2","2021-11-09","65","9.89","72.75"
"66","uyl","uab","11","2","2021-11-09","66","9.32","75.08"
"67","vyl","uab","11","2","2021-11-09","67","9.53","72.99"
"68","wyl","uab","11","2","2021-11-09","68","9.93","69.87"
"69","xyl","uab","11","2","2021-11-09","69","9.77","75.17"
"70","yyl","uab","11","2","2021-11-09","70","9.73","69.86"
"71","zyl","uab","11","2","2021-11-09","71","8.86","69.22"
"72","azl","uab","11","2","2021-11-09","72","10.11","68.65"
"73","bzl","uab","11","2","2021-11-09","73","9.49","75.20"
"74","czl","uab","11","2","2021-11-09","74","9.39","68.90"
"75","dzl","uab","11","2","2021-11-09","75","9.60","73.23"
"76","ezl","uab","11","2","2021-11-09","76","11.03","75.54"
"77","fzl","uab","11","2","2021-11-09","77","8.63","70.73"
"78","gzl","uab","11","2","2021-11-09","78","10.06","72.14"
"79","hzl","uab","11","2","2021-11-09","79","9.63","71.96"
"80","izl","uab","11","2","2021-11-09","80","10.90","72.90"
"81","jzl","uab","11","2","2021-11-09","81","9.14","67.59"
"82","kzl","uab","11","2","2021-11-09","82","10.52","75.12"
"83","lzl","uab","11","2","2021-11-09","83","9.22","73.63"
"84","mzl","uab","11","2","2021-11-09","84","9.11","72.92"
"85","nzl","uab","11","2","2021-11-09","85","8.22","72.54"
"86","ozl","uab","11","2","2021-11-09","86","9.06","71.39"
"87","pzl","uab","11","2","2021-11-09","87","8.14","74.70"
"88","qzl","uab","11","2","2021-11-09","88","10.02","70.21"
"89","rzl","uab","11","2","2021-11-09","89","9.07","72.00"
"90","szl","uab","11","2","2021-11-09","90","10.38","65.70"
"91","tzl","uab","11","2","2021-11-09","91","9.01","74.90"
"92","uzl","uab","11","2","2021-11-09","92","9.77","72.70"
"93","vzl","uab","11","2","2021-11-09","93","9.29","75.85"
"94","wzl","uab","11","2","2021-11-09","94","9.71","69.16"
"95","xzl","uab","11","2","2021-11-09","95","9.40","78.02"
"96","yzl","uab","11","2","2021-11-09","96","9.91","72.84"
"97","zzl","uab","11","2","2021-11-09","97","10.10","67.13"
"98","aam","uab","11","2","2021-11-09","98","9.73","73.64"
"99","bam","uab","11","2","2021-11-09","99","9.03","69.49"
"100","cam","uab","11","2","2021-11-09","100","10.23","70.56"
