"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","ian","wab","11","1","2021-11-05","1","10.06","54.51"
"2","jan","wab","11","1","2021-11-05","2","11.60","54.74"
"3","kan","wab","11","1","2021-11-05","3","10.49","54.04"
"4","lan","wab","11","1","2021-11-05","4","10.70","55.49"
"5","man","wab","11","1","2021-11-05","5","10.31","55.90"
"6","nan","wab","11","1","2021-11-05","6","11.46","52.25"
"7","oan","wab","11","1","2021-11-05","7","11.87","57.14"
"8","pan","wab","11","1","2021-11-05","8","11.67","56.36"
"9","qan","wab","11","1","2021-11-05","9","10.88","55.88"
"10","ran","wab","11","1","2021-11-05","10","10.86","56.73"
"11","san","wab","11","1","2021-11-05","11","10.68","55.45"
"12","tan","wab","11","1","2021-11-05","12","12.88","54.19"
"13","uan","wab","11","1","2021-11-05","13","11.38","58.03"
"14","van","wab","11","1","2021-11-05","14","11.54","55.69"
"15","wan","wab","11","1","2021-11-05","15","9.56","55.57"
"16","xan","wab","11","1","2021-11-05","16","10.81","57.23"
"17","yan","wab","11","1","2021-11-05","17","9.76","54.63"
"18","zan","wab","11","1","2021-11-05","18","11.71","54.73"
"19","abn","wab","11","1","2021-11-05","19","10.81","56.98"
"20","bbn","wab","11","1","2021-11-05","20","11.59","56.69"
"21","cbn","wab","11","1","2021-11-05","21","12.00","51.78"
"22","dbn","wab","11","1","2021-11-05","22","11.89","54.96"
"23","ebn","wab","11","1","2021-11-05","23","11.43","58.22"
"24","fbn","wab","11","1","2021-11-05","24","12.09","54.86"
"25","gbn","wab","11","1","2021-11-05","25","10.52","53.61"
"26","hbn","wab","11","1","2021-11-05","26","11.50","54.66"
"27","ibn","wab","11","1","2021-11-05","27","10.52","55.70"
"28","jbn","wab","11","1","2021-11-05","28","11.89","54.38"
"29","kbn","wab","11","1","2021-11-05","29","11.46","57.53"
"30","lbn","wab","11","1","2021-11-05","30","10.41","52.08"
"31","mbn","wab","11","1","2021-11-05","31","10.92","56.25"
"32","nbn","wab","11","1","2021-11-05","32","10.87","55.96"
"33","obn","wab","11","1","2021-11-05","33","10.36","56.18"
"34","pbn","wab","11","1","2021-11-05","34","11.73","56.37"
"35","qbn","wab","11","1","2021-11-05","35","11.68","53.97"
"36","rbn","wab","11","1","2021-11-05","36","11.59","53.55"
"37","sbn","wab","11","1","2021-11-05","37","10.69","56.73"
"38","tbn","wab","11","1","2021-11-05","38","12.27","53.98"
"39","ubn","wab","11","1","2021-11-05","39","12.18","54.30"
"40","vbn","wab","11","1","2021-11-05","40","10.66","53.98"
"41","wbn","wab","11","1","2021-11-05","41","11.58","54.30"
"42","xbn","wab","11","1","2021-11-05","42","10.87","55.00"
"43","ybn","wab","11","1","2021-11-05","43","11.17","56.13"
"44","zbn","wab","11","1","2021-11-05","44","10.49","55.76"
"45","acn","wab","11","1","2021-11-05","45","11.14","55.79"
"46","bcn","wab","11","1","2021-11-05","46","10.86","53.90"
"47","ccn","wab","11","1","2021-11-05","47","10.33","56.05"
"48","dcn","wab","11","1","2021-11-05","48","10.92","55.44"
"49","ecn","wab","11","1","2021-11-05","49","10.29","59.71"
"50","fcn","wab","11","1","2021-11-05","50","11.74","54.48"
"51","gcn","wab","11","1","2021-11-05","51","11.10","55.12"
"52","hcn","wab","11","1","2021-11-05","52","10.34","55.34"
"53","icn","wab","11","1","2021-11-05","53","10.20","52.42"
"54","jcn","wab","11","1","2021-11-05","54","12.16","57.79"
"55","kcn","wab","11","1","2021-11-05","55","11.22","57.03"
"56","lcn","wab","11","1","2021-11-05","56","11.50","57.39"
"57","mcn","wab","11","1","2021-11-05","57","10.32","52.39"
"58","ncn","wab","11","1","2021-11-05","58","11.36","52.38"
"59","ocn","wab","11","1","2021-11-05","59","10.83","57.39"
"60","pcn","wab","11","1","2021-11-05","60","11.20","55.77"
"61","qcn","wab","11","1","2021-11-05","61","10.16","55.11"
"62","rcn","wab","11","1","2021-11-05","62","11.34","52.94"
"63","scn","wab","11","1","2021-11-05","63","11.20","56.08"
"64","tcn","wab","11","1","2021-11-05","64","12.04","56.75"
"65","ucn","wab","11","1","2021-11-05","65","9.38","54.37"
"66","vcn","wab","11","1","2021-11-05","66","11.53","55.10"
"67","wcn","wab","11","1","2021-11-05","67","11.62","58.11"
"68","xcn","wab","11","1","2021-11-05","68","11.40","53.65"
"69","ycn","wab","11","1","2021-11-05","69","11.00","58.57"
"70","zcn","wab","11","1","2021-11-05","70","11.22","56.68"
"71","adn","wab","11","1","2021-11-05","71","10.99","53.11"
"72","bdn","wab","11","1","2021-11-05","72","10.90","55.37"
"73","cdn","wab","11","1","2021-11-05","73","10.92","55.28"
"74","ddn","wab","11","1","2021-11-05","74","10.50","55.06"
"75","edn","wab","11","1","2021-11-05","75","10.96","52.64"
"76","fdn","wab","11","1","2021-11-05","76","11.01","53.86"
"77","gdn","wab","11","1","2021-11-05","77","11.06","55.57"
"78","hdn","wab","11","1","2021-11-05","78","11.43","54.63"
"79","idn","wab","11","1","2021-11-05","79","10.54","55.14"
"80","jdn","wab","11","1","2021-11-05","80","11.20","53.85"
"81","kdn","wab","11","1","2021-11-05","81","11.18","58.58"
"82","ldn","wab","11","1","2021-11-05","82","11.43","55.05"
"83","mdn","wab","11","1","2021-11-05","83","10.30","53.50"
"84","ndn","wab","11","1","2021-11-05","84","10.72","55.00"
"85","odn","wab","11","1","2021-11-05","85","9.92","57.81"
"86","pdn","wab","11","1","2021-11-05","86","11.20","55.50"
"87","qdn","wab","11","1","2021-11-05","87","10.99","54.46"
"88","rdn","wab","11","1","2021-11-05","88","11.44","57.52"
"89","sdn","wab","11","1","2021-11-05","89","10.70","50.88"
"90","tdn","wab","11","1","2021-11-05","90","12.72","54.89"
"91","udn","wab","11","1","2021-11-05","91","11.26","55.35"
"92","vdn","wab","11","1","2021-11-05","92","11.26","57.21"
"93","wdn","wab","11","1","2021-11-05","93","9.97","57.28"
"94","xdn","wab","11","1","2021-11-05","94","11.32","56.94"
"95","ydn","wab","11","1","2021-11-05","95","12.50","57.21"
"96","zdn","wab","11","1","2021-11-05","96","12.81","52.38"
"97","aen","wab","11","1","2021-11-05","97","11.26","56.33"
"98","ben","wab","11","1","2021-11-05","98","10.62","52.08"
"99","cen","wab","11","1","2021-11-05","99","11.22","54.54"
"100","den","wab","11","1","2021-11-05","100","10.99","54.14"
