"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","snp","xab","11","1","2021-11-03","1","9.99","46.74"
"2","tnp","xab","11","1","2021-11-03","2","12.38","49.15"
"3","unp","xab","11","1","2021-11-03","3","10.24","48.13"
"4","vnp","xab","11","1","2021-11-03","4","10.87","45.18"
"5","wnp","xab","11","1","2021-11-03","5","11.53","48.56"
"6","xnp","xab","11","1","2021-11-03","6","11.06","50.41"
"7","ynp","xab","11","1","2021-11-03","7","10.11","50.81"
"8","znp","xab","11","1","2021-11-03","8","12.71","48.94"
"9","aop","xab","11","1","2021-11-03","9","10.62","50.84"
"10","bop","xab","11","1","2021-11-03","10","12.08","43.83"
"11","cop","xab","11","1","2021-11-03","11","10.64","50.22"
"12","dop","xab","11","1","2021-11-03","12","11.80","49.35"
"13","eop","xab","11","1","2021-11-03","13","11.17","46.23"
"14","fop","xab","11","1","2021-11-03","14","11.64","49.12"
"15","gop","xab","11","1","2021-11-03","15","11.49","43.21"
"16","hop","xab","11","1","2021-11-03","16","11.30","47.19"
"17","iop","xab","11","1","2021-11-03","17","11.72","48.15"
"18","jop","xab","11","1","2021-11-03","18","11.59","47.48"
"19","kop","xab","11","1","2021-11-03","19","9.66","46.89"
"20","lop","xab","11","1","2021-11-03","20","10.64","50.10"
"21","mop","xab","11","1","2021-11-03","21","10.71","50.53"
"22","nop","xab","11","1","2021-11-03","22","10.69","50.21"
"23","oop","xab","11","1","2021-11-03","23","10.77","46.25"
"24","pop","xab","11","1","2021-11-03","24","12.08","47.79"
"25","qop","xab","11","1","2021-11-03","25","11.78","45.47"
"26","rop","xab","11","1","2021-11-03","26","10.46","51.15"
"27","sop","xab","11","1","2021-11-03","27","10.94","44.64"
"28","top","xab","11","1","2021-11-03","28","11.71","47.35"
"29","uop","xab","11","1","2021-11-03","29","11.89","44.93"
"30","vop","xab","11","1","2021-11-03","30","11.62","47.14"
"31","wop","xab","11","1","2021-11-03","31","11.43","43.92"
"32","xop","xab","11","1","2021-11-03","32","11.46","51.03"
"33","yop","xab","11","1","2021-11-03","33","11.42","45.45"
"34","zop","xab","11","1","2021-11-03","34","10.60","42.98"
"35","app","xab","11","1","2021-11-03","35","10.70","43.23"
"36","bpp","xab","11","1","2021-11-03","36","11.27","52.71"
"37","cpp","xab","11","1","2021-11-03","37","10.30","48.30"
"38","dpp","xab","11","1","2021-11-03","38","10.51","48.82"
"39","epp","xab","11","1","2021-11-03","39","10.56","49.67"
"40","fpp","xab","11","1","2021-11-03","40","11.40","45.37"
"41","gpp","xab","11","1","2021-11-03","41","13.12","50.26"
"42","hpp","xab","11","1","2021-11-03","42","11.01","48.21"
"43","ipp","xab","11","1","2021-11-03","43","10.69","49.73"
"44","jpp","xab","11","1","2021-11-03","44","10.98","52.22"
"45","kpp","xab","11","1","2021-11-03","45","11.89","45.77"
"46","lpp","xab","11","1","2021-11-03","46","12.66","51.60"
"47","mpp","xab","11","1","2021-11-03","47","10.50","44.62"
"48","npp","xab","11","1","2021-11-03","48","10.74","48.05"
"49","opp","xab","11","1","2021-11-03","49","10.40","46.11"
"50","ppp","xab","11","1","2021-11-03","50","10.73","46.77"
"51","qpp","xab","11","1","2021-11-03","51","11.46","44.85"
"52","rpp","xab","11","1","2021-11-03","52","11.14","52.32"
"53","spp","xab","11","1","2021-11-03","53","11.67","44.95"
"54","tpp","xab","11","1","2021-11-03","54","11.41","48.33"
"55","upp","xab","11","1","2021-11-03","55","14.82","48.65"
"56","vpp","xab","11","1","2021-11-03","56","10.94","46.32"
"57","wpp","xab","11","1","2021-11-03","57","12.91","47.79"
"58","xpp","xab","11","1","2021-11-03","58","13.72","48.09"
"59","ypp","xab","11","1","2021-11-03","59","10.62","51.61"
"60","zpp","xab","11","1","2021-11-03","60","13.22","46.75"
"61","aqp","xab","11","1","2021-11-03","61","11.41","49.79"
"62","bqp","xab","11","1","2021-11-03","62","11.36","50.22"
"63","cqp","xab","11","1","2021-11-03","63","12.57","49.35"
"64","dqp","xab","11","1","2021-11-03","64","13.99","43.52"
"65","eqp","xab","11","1","2021-11-03","65","11.03","48.60"
"66","fqp","xab","11","1","2021-11-03","66","11.84","46.77"
"67","gqp","xab","11","1","2021-11-03","67","10.39","49.60"
"68","hqp","xab","11","1","2021-11-03","68","11.14","51.08"
"69","iqp","xab","11","1","2021-11-03","69","11.23","50.63"
"70","jqp","xab","11","1","2021-11-03","70","11.68","49.09"
"71","kqp","xab","11","1","2021-11-03","71","10.61","47.04"
"72","lqp","xab","11","1","2021-11-03","72","10.68","50.16"
"73","mqp","xab","11","1","2021-11-03","73","10.61","51.32"
"74","nqp","xab","11","1","2021-11-03","74","10.59","48.23"
"75","oqp","xab","11","1","2021-11-03","75","10.42","48.76"
"76","pqp","xab","11","1","2021-11-03","76","10.76","47.61"
"77","qqp","xab","11","1","2021-11-03","77","12.39","48.90"
"78","rqp","xab","11","1","2021-11-03","78","12.66","45.22"
"79","sqp","xab","11","1","2021-11-03","79","10.68","47.04"
"80","tqp","xab","11","1","2021-11-03","80","10.48","46.89"
"81","uqp","xab","11","1","2021-11-03","81","10.73","45.17"
"82","vqp","xab","11","1","2021-11-03","82","10.89","50.91"
"83","wqp","xab","11","1","2021-11-03","83","10.64","48.56"
"84","xqp","xab","11","1","2021-11-03","84","11.18","46.24"
"85","yqp","xab","11","1","2021-11-03","85","11.41","49.19"
"86","zqp","xab","11","1","2021-11-03","86","11.38","45.75"
"87","arp","xab","11","1","2021-11-03","87","11.30","50.65"
"88","brp","xab","11","1","2021-11-03","88","11.43","49.61"
"89","crp","xab","11","1","2021-11-03","89","10.83","48.25"
"90","drp","xab","11","1","2021-11-03","90","11.93","47.47"
"91","erp","xab","11","1","2021-11-03","91","10.56","50.24"
"92","frp","xab","11","1","2021-11-03","92","9.98","49.12"
"93","grp","xab","11","1","2021-11-03","93","11.22","48.46"
"94","hrp","xab","11","1","2021-11-03","94","10.86","50.27"
"95","irp","xab","11","1","2021-11-03","95","12.57","51.25"
"96","jrp","xab","11","1","2021-11-03","96","11.91","51.89"
"97","krp","xab","11","1","2021-11-03","97","10.84","52.09"
"98","lrp","xab","11","1","2021-11-03","98","11.43","50.33"
"99","mrp","xab","11","1","2021-11-03","99","11.42","46.18"
"100","nrp","xab","11","1","2021-11-03","100","11.02","45.24"
