"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","lnt","yab","11","1","2021-11-04","1","10.02","40.87"
"2","mnt","yab","11","1","2021-11-04","2","10.01","41.08"
"3","nnt","yab","11","1","2021-11-04","3","9.32","41.23"
"4","ont","yab","11","1","2021-11-04","4","11.42","42.02"
"5","pnt","yab","11","1","2021-11-04","5","11.34","42.18"
"6","qnt","yab","11","1","2021-11-04","6","10.70","42.20"
"7","rnt","yab","11","1","2021-11-04","7","11.73","42.36"
"8","snt","yab","11","1","2021-11-04","8","10.99","42.86"
"9","tnt","yab","11","1","2021-11-04","9","11.38","41.08"
"10","unt","yab","11","1","2021-11-04","10","11.79","41.00"
"11","vnt","yab","11","1","2021-11-04","11","10.37","41.15"
"12","wnt","yab","11","1","2021-11-04","12","9.50","42.05"
"13","xnt","yab","11","1","2021-11-04","13","11.44","39.81"
"14","ynt","yab","11","1","2021-11-04","14","10.14","41.64"
"15","znt","yab","11","1","2021-11-04","15","10.52","41.51"
"16","aot","yab","11","1","2021-11-04","16","9.00","40.37"
"17","bot","yab","11","1","2021-11-04","17","10.92","42.76"
"18","cot","yab","11","1","2021-11-04","18","10.57","42.76"
"19","dot","yab","11","1","2021-11-04","19","11.10","42.26"
"20","eot","yab","11","1","2021-11-04","20","10.93","42.79"
"21","fot","yab","11","1","2021-11-04","21","9.69","41.37"
"22","got","yab","11","1","2021-11-04","22","10.47","41.37"
"23","hot","yab","11","1","2021-11-04","23","10.60","41.31"
"24","iot","yab","11","1","2021-11-04","24","10.73","41.70"
"25","jot","yab","11","1","2021-11-04","25","10.12","42.12"
"26","kot","yab","11","1","2021-11-04","26","10.88","41.99"
"27","lot","yab","11","1","2021-11-04","27","10.12","40.72"
"28","mot","yab","11","1","2021-11-04","28","10.47","42.15"
"29","not","yab","11","1","2021-11-04","29","10.47","41.10"
"30","oot","yab","11","1","2021-11-04","30","10.68","41.40"
"31","pot","yab","11","1","2021-11-04","31","10.33","42.29"
"32","qot","yab","11","1","2021-11-04","32","10.56","42.54"
"33","rot","yab","11","1","2021-11-04","33","10.83","41.03"
"34","sot","yab","11","1","2021-11-04","34","10.28","43.03"
"35","tot","yab","11","1","2021-11-04","35","10.17","41.32"
"36","uot","yab","11","1","2021-11-04","36","10.73","41.27"
"37","vot","yab","11","1","2021-11-04","37","10.47","42.21"
"38","wot","yab","11","1","2021-11-04","38","10.39","41.81"
"39","xot","yab","11","1","2021-11-04","39","10.47","40.06"
"40","yot","yab","11","1","2021-11-04","40","11.43","40.59"
"41","zot","yab","11","1","2021-11-04","41","10.29","42.32"
"42","apt","yab","11","1","2021-11-04","42","11.30","41.39"
"43","bpt","yab","11","1","2021-11-04","43","10.03","39.97"
"44","cpt","yab","11","1","2021-11-04","44","11.09","42.28"
"45","dpt","yab","11","1","2021-11-04","45","10.96","43.03"
"46","ept","yab","11","1","2021-11-04","46","10.77","40.05"
"47","fpt","yab","11","1","2021-11-04","47","10.86","41.76"
"48","gpt","yab","11","1","2021-11-04","48","10.99","42.00"
"49","hpt","yab","11","1","2021-11-04","49","11.03","40.69"
"50","ipt","yab","11","1","2021-11-04","50","10.30","40.45"
"51","jpt","yab","11","1","2021-11-04","51","10.86","41.88"
"52","kpt","yab","11","1","2021-11-04","52","11.09","40.90"
"53","lpt","yab","11","1","2021-11-04","53","10.90","39.53"
"54","mpt","yab","11","1","2021-11-04","54","10.73","43.36"
"55","npt","yab","11","1","2021-11-04","55","11.13","41.61"
"56","opt","yab","11","1","2021-11-04","56","11.11","40.38"
"57","ppt","yab","11","1","2021-11-04","57","11.70","41.60"
"58","qpt","yab","11","1","2021-11-04","58","10.14","44.10"
"59","rpt","yab","11","1","2021-11-04","59","10.87","43.30"
"60","spt","yab","11","1","2021-11-04","60","11.40","41.95"
"61","tpt","yab","11","1","2021-11-04","61","10.03","41.61"
"62","upt","yab","11","1","2021-11-04","62","11.82","42.59"
"63","vpt","yab","11","1","2021-11-04","63","10.71","42.30"
