"","citrus_id","farm_id","month","week","research_day","tag","brix","size"
"1","qyp","zab","10","4","2021-10-19","1","10.28","58.83"
"2","ryp","zab","10","4","2021-10-19","2","10.50","59.93"
"3","syp","zab","10","4","2021-10-19","3","8.94","58.63"
"4","typ","zab","10","4","2021-10-19","4","9.30","57.59"
"5","uyp","zab","10","4","2021-10-19","5","9.97","54.89"
"6","vyp","zab","10","4","2021-10-19","6","8.73","57.68"
"7","wyp","zab","10","4","2021-10-19","7","8.73","59.23"
"8","xyp","zab","10","4","2021-10-19","8","10.47","55.45"
"9","yyp","zab","10","4","2021-10-19","9","9.03","57.95"
"10","zyp","zab","10","4","2021-10-19","10","10.43","62.54"
"11","azp","zab","10","4","2021-10-19","11","10.03","54.11"
"12","bzp","zab","10","4","2021-10-19","12","10.38","58.56"
"13","czp","zab","10","4","2021-10-19","13","9.53","58.02"
"14","dzp","zab","10","4","2021-10-19","14","9.68","59.82"
"15","ezp","zab","10","4","2021-10-19","15","10.28","64.00"
"16","fzp","zab","10","4","2021-10-19","16","10.17","57.97"
"17","gzp","zab","10","4","2021-10-19","17","9.12","58.16"
"18","hzp","zab","10","4","2021-10-19","18","10.34","59.04"
"19","izp","zab","10","4","2021-10-19","19","9.16","57.44"
"20","jzp","zab","10","4","2021-10-19","20","8.96","61.02"
"21","kzp","zab","10","4","2021-10-19","21","10.33","54.04"
"22","lzp","zab","10","4","2021-10-19","22","10.42","57.76"
"23","mzp","zab","10","4","2021-10-19","23","9.11","60.97"
"24","nzp","zab","10","4","2021-10-19","24","10.41","63.36"
"25","ozp","zab","10","4","2021-10-19","25","9.39","56.08"
"26","pzp","zab","10","4","2021-10-19","26","10.01","58.00"
"27","qzp","zab","10","4","2021-10-19","27","10.20","58.90"
"28","rzp","zab","10","4","2021-10-19","28","10.03","61.04"
"29","szp","zab","10","4","2021-10-19","29","9.22","63.93"
"30","tzp","zab","10","4","2021-10-19","30","9.22","62.93"
"31","uzp","zab","10","4","2021-10-19","31","10.07","59.57"
"32","vzp","zab","10","4","2021-10-19","32","10.10","62.32"
"33","wzp","zab","10","4","2021-10-19","33","8.88","52.74"
"34","xzp","zab","10","4","2021-10-19","34","10.24","54.22"
"35","yzp","zab","10","4","2021-10-19","35","10.06","56.80"
"36","zzp","zab","10","4","2021-10-19","36","8.73","62.08"
"37","aaq","zab","10","4","2021-10-19","37","9.26","61.74"
"38","baq","zab","10","4","2021-10-19","38","9.68","62.07"
"39","caq","zab","10","4","2021-10-19","39","9.98","61.74"
"40","daq","zab","10","4","2021-10-19","40","9.29","58.02"
"41","eaq","zab","10","4","2021-10-19","41","10.14","61.64"
"42","faq","zab","10","4","2021-10-19","42","8.93","60.50"
"43","gaq","zab","10","4","2021-10-19","43","10.27","58.64"
"44","haq","zab","10","4","2021-10-19","44","10.52","60.56"
"45","iaq","zab","10","4","2021-10-19","45","9.98","59.05"
"46","jaq","zab","10","4","2021-10-19","46","9.14","59.96"
"47","kaq","zab","10","4","2021-10-19","47","9.30","56.48"
"48","laq","zab","10","4","2021-10-19","48","8.83","60.12"
"49","maq","zab","10","4","2021-10-19","49","10.27","59.21"
"50","naq","zab","10","4","2021-10-19","50","10.86","59.95"
"51","oaq","zab","10","4","2021-10-19","51","9.11","63.71"
"52","paq","zab","10","4","2021-10-19","52","9.26","62.23"
"53","qaq","zab","10","4","2021-10-19","53","9.23","56.80"
"54","raq","zab","10","4","2021-10-19","54","8.90","61.85"
"55","saq","zab","10","4","2021-10-19","55","10.66","64.55"
"56","taq","zab","10","4","2021-10-19","56","10.79","58.29"
"57","uaq","zab","10","4","2021-10-19","57","10.91","57.88"
"58","vaq","zab","10","4","2021-10-19","58","8.97","57.14"
"59","waq","zab","10","4","2021-10-19","59","8.96","59.04"
"60","xaq","zab","10","4","2021-10-19","60","10.27","57.24"
"61","yaq","zab","10","4","2021-10-19","61","9.28","63.77"
"62","zaq","zab","10","4","2021-10-19","62","10.79","59.12"
"63","abq","zab","10","4","2021-10-19","63","10.64","57.09"
"64","bbq","zab","10","4","2021-10-19","64","9.32","55.94"
"65","cbq","zab","10","4","2021-10-19","65","9.36","56.41"
"66","dbq","zab","10","4","2021-10-19","66","10.66","59.48"
"67","ebq","zab","10","4","2021-10-19","67","9.34","60.44"
"68","fbq","zab","10","4","2021-10-19","68","9.80","56.75"
"69","gbq","zab","10","4","2021-10-19","69","10.90","64.35"
"70","hbq","zab","10","4","2021-10-19","70","9.81","61.23"
