citrus_id,farm_id,researched_month,researched_week,researched_at,tag_no,brix,size
1,bab,10,3,2021-10-15,1,10.52,65.41
2,bab,10,3,2021-10-15,2,10.04,70.21
3,bab,10,3,2021-10-15,3,9.2,65.27
4,bab,10,3,2021-10-15,4,10.3,67.95
5,bab,10,3,2021-10-15,5,10.07,69.72
6,bab,10,3,2021-10-15,6,10.88,71
7,bab,10,3,2021-10-15,7,10.34,59.16
8,bab,10,3,2021-10-15,8,9.67,67.13
9,bab,10,3,2021-10-15,9,9.61,67.78
10,bab,10,3,2021-10-15,10,10.68,71.79
11,bab,10,3,2021-10-15,11,9.87,68.47
12,bab,10,3,2021-10-15,12,9.11,67.27
13,bab,10,3,2021-10-15,13,9.43,68.78
14,bab,10,3,2021-10-15,14,9.54,70.02
15,bab,10,3,2021-10-15,15,9.33,68.87
16,bab,10,3,2021-10-15,16,9.49,63.94
17,bab,10,3,2021-10-15,17,9.68,66.63
18,bab,10,3,2021-10-15,18,10.94,62.65
19,bab,10,3,2021-10-15,19,10.7,64.45
20,bab,10,3,2021-10-15,20,11.21,61.06
21,bab,10,3,2021-10-15,21,10.27,69.92
22,bab,10,3,2021-10-15,22,10.37,68.26
23,bab,10,3,2021-10-15,23,10.08,69.67
24,bab,10,3,2021-10-15,24,10.84,66.85
25,bab,10,3,2021-10-15,25,10.63,72.12
26,bab,10,3,2021-10-15,26,10.79,65.57
27,bab,10,3,2021-10-15,27,10.18,66.04
28,bab,10,3,2021-10-15,28,10.28,68.68
29,bab,10,3,2021-10-15,29,10.18,66.56
30,bab,10,3,2021-10-15,30,11.6,63.71
31,bab,10,3,2021-10-15,31,11.71,63.62
32,bab,10,3,2021-10-15,32,9.41,64.54
33,bab,10,3,2021-10-15,33,9.9,67.74
34,bab,10,3,2021-10-15,34,9.3,67.03
35,bab,10,3,2021-10-15,35,9.6,69.14
36,bab,10,3,2021-10-15,36,10.08,67.84
37,bab,10,3,2021-10-15,37,8.24,63.24
38,bab,10,3,2021-10-15,38,9.27,71.88
39,bab,10,3,2021-10-15,39,8.53,68.52
40,bab,10,3,2021-10-15,40,8.22,72.97
41,bab,10,3,2021-10-15,41,8.33,67.86
42,bab,10,3,2021-10-15,42,9.6,64.75
43,bab,10,3,2021-10-15,43,9.6,69.28
44,bab,10,3,2021-10-15,44,8.83,61.56
45,bab,10,3,2021-10-15,45,10.32,67.81
46,bab,10,3,2021-10-15,46,10.37,60.4
47,bab,10,3,2021-10-15,47,10.39,63.64
48,bab,10,3,2021-10-15,48,9.78,65.08
49,bab,10,3,2021-10-15,49,9.86,69.41
50,bab,10,3,2021-10-15,50,9.66,62.6
51,bab,10,3,2021-10-15,51,9.67,70.67
52,bab,10,3,2021-10-15,52,10.6,67.28
53,bab,10,3,2021-10-15,53,9.99,64.15
54,bab,10,3,2021-10-15,54,9.91,63.81
55,bab,10,3,2021-10-15,55,11.57,69.68
56,bab,10,3,2021-10-15,56,9.46,63.82
57,bab,10,3,2021-10-15,57,9.08,66.57
58,bab,10,3,2021-10-15,58,9.81,66.01
59,bab,10,3,2021-10-15,59,11.08,62.86
60,bab,10,3,2021-10-15,60,10.92,62.17
61,bab,10,3,2021-10-15,61,10.2,66.32
62,bab,10,3,2021-10-15,62,10.83,71.54
63,bab,10,3,2021-10-15,63,12.48,71.28
64,bab,10,3,2021-10-15,64,12.84,65.1
65,bab,10,3,2021-10-15,65,10.61,68.84
66,bab,10,3,2021-10-15,66,11.14,63.95
67,bab,10,3,2021-10-15,67,10.81,67.83
68,bab,10,3,2021-10-15,68,10,68.41
69,bab,10,3,2021-10-15,69,11.92,62.19
70,bab,10,3,2021-10-15,70,11.39,63.93
71,bab,10,3,2021-10-15,71,11.08,67.62
72,bab,10,3,2021-10-15,72,9.17,67.29
73,bab,10,3,2021-10-15,73,9.97,67.34
74,bab,10,3,2021-10-15,74,11.82,70.94
75,bab,10,3,2021-10-15,75,11.6,71.42
76,bab,10,3,2021-10-15,76,9.19,64.65
77,bab,10,3,2021-10-15,77,9.78,64.01
78,bab,10,3,2021-10-15,78,9.99,73.24
79,bab,10,3,2021-10-15,79,10.24,70.28
80,bab,10,3,2021-10-15,80,10.41,65.01
81,bab,10,3,2021-10-15,81,11.19,66.69
82,bab,10,3,2021-10-15,82,11.19,67.61
83,bab,10,3,2021-10-15,83,9.96,69.14
84,bab,10,3,2021-10-15,84,11.41,65.16
85,bab,10,3,2021-10-15,85,12.23,69.97
86,bab,10,3,2021-10-15,86,10.51,69.2
87,bab,10,3,2021-10-15,87,10.73,72.33
88,bab,10,3,2021-10-15,88,9.86,66.34
89,bab,10,3,2021-10-15,89,10.01,68.77
90,bab,10,3,2021-10-15,90,10.09,62.3
91,bab,10,3,2021-10-15,91,10.39,67.13
92,bab,10,3,2021-10-15,92,10.89,67.84
93,bab,10,3,2021-10-15,93,11.12,72.43
94,bab,10,3,2021-10-15,94,8.57,70.96
95,bab,10,3,2021-10-15,95,9.39,66.04
96,bab,10,3,2021-10-15,96,9.77,64.2
97,bab,10,3,2021-10-15,97,9.98,69.3
98,bab,10,3,2021-10-15,98,9.58,62.9
99,bab,10,3,2021-10-15,99,9.78,68.5
100,bab,10,3,2021-10-15,100,9.01,66.03
101,bab,10,4,2021-10-22,1,10.82,53.92
102,bab,10,4,2021-10-22,2,10.43,59.81
103,bab,10,4,2021-10-22,3,9.27,58.75
104,bab,10,4,2021-10-22,4,10.57,60
105,bab,10,4,2021-10-22,5,10.69,59.14
106,bab,10,4,2021-10-22,6,10.88,61.74
107,bab,10,4,2021-10-22,7,10.52,57.2
108,bab,10,4,2021-10-22,8,9.56,60.2
109,bab,10,4,2021-10-22,9,9.32,57.33
110,bab,10,4,2021-10-22,10,11.22,56.56
111,bab,10,4,2021-10-22,11,9.89,55.81
112,bab,10,4,2021-10-22,12,9.23,57.94
113,bab,10,4,2021-10-22,13,9.34,61.08
114,bab,10,4,2021-10-22,14,9.58,55.23
115,bab,10,4,2021-10-22,15,9.13,59.48
116,bab,10,4,2021-10-22,16,10.08,58.19
117,bab,10,4,2021-10-22,17,10.12,59.5
118,bab,10,4,2021-10-22,18,9.49,57.91
119,bab,10,4,2021-10-22,19,10.81,57.65
120,bab,10,4,2021-10-22,20,10.98,56.28
121,bab,10,4,2021-10-22,21,10.2,60.76
122,bab,10,4,2021-10-22,22,10.58,58.41
123,bab,10,4,2021-10-22,23,10.42,61.03
124,bab,10,4,2021-10-22,24,11,59.74
125,bab,10,4,2021-10-22,25,11.27,58.49
126,bab,10,4,2021-10-22,26,10.68,60.05
127,bab,10,4,2021-10-22,27,10.82,56.98
128,bab,10,4,2021-10-22,28,10.64,58.74
129,bab,10,4,2021-10-22,29,10.6,57.99
130,bab,10,4,2021-10-22,30,11.73,56.8
131,bab,10,4,2021-10-22,31,11.88,58.88
132,bab,10,4,2021-10-22,32,10.22,58.18
133,bab,10,4,2021-10-22,33,10.19,60.32
134,bab,10,4,2021-10-22,34,9.7,59.61
135,bab,10,4,2021-10-22,35,10.01,61.5
136,bab,10,4,2021-10-22,36,10.43,58.39
137,bab,10,4,2021-10-22,37,8.42,55.92
138,bab,10,4,2021-10-22,38,9.44,62.02
139,bab,10,4,2021-10-22,39,9.94,62.35
140,bab,10,4,2021-10-22,40,9.27,55.39
141,bab,10,4,2021-10-22,41,8.94,58.91
142,bab,10,4,2021-10-22,42,10.23,54.23
143,bab,10,4,2021-10-22,43,10.28,57.5
144,bab,10,4,2021-10-22,44,9.42,61.63
145,bab,10,4,2021-10-22,45,11.23,57.54
146,bab,10,4,2021-10-22,46,10.4,61.77
147,bab,10,4,2021-10-22,47,10.39,56.01
148,bab,10,4,2021-10-22,48,10.21,59.4
149,bab,10,4,2021-10-22,49,10.57,63.16
150,bab,10,4,2021-10-22,50,10.3,56.24
151,bab,10,4,2021-10-22,51,9.94,57.3
152,bab,10,4,2021-10-22,52,10.56,58.05
153,bab,10,4,2021-10-22,53,9.86,57.4
154,bab,10,4,2021-10-22,54,10.34,59.81
155,bab,10,4,2021-10-22,55,11.31,56.91
156,bab,10,4,2021-10-22,56,10.39,59.93
157,bab,10,4,2021-10-22,57,9.38,56.87
158,bab,10,4,2021-10-22,58,9.67,55.35
159,bab,10,4,2021-10-22,59,11.09,59
160,bab,10,4,2021-10-22,60,10.52,59.47
161,bab,10,4,2021-10-22,61,10.89,61.1
162,bab,10,4,2021-10-22,62,11,59.11
163,bab,10,4,2021-10-22,63,12.82,55.76
164,bab,10,4,2021-10-22,64,13.02,59.96
165,bab,10,4,2021-10-22,65,11.59,60.15
166,bab,10,4,2021-10-22,66,11.94,55.85
167,bab,10,4,2021-10-22,67,11.08,58.63
168,bab,10,4,2021-10-22,68,10.68,58.26
169,bab,10,4,2021-10-22,69,11.66,56.8
170,bab,10,4,2021-10-22,70,11.28,56.55
171,bab,10,4,2021-10-22,71,11.09,58.72
172,bab,10,4,2021-10-22,72,9.03,58.42
173,bab,10,4,2021-10-22,73,10.73,60.24
174,bab,10,4,2021-10-22,74,12.18,58.76
175,bab,10,4,2021-10-22,75,12.2,58.16
176,bab,10,4,2021-10-22,76,11.03,54.9
177,bab,10,4,2021-10-22,77,10.88,58.07
178,bab,10,4,2021-10-22,78,10.09,61.91
179,bab,10,4,2021-10-22,79,10.41,57.25
180,bab,10,4,2021-10-22,80,10.62,59.22
181,bab,10,4,2021-10-22,81,11.48,59.99
182,bab,10,4,2021-10-22,82,11.12,59.87
183,bab,10,4,2021-10-22,83,10.21,61.28
184,bab,10,4,2021-10-22,84,11.72,55.47
185,bab,10,4,2021-10-22,85,12.66,56.62
186,bab,10,4,2021-10-22,86,10.91,61.28
187,bab,10,4,2021-10-22,87,11.16,58.21
188,bab,10,4,2021-10-22,88,10.68,58.82
189,bab,10,4,2021-10-22,89,10,55.74
190,bab,10,4,2021-10-22,90,10.76,58.68
191,bab,10,4,2021-10-22,91,10.43,55.89
192,bab,10,4,2021-10-22,92,11.1,60.49
193,bab,10,4,2021-10-22,93,11.8,61.18
194,bab,10,4,2021-10-22,94,8.84,59.92
195,bab,10,4,2021-10-22,95,10.16,58.3
196,bab,10,4,2021-10-22,96,10.17,56.89
197,bab,10,4,2021-10-22,97,10.28,60.46
198,bab,10,4,2021-10-22,98,9.1,57.05
199,bab,10,4,2021-10-22,99,10.5,61.93
200,bab,10,4,2021-10-22,100,9.19,58.85
201,bab,10,5,2021-10-28,1,10.66,64.85
202,bab,10,5,2021-10-28,2,10.61,62.62
203,bab,10,5,2021-10-28,3,9.74,64.2
204,bab,10,5,2021-10-28,4,10.8,67.73
205,bab,10,5,2021-10-28,5,10.86,63.6
206,bab,10,5,2021-10-28,6,11.73,74.31
207,bab,10,5,2021-10-28,7,10.89,69.42
208,bab,10,5,2021-10-28,8,10.17,59.66
209,bab,10,5,2021-10-28,9,10.18,67.57
210,bab,10,5,2021-10-28,10,11.08,65.52
211,bab,10,5,2021-10-28,11,10.28,70.02
212,bab,10,5,2021-10-28,12,9.62,69.92
213,bab,10,5,2021-10-28,13,9.28,73.27
214,bab,10,5,2021-10-28,14,9.77,71.91
215,bab,10,5,2021-10-28,15,9.8,64.99
216,bab,10,5,2021-10-28,16,10.19,67.04
217,bab,10,5,2021-10-28,17,10.58,68.55
218,bab,10,5,2021-10-28,18,9.87,62.61
219,bab,10,5,2021-10-28,19,10.61,65.99
220,bab,10,5,2021-10-28,20,10.82,69.46
221,bab,10,5,2021-10-28,21,10.32,73.1
222,bab,10,5,2021-10-28,22,11.13,72.73
223,bab,10,5,2021-10-28,23,10.68,61.53
224,bab,10,5,2021-10-28,24,10.62,71.18
225,bab,10,5,2021-10-28,25,10.92,65.33
226,bab,10,5,2021-10-28,26,10.64,71.95
227,bab,10,5,2021-10-28,27,10.93,66.71
228,bab,10,5,2021-10-28,28,10.47,67.05
229,bab,10,5,2021-10-28,29,10.77,65.3
230,bab,10,5,2021-10-28,30,11.63,68.14
231,bab,10,5,2021-10-28,31,12.79,67.95
232,bab,10,5,2021-10-28,32,10.67,61.64
233,bab,10,5,2021-10-28,33,10.17,61.31
234,bab,10,5,2021-10-28,34,10.44,65.54
235,bab,10,5,2021-10-28,35,10.02,65.68
236,bab,10,5,2021-10-28,36,10.96,62.91
237,bab,10,5,2021-10-28,37,9.46,68.62
238,bab,10,5,2021-10-28,38,9.48,67.36
239,bab,10,5,2021-10-28,39,8.84,69.52
240,bab,10,5,2021-10-28,40,9.13,70.52
241,bab,10,5,2021-10-28,41,8.59,62.88
242,bab,10,5,2021-10-28,42,9.72,63.29
243,bab,10,5,2021-10-28,43,10.99,66.44
244,bab,10,5,2021-10-28,44,10.06,69.32
245,bab,10,5,2021-10-28,45,10.93,66.75
246,bab,10,5,2021-10-28,46,10.43,72.22
247,bab,10,5,2021-10-28,47,10.44,62.42
248,bab,10,5,2021-10-28,48,10.3,57.6
249,bab,10,5,2021-10-28,49,10.81,59.45
250,bab,10,5,2021-10-28,50,9.87,58.35
251,bab,10,5,2021-10-28,51,10.13,60.05
252,bab,10,5,2021-10-28,52,10.71,60.63
253,bab,10,5,2021-10-28,53,10.36,63.03
254,bab,10,5,2021-10-28,54,10.5,63.09
255,bab,10,5,2021-10-28,55,11.56,57.95
256,bab,10,5,2021-10-28,56,10.01,66.97
257,bab,10,5,2021-10-28,57,9.3,56.57
258,bab,10,5,2021-10-28,58,9.84,61.62
259,bab,10,5,2021-10-28,59,10.52,65.08
260,bab,10,5,2021-10-28,60,10.57,68.17
261,bab,10,5,2021-10-28,61,10.78,73.34
262,bab,10,5,2021-10-28,62,11.44,61.07
263,bab,10,5,2021-10-28,63,13.34,62.08
264,bab,10,5,2021-10-28,64,12.97,56.22
265,bab,10,5,2021-10-28,65,11.22,59.24
266,bab,10,5,2021-10-28,66,11.21,70.63
267,bab,10,5,2021-10-28,67,11.11,59.79
268,bab,10,5,2021-10-28,68,10.14,70.68
269,bab,10,5,2021-10-28,69,11.63,65.28
270,bab,10,5,2021-10-28,70,10.77,61.69
271,bab,10,5,2021-10-28,71,10.66,60.27
272,bab,10,5,2021-10-28,72,9.31,64.32
273,bab,10,5,2021-10-28,73,10.61,63.19
274,bab,10,5,2021-10-28,74,11.89,55.96
275,bab,10,5,2021-10-28,75,11.77,66.01
276,bab,10,5,2021-10-28,76,10.84,67.31
277,bab,10,5,2021-10-28,77,10.98,63.83
278,bab,10,5,2021-10-28,78,9.81,61.61
279,bab,10,5,2021-10-28,79,10.3,73.86
280,bab,10,5,2021-10-28,80,10.83,68.22
281,bab,10,5,2021-10-28,81,11.22,68.6
282,bab,10,5,2021-10-28,82,11.2,67.25
283,bab,10,5,2021-10-28,83,10.53,58.73
284,bab,10,5,2021-10-28,84,12.07,64.31
285,bab,10,5,2021-10-28,85,12.22,65.21
286,bab,10,5,2021-10-28,86,10.73,70.58
287,bab,10,5,2021-10-28,87,11.11,74.22
288,bab,10,5,2021-10-28,88,10.81,72.34
289,bab,10,5,2021-10-28,89,10.02,63.78
