"","farm_id","sensing_at","temp","humi","light","press","month","week","no","name","si","dong","address","latitude","longitude","area","is_wifi","is_power","research_year","slope","maintenance","cultivar","mulching","umbrella","spring_cooler","drip_hose","frost_fan","windscreent","monthweek"
"1","aab","2021-11-23",8.8,55.1,1,6.06,11,4,1,"남원농가","서귀포시","남원읍","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"Y","Y",2021,0,"Y","궁천","Y","Y","Y","Y","Y","Y","11-4"
"2","aab","2021-12-07",10.9,51.2,1,7.17,12,2,1,"남원농가","서귀포시","남원읍","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"Y","Y",2021,0,"Y","궁천","Y","Y","Y","Y","Y","Y","12-2"
"3","aab","2021-12-06",10.6,61.7,1,6.92,12,2,1,"남원농가","서귀포시","남원읍","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"Y","Y",2021,0,"Y","궁천","Y","Y","Y","Y","Y","Y","12-2"
"4","aab","2021-11-30",12,77.8,1,1.58,11,5,1,"남원농가","서귀포시","남원읍","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"Y","Y",2021,0,"Y","궁천","Y","Y","Y","Y","Y","Y","11-5"
"5","aab","2021-11-27",9,51.2,1,7.18,11,4,1,"남원농가","서귀포시","남원읍","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"Y","Y",2021,0,"Y","궁천","Y","Y","Y","Y","Y","Y","11-4"
"6","aab","2021-12-04",10,49.3,1,7.38,12,1,1,"남원농가","서귀포시","남원읍","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"Y","Y",2021,0,"Y","궁천","Y","Y","Y","Y","Y","Y","12-1"
"7","aab","2021-12-08",11.1,57.3,1,6.5,12,2,1,"남원농가","서귀포시","남원읍","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"Y","Y",2021,0,"Y","궁천","Y","Y","Y","Y","Y","Y","12-2"
"8","aab","2021-11-21",15.1,68.7,1,4.04,11,4,1,"남원농가","서귀포시","남원읍","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"Y","Y",2021,0,"Y","궁천","Y","Y","Y","Y","Y","Y","11-4"
"9","aab","2021-12-01",6.5,63.7,1,4.48,12,1,1,"남원농가","서귀포시","남원읍","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"Y","Y",2021,0,"Y","궁천","Y","Y","Y","Y","Y","Y","12-1"
"10","aab","2021-11-19",12.3,52.9,1,7.4,11,3,1,"남원농가","서귀포시","남원읍","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"Y","Y",2021,0,"Y","궁천","Y","Y","Y","Y","Y","Y","11-3"
"11","aab","2021-12-05",8.2,57,1,3.88,12,2,1,"남원농가","서귀포시","남원읍","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"Y","Y",2021,0,"Y","궁천","Y","Y","Y","Y","Y","Y","12-2"
"12","aab","2021-12-09",13.3,59.9,1,7,12,2,1,"남원농가","서귀포시","남원읍","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"Y","Y",2021,0,"Y","궁천","Y","Y","Y","Y","Y","Y","12-2"
"13","aab","2021-12-02",7.5,59.2,1,4.48,12,1,1,"남원농가","서귀포시","남원읍","제주특별자치도 서귀포시 남원읍 신흥리 841-1",33.301765,126.751244,2500,"Y","Y",2021,0,"Y","궁천","Y","Y","Y","Y","Y","Y","12-1"
